년도,월,나이,경상남도 사천시,경상남도 사천시 사천읍,경상남도 사천시 정동면,경상남도 사천시 사남면,경상남도 사천시 용현면,경상남도 사천시 축동면,경상남도 사천시 곤양면,경상남도 사천시 곤명면,경상남도 사천시 서포면,경상남도 사천시 동서동,경상남도 사천시 선구동,경상남도 사천시 동서금동,경상남도 사천시 벌용동,경상남도 사천시 향촌동,경상남도 사천시 남양동,경상남도 사천시 신수출장소
2020,3,총,"56,237","9,784","5,337","8,362","3,917",884,"1,804","1,450","1,785","3,132","2,631","3,062","7,669","3,580","2,696",144
2020,3,0,"4,434",816,559,"1,152",344,28,69,46,40,107,120,213,592,178,166,4
2020,3,10,"5,398",985,671,"1,037",347,34,92,55,83,168,191,246,901,355,229,4
2020,3,20,"6,555","1,438",647,"1,022",323,82,189,113,170,259,310,337,949,425,283,8
2020,3,30,"6,633","1,429",661,"1,397",492,60,118,93,98,299,274,354,750,334,263,11
2020,3,40,"9,579","1,821",993,"1,633",711,116,213,185,233,449,410,522,"1,236",617,413,27
2020,3,50,"9,729","1,652",871,"1,040",633,192,361,318,400,591,493,525,"1,459",709,457,28
2020,3,60,"7,606",959,526,593,587,198,361,317,366,656,471,463,"1,043",554,483,29
2020,3,70,"4,453",472,270,351,335,108,264,209,288,445,262,300,543,292,287,27
2020,3,80,"1,721",195,128,127,133,61,124,106,102,149,94,95,187,107,107,6
2020,3,90,123,17,11,10,12,5,12,7,4,9,6,5,9,8,8,0
2020,3,100,6,0,0,0,0,0,1,1,1,0,0,2,0,1,0,0
2020,4,총,"56,119","9,747","5,318","8,394","3,893",882,"1,798","1,445","1,771","3,119","2,635","3,099","7,621","3,561","2,693",143
2020,4,0,"4,422",802,557,"1,157",344,27,66,46,40,106,122,219,588,175,169,4
2020,4,10,"5,382",990,667,"1,043",343,33,96,56,78,166,192,249,891,351,223,4
2020,4,20,"6,497","1,417",649,"1,023",317,77,184,109,165,257,311,343,937,417,283,8
2020,4,30,"6,605","1,432",655,"1,394",482,62,120,91,96,299,269,362,743,328,262,10
2020,4,40,"9,542","1,801",980,"1,639",712,119,211,186,230,449,411,526,"1,226",616,409,27
2020,4,50,"9,732","1,659",875,"1,046",626,192,361,314,397,585,494,533,"1,449",710,462,29
2020,4,60,"7,606",962,527,596,591,197,358,317,369,652,467,464,"1,042",555,481,28
2020,4,70,"4,488",475,271,360,336,108,266,212,289,447,268,303,545,294,287,27
2020,4,80,"1,715",192,126,126,130,62,124,105,102,149,95,93,192,105,108,6
2020,4,90,124,17,11,10,12,5,11,8,4,9,6,5,8,9,9,0
2020,4,100,6,0,0,0,0,0,1,1,1,0,0,2,0,1,0,0
2020,5,총,"56,099","9,732","5,319","8,397","3,890",884,"1,796","1,448","1,764","3,115","2,632","3,109","7,617","3,561","2,692",143
2020,5,0,"4,420",796,557,"1,153",350,28,65,47,38,103,121,221,583,177,177,4
2020,5,10,"5,364",989,664,"1,045",340,33,97,57,79,166,189,253,881,345,222,4
2020,5,20,"6,479","1,411",644,"1,016",322,77,183,106,165,260,315,340,933,421,278,8
2020,5,30,"6,579","1,427",650,"1,394",480,62,120,89,96,298,265,360,743,323,262,10
2020,5,40,"9,532","1,797",982,"1,647",706,119,210,184,228,447,410,533,"1,220",615,408,26
2020,5,50,"9,734","1,656",881,"1,048",629,189,357,318,395,583,493,532,"1,458",709,456,30
2020,5,60,"7,610",968,531,594,584,201,362,319,366,646,464,464,"1,046",554,483,28
2020,5,70,"4,530",475,273,364,338,108,269,215,288,454,271,307,551,301,289,27
2020,5,80,"1,722",196,126,127,128,62,121,105,104,149,98,92,194,106,108,6
2020,5,90,123,17,11,9,13,5,11,7,4,9,6,5,8,9,9,0
2020,5,100,6,0,0,0,0,0,1,1,1,0,0,2,0,1,0,0
2020,6,총,"56,072","9,717","5,322","8,416","3,902",875,"1,799","1,440","1,767","3,093","2,626","3,125","7,618","3,552","2,678",142
2020,6,0,"4,396",792,556,"1,145",350,29,61,47,38,101,120,220,582,172,179,4
2020,6,10,"5,351",985,666,"1,045",341,32,97,57,76,165,189,259,872,346,217,4
