년도,월,나이,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2020,3,총,"2,119,749","654,259","259,474","394,785","105,895","100,787","313,733","174,629","118,266","42,663","166,253","51,904","66,353","52,494","31,245","100,063","78,881","62,324"
2020,3,0,"179,194","63,867","21,519","42,348","6,141","6,444","34,386","15,815","7,563","4,053","16,270","2,737","3,115","2,422","1,343","8,010","3,845","3,183"
2020,3,10,"205,897","69,597","26,966","42,631","8,582","8,491","34,224","17,507","10,129","6,491","15,699","4,443","4,923","3,608","2,098","9,699","5,860","4,546"
2020,3,20,"243,505","95,328","35,552","59,776","11,646","9,754","35,969","19,173","11,834","4,867","16,348","4,116","5,649","4,058","2,767","9,719","7,071","5,206"
2020,3,30,"275,275","106,424","34,379","72,045","10,018","9,817","49,824","22,529","11,281","4,710","23,617","4,000","4,646","3,661","2,164","10,822","6,396","5,366"
2020,3,40,"329,148","111,635","43,549","68,086","13,691","14,226","55,376","27,783","15,874","8,432","26,463","6,450","7,512","6,082","3,280","14,658","9,846","7,840"
2020,3,50,"340,052","102,027","44,099","57,928","18,813","17,469","45,456","28,085","20,207","6,797","25,794","9,263","11,201","8,712","5,406","15,948","13,969","10,905"
2020,3,60,"265,905","59,374","29,362","30,012","17,610","16,432","30,073","20,871","19,311","4,119","20,090","9,384","12,636","9,985","5,937","14,175","14,255","11,653"
2020,3,70,"167,821","29,183","15,113","14,070","11,351","11,030","17,595","13,578","12,819","1,945","12,952","6,748","9,400","7,934","4,534","9,876","10,288","8,588"
2020,3,80,"98,464","14,555","7,724","6,831","7,028","6,192","9,490","8,068","8,019","1,069","7,876","4,203","6,266","5,223","3,272","6,275","6,507","4,421"
2020,3,90,"13,598","2,104","1,128",976,957,874,"1,224","1,156","1,143",170,"1,077",531,948,766,426,822,807,593
2020,3,100,890,165,83,82,58,58,116,64,86,10,67,29,57,43,18,59,37,23
2020,4,총,"2,118,457","654,251","259,211","395,040","105,743","100,646","313,757","174,645","118,032","42,757","166,136","51,781","66,214","52,374","31,139","99,973","78,726","62,283"
2020,4,0,"178,550","63,652","21,384","42,268","6,115","6,414","34,256","15,777","7,546","4,047","16,221","2,712","3,090","2,421","1,343","7,950","3,807","3,199"
2020,4,10,"205,330","69,442","26,864","42,578","8,541","8,478","34,201","17,446","10,084","6,483","15,670","4,429","4,876","3,584","2,073","9,664","5,833","4,526"
2020,4,20,"242,858","95,276","35,518","59,758","11,580","9,660","35,954","19,176","11,736","4,879","16,280","4,062","5,616","4,030","2,718","9,706","7,029","5,156"
2020,4,30,"274,391","106,218","34,229","71,989","9,932","9,786","49,651","22,467","11,194","4,712","23,523","3,994","4,620","3,632","2,151","10,806","6,370","5,335"
2020,4,40,"328,812","111,563","43,437","68,126","13,662","14,177","55,414","27,764","15,836","8,453","26,504","6,391","7,496","6,059","3,252","14,617","9,794","7,830"
2020,4,50,"339,782","102,147","44,077","58,070","18,764","17,430","45,495","28,100","20,147","6,838","25,718","9,247","11,157","8,665","5,364","15,918","13,912","10,880"
2020,4,60,"267,106","59,760","29,561","30,199","17,700","16,461","30,257","20,996","19,365","4,153","20,204","9,412","12,658","9,971","5,970","14,227","14,288","11,684"
2020,4,70,"168,298","29,302","15,157","14,145","11,375","11,081","17,650","13,607","12,832","1,947","12,985","6,765","9,406","7,963","4,530","9,905","10,333","8,617"
2020,4,80,"98,758","14,618","7,766","6,852","7,046","6,226","9,517","8,087","8,052","1,066","7,879","4,207","6,278","5,231","3,290","6,307","6,515","4,439"
2020,4,90,"13,676","2,106","1,133",973,969,876,"1,247","1,162","1,152",169,"1,084",532,960,775,429,814,808,593
2020,4,100,896,167,85,82,59,57,115,63,88,10,68,30,57,43,19,59,37,24
2020,5,총,"2,118,510","655,192","258,857","396,335","105,611","100,602","313,761","174,801","117,812","42,696","166,098","51,746","66,086","52,247","31,034","100,013","78,618","62,193"
2020,5,0,"178,041","63,588","21,265","42,323","6,095","6,378","34,131","15,728","7,510","4,037","16,113","2,711","3,075","2,414","1,332","7,959","3,787","3,183"
