년도,월,나이,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 남면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면,강원도 양구군 국토정중앙면
2020,1,총,"11,937","7,363","1,827","1,228",793,726,
2020,1,0,909,763,60,39,23,24,
2020,1,10,"1,067",818,104,51,40,54,
2020,1,20,"2,161","1,136",312,396,244,73,
2020,1,30,"1,455","1,091",155,92,68,49,
2020,1,40,"1,424",997,187,98,47,95,
2020,1,50,"1,953","1,077",384,193,131,168,
2020,1,60,"1,654",865,335,181,134,139,
2020,1,70,903,415,201,129,68,90,
2020,1,80,361,173,78,42,36,32,
2020,1,90,44,23,10,7,2,2,
2020,1,100,6,5,1,0,0,0,
2020,2,총,"11,853","7,303","1,825","1,208",789,728,
2020,2,0,894,748,61,39,23,23,
2020,2,10,"1,061",809,107,49,41,55,
2020,2,20,"2,106","1,111",302,384,237,72,
2020,2,30,"1,432","1,072",158,87,65,50,
2020,2,40,"1,419",998,183,96,49,93,
2020,2,50,"1,953","1,075",384,191,132,171,
2020,2,60,"1,665",871,337,183,135,139,
2020,2,70,908,418,203,127,69,91,
2020,2,80,365,173,79,45,36,32,
2020,2,90,43,22,10,7,2,2,
2020,2,100,7,6,1,0,0,0,
2020,3,총,"11,806","7,282","1,824","1,194",784,722,
2020,3,0,893,746,60,39,24,24,
2020,3,10,"1,053",800,110,50,40,53,
2020,3,20,"2,080","1,102",296,376,235,71,
2020,3,30,"1,429","1,075",157,84,64,49,
2020,3,40,"1,414",995,186,96,47,90,
2020,3,50,"1,937","1,066",382,187,132,170,
2020,3,60,"1,680",882,341,184,136,137,
2020,3,70,904,414,200,127,69,94,
2020,3,80,369,176,81,45,35,32,
2020,3,90,40,20,10,6,2,2,
2020,3,100,7,6,1,0,0,0,
2020,4,총,"11,801","7,311","1,815","1,185",775,715,
2020,4,0,893,743,62,38,25,25,
2020,4,10,"1,081",831,108,50,39,53,
2020,4,20,"2,040","1,097",285,362,227,69,
2020,4,30,"1,428","1,070",158,86,64,50,
2020,4,40,"1,422","1,008",185,95,47,87,
2020,4,50,"1,930","1,063",377,191,129,170,
2020,4,60,"1,694",887,349,186,137,135,
2020,4,70,899,413,199,123,71,93,
2020,4,80,368,174,81,48,34,31,
2020,4,90,40,20,10,6,2,2,
2020,4,100,6,5,1,0,0,0,
2020,5,총,"11,802","7,320","1,806","1,185",776,715,
2020,5,0,902,754,61,37,25,25,
2020,5,10,"1,071",828,107,48,37,51,
2020,5,20,"2,044","1,101",284,363,224,72,
2020,5,30,"1,437","1,075",156,85,70,51,
2020,5,40,"1,412","1,001",184,94,46,87,
2020,5,50,"1,922","1,058",375,193,129,167,
2020,5,60,"1,704",889,351,189,138,137,
2020,5,70,896,414,198,122,71,91,
2020,5,80,371,175,82,48,34,32,
2020,5,90,37,20,7,6,2,2,
2020,5,100,6,5,1,0,0,0,
2020,6,총,"11,789","7,304","1,803","1,172",797,713,
2020,6,0,904,755,61,36,27,25,
2020,6,10,"1,064",825,104,46,38,51,
2020,6,20,"2,033","1,094",280,350,237,72,
2020,6,30,"1,444","1,081",152,87,72,52,
2020,6,40,"1,403",993,186,92,49,83,
2020,6,50,"1,915","1,054",376,193,127,165,
2020,6,60,"1,716",894,354,190,139,139,
2020,6,70,897,410,199,124,72,92,
2020,6,80,371,175,82,48,34,32,
2020,6,90,37,19,8,6,2,2,
2020,6,100,5,4,1,0,0,0,
2020,7,총,"11,775","7,313","1,794","1,163",790,715,
2020,7,0,901,754,61,36,25,25,
2020,7,10,"1,061",824,100,46,41,50,
2020,7,20,"2,024","1,099",282,339,230,74,
2020,7,30,"1,438","1,081",148,89,69,51,
2020,7,40,"1,400",992,183,91,49,85,
2020,7,50,"1,916","1,060",372,192,127,165,
2020,7,60,"1,730",901,355,192,142,140,
2020,7,70,888,404,201,123,70,90,
2020,7,80,374,175,83,48,35,33,
2020,7,90,38,19,8,7,2,2,
2020,7,100,5,4,1,0,0,0,
2020,8,총,"11,816","7,327","1,822","1,160",794,713,
2020,8,0,897,751,62,34,25,25,
2020,8,10,"1,063",827,101,45,41,49,
2020,8,20,"2,060","1,099",312,342,235,72,
2020,8,30,"1,444","1,085",146,91,71,51,
2020,8,40,"1,397",994,179,89,49,86,
2020,8,50,"1,893","1,052",370,188,123,160,
2020,8,60,"1,760",918,360,193,144,145,
2020,8,70,881,400,200,121,70,90,
2020,8,80,378,178,83,50,34,33,
2020,8,90,37,18,8,7,2,2,
2020,8,100,6,5,1,0,0,0,
2020,9,총,"11,814","7,309","1,833","1,163",798,711,
2020,9,0,901,748,64,37,26,26,
2020,9,10,"1,057",825,100,45,39,48,
2020,9,20,"2,067","1,096",317,340,242,72,
2020,9,30,"1,436","1,077",146,93,69,51,
2020,9,40,"1,392",989,183,87,49,84,
2020,9,50,"1,890","1,050",369,188,124,159,
2020,9,60,"1,766",921,363,194,143,145,
2020,9,70,881,399,201,122,69,90,
2020,9,80,380,181,80,50,35,34,
2020,9,90,38,18,9,7,2,2,
2020,9,100,6,5,1,0,0,0,
2020,10,총,"11,793","7,309","1,839","1,159",777,709,
2020,10,0,890,738,63,37,26,26,
2020,10,10,"1,048",821,99,43,38,47,
2020,10,20,"2,065","1,100",326,337,228,74,
2020,10,30,"1,428","1,076",143,91,68,50,
2020,10,40,"1,394",992,181,90,47,84,
2020,10,50,"1,886","1,053",372,186,119,156,
2020,10,60,"1,772",921,362,196,145,148,
2020,10,70,883,404,202,121,67,89,
2020,10,80,383,180,81,52,37,33,
2020,10,90,38,19,9,6,2,2,
2020,10,100,6,5,1,0,0,0,
2020,11,총,"11,867","7,337","1,849","1,169",800,712,
2020,11,0,871,728,60,36,21,26,
2020,11,10,"1,051",821,99,43,40,48,
2020,11,20,"2,130","1,128",332,341,256,73,
2020,11,30,"1,428","1,072",148,94,65,49,
2020,11,40,"1,400",999,180,90,47,84,
2020,11,50,"1,889","1,049",378,185,119,158,
2020,11,60,"1,787",933,359,200,146,149,
2020,11,70,879,401,201,120,66,91,
2020,11,80,389,183,82,53,38,33,
2020,11,90,37,18,9,7,2,1,
2020,11,100,6,5,1,0,0,0,
2020,12,총,"11,829","7,295","1,858","1,164",803,709,
2020,12,0,861,719,62,32,22,26,
2020,12,10,"1,035",804,100,46,38,47,
2020,12,20,"2,132","1,127",335,339,259,72,
2020,12,30,"1,415","1,063",147,91,66,48,
2020,12,40,"1,396",992,180,93,47,84,
2020,12,50,"1,887","1,045",378,186,119,159,
2020,12,60,"1,788",933,360,199,146,150,
2020,12,70,873,402,200,118,64,89,
2020,12,80,398,186,86,53,40,33,
2020,12,90,38,19,9,7,2,1,
2020,12,100,6,5,1,0,0,0,
2021,1,총,"11,759","7,234",0,"1,156",797,713,"1,859"
2021,1,0,850,711,0,32,20,26,61
2021,1,10,"1,005",778,0,43,36,49,99
2021,1,20,"2,113","1,114",0,334,256,70,339
2021,1,30,"1,402","1,045",0,92,67,49,149
2021,1,40,"1,388",988,0,89,48,87,176
2021,1,50,"1,882","1,048",0,188,117,159,370
2021,1,60,"1,799",934,0,199,147,150,369
2021,1,70,874,401,0,117,65,90,201
2021,1,80,400,189,0,55,39,32,85
2021,1,90,40,21,0,7,2,1,9
2021,1,100,6,5,0,0,0,0,1
2021,2,총,"11,748","7,178",,"1,189",793,712,"1,876"
2021,2,0,870,712,,48,21,25,64
2021,2,10,983,762,,43,33,48,97
2021,2,20,"2,105","1,078",,348,255,75,349
2021,2,30,"1,414","1,051",,96,66,48,153
2021,2,40,"1,364",969,,90,44,84,177
2021,2,50,"1,876","1,047",,185,122,157,365
2021,2,60,"1,811",938,,200,147,153,373
2021,2,70,872,404,,118,63,89,198
2021,2,80,405,190,,53,40,32,90
2021,2,90,42,22,,8,2,1,9
2021,2,100,6,5,,0,0,0,1
2021,3,총,"11,748","7,182",,"1,190",787,714,"1,875"
2021,3,0,863,703,,50,20,24,66
2021,3,10,"1,012",792,,43,31,50,96
2021,3,20,"2,078","1,064",,345,252,73,344
2021,3,30,"1,422","1,045",,104,67,49,157
2021,3,40,"1,349",956,,88,45,85,175
2021,3,50,"1,865","1,042",,182,120,157,364
2021,3,60,"1,835",960,,199,147,153,376
2021,3,70,870,403,,117,63,90,197
2021,3,80,408,191,,54,40,32,91
2021,3,90,40,21,,8,2,1,8
2021,3,100,6,5,,0,0,0,1
2021,4,총,"11,701","7,148",,"1,203",781,707,"1,862"
2021,4,0,840,685,,54,20,20,61
2021,4,10,"1,022",798,,44,32,50,98
2021,4,20,"2,052","1,057",,341,248,69,337
2021,4,30,"1,395","1,017",,110,63,48,157
2021,4,40,"1,347",959,,88,47,85,168
2021,4,50,"1,860","1,047",,182,115,157,359
2021,4,60,"1,866",971,,203,152,155,385
2021,4,70,863,397,,119,62,90,195
2021,4,80,412,193,,54,40,32,93
2021,4,90,38,19,,8,2,1,8
2021,4,100,6,5,,0,0,0,1
2021,5,총,"11,679","7,142",,"1,196",776,704,"1,861"
2021,5,0,849,693,,56,19,19,62
2021,5,10,"1,021",799,,42,33,51,96
2021,5,20,"2,016","1,041",,330,245,67,333
2021,5,30,"1,400","1,017",,113,62,48,160
2021,5,40,"1,339",957,,85,48,83,166
2021,5,50,"1,851","1,045",,186,113,155,352
2021,5,60,"1,880",974,,205,151,157,393
2021,5,70,863,398,,118,63,88,196
2021,5,80,417,194,,54,40,35,94
2021,5,90,38,20,,7,2,1,8
2021,5,100,5,4,,0,0,0,1
2021,6,총,"11,620","7,119",,"1,177",771,702,"1,851"
2021,6,0,853,699,,56,20,18,60
2021,6,10,"1,009",787,,41,33,50,98
2021,6,20,"1,977","1,025",,320,238,68,326
2021,6,30,"1,401","1,018",,111,64,47,161
2021,6,40,"1,329",955,,82,47,82,163
2021,6,50,"1,838","1,046",,181,110,153,348
2021,6,60,"1,896",975,,208,155,160,398
2021,6,70,856,398,,117,63,86,192
2021,6,80,417,192,,54,39,37,95
2021,6,90,39,20,,7,2,1,9
2021,6,100,5,4,,0,0,0,1
2021,7,총,"11,584","7,103",,"1,153",759,700,"1,869"
2021,7,0,849,698,,53,21,18,59
2021,7,10,"1,006",785,,42,31,49,99
2021,7,20,"1,937","1,015",,299,225,68,330
2021,7,30,"1,404","1,015",,111,63,48,167
2021,7,40,"1,327",950,,82,46,82,167
2021,7,50,"1,823","1,039",,181,110,148,345
2021,7,60,"1,913",983,,206,157,165,402
2021,7,70,860,400,,115,65,85,195
2021,7,80,419,193,,57,38,36,95
2021,7,90,41,21,,7,3,1,9
2021,7,100,5,4,,0,0,0,1
2021,8,총,"11,565","7,099",,"1,145",758,694,"1,869"
2021,8,0,848,698,,53,21,18,58
2021,8,10,"1,009",785,,43,32,48,101
2021,8,20,"1,908",997,,290,223,65,333
2021,8,30,"1,404","1,017",,111,63,46,167
2021,8,40,"1,323",948,,84,45,82,164
2021,8,50,"1,821","1,043",,180,108,146,344
2021,8,60,"1,921",986,,209,159,167,400
2021,8,70,863,405,,113,65,85,195
2021,8,80,421,195,,55,39,35,97
2021,8,90,42,21,,7,3,2,9
2021,8,100,5,4,,0,0,0,1
2021,9,총,"11,554","7,079",,"1,145",751,693,"1,886"
2021,9,0,847,700,,53,20,17,57
2021,9,10,998,778,,42,32,46,100
2021,9,20,"1,899",986,,284,219,64,346
2021,9,30,"1,398","1,011",,113,63,46,165
2021,9,40,"1,316",944,,81,44,80,167
2021,9,50,"1,817","1,041",,181,105,145,345
2021,9,60,"1,948",993,,215,163,173,404
2021,9,70,861,406,,113,62,85,195
2021,9,80,422,195,,56,39,35,97
2021,9,90,42,20,,7,4,2,9
2021,9,100,6,5,,0,0,0,1
2021,10,총,"11,540","7,068",,"1,143",746,689,"1,894"
2021,10,0,842,696,,51,20,17,58
2021,10,10,997,774,,47,31,45,100
2021,10,20,"1,891",984,,276,218,62,351
2021,10,30,"1,399","1,012",,115,62,48,162
2021,10,40,"1,312",941,,81,44,79,167
2021,10,50,"1,820","1,045",,183,104,145,343
2021,10,60,"1,948",991,,216,162,170,409
