년도,월,나이,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 학온동,경기도 광명시 일직동
2020,3,총,"316,220","6,917","9,159","9,827","14,206","14,745","11,043","17,145","13,012","13,372","33,226","13,678","26,674","14,402","21,138","12,899","32,339","50,144","2,294",
2020,3,0,"25,366",329,373,422,735,937,947,982,"1,141",548,"3,110","1,112","2,579","1,104","1,651","1,139","3,245","4,938",74,
2020,3,10,"32,484",556,652,604,955,"1,361","1,137","1,614","1,588",974,"4,260","1,263","3,293","1,224","2,027","1,561","4,311","5,002",102,
2020,3,20,"40,986",966,"1,285","1,359","1,892","1,855","1,338","2,410","1,708","2,163","4,239","1,715","3,231","1,748","2,541","1,661","3,719","6,942",214,
2020,3,30,"44,887",896,"1,071","1,234","2,052","1,877","1,400","2,075","1,735","1,841","4,127","2,422","3,193","2,700","3,126","2,137","4,209","8,551",241,
2020,3,40,"54,770","1,027","1,318","1,445","2,017","2,446","1,861","2,587","2,479","1,948","6,215","2,411","5,135","2,535","3,659","2,518","6,293","8,629",247,
2020,3,50,"52,552","1,311","1,756","1,885","2,476","2,572","1,870","3,112","2,164","2,798","5,484","2,192","4,461","2,164","3,303","1,942","4,834","7,767",461,
2020,3,60,"37,898","1,019","1,513","1,570","2,338","2,077","1,451","2,588","1,301","1,931","3,541","1,521","2,897","1,541","2,477","1,141","3,478","5,014",500,
2020,3,70,"18,356",550,841,925,"1,239","1,120",728,"1,225",619,768,"1,487",749,"1,259",815,"1,474",498,"1,509","2,287",263,
2020,3,80,"7,670",230,310,335,419,440,263,483,230,342,655,266,530,487,764,268,608,872,168,
2020,3,90,"1,112",30,36,44,65,54,41,62,45,50,100,26,88,71,108,33,116,126,17,
2020,3,100,139,3,4,4,18,6,7,7,2,9,8,1,8,13,8,1,17,16,7,
2020,4,총,"315,745","6,591","8,703","9,817","14,223","14,748","11,024","17,143","12,948","13,298","33,119","13,699","26,670","14,393","21,110","12,895","32,332","50,755","2,277",
2020,4,0,"25,226",312,359,420,723,937,940,980,"1,124",542,"3,067","1,110","2,544","1,096","1,650","1,146","3,225","4,979",72,
2020,4,10,"32,333",509,606,604,962,"1,340","1,147","1,616","1,584",964,"4,241","1,268","3,282","1,206","2,013","1,552","4,324","5,013",102,
2020,4,20,"40,981",915,"1,211","1,343","1,894","1,867","1,332","2,408","1,699","2,145","4,252","1,720","3,248","1,757","2,527","1,654","3,726","7,073",210,
2020,4,30,"44,766",867,"1,018","1,231","2,031","1,885","1,381","2,061","1,727","1,829","4,089","2,421","3,171","2,699","3,113","2,155","4,190","8,657",241,
2020,4,40,"54,610",962,"1,249","1,433","2,024","2,424","1,868","2,597","2,450","1,940","6,178","2,420","5,129","2,535","3,651","2,496","6,295","8,713",246,
2020,4,50,"52,484","1,262","1,665","1,885","2,491","2,561","1,862","3,119","2,157","2,757","5,498","2,186","4,472","2,160","3,295","1,948","4,831","7,883",452,
2020,4,60,"37,969",973,"1,445","1,581","2,347","2,102","1,450","2,582","1,302","1,947","3,544","1,530","2,925","1,545","2,487","1,135","3,486","5,086",502,
2020,4,70,"18,417",533,810,934,"1,243","1,126",729,"1,228",622,769,"1,490",752,"1,276",819,"1,489",507,"1,512","2,316",262,
2020,4,80,"7,693",225,300,338,425,444,266,481,236,346,651,264,528,490,765,269,609,891,165,
2020,4,90,"1,127",30,36,44,65,56,42,63,45,51,101,27,86,73,112,32,117,129,18,
2020,4,100,139,3,4,4,18,6,7,8,2,8,8,1,9,13,8,1,17,15,7,
2020,5,총,"314,413","6,023","8,031","9,807","14,251","14,727","10,997","17,118","12,899","13,154","33,088","13,671","26,686","14,351","21,069","12,896","32,368","51,011","2,266",
2020,5,0,"25,071",292,332,417,723,922,932,977,"1,117",527,"3,043","1,105","2,541","1,081","1,637","1,139","3,223","4,992",71,
2020,5,10,"32,134",449,544,593,962,"1,329","1,145","1,621","1,582",939,"4,225","1,259","3,275","1,183","2,003","1,553","4,322","5,049",101,
2020,5,20,"40,742",823,"1,109","1,334","1,893","1,871","1,327","2,407","1,684","2,124","4,239","1,719","3,266","1,764","2,528","1,652","3,732","7,061",209,
2020,5,30,"44,448",788,942,"1,217","2,036","1,869","1,373","2,051","1,728","1,782","4,069","2,413","3,151","2,667","3,090","2,155","4,178","8,701",238,
2020,5,40,"54,232",871,"1,126","1,429","2,031","2,408","1,856","2,587","2,425","1,914","6,168","2,394","5,123","2,515","3,630","2,476","6,301","8,738",240,
