년도,월,나이,경기도 안성시,경기도 안성시 공도읍,경기도 안성시 보개면,경기도 안성시 금광면,경기도 안성시 서운면,경기도 안성시 미양면,경기도 안성시 대덕면,경기도 안성시 양성면,경기도 안성시 원곡면,경기도 안성시 일죽면,경기도 안성시 죽산면,경기도 안성시 삼죽면,경기도 안성시 고삼면,경기도 안성시 안성1동,경기도 안성시 안성2동,경기도 안성시 안성3동
2020,1,총,"89,120","28,637","2,593","3,813","1,627","2,603","6,874","2,471","2,761","3,633","3,229","1,665",923,"6,299","11,071","10,921"
2020,1,0,"7,219","3,154",88,218,37,105,732,76,194,163,132,39,19,388,"1,015",859
2020,1,10,"8,755","3,628",136,348,72,138,534,152,172,198,201,116,43,550,"1,237","1,230"
2020,1,20,"9,674","3,016",221,343,123,200,838,185,304,297,284,172,79,756,"1,412","1,444"
2020,1,30,"10,769","4,192",164,356,112,199,"1,218",148,360,256,238,100,57,660,"1,464","1,245"
2020,1,40,"13,985","5,714",236,529,150,263,978,234,350,357,343,133,79,860,"1,910","1,849"
2020,1,50,"14,549","3,960",487,661,313,506,"1,008",465,541,672,636,315,183,"1,136","1,753","1,913"
2020,1,60,"11,489","2,549",523,618,356,508,799,510,403,769,605,351,212,949,"1,165","1,172"
2020,1,70,"7,252","1,503",402,402,251,359,456,331,248,499,442,248,131,580,669,731
2020,1,80,"4,645",805,279,290,185,280,262,290,163,358,313,171,102,353,389,405
2020,1,90,744,111,53,46,27,42,46,77,24,62,32,19,17,62,56,70
2020,1,100,39,5,4,2,1,3,3,3,2,2,3,1,1,5,1,3
2020,2,총,"89,128","28,611","2,587","3,790","1,624","2,593","6,848","2,476","2,771","3,634","3,225","1,654",923,"6,284","11,134","10,974"
2020,2,0,"7,174","3,121",85,213,37,104,725,76,197,158,132,39,19,381,"1,023",864
2020,2,10,"8,726","3,615",136,342,70,138,534,147,173,201,195,106,41,553,"1,235","1,240"
2020,2,20,"9,647","3,014",215,337,121,192,838,182,306,296,287,168,80,753,"1,405","1,453"
2020,2,30,"10,711","4,154",163,357,111,198,"1,193",154,360,260,233,99,58,659,"1,472","1,240"
2020,2,40,"13,988","5,719",231,528,148,264,980,232,349,354,338,137,79,848,"1,914","1,867"
2020,2,50,"14,574","3,974",494,651,308,498,"1,007",461,544,672,636,311,179,"1,138","1,782","1,919"
2020,2,60,"11,585","2,575",525,625,363,511,801,520,406,772,610,350,215,954,"1,180","1,178"
2020,2,70,"7,251","1,510",399,399,247,363,455,335,246,496,438,251,130,579,672,731
2020,2,80,"4,682",815,283,288,191,277,264,289,164,360,320,173,103,352,394,409
2020,2,90,746,108,51,48,27,44,48,77,24,62,32,19,18,62,56,70
2020,2,100,44,6,5,2,1,4,3,3,2,3,4,1,1,5,1,3
2020,3,총,"89,270","28,647","2,599","3,776","1,622","2,591","6,955","2,479","2,758","3,625","3,219","1,650",931,"6,286","11,144","10,988"
2020,3,0,"7,131","3,102",86,216,37,108,711,73,191,156,131,40,20,381,"1,028",851
2020,3,10,"8,765","3,601",133,336,67,137,608,146,171,201,194,98,42,557,"1,216","1,258"
2020,3,20,"9,767","3,049",227,337,119,190,892,188,307,296,290,172,81,746,"1,427","1,446"
2020,3,30,"10,643","4,135",162,355,111,194,"1,177",154,350,260,229,100,60,656,"1,462","1,238"
2020,3,40,"13,970","5,725",234,523,147,263,980,232,341,349,338,131,79,846,"1,909","1,873"
2020,3,50,"14,568","3,981",492,648,310,498,"1,000",462,547,665,625,314,181,"1,136","1,784","1,925"
2020,3,60,"11,667","2,601",526,628,359,516,812,524,410,773,618,350,215,958,"1,191","1,186"
2020,3,70,"7,262","1,517",398,396,252,359,453,332,247,498,439,250,130,587,672,732
2020,3,80,"4,703",822,286,285,191,277,270,289,167,359,320,176,103,352,399,407
2020,3,90,750,109,50,50,28,45,49,76,25,64,31,18,19,62,55,69
2020,3,100,44,5,5,2,1,4,3,3,2,4,4,1,1,5,1,3
2020,4,총,"89,430","28,725","2,589","3,777","1,627","2,586","6,952","2,481","2,769","3,631","3,226","1,641",933,"6,287","11,198","11,008"
2020,4,0,"7,093","3,091",84,214,35,107,711,71,188,153,131,41,21,384,"1,026",836
2020,4,10,"8,722","3,594",133,334,67,135,605,144,172,205,192,97,41,545,"1,213","1,245"
2020,4,20,"9,847","3,097",225,335,119,192,890,188,303,297,297,171,81,745,"1,442","1,465"
2020,4,30,"10,620","4,106",164,347,112,193,"1,161",156,349,255,228,99,61,656,"1,485","1,248"
2020,4,40,"13,972","5,752",230,523,146,257,979,232,340,347,335,135,76,845,"1,911","1,864"
2020,4,50,"14,609","3,998",489,651,318,501,"1,012",456,554,667,628,304,182,"1,130","1,788","1,931"
2020,4,60,"11,768","2,615",524,632,354,519,820,537,418,783,620,350,216,970,"1,207","1,203"
2020,4,70,"7,276","1,530",397,394,257,358,453,331,249,495,443,249,131,589,669,731
2020,4,80,"4,727",827,288,294,191,276,270,287,169,361,317,175,105,355,400,412
2020,4,90,752,110,50,51,27,44,48,76,25,64,31,19,18,63,56,70
2020,4,100,44,5,5,2,1,4,3,3,2,4,4,1,1,5,1,3
2020,5,총,"89,740","28,783","2,587","3,784","1,620","2,599","6,968","2,491","2,761","3,640","3,227","1,786",939,"6,283","11,246","11,026"
