년도,월,나이,부안군,부안읍,주산면,동진면,행안면,계화면,보안면,변산면,진서면,백산면,상서면,하서면,줄포면,위도면
2020,1,총,"26,409","10,167",985,"1,566","1,224","1,820","1,247","2,357","1,235","1,310","1,125","1,406","1,348",619
2020,1,0,"1,437",883,22,58,45,53,28,124,52,27,41,43,48,13
2020,1,10,"2,085","1,267",43,67,77,80,50,162,78,50,53,68,74,16
2020,1,20,"2,481","1,164",70,133,113,132,85,213,96,97,87,114,134,43
2020,1,30,"2,267","1,009",69,110,124,166,76,223,94,88,87,97,77,47
2020,1,40,"3,596","1,539",108,203,170,248,130,354,139,155,127,168,176,79
2020,1,50,"4,972","1,723",192,309,237,339,258,484,231,258,251,282,271,137
2020,1,60,"4,668","1,378",223,294,224,356,288,416,288,264,230,284,270,153
2020,1,70,"3,288",826,157,247,153,318,214,286,188,219,169,213,211,87
2020,1,80,"1,485",351,94,134,71,120,109,88,61,138,75,124,80,40
2020,1,90,125,26,7,11,10,8,9,7,7,14,3,13,6,4
2020,1,100,5,1,0,0,0,0,0,0,1,0,2,0,1,0
2020,2,총,"26,321","10,132",980,"1,552","1,218","1,825","1,240","2,346","1,222","1,312","1,119","1,403","1,340",632
2020,2,0,"1,414",867,23,56,42,54,29,121,49,27,43,41,48,14
2020,2,10,"2,061","1,258",43,62,73,80,48,161,77,48,52,70,72,17
2020,2,20,"2,462","1,158",67,133,110,133,83,211,94,96,85,112,135,45
2020,2,30,"2,239","1,001",70,111,125,164,75,219,88,88,85,96,72,45
2020,2,40,"3,585","1,541",108,198,168,250,129,350,138,159,120,169,175,80
2020,2,50,"4,969","1,713",190,308,241,338,258,481,230,257,253,282,271,147
2020,2,60,"4,682","1,389",221,294,225,356,289,420,288,265,234,281,269,151
2020,2,70,"3,295",829,158,248,153,322,211,286,188,221,165,215,211,88
2020,2,80,"1,486",350,93,130,71,120,110,90,62,138,77,125,79,41
2020,2,90,123,25,7,12,10,8,8,7,7,13,3,12,7,4
2020,2,100,5,1,0,0,0,0,0,0,1,0,2,0,1,0
2020,3,총,"26,217","10,126",968,"1,532","1,216","1,825","1,239","2,329","1,206","1,308","1,118","1,392","1,330",628
2020,3,0,"1,404",858,23,54,44,54,29,122,48,27,44,41,47,13
2020,3,10,"2,041","1,244",42,61,76,80,49,157,74,48,53,69,72,16
2020,3,20,"2,444","1,165",65,128,108,134,84,207,89,93,85,113,130,43
2020,3,30,"2,221",994,71,108,125,164,73,214,88,86,85,96,68,49
2020,3,40,"3,564","1,538",108,195,164,249,131,350,133,159,119,165,174,79
2020,3,50,"4,929","1,713",187,304,239,331,257,473,232,258,249,273,268,145
2020,3,60,"4,708","1,397",219,294,228,363,285,425,283,263,237,290,271,153
2020,3,70,"3,299",840,157,245,152,323,211,283,190,220,166,213,213,86
2020,3,80,"1,479",351,90,131,69,118,112,91,61,141,75,121,79,40
2020,3,90,123,25,6,12,11,9,8,7,7,13,3,11,7,4
2020,3,100,5,1,0,0,0,0,0,0,1,0,2,0,1,0
2020,4,총,"26,157","10,123",962,"1,525","1,209","1,818","1,232","2,328","1,208","1,297","1,122","1,385","1,322",626
2020,4,0,"1,396",857,24,55,43,55,26,121,48,25,42,39,47,14
