년도,월,나이,경상남도 함양군,경상남도 함양군 함양읍,경상남도 함양군 마천면,경상남도 함양군 휴천면,경상남도 함양군 유림면,경상남도 함양군 수동면,경상남도 함양군 지곡면,경상남도 함양군 안의면,경상남도 함양군 서하면,경상남도 함양군 서상면,경상남도 함양군 백전면,경상남도 함양군 병곡면
2020,3,총,"18,991","9,012","1,042",802,780,"1,192","1,005","2,179",697,869,765,648
2020,3,0,980,702,20,18,10,38,31,76,15,27,26,17
2020,3,10,"1,570","1,009",56,34,32,73,52,136,31,52,43,52
2020,3,20,"1,851","1,094",70,42,65,123,75,160,55,66,46,55
2020,3,30,"1,409",837,51,40,45,86,66,142,33,44,38,27
2020,3,40,"2,508","1,394",116,98,66,139,106,278,62,99,76,74
2020,3,50,"3,713","1,685",253,202,151,220,191,388,138,173,158,154
2020,3,60,"3,452","1,216",249,177,179,260,227,452,188,189,180,135
2020,3,70,"2,259",737,148,120,164,153,165,327,100,144,124,77
2020,3,80,"1,128",315,72,66,58,89,84,195,69,65,65,50
2020,3,90,114,22,7,5,9,11,8,22,6,8,9,7
2020,3,100,7,1,0,0,1,0,0,3,0,2,0,0
2020,4,총,"18,986","9,007","1,037",799,776,"1,188","1,004","2,193",692,870,769,651
2020,4,0,973,695,20,18,9,40,32,74,14,29,25,17
2020,4,10,"1,556",996,58,37,31,70,51,136,31,52,43,51
2020,4,20,"1,857","1,106",67,39,62,123,74,163,51,66,48,58
2020,4,30,"1,412",843,49,40,43,87,62,146,33,44,38,27
2020,4,40,"2,476","1,373",115,95,66,130,109,277,62,98,76,75
2020,4,50,"3,722","1,697",252,200,151,222,190,391,140,173,155,151
2020,4,60,"3,466","1,215",249,179,180,260,229,459,185,190,185,135
2020,4,70,"2,267",741,148,120,162,155,164,329,100,145,124,79
2020,4,80,"1,135",317,72,67,62,90,85,191,71,63,66,51
2020,4,90,115,23,7,4,9,11,8,24,5,8,9,7
2020,4,100,7,1,0,0,1,0,0,3,0,2,0,0
2020,5,총,"18,973","9,009","1,039",806,776,"1,181","1,001","2,185",696,867,766,647
2020,5,0,972,697,22,18,7,40,31,72,15,29,25,16
2020,5,10,"1,552","1,000",57,37,32,69,50,133,32,52,40,50
2020,5,20,"1,840","1,093",63,41,61,121,74,160,52,66,50,59
2020,5,30,"1,414",842,52,41,44,86,63,142,35,43,38,28
2020,5,40,"2,460","1,366",114,96,66,130,106,279,62,94,76,71
2020,5,50,"3,713","1,707",251,195,152,221,187,386,140,172,151,151
2020,5,60,"3,492","1,220",251,181,178,260,231,468,186,193,188,136
2020,5,70,"2,269",742,148,125,164,154,166,325,97,144,124,80
2020,5,80,"1,140",318,74,67,62,89,85,194,73,64,65,49
2020,5,90,114,23,7,5,9,11,8,23,4,8,9,7
2020,5,100,7,1,0,0,1,0,0,3,0,2,0,0
2020,6,총,"18,943","8,984","1,041",807,775,"1,183","1,001","2,179",693,864,766,650
2020,6,0,959,684,21,19,5,39,34,71,17,28,25,16
2020,6,10,"1,552","1,000",58,38,33,69,50,135,30,49,41,49
2020,6,20,"1,821","1,078",63,39,61,119,74,156,54,68,51,58
2020,6,30,"1,414",841,54,41,43,89,62,141,35,44,36,28
2020,6,40,"2,463","1,378",111,95,66,131,103,278,60,92,76,73
2020,6,50,"3,684","1,695",252,194,151,219,188,381,138,169,145,152
2020,6,60,"3,521","1,230",250,185,179,265,231,470,185,196,194,136
2020,6,70,"2,266",734,151,125,165,152,165,326,97,145,124,82
2020,6,80,"1,142",319,74,67,62,89,86,195,73,63,65,49
2020,6,90,114,24,7,4,9,11,8,23,4,8,9,7
2020,6,100,7,1,0,0,1,0,0,3,0,2,0,0
2020,7,총,"18,927","8,959","1,039",807,787,"1,183",999,"2,176",691,868,770,648
2020,7,0,947,675,19,19,7,39,33,70,17,27,25,16
2020,7,10,"1,555","1,002",57,38,33,69,50,137,30,50,40,49
2020,7,20,"1,807","1,069",62,39,63,118,74,152,55,68,51,56
2020,7,30,"1,402",834,54,40,43,90,64,133,34,47,36,27
2020,7,40,"2,462","1,371",109,94,70,132,104,280,60,93,77,72
2020,7,50,"3,686","1,696",256,193,151,218,187,378,138,167,147,155
2020,7,60,"3,540","1,236",250,187,182,263,231,480,184,196,196,135
2020,7,70,"2,261",736,148,123,165,154,163,321,97,148,123,83
2020,7,80,"1,146",313,77,70,64,89,85,198,72,63,66,49
2020,7,90,114,26,7,4,8,11,8,24,4,7,9,6
2020,7,100,7,1,0,0,1,0,0,3,0,2,0,0
2020,8,총,"18,905","8,966","1,032",805,782,"1,185","1,000","2,166",690,864,765,650
2020,8,0,942,677,19,20,7,35,33,68,17,26,23,17
2020,8,10,"1,554","1,003",56,38,33,73,50,135,29,49,40,48
2020,8,20,"1,788","1,058",62,40,61,117,73,151,54,64,52,56
2020,8,30,"1,399",832,51,39,45,89,66,132,35,46,36,28
2020,8,40,"2,453","1,371",110,95,68,135,101,273,60,94,77,69
2020,8,50,"3,694","1,697",255,193,149,220,189,382,143,163,145,158
2020,8,60,"3,554","1,247",251,183,181,264,232,479,180,203,198,136
2020,8,70,"2,256",737,147,123,164,152,162,322,97,147,122,83
2020,8,80,"1,143",316,75,70,65,88,86,199,70,62,63,49
2020,8,90,115,27,6,4,8,12,8,22,5,8,9,6
2020,8,100,7,1,0,0,1,0,0,3,0,2,0,0
