년도,월,나이,경기도 안성시,경기도 안성시 공도읍,경기도 안성시 보개면,경기도 안성시 금광면,경기도 안성시 서운면,경기도 안성시 미양면,경기도 안성시 대덕면,경기도 안성시 양성면,경기도 안성시 원곡면,경기도 안성시 일죽면,경기도 안성시 죽산면,경기도 안성시 삼죽면,경기도 안성시 고삼면,경기도 안성시 안성1동,경기도 안성시 안성2동,경기도 안성시 안성3동
2020,1,총,"183,369","57,552","5,497","7,606","3,439","5,670","15,493","5,213","6,108","7,571","6,865","3,530","1,924","12,675","22,289","21,937"
2020,1,0,"14,815","6,348",190,486,93,231,"1,557",152,409,322,253,97,48,772,"2,097","1,760"
2020,1,10,"18,195","7,526",322,696,169,290,"1,086",285,359,434,410,220,90,"1,119","2,584","2,605"
2020,1,20,"21,505","6,387",531,753,316,534,"2,008",463,746,659,692,394,184,"1,637","2,999","3,202"
2020,1,30,"23,485","8,625",444,720,257,531,"2,874",390,888,654,566,287,142,"1,454","3,016","2,637"
2020,1,40,"29,968","11,692",587,"1,127",368,714,"2,525",583,887,852,825,354,194,"1,797","3,933","3,530"
2020,1,50,"30,812","8,168","1,081","1,349",714,"1,086","2,385","1,087","1,176","1,467","1,438",674,382,"2,308","3,591","3,906"
2020,1,60,"23,169","4,795","1,109","1,278",726,"1,109","1,685","1,086",872,"1,571","1,304",737,437,"1,864","2,275","2,321"
2020,1,70,"13,227","2,645",729,696,462,686,879,638,481,963,833,467,260,"1,066","1,163","1,259"
2020,1,80,"7,210","1,219",438,443,298,433,433,434,252,565,497,278,164,569,559,628
2020,1,90,932,141,62,55,34,52,57,92,35,80,44,21,22,81,70,86
2020,1,100,51,6,4,3,2,4,4,3,3,4,3,1,1,8,2,3
2020,2,총,"183,444","57,577","5,481","7,568","3,426","5,641","15,445","5,232","6,118","7,565","6,854","3,514","1,920","12,640","22,439","22,024"
2020,2,0,"14,740","6,290",182,477,93,230,"1,553",151,416,315,253,95,49,761,"2,102","1,773"
2020,2,10,"18,107","7,495",321,687,162,290,"1,069",281,356,438,399,210,84,"1,115","2,583","2,617"
2020,2,20,"21,468","6,390",519,734,308,526,"1,998",477,752,654,692,386,189,"1,618","3,016","3,209"
2020,2,30,"23,409","8,601",442,721,259,527,"2,823",398,882,654,562,282,139,"1,450","3,025","2,644"
2020,2,40,"29,990","11,706",576,"1,126",365,704,"2,535",573,884,855,813,358,193,"1,792","3,951","3,559"
2020,2,50,"30,873","8,205","1,097","1,338",705,"1,075","2,390","1,084","1,184","1,455","1,446",667,378,"2,304","3,646","3,899"
2020,2,60,"23,362","4,849","1,114","1,284",734,"1,112","1,700","1,097",873,"1,580","1,311",740,438,"1,875","2,309","2,346"
2020,2,70,"13,233","2,668",723,699,454,685,879,644,478,959,825,474,259,"1,065","1,167","1,254"
2020,2,80,"7,270","1,225",442,442,310,433,436,433,255,571,505,280,167,572,566,633
2020,2,90,936,141,60,57,34,54,58,91,35,79,44,21,23,80,72,87
2020,2,100,56,7,5,3,2,5,4,3,3,5,4,1,1,8,2,3
2020,3,총,"183,751","57,664","5,494","7,570","3,411","5,647","15,612","5,239","6,131","7,560","6,843","3,506","1,930","12,616","22,495","22,033"
2020,3,0,"14,642","6,262",182,484,95,238,"1,527",147,411,313,244,94,50,752,"2,098","1,745"
2020,3,10,"18,160","7,475",315,678,154,287,"1,195",279,353,437,396,200,85,"1,117","2,561","2,628"
2020,3,20,"21,688","6,449",537,732,306,519,"2,076",482,766,658,689,389,186,"1,616","3,070","3,213"
2020,3,30,"23,318","8,570",437,722,256,528,"2,794",399,872,651,564,289,144,"1,437","3,018","2,637"
2020,3,40,"29,965","11,712",586,"1,122",362,701,"2,532",568,877,850,819,347,193,"1,782","3,950","3,564"
2020,3,50,"30,871","8,233","1,086","1,340",699,"1,070","2,380","1,080","1,184","1,444","1,433",668,383,"2,294","3,662","3,915"
2020,3,60,"23,534","4,886","1,121","1,298",732,"1,124","1,723","1,113",892,"1,586","1,320",739,436,"1,886","2,322","2,356"
2020,3,70,"13,281","2,697",719,693,462,688,880,644,475,967,822,475,260,"1,077","1,165","1,257"
2020,3,80,"7,294","1,232",447,438,307,432,441,433,261,568,509,284,168,569,575,630
2020,3,90,943,142,59,60,36,55,60,91,37,80,43,20,24,79,72,85
2020,3,100,55,6,5,3,2,5,4,3,3,6,4,1,1,7,2,3
2020,4,총,"184,211","57,853","5,487","7,578","3,421","5,634","15,617","5,238","6,172","7,573","6,870","3,505","1,937","12,633","22,608","22,085"
2020,4,0,"14,584","6,218",182,477,94,236,"1,525",148,414,307,244,95,51,750,"2,119","1,724"
