년도,월,나이,경상남도 거창군,경상남도 거창군 거창읍,경상남도 거창군 주상면,경상남도 거창군 웅양면,경상남도 거창군 고제면,경상남도 거창군 북상면,경상남도 거창군 위천면,경상남도 거창군 마리면,경상남도 거창군 남상면,경상남도 거창군 남하면,경상남도 거창군 신원면,경상남도 거창군 가조면,경상남도 거창군 가북면
2020,1,총,"62,049","41,037","1,565","1,919","1,477","1,559","2,012","2,010","2,416","1,435","1,476","3,768","1,375"
2020,1,0,"3,961","3,468",28,44,45,29,59,45,68,27,29,96,23
2020,1,10,"5,830","4,912",62,100,59,61,125,91,89,51,41,194,45
2020,1,20,"6,086","4,805",96,131,92,86,130,133,162,86,60,244,61
2020,1,30,"5,266","4,309",60,91,59,63,101,96,141,68,40,193,45
2020,1,40,"8,030","6,315",116,179,116,140,185,167,190,105,102,320,95
2020,1,50,"10,741","6,934",280,342,337,288,361,348,430,239,236,690,256
2020,1,60,"9,584","5,161",346,356,318,320,413,435,498,321,337,773,306
2020,1,70,"7,154","3,195",293,376,240,314,334,356,460,264,388,665,269
2020,1,80,"4,713","1,695",248,263,171,225,262,309,319,238,214,527,242
2020,1,90,644,224,36,34,37,32,39,28,57,34,29,64,30
2020,1,100,40,19,0,3,3,1,3,2,2,2,0,2,3
2020,2,총,"61,972","40,990","1,561","1,917","1,468","1,560","2,000","2,013","2,401","1,436","1,476","3,766","1,384"
2020,2,0,"3,932","3,441",27,43,42,31,60,45,67,29,29,94,24
2020,2,10,"5,803","4,894",61,99,57,59,123,93,86,49,40,193,49
2020,2,20,"6,028","4,770",94,130,94,85,126,130,156,86,59,240,58
2020,2,30,"5,246","4,287",61,89,59,67,101,97,139,64,41,195,46
2020,2,40,"8,035","6,334",115,172,116,138,184,167,184,108,100,321,96
2020,2,50,"10,686","6,920",279,344,330,282,358,346,429,237,232,677,252
2020,2,60,"9,667","5,199",351,359,319,325,411,442,504,326,340,782,309
2020,2,70,"7,146","3,203",286,379,238,312,332,353,459,260,387,664,273
2020,2,80,"4,729","1,690",250,265,173,227,262,311,320,242,218,530,241
2020,2,90,659,232,37,34,37,33,39,28,55,33,30,68,33
2020,2,100,41,20,0,3,3,1,4,1,2,2,0,2,3
