년도,월,나이,충청남도 태안군,충청남도 태안군 태안읍,충청남도 태안군 안면읍,충청남도 태안군 고남면,충청남도 태안군 남면,충청남도 태안군 근흥면,충청남도 태안군 소원면,충청남도 태안군 원북면,충청남도 태안군 이원면
2020,3,총,"62,324","29,375","8,676","2,385","4,418","5,394","5,357","4,422","2,297"
2020,3,0,"3,183","2,261",321,59,131,127,112,124,48
2020,3,10,"4,546","2,958",570,132,192,197,213,185,99
2020,3,20,"5,206","2,984",584,119,489,321,257,330,122
2020,3,30,"5,366","3,338",614,128,270,333,278,276,129
2020,3,40,"7,840","4,504","1,056",237,399,504,539,416,185
2020,3,50,"10,905","4,951","1,553",475,773,"1,011",976,786,380
2020,3,60,"11,653","4,123","1,884",523,981,"1,341","1,294",963,544
2020,3,70,"8,588","2,767","1,396",442,721,978,"1,042",796,446
2020,3,80,"4,421","1,313",594,244,406,516,575,471,302
2020,3,90,593,172,93,26,55,63,70,74,40
2020,3,100,23,4,11,0,1,3,1,1,2
2020,4,총,"62,283","29,359","8,666","2,385","4,402","5,405","5,358","4,409","2,299"
2020,4,0,"3,199","2,260",330,63,130,128,115,126,47
2020,4,10,"4,526","2,943",565,132,186,203,210,186,101
2020,4,20,"5,156","2,978",574,115,475,312,257,324,121
2020,4,30,"5,335","3,321",610,126,269,330,278,275,126
2020,4,40,"7,830","4,495","1,057",242,400,502,538,411,185
2020,4,50,"10,880","4,969","1,543",468,770,"1,004",966,779,381
2020,4,60,"11,684","4,127","1,892",524,980,"1,358","1,299",958,546
2020,4,70,"8,617","2,780","1,397",444,723,980,"1,050",798,445
2020,4,80,"4,439","1,312",595,245,413,518,575,476,305
2020,4,90,593,170,92,26,55,67,69,74,40
2020,4,100,24,4,11,0,1,3,1,2,2
2020,5,총,"62,193","29,364","8,638","2,384","4,380","5,385","5,352","4,393","2,297"
2020,5,0,"3,183","2,265",332,65,126,117,113,118,47
2020,5,10,"4,491","2,932",557,131,180,203,203,184,101
2020,5,20,"5,134","2,959",575,114,470,310,259,325,122
2020,5,30,"5,311","3,318",602,128,263,328,269,279,124
2020,5,40,"7,781","4,500","1,040",239,396,493,527,399,187
2020,5,50,"10,869","4,964","1,545",460,761,"1,005",981,770,383
2020,5,60,"11,697","4,130","1,891",530,989,"1,349","1,303",963,542
2020,5,70,"8,662","2,803","1,400",444,727,988,"1,050",806,444
2020,5,80,"4,452","1,318",592,248,413,521,579,476,305
2020,5,90,589,171,93,25,54,68,67,71,40
2020,5,100,24,4,11,0,1,3,1,2,2
2020,6,총,"62,272","29,365","8,670","2,392","4,385","5,377","5,371","4,421","2,291"
2020,6,0,"3,182","2,260",334,67,125,118,114,119,45
2020,6,10,"4,522","2,936",582,131,183,203,201,185,101
2020,6,20,"5,138","2,968",582,108,467,306,262,322,123
2020,6,30,"5,266","3,303",586,133,258,322,260,281,123
2020,6,40,"7,799","4,501","1,054",239,396,492,534,396,187
2020,6,50,"10,846","4,934","1,537",463,769,998,986,779,380
2020,6,60,"11,754","4,155","1,894",528,984,"1,351","1,314",984,544
2020,6,70,"8,690","2,811","1,397",448,738,994,"1,051",807,444
2020,6,80,"4,459","1,324",599,250,411,522,581,471,301
2020,6,90,592,169,94,25,53,68,67,75,41
2020,6,100,24,4,11,0,1,3,1,2,2
2020,7,총,"62,281","29,374","8,659","2,398","4,363","5,386","5,372","4,433","2,296"
2020,7,0,"3,157","2,230",331,67,125,120,111,123,50
2020,7,10,"4,536","2,947",584,134,181,201,202,184,103
2020,7,20,"5,081","2,949",574,105,453,299,262,319,120
2020,7,30,"5,249","3,291",580,134,249,321,261,287,126
2020,7,40,"7,791","4,497","1,046",240,398,490,538,395,187
2020,7,50,"10,888","4,959","1,545",465,774,999,990,775,381
2020,7,60,"11,773","4,154","1,892",535,988,"1,359","1,311",996,538
2020,7,70,"8,727","2,839","1,410",445,731,999,"1,048",806,449
2020,7,80,"4,456","1,331",593,248,408,524,581,473,298
2020,7,90,599,173,93,25,55,71,67,73,42
2020,7,100,24,4,11,0,1,3,1,2,2
2020,8,총,"62,296","29,412","8,695","2,384","4,344","5,389","5,365","4,418","2,289"
2020,8,0,"3,152","2,231",331,66,122,121,108,125,48
2020,8,10,"4,526","2,942",594,132,180,199,198,176,105
2020,8,20,"5,057","2,952",586,101,432,295,262,313,116
2020,8,30,"5,222","3,277",575,132,253,321,257,283,124
2020,8,40,"7,772","4,497","1,036",240,399,491,530,395,184
2020,8,50,"10,899","4,964","1,560",455,775,"1,005",989,768,383
2020,8,60,"11,816","4,178","1,894",538,986,"1,367","1,314","1,002",537
2020,8,70,"8,759","2,857","1,419",446,734,995,"1,051",807,450
2020,8,80,"4,460","1,336",595,249,405,522,581,474,298
2020,8,90,608,173,94,25,57,70,74,73,42
2020,8,100,25,5,11,0,1,3,1,2,2
2020,9,총,"62,364","29,469","8,713","2,390","4,328","5,387","5,373","4,413","2,291"
2020,9,0,"3,133","2,219",329,66,121,120,107,123,48
2020,9,10,"4,541","2,948",607,129,175,201,201,176,104
2020,9,20,"5,045","2,962",588,100,425,288,254,312,116
2020,9,30,"5,189","3,263",571,131,248,320,257,276,123
2020,9,40,"7,757","4,506","1,028",243,398,476,528,393,185
2020,9,50,"10,897","4,966","1,551",457,766,"1,008",993,774,382
2020,9,60,"11,904","4,222","1,922",544,986,"1,372","1,321","1,000",537
2020,9,70,"8,777","2,856","1,412",444,744,"1,005","1,051",808,457
2020,9,80,"4,476","1,349",598,250,402,520,587,476,294
2020,9,90,619,173,96,26,61,74,73,73,43
2020,9,100,26,5,11,0,2,3,1,2,2
2020,10,총,"62,390","29,546","8,695","2,395","4,322","5,379","5,360","4,409","2,284"
2020,10,0,"3,135","2,226",325,69,121,119,105,122,48
2020,10,10,"4,510","2,937",597,131,172,200,194,178,101
2020,10,20,"5,061","2,989",596,97,414,286,259,301,119
2020,10,30,"5,167","3,264",561,130,248,315,253,273,123
2020,10,40,"7,740","4,507","1,021",245,395,475,521,393,183
2020,10,50,"10,895","4,976","1,551",451,764,"1,006",990,779,378
2020,10,60,"11,954","4,249","1,914",547,999,"1,379","1,326","1,003",537
2020,10,70,"8,791","2,876","1,417",445,739,"1,005","1,050",804,455
2020,10,80,"4,495","1,351",603,254,407,515,586,483,296
2020,10,90,616,166,99,26,61,76,75,71,42
2020,10,100,26,5,11,0,2,3,1,2,2
2020,11,총,"62,346","29,533","8,683","2,391","4,320","5,364","5,360","4,412","2,283"
2020,11,0,"3,116","2,213",320,69,119,120,104,125,46
2020,11,10,"4,490","2,935",592,132,171,197,191,173,99
2020,11,20,"5,053","2,977",589,96,424,284,257,307,119
2020,11,30,"5,136","3,247",564,127,242,311,253,270,122
2020,11,40,"7,706","4,491","1,012",245,397,468,513,396,184
2020,11,50,"10,907","4,986","1,558",447,755,"1,009",999,777,376
2020,11,60,"11,993","4,271","1,914",549,"1,007","1,369","1,334","1,009",540
2020,11,70,"8,812","2,895","1,421",446,735,"1,013","1,045",801,456
2020,11,80,"4,493","1,350",603,254,408,513,590,478,297
2020,11,90,614,163,99,26,60,77,73,74,42
2020,11,100,26,5,11,0,2,3,1,2,2
2020,12,총,"62,214","29,525","8,601","2,386","4,312","5,358","5,340","4,411","2,281"
2020,12,0,"3,103","2,209",320,69,118,118,102,123,44
2020,12,10,"4,424","2,925",547,135,169,196,186,168,98
2020,12,20,"5,037","2,982",572,97,424,280,254,308,120
2020,12,30,"5,117","3,238",557,126,243,317,250,267,119
2020,12,40,"7,660","4,474",999,243,390,470,506,397,181
2020,12,50,"10,903","4,990","1,546",443,759,"1,003",994,786,382
2020,12,60,"12,024","4,293","1,917",548,"1,007","1,375","1,339","1,005",540
2020,12,70,"8,829","2,903","1,431",445,732,"1,010","1,049",803,456
2020,12,80,"4,478","1,345",600,254,407,510,586,479,297
2020,12,90,613,161,101,26,61,76,73,73,42
2020,12,100,26,5,11,0,2,3,1,2,2
2021,1,총,"62,050","29,485","8,560","2,379","4,286","5,334","5,332","4,400","2,274"
2021,1,0,"3,074","2,193",316,70,117,112,100,121,45
2021,1,10,"4,389","2,922",529,134,161,196,184,164,99
2021,1,20,"4,972","2,949",553,93,419,274,255,308,121
2021,1,30,"5,068","3,224",563,121,237,306,246,258,113
2021,1,40,"7,639","4,462",989,248,389,467,504,397,183
2021,1,50,"10,833","4,977","1,532",436,749,994,982,786,377
2021,1,60,"12,071","4,331","1,910",546,"1,010","1,381","1,353","1,002",538
2021,1,70,"8,870","2,902","1,454",452,737,"1,018","1,045",804,458
2021,1,80,"4,487","1,356",601,253,405,505,589,482,296
2021,1,90,621,164,102,26,60,78,73,76,42
2021,1,100,26,5,11,0,2,3,1,2,2
2021,2,총,"61,871","29,379","8,527","2,372","4,276","5,352","5,330","4,365","2,270"
2021,2,0,"3,023","2,172",304,66,115,110,95,116,45
