년도,월,나이,강원도 화천군,강원도 화천군 화천읍,강원도 화천군 간동면,강원도 화천군 하남면,강원도 화천군 상서면,강원도 화천군 사내면
2020,3,총,"24,646","8,452","2,723","2,920","4,214","6,337"
2020,3,0,"1,852",767,61,131,301,592
2020,3,10,"1,841",753,159,298,170,461
2020,3,20,"3,826","1,210",274,278,"1,079",985
2020,3,30,"2,824","1,041",139,256,521,867
2020,3,40,"2,799","1,167",231,393,330,678
2020,3,50,"4,005","1,353",600,552,546,954
2020,3,60,"3,522",995,569,467,575,916
2020,3,70,"2,477",754,420,329,417,557
2020,3,80,"1,291",360,229,188,237,277
2020,3,90,194,49,40,23,36,46
2020,3,100,15,3,1,5,2,4
2020,4,총,"24,627","8,459","2,732","2,902","4,212","6,322"
2020,4,0,"1,852",763,59,131,306,593
2020,4,10,"1,825",749,160,286,169,461
2020,4,20,"3,811","1,221",270,280,"1,066",974
2020,4,30,"2,836","1,039",144,258,530,865
2020,4,40,"2,777","1,165",228,381,328,675
2020,4,50,"3,993","1,353",605,549,540,946
2020,4,60,"3,558","1,001",576,473,585,923
2020,4,70,"2,466",753,419,324,415,555
2020,4,80,"1,296",361,229,191,235,280
2020,4,90,198,51,41,24,36,46
2020,4,100,15,3,1,5,2,4
2020,5,총,"24,657","8,430","2,735","2,900","4,228","6,364"
2020,5,0,"1,854",751,59,134,313,597
2020,5,10,"1,820",751,159,282,168,460
2020,5,20,"3,819","1,208",276,277,"1,070",988
2020,5,30,"2,852","1,037",146,258,533,878
2020,5,40,"2,761","1,162",222,379,331,667
2020,5,50,"3,992","1,345",607,552,537,951
2020,5,60,"3,579","1,001",577,475,590,936
2020,5,70,"2,464",752,420,324,410,558
2020,5,80,"1,297",369,226,188,235,279
2020,5,90,204,51,42,26,39,46
2020,5,100,15,3,1,5,2,4
2020,6,총,"24,717","8,450","2,737","2,902","4,242","6,386"
2020,6,0,"1,856",744,59,134,320,599
2020,6,10,"1,818",757,156,278,169,458
2020,6,20,"3,828","1,211",280,283,"1,062",992
2020,6,30,"2,847","1,031",143,255,540,878
2020,6,40,"2,773","1,171",217,379,334,672
2020,6,50,"3,979","1,339",602,545,531,962
2020,6,60,"3,633","1,021",591,484,596,941
2020,6,70,"2,461",748,419,327,412,555
2020,6,80,"1,305",374,228,188,237,278
2020,6,90,202,51,41,24,39,47
2020,6,100,15,3,1,5,2,4
2020,7,총,"24,753","8,434","2,733","2,894","4,259","6,433"
2020,7,0,"1,846",738,55,137,313,603
2020,7,10,"1,812",760,151,275,167,459
2020,7,20,"3,849","1,203",282,278,"1,075","1,011"
2020,7,30,"2,847","1,022",144,253,546,882
2020,7,40,"2,767","1,168",214,378,336,671
2020,7,50,"3,986","1,337",602,541,538,968
2020,7,60,"3,655","1,030",595,483,597,950
2020,7,70,"2,451",748,417,326,406,554
