년도,월,나이,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2020,3,총,"544,804","17,208","23,264","21,556","27,631","29,214","14,680","30,436","25,257","38,422","20,466","35,969","37,186","22,494","34,412","6,865","22,454","18,116","44,865","24,325","16,242","18,017","15,725"
2020,3,0,"38,588","1,052",738,"1,175","2,275","2,394",945,"2,547","2,148","2,080",831,"1,128","3,125","1,876","3,043",404,"1,683","1,139","4,874","2,372",804,"1,260",695
2020,3,10,"60,013","1,774",941,"1,313","2,888","2,472","1,431","3,485","5,606","6,632","2,563","1,444","5,505","2,340","4,854",607,"2,665","1,666","4,543","3,437","1,292","1,895",660
2020,3,20,"75,431","2,352","4,710","3,501","3,254","4,164","2,121","3,996","2,485","5,153","3,418","7,667","4,746","3,125","4,091",818,"3,003","2,667","5,424","2,669","2,366","1,991","1,710"
2020,3,30,"85,013","2,528","5,983","4,680","3,612","4,835","2,212","5,228","1,707","3,475","3,402","10,203","5,472","3,405","3,823",736,"2,926","2,824","7,262","3,155","2,383","2,653","2,509"
2020,3,40,"100,367","3,130","3,861","3,697","5,015","5,061","2,400","6,517","6,285","7,649","4,166","5,982","8,689","3,918","6,702",978,"3,740","3,033","7,740","4,672","2,232","3,166","1,734"
2020,3,50,"80,054","2,487","2,794","2,904","3,979","4,390","2,395","4,004","3,708","6,728","3,210","4,232","4,667","3,516","5,459","1,150","3,883","3,092","6,035","3,690","2,663","2,652","2,416"
2020,3,60,"58,283","1,790","2,322","2,229","3,125","3,247","1,778","2,417","1,918","4,014","1,522","2,995","2,591","2,511","3,509","1,188","2,910","2,268","4,833","2,792","2,529","2,490","3,305"
2020,3,70,"33,273","1,408","1,360","1,489","2,411","1,877","1,025","1,659",998,"1,988","1,026","1,671","1,740","1,248","2,060",695,"1,215","1,038","2,671","1,039","1,371","1,424","1,860"
2020,3,80,"11,289",590,466,460,888,608,301,486,336,568,283,532,528,451,710,226,347,317,"1,216",392,494,412,678
2020,3,90,"2,214",87,70,88,168,142,66,85,51,114,35,92,102,96,143,52,73,66,257,102,103,69,153
2020,3,100,279,10,19,20,16,24,6,12,15,21,10,23,21,8,18,11,9,6,10,5,5,5,5
2020,4,총,"543,240","17,143","23,224","21,598","27,605","28,433","14,667","30,389","25,231","38,271","20,406","35,946","37,235","22,481","34,351","6,859","22,441","18,097","44,822","24,228","16,158","17,968","15,687"
2020,4,0,"38,286","1,028",729,"1,167","2,272","2,351",941,"2,538","2,119","2,057",814,"1,119","3,116","1,872","3,031",403,"1,684","1,127","4,842","2,347",779,"1,268",682
2020,4,10,"59,654","1,761",940,"1,307","2,872","2,394","1,424","3,483","5,609","6,583","2,533","1,427","5,503","2,349","4,824",600,"2,647","1,658","4,525","3,414","1,281","1,865",655
2020,4,20,"75,265","2,357","4,698","3,530","3,247","4,050","2,121","3,952","2,485","5,115","3,444","7,635","4,769","3,116","4,083",818,"2,989","2,665","5,457","2,664","2,370","1,991","1,709"
2020,4,30,"84,685","2,522","5,953","4,679","3,600","4,714","2,212","5,226","1,705","3,470","3,371","10,222","5,463","3,398","3,820",732,"2,930","2,839","7,220","3,140","2,332","2,646","2,491"
2020,4,40,"99,952","3,089","3,871","3,699","5,019","4,971","2,389","6,490","6,261","7,600","4,136","5,994","8,652","3,906","6,657",981,"3,724","3,003","7,735","4,658","2,235","3,157","1,725"
2020,4,50,"80,028","2,483","2,800","2,909","3,979","4,217","2,400","4,031","3,734","6,716","3,224","4,237","4,750","3,524","5,481","1,148","3,878","3,082","6,050","3,679","2,642","2,653","2,411"
2020,4,60,"58,265","1,806","2,315","2,243","3,136","3,158","1,775","2,429","1,913","4,022","1,524","2,996","2,585","2,512","3,509","1,186","2,923","2,292","4,843","2,786","2,526","2,476","3,310"
2020,4,70,"33,308","1,408","1,355","1,498","2,398","1,825","1,029","1,654","1,004","2,004","1,028","1,667","1,742","1,254","2,073",699,"1,231","1,035","2,674","1,045","1,386","1,432","1,867"
2020,4,80,"11,312",593,473,459,900,592,304,490,334,569,285,532,530,445,715,229,352,323,"1,210",389,498,407,683
2020,4,90,"2,201",86,71,87,166,136,65,84,52,112,37,94,104,98,140,52,74,66,255,101,104,68,149
2020,4,100,284,10,19,20,16,25,7,12,15,23,10,23,21,7,18,11,9,7,11,5,5,5,5
2020,5,총,"541,915","17,077","23,231","21,599","27,603","27,634","14,705","30,342","25,210","38,158","20,403","35,966","37,202","22,443","34,278","6,824","22,451","18,053","44,833","24,206","16,080","17,971","15,646"
2020,5,0,"38,023","1,018",733,"1,167","2,279","2,285",937,"2,513","2,093","2,048",810,"1,103","3,112","1,872","2,994",401,"1,679","1,122","4,801","2,327",780,"1,272",677
2020,5,10,"59,435","1,722",937,"1,313","2,861","2,318","1,429","3,492","5,603","6,536","2,524","1,446","5,513","2,340","4,804",593,"2,627","1,645","4,543","3,415","1,274","1,856",644
2020,5,20,"75,174","2,386","4,742","3,515","3,262","3,933","2,152","3,933","2,501","5,117","3,436","7,652","4,760","3,090","4,073",807,"3,000","2,654","5,466","2,653","2,331","2,003","1,708"
2020,5,30,"84,261","2,498","5,948","4,665","3,575","4,610","2,187","5,165","1,695","3,444","3,384","10,176","5,430","3,401","3,813",729,"2,910","2,846","7,211","3,135","2,322","2,651","2,466"
2020,5,40,"99,688","3,076","3,852","3,722","5,004","4,865","2,395","6,509","6,232","7,542","4,118","5,997","8,639","3,898","6,640",972,"3,743","2,982","7,746","4,645","2,233","3,160","1,718"
2020,5,50,"80,020","2,500","2,799","2,928","4,000","4,074","2,416","4,056","3,752","6,731","3,225","4,265","4,766","3,518","5,479","1,137","3,882","3,070","6,055","3,697","2,626","2,644","2,400"
2020,5,60,"58,160","1,793","2,295","2,224","3,120","3,043","1,788","2,427","1,921","4,030","1,537","2,998","2,581","2,522","3,523","1,191","2,922","2,300","4,861","2,788","2,516","2,467","3,313"
2020,5,70,"33,361","1,397","1,359","1,500","2,414","1,783","1,022","1,660","1,006","2,004","1,028","1,676","1,739","1,257","2,086",703,"1,249","1,041","2,677","1,055","1,390","1,437","1,878"
2020,5,80,"11,325",593,478,456,907,570,306,493,338,571,294,534,538,441,711,231,354,322,"1,210",386,498,407,687
2020,5,90,"2,187",84,69,90,164,129,66,82,54,112,38,96,103,97,139,49,76,64,252,100,104,69,150
2020,5,100,281,10,19,19,17,24,7,12,15,23,9,23,21,7,16,11,9,7,11,5,6,5,5
2020,6,총,"541,233","17,003","23,220","21,551","27,636","27,357","14,684","30,281","25,103","38,167","20,460","35,976","37,244","22,363","34,270","6,829","22,480","18,050","44,800","24,175","16,020","17,947","15,617"
2020,6,0,"37,764","1,005",735,"1,158","2,280","2,246",920,"2,508","2,053","2,036",804,"1,098","3,094","1,866","2,974",401,"1,681","1,117","4,753","2,326",772,"1,264",673
2020,6,10,"59,345","1,723",938,"1,312","2,861","2,308","1,430","3,478","5,576","6,506","2,551","1,448","5,530","2,322","4,803",597,"2,619","1,636","4,561","3,398","1,260","1,852",636
2020,6,20,"75,092","2,371","4,725","3,533","3,261","3,910","2,147","3,931","2,513","5,117","3,465","7,616","4,759","3,074","4,075",801,"3,008","2,667","5,467","2,637","2,311","2,000","1,704"
2020,6,30,"83,871","2,474","5,925","4,635","3,565","4,532","2,176","5,139","1,658","3,426","3,373","10,225","5,432","3,376","3,759",725,"2,909","2,838","7,150","3,142","2,318","2,653","2,441"
2020,6,40,"99,535","3,052","3,859","3,711","5,001","4,824","2,382","6,494","6,195","7,530","4,109","5,991","8,664","3,886","6,652",975,"3,747","2,974","7,788","4,622","2,222","3,137","1,720"
2020,6,50,"79,987","2,506","2,808","2,925","4,012","4,041","2,424","4,049","3,756","6,762","3,242","4,260","4,773","3,518","5,484","1,134","3,878","3,067","6,038","3,687","2,605","2,635","2,383"
2020,6,60,"58,290","1,786","2,302","2,219","3,135","2,995","1,800","2,423","1,923","4,057","1,531","3,009","2,576","2,521","3,542","1,199","2,932","2,313","4,886","2,805","2,526","2,486","3,324"
2020,6,70,"33,507","1,403","1,358","1,501","2,424","1,768","1,027","1,668","1,021","2,024","1,039","1,673","1,750","1,251","2,103",707,"1,264","1,038","2,686","1,069","1,395","1,443","1,895"
2020,6,80,"11,362",590,483,450,913,577,306,498,337,575,300,533,545,445,720,230,354,328,"1,204",382,501,404,687
2020,6,90,"2,197",83,68,88,167,132,64,81,56,112,37,99,101,97,142,48,79,65,255,102,104,68,149
2020,6,100,283,10,19,19,17,24,8,12,15,22,9,24,20,7,16,12,9,7,12,5,6,5,5
2020,7,총,"540,636","16,982","23,149","21,605","27,622","27,288","14,565","30,213","25,088","38,127","20,436","36,046","37,212","22,325","34,250","6,808","22,469","18,040","44,801","24,074","15,997","17,945","15,594"
2020,7,0,"37,580",994,731,"1,162","2,261","2,231",908,"2,493","2,050","2,019",796,"1,093","3,065","1,851","2,971",401,"1,685","1,114","4,734","2,306",768,"1,263",684
2020,7,10,"59,295","1,722",921,"1,313","2,858","2,301","1,406","3,463","5,555","6,520","2,564","1,487","5,538","2,321","4,779",602,"2,613","1,636","4,572","3,399","1,257","1,841",627
2020,7,20,"74,888","2,359","4,702","3,541","3,255","3,881","2,138","3,917","2,504","5,114","3,451","7,632","4,758","3,065","4,074",789,"2,992","2,657","5,454","2,622","2,291","1,998","1,694"
2020,7,30,"83,479","2,461","5,907","4,622","3,555","4,528","2,143","5,104","1,661","3,377","3,358","10,215","5,402","3,356","3,733",720,"2,892","2,830","7,116","3,097","2,317","2,643","2,442"
2020,7,40,"99,469","3,045","3,835","3,730","4,994","4,827","2,351","6,480","6,196","7,501","4,120","6,023","8,677","3,872","6,632",972,"3,737","2,968","7,820","4,608","2,226","3,141","1,714"
2020,7,50,"79,981","2,527","2,796","2,938","4,032","4,017","2,404","4,074","3,763","6,758","3,228","4,260","4,783","3,536","5,493","1,132","3,873","3,060","6,039","3,680","2,597","2,625","2,366"
2020,7,60,"58,364","1,777","2,323","2,221","3,129","2,997","1,803","2,412","1,919","4,087","1,538","3,014","2,572","2,523","3,553","1,192","2,962","2,325","4,888","2,799","2,521","2,491","3,318"
2020,7,70,"33,665","1,410","1,353","1,514","2,434","1,770","1,036","1,680","1,028","2,031","1,036","1,662","1,746","1,250","2,133",710,"1,271","1,049","2,707","1,074","1,400","1,459","1,912"
2020,7,80,"11,422",591,494,457,925,581,302,498,335,586,298,540,554,448,724,229,355,327,"1,204",378,506,409,681
2020,7,90,"2,206",86,68,88,161,130,65,79,62,112,38,96,97,96,142,49,80,67,255,106,108,70,151
2020,7,100,287,10,19,19,18,25,9,13,15,22,9,24,20,7,16,12,9,7,12,5,6,5,5
2020,8,총,"540,148","16,915","23,153","21,722","27,574","27,201","14,280","30,229","25,125","38,130","20,540","36,239","37,150","22,264","34,250","6,785","22,438","18,027","44,728","24,053","15,924","17,904","15,517"
2020,8,0,"37,384",988,723,"1,163","2,228","2,208",900,"2,487","2,055","2,007",788,"1,095","3,046","1,823","2,985",399,"1,685","1,098","4,707","2,293",770,"1,268",668
2020,8,10,"59,368","1,708",926,"1,328","2,853","2,279","1,378","3,482","5,559","6,564","2,636","1,564","5,542","2,306","4,771",603,"2,605","1,617","4,568","3,392","1,244","1,832",611
2020,8,20,"74,683","2,350","4,702","3,563","3,252","3,867","2,068","3,897","2,501","5,110","3,471","7,640","4,738","3,049","4,054",776,"2,959","2,660","5,455","2,624","2,276","1,974","1,697"
2020,8,30,"83,070","2,441","5,886","4,623","3,529","4,515","2,107","5,078","1,650","3,335","3,337","10,234","5,370","3,331","3,727",715,"2,890","2,816","7,073","3,071","2,297","2,634","2,411"
2020,8,40,"99,451","3,023","3,833","3,755","4,985","4,823","2,314","6,503","6,204","7,508","4,143","6,077","8,675","3,873","6,629",978,"3,730","2,964","7,799","4,584","2,217","3,136","1,698"
2020,8,50,"79,875","2,523","2,803","2,962","4,051","4,001","2,330","4,080","3,778","6,761","3,225","4,267","4,781","3,537","5,490","1,117","3,858","3,076","6,008","3,699","2,567","2,618","2,343"
2020,8,60,"58,579","1,787","2,335","2,231","3,139","2,995","1,769","2,435","1,925","4,079","1,553","3,027","2,579","2,543","3,568","1,196","2,982","2,341","4,924","2,820","2,537","2,486","3,328"
2020,8,70,"33,738","1,402","1,358","1,529","2,429","1,773","1,039","1,670","1,034","2,053","1,044","1,668","1,745","1,249","2,144",708,"1,286","1,050","2,709","1,078","1,392","1,457","1,921"
2020,8,80,"11,501",595,501,460,929,584,302,501,340,581,297,547,557,450,730,232,350,332,"1,220",382,509,419,683
2020,8,90,"2,209",88,67,88,161,129,64,83,64,109,37,96,97,95,137,49,84,66,253,106,109,75,152
2020,8,100,290,10,19,20,18,27,9,13,15,23,9,24,20,8,15,12,9,7,12,4,6,5,5
2020,9,총,"539,235","16,890","23,108","21,772","27,443","27,127","13,795","30,236","25,102","38,053","20,592","36,168","37,175","22,212","34,239","6,762","22,405","18,231","44,686","24,053","15,886","17,854","15,446"
2020,9,0,"37,109",986,711,"1,148","2,194","2,200",872,"2,478","2,027","1,992",767,"1,084","3,019","1,805","2,997",390,"1,674","1,128","4,652","2,295",772,"1,260",658
2020,9,10,"59,356","1,716",914,"1,337","2,835","2,276","1,339","3,490","5,577","6,551","2,636","1,573","5,575","2,321","4,765",612,"2,588","1,639","4,574","3,374","1,237","1,820",607
2020,9,20,"74,411","2,318","4,694","3,580","3,222","3,833","1,985","3,905","2,502","5,081","3,507","7,617","4,706","3,017","4,052",766,"2,961","2,678","5,467","2,623","2,259","1,972","1,666"
2020,9,30,"82,606","2,435","5,872","4,602","3,468","4,505","2,022","5,043","1,621","3,329","3,353","10,194","5,351","3,318","3,710",702,"2,866","2,840","7,031","3,059","2,271","2,623","2,391"
2020,9,40,"99,286","3,031","3,818","3,785","4,950","4,811","2,258","6,507","6,199","7,474","4,139","6,056","8,698","3,873","6,612",975,"3,720","2,995","7,787","4,575","2,223","3,102","1,698"
2020,9,50,"79,904","2,509","2,832","2,968","4,089","3,998","2,240","4,088","3,792","6,758","3,230","4,262","4,800","3,526","5,505","1,115","3,861","3,099","6,026","3,712","2,550","2,619","2,325"
