년도,월,나이,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2020,1,총,"142,991","3,526","4,009","3,754","1,156",826,993,"1,355","1,677","1,495","1,698","2,892","2,328","2,378","1,366",797,"1,876","2,621","3,737","11,165","4,824","6,148","18,991","4,421","11,929","7,207","12,296","7,878","3,542","16,106"
2020,1,0,"10,576",212,294,160,29,17,27,41,55,40,88,172,65,108,41,11,68,176,195,887,250,274,"2,007",469,852,734,"1,277",332,304,"1,391"
2020,1,10,"15,070",281,317,282,72,44,50,82,101,72,95,196,114,171,62,46,101,169,229,"1,208",413,516,"2,204",524,"1,508","1,166","1,810",584,370,"2,283"
2020,1,20,"20,124",395,374,408,120,57,80,97,138,90,194,502,160,230,152,67,203,274,478,"1,420",765,802,"2,563",506,"1,962","1,142","1,812","2,242",444,"2,447"
2020,1,30,"15,912",314,487,310,69,45,64,101,127,109,167,283,176,214,110,35,216,322,484,"1,312",522,626,"2,293",642,"1,314",853,"1,583",836,487,"1,811"
2020,1,40,"22,113",475,581,504,127,95,121,166,212,158,199,342,283,329,173,105,258,430,520,"1,828",670,858,"3,121",749,"1,768","1,370","2,253",958,584,"2,876"
2020,1,50,"25,364",655,749,749,247,173,226,217,335,290,314,507,440,494,300,125,312,526,627,"1,979",942,"1,011","3,111",659,"2,268","1,214","2,175","1,150",579,"2,990"
2020,1,60,"19,078",675,666,702,230,187,207,301,357,342,309,494,517,454,270,192,356,421,606,"1,554",772,"1,017","2,208",501,"1,518",437,934,930,421,"1,500"
2020,1,70,"10,340",362,354,428,174,119,142,234,230,253,226,278,361,244,164,141,273,229,430,687,372,754,"1,060",277,551,206,333,629,239,590
2020,1,80,"3,965",141,165,187,77,76,69,103,113,125,94,109,179,117,80,67,80,68,155,265,108,261,386,85,165,79,107,199,100,205
2020,1,90,427,15,20,21,11,13,6,13,9,15,11,9,32,17,13,8,9,5,13,22,10,27,38,8,22,6,12,17,13,12
2020,1,100,22,1,2,3,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,3,0,2,0,1,1,0,0,1,1,1
2020,2,총,"142,534","3,505","3,995","3,761","1,151",821,994,"1,351","1,673","1,494","1,702","2,887","2,327","2,373","1,360",792,"1,871","2,639","3,716","11,154","4,799","6,125","18,924","4,400","11,903","7,179","12,239","7,805","3,532","16,062"
2020,2,0,"10,475",209,289,158,29,17,26,42,55,40,91,171,63,105,41,11,65,176,187,883,252,280,"1,993",472,846,718,"1,252",320,307,"1,377"
2020,2,10,"14,928",275,315,285,68,43,50,80,97,70,97,192,119,170,62,45,102,171,230,"1,210",399,513,"2,177",518,"1,505","1,153","1,789",567,357,"2,269"
