년도,월,나이,문경시,문경읍,문경읍갈평출장소,가은읍,가은읍북부출장소,영순면,산양면,호계면,산북면,동로면,마성면,농암면,점촌1동,점촌2동,점촌3동,점촌4동,점촌5동
2020,6,0,"4,099",222,42,99,18,61,86,48,57,83,87,71,372,428,683,117,"1,625"
2020,6,10,"5,828",345,59,155,40,336,133,175,115,74,147,90,432,595,892,148,"2,092"
2020,6,20,"6,147",400,72,158,28,144,206,319,152,101,211,124,523,615,888,219,"1,987"
2020,6,30,"5,960",378,52,162,50,109,161,106,121,96,228,136,620,663,854,252,"1,972"
2020,6,40,"8,910",622,106,263,77,177,260,193,242,177,310,195,724,899,"1,351",323,"2,991"
2020,6,50,"12,151","1,066",231,544,169,351,488,374,496,361,630,510,989,"1,161","1,609",557,"2,615"
2020,6,60,"13,099","1,223",255,709,192,553,699,531,605,481,743,626,"1,135","1,372","1,500",675,"1,800"
2020,6,70,"9,311","1,011",171,598,150,387,562,376,544,329,726,475,721,938,919,529,875
2020,6,80,"5,344",488,110,431,84,344,402,267,391,208,462,319,340,411,449,299,339
2020,6,90,777,74,18,72,14,57,74,36,54,28,57,63,35,43,54,37,61
2020,6,100,57,11,0,3,1,1,2,1,5,0,7,6,3,8,6,2,1
2020,7,총,"71,417","5,847","1,119","3,195",821,"2,499","3,058","2,397","2,762","1,936","3,592","2,604","5,888","7,115","9,155","3,149","16,280"
2020,7,0,"4,099",223,41,102,18,61,86,42,55,84,89,72,373,429,680,120,"1,624"
2020,7,10,"5,741",341,60,155,37,317,132,167,113,74,137,89,422,587,889,145,"2,076"
2020,7,20,"6,119",405,72,158,29,142,197,312,146,102,218,117,531,619,870,218,"1,983"
2020,7,30,"5,898",378,51,161,52,109,162,104,117,97,221,135,616,655,842,243,"1,955"
2020,7,40,"8,846",613,106,260,77,176,258,190,237,174,302,189,719,897,"1,346",326,"2,976"
2020,7,50,"12,114","1,065",230,547,168,351,485,370,496,359,625,509,"1,000","1,159","1,596",553,"2,601"
2020,7,60,"13,084","1,230",258,704,191,553,700,534,602,481,747,627,"1,128","1,372","1,498",668,"1,791"
2020,7,70,"9,328","1,011",174,601,152,389,562,373,544,328,726,479,725,930,922,536,876
2020,7,80,"5,354",496,109,431,81,341,400,269,393,210,463,320,335,417,453,301,335
2020,7,90,778,74,18,73,15,59,74,35,55,27,57,61,36,42,53,37,62
2020,7,100,56,11,0,3,1,1,2,1,4,0,7,6,3,8,6,2,1
2020,8,총,"71,258","5,836","1,114","3,193",821,"2,476","3,042","2,395","2,744","1,935","3,576","2,588","5,878","7,098","9,100","3,149","16,313"
2020,8,0,"4,084",220,42,101,18,59,87,41,53,84,88,72,376,426,671,123,"1,623"
2020,8,10,"5,690",342,61,156,37,299,129,168,109,73,128,88,419,586,880,144,"2,071"
2020,8,20,"6,105",404,70,155,25,141,193,311,144,99,217,112,531,612,852,215,"2,024"
2020,8,30,"5,825",375,48,154,49,104,158,103,117,96,215,134,611,651,830,241,"1,939"
2020,8,40,"8,813",602,106,262,80,176,256,188,232,172,304,189,711,890,"1,340",327,"2,978"
2020,8,50,"12,057","1,058",227,549,171,348,484,375,491,363,616,502,996,"1,152","1,582",548,"2,595"
2020,8,60,"13,160","1,238",259,708,193,558,699,535,603,483,751,634,"1,130","1,379","1,516",673,"1,801"
2020,8,70,"9,314","1,013",172,595,153,388,555,365,544,328,728,470,726,935,918,537,887
2020,8,80,"5,362",498,112,434,79,344,405,270,391,210,465,318,339,414,450,300,333
