년도,월,나이,문경시,문경읍,문경읍갈평출장소,가은읍,가은읍북부출장소,영순면,산양면,호계면,산북면,동로면,마성면,농암면,점촌1동,점촌2동,점촌3동,점촌4동,점촌5동
2021,11,총,"71,159","5,809","1,107","3,216",860,"2,475","3,072","2,412","2,752","1,986","3,555","2,617","5,765","7,086","9,017","3,138","16,292"
2021,11,0,"3,835",206,30,108,12,53,94,42,53,82,82,71,334,416,627,112,"1,513"
2021,11,10,"5,463",355,60,145,41,290,130,138,95,81,122,86,381,580,853,151,"1,955"
2021,11,20,"6,133",352,64,176,32,141,168,348,144,91,210,118,531,599,846,211,"2,102"
2021,11,30,"5,434",346,48,153,48,81,164,102,121,91,196,126,523,623,779,235,"1,798"
2021,11,40,"8,575",606,91,250,70,179,262,168,207,178,282,172,711,871,"1,316",318,"2,894"
2021,11,50,"11,824",985,230,509,185,332,469,377,468,347,615,494,969,"1,105","1,503",519,"2,717"
2021,11,60,"14,048","1,342",277,767,230,594,748,551,679,544,799,680,"1,159","1,431","1,609",697,"1,941"
2021,11,70,"9,168",941,169,560,137,387,536,361,507,314,686,460,755,954,946,516,939
2021,11,80,"5,781",579,122,467,92,353,419,285,415,224,491,336,363,452,475,341,367
2021,11,90,858,85,16,78,12,65,81,40,59,34,66,70,38,53,60,37,64
2021,11,100,40,12,0,3,1,0,1,0,4,0,6,4,1,2,3,1,2
2021,12,총,"71,154","5,775","1,109","3,206",883,"2,452","3,072","2,434","2,787","2,008","3,558","2,612","5,742","7,030","9,060","3,164","16,262"
2021,12,0,"3,827",202,33,106,11,53,93,42,54,82,78,72,333,404,624,120,"1,520"
2021,12,10,"5,427",349,57,143,41,275,128,140,98,82,124,86,379,578,849,149,"1,949"
2021,12,20,"6,140",363,60,169,32,136,165,362,150,97,207,120,521,590,865,218,"2,085"
2021,12,30,"5,416",349,49,154,50,81,161,103,122,93,195,123,528,597,797,232,"1,782"
2021,12,40,"8,563",595,92,245,77,181,268,169,210,175,285,168,698,869,"1,319",324,"2,888"
2021,12,50,"11,824",972,231,509,192,329,475,377,474,351,617,488,961,"1,103","1,495",524,"2,726"
2021,12,60,"14,084","1,344",281,763,234,591,747,555,690,553,803,688,"1,157","1,421","1,619",703,"1,935"
2021,12,70,"9,183",932,169,570,141,388,538,362,510,315,686,462,756,958,945,511,940
2021,12,80,"5,792",582,121,464,92,354,415,286,414,226,491,331,367,452,483,344,370
2021,12,90,867,85,16,80,12,64,80,38,61,34,66,70,41,56,61,38,65
2021,12,100,31,2,0,3,1,0,2,0,4,0,6,4,1,2,3,1,2
