년도,월,나이,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2020,1,총,"18,813","2,093",121,"2,747",116,96,724,139,"1,521","1,075","1,733","1,301",99,"1,066",158,99,234,142,841,734,769,"1,343",134,515,"1,013"
2020,1,0,816,74,3,116,4,1,28,3,91,40,68,66,3,41,6,5,17,7,43,44,35,64,4,12,41
2020,1,10,"1,045",129,4,161,1,2,30,4,108,50,119,115,3,50,9,6,12,9,48,49,34,47,2,19,34
2020,1,20,"1,270",124,6,233,4,3,52,12,97,65,108,90,3,87,20,6,22,13,53,66,41,89,8,14,54
2020,1,30,"1,135",116,7,188,7,6,36,5,93,45,93,72,7,73,9,5,23,11,59,59,47,77,12,29,56
2020,1,40,"1,515",173,5,232,5,3,59,8,146,76,164,114,6,97,19,6,30,11,63,62,47,80,12,29,68
2020,1,50,"2,944",334,21,503,16,15,103,24,243,186,250,169,27,167,29,16,47,15,118,120,97,190,26,70,158
2020,1,60,"3,388",362,19,523,32,19,117,35,263,205,319,196,19,179,26,21,34,34,156,112,151,243,26,102,195
2020,1,70,"3,673",442,28,433,31,32,184,32,290,242,344,243,16,194,25,14,29,20,155,118,181,267,22,129,202
2020,1,80,"2,671",298,25,301,16,15,103,15,177,150,228,214,12,141,15,18,20,17,137,96,120,247,20,99,187
2020,1,90,344,40,3,54,0,0,11,1,13,16,40,22,2,34,0,2,0,5,9,6,15,39,2,12,18
2020,1,100,12,1,0,3,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,2,1,0,0,0,0
2020,2,총,"18,809","2,089",120,"2,752",117,96,724,141,"1,524","1,084","1,733","1,294",98,"1,069",159,99,233,138,844,732,776,"1,331",132,508,"1,016"
2020,2,0,817,75,3,113,4,1,27,3,92,40,70,66,3,42,6,5,16,7,44,44,36,60,4,12,44
2020,2,10,"1,030",126,4,159,1,2,30,4,110,49,118,112,3,49,9,6,11,9,47,49,35,46,2,15,34
2020,2,20,"1,268",125,6,232,4,3,50,12,96,68,111,84,3,90,20,6,25,11,53,64,40,88,7,14,56
2020,2,30,"1,134",114,6,187,7,4,35,5,92,47,94,75,7,74,9,5,23,10,61,57,52,77,11,26,56
2020,2,40,"1,512",170,6,231,4,5,60,8,149,73,160,113,7,98,20,6,28,11,66,65,46,77,12,31,66
2020,2,50,"2,933",328,20,506,17,14,104,25,240,189,247,168,25,166,29,16,47,15,117,119,95,190,27,69,160
2020,2,60,"3,406",369,19,532,31,20,117,36,264,205,321,196,19,176,26,21,34,34,157,113,156,240,26,100,194
2020,2,70,"3,642",437,27,433,33,31,185,32,290,241,335,239,15,196,25,13,28,18,152,118,177,265,22,129,201
2020,2,80,"2,702",304,26,303,16,16,103,15,177,155,236,219,13,140,15,19,21,18,137,95,122,247,19,100,186
2020,2,90,353,40,3,53,0,0,12,1,14,17,41,22,2,35,0,2,0,5,10,6,16,41,2,12,19
2020,2,100,12,1,0,3,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,2,1,0,0,0,0
2020,3,총,"18,691","2,093",120,"2,745",117,96,715,138,"1,522","1,081","1,715","1,275",96,"1,050",158,100,230,139,836,734,766,"1,324",131,504,"1,006"
2020,3,0,807,74,3,112,4,1,26,3,93,41,68,64,3,39,6,5,16,6,44,44,36,60,4,12,43
2020,3,10,"1,005",124,4,156,1,2,29,3,105,48,114,110,2,49,8,6,11,10,45,49,34,47,2,14,32
2020,3,20,"1,256",131,6,235,4,3,51,12,96,69,108,80,3,87,20,6,24,12,48,64,41,85,7,12,52
2020,3,30,"1,103",114,6,180,7,4,30,4,94,46,91,71,7,66,9,5,25,10,58,56,49,78,11,25,57
2020,3,40,"1,488",169,6,232,4,4,58,8,144,72,155,113,6,97,21,7,25,12,66,65,43,75,12,31,63
2020,3,50,"2,904",328,21,495,17,14,103,24,240,188,247,166,24,163,29,16,45,15,117,120,92,184,27,70,159
2020,3,60,"3,410",366,19,538,30,21,117,36,266,205,320,193,20,175,25,21,35,33,156,115,158,244,26,98,193
2020,3,70,"3,616",437,25,432,34,31,183,32,289,240,334,237,15,190,25,13,28,19,153,117,171,261,22,129,199
2020,3,80,"2,723",304,27,307,16,16,106,15,180,155,236,218,13,145,15,19,21,17,138,96,124,245,19,101,190
2020,3,90,367,45,3,55,0,0,11,1,15,17,42,23,2,36,0,2,0,5,11,6,17,45,1,12,18
2020,3,100,12,1,0,3,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,2,1,0,0,0,0
2020,4,총,"18,641","2,093",120,"2,742",117,96,705,140,"1,520","1,078","1,710","1,267",95,"1,055",161,100,227,139,832,728,760,"1,321",133,504,998
2020,4,0,805,71,3,109,4,2,26,4,94,41,68,63,3,39,6,5,16,6,44,45,36,62,3,12,43
2020,4,10,"1,009",123,4,156,1,2,28,3,105,49,112,112,2,51,7,6,10,10,47,49,36,47,3,14,32
2020,4,20,"1,234",129,6,236,4,2,48,12,96,66,107,75,3,85,22,6,24,12,49,62,38,83,7,11,51
2020,4,30,"1,087",115,6,176,7,4,30,4,93,48,90,69,6,67,10,5,24,11,55,53,48,76,12,23,55
2020,4,40,"1,479",170,6,230,4,4,56,9,146,72,153,111,7,99,21,6,24,12,65,64,42,74,12,32,60
2020,4,50,"2,876",324,21,496,17,14,98,23,236,185,246,165,22,165,30,17,45,15,115,119,91,181,26,69,156
2020,4,60,"3,428",370,19,542,30,21,118,37,266,207,323,192,22,175,25,21,35,33,156,115,156,245,28,98,194
2020,4,70,"3,586",435,25,425,34,31,183,30,291,236,333,235,14,188,25,13,28,19,148,113,171,262,21,131,195
2020,4,80,"2,750",310,27,314,16,16,105,17,178,158,235,221,13,144,15,19,21,16,142,99,123,246,20,101,194
2020,4,90,375,45,3,55,0,0,12,1,15,16,43,24,2,39,0,2,0,5,11,7,18,45,1,13,18
2020,4,100,12,1,0,3,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,2,1,0,0,0,0
2020,5,총,"18,594","2,081",120,"2,730",117,96,707,141,"1,516","1,073","1,707","1,261",95,"1,052",160,100,226,139,832,730,764,"1,319",132,500,996
2020,5,0,808,70,3,110,4,2,26,4,95,41,69,62,3,40,6,5,16,6,46,46,36,62,3,12,41
