년도,월,나이,광산구,송정1동,송정2동,도산동,신흥동,어룡동,우산동,월곡1동,월곡2동,비아동,첨단1동,첨단2동,신가동,운남동,수완동,하남동,임곡동,동곡동,평동,삼도동,본량동,신창동
2020,1,총,"201,362","5,637","3,340","8,032","2,428","15,992","12,017","5,791","8,277","3,478","13,175","21,923","10,634","16,201","39,852","11,535","1,043",963,"1,820","1,131","1,056","17,037"
2020,1,0,"20,757",387,164,757,184,"2,007",950,389,629,360,981,"2,002","1,139","1,614","5,493","1,612",31,20,69,33,25,"1,911"
2020,1,10,"26,196",612,204,849,206,"1,792","1,009",607,"1,086",381,"1,772","2,931","1,591","2,027","6,713","1,483",53,45,78,52,39,"2,666"
2020,1,20,"26,967",786,460,"1,059",293,"1,817","1,687",926,"1,169",398,"2,309","3,638","1,374","2,355","4,447","1,368",75,79,169,62,72,"2,424"
2020,1,30,"28,032",610,402,"1,169",295,"2,774","1,567",607,929,444,"1,502","2,862","1,440","2,198","6,247","2,017",50,62,157,61,58,"2,581"
2020,1,40,"38,721",964,412,"1,368",351,"2,728","1,798",939,"1,592",656,"2,405","4,520","2,228","3,111","9,130","2,196",73,73,164,89,95,"3,829"
2020,1,50,"29,557",840,553,"1,209",401,"2,236","2,128","1,163","1,472",564,"2,618","3,587","1,437","2,605","4,346","1,536",156,142,261,160,139,"2,004"
2020,1,60,"15,355",707,510,756,328,"1,398","1,333",648,789,294,868,"1,180",744,"1,120","1,956",776,196,197,351,213,151,840
2020,1,70,"9,637",493,421,558,236,766,872,299,396,223,428,716,454,766,997,335,204,204,311,213,241,504
2020,1,80,"5,230",201,179,259,100,388,566,187,184,143,240,431,203,352,442,179,174,126,210,215,207,244
2020,1,90,853,35,29,43,30,81,104,26,29,14,51,54,21,51,76,29,29,13,48,31,26,33
2020,1,100,57,2,6,5,4,5,3,0,2,1,1,2,3,2,5,4,2,2,2,2,3,1
2020,2,총,"201,396","5,650","3,359","8,032","2,417","15,986","12,033","5,764","8,242","3,488","13,201","21,930","10,580","16,311","39,803","11,512","1,038",960,"1,813","1,124","1,057","17,096"
2020,2,0,"20,645",390,166,756,180,"1,985",946,387,623,358,981,"1,990","1,120","1,635","5,441","1,601",29,22,69,33,25,"1,908"
2020,2,10,"26,156",601,202,850,203,"1,802","1,013",593,"1,070",383,"1,780","2,915","1,584","2,029","6,714","1,486",51,45,74,51,39,"2,671"
2020,2,20,"26,942",797,471,"1,047",296,"1,812","1,675",921,"1,174",393,"2,293","3,653","1,364","2,347","4,452","1,366",80,78,169,62,71,"2,421"
2020,2,30,"27,905",606,399,"1,171",288,"2,765","1,571",608,912,452,"1,509","2,863","1,430","2,210","6,187","1,976",49,61,157,62,61,"2,568"
2020,2,40,"38,789",970,412,"1,369",346,"2,727","1,810",925,"1,577",653,"2,394","4,509","2,217","3,140","9,171","2,210",68,74,165,89,96,"3,867"
2020,2,50,"29,703",846,552,"1,209",404,"2,250","2,136","1,171","1,479",565,"2,633","3,607","1,441","2,633","4,355","1,544",157,137,257,160,140,"2,027"
2020,2,60,"15,436",705,519,759,328,"1,410","1,327",647,796,299,884,"1,191",742,"1,135","1,958",780,194,199,353,213,147,850
2020,2,70,"9,623",495,421,561,237,760,866,302,390,222,430,717,451,770,"1,000",334,203,201,310,209,238,506
2020,2,80,"5,274",202,184,262,101,392,578,181,190,148,245,424,206,356,449,182,174,127,210,211,212,240
2020,2,90,868,36,27,43,30,78,108,29,29,14,51,59,22,54,72,29,31,14,47,32,26,37
2020,2,100,55,2,6,5,4,5,3,0,2,1,1,2,3,2,4,4,2,2,2,2,2,1
2020,3,총,"201,534","5,634","3,340","8,009","2,405","15,949","12,424","5,752","8,188","3,487","13,319","21,869","10,464","16,318","39,753","11,494","1,038",955,"1,809","1,120","1,051","17,156"
2020,3,0,"20,556",387,169,750,175,"1,972",985,387,615,356,977,"1,976","1,105","1,618","5,398","1,594",30,22,74,33,25,"1,908"
2020,3,10,"26,080",595,203,837,204,"1,808","1,033",592,"1,051",373,"1,784","2,881","1,564","2,020","6,710","1,492",47,45,76,51,40,"2,674"
2020,3,20,"27,030",788,465,"1,047",296,"1,798","1,762",920,"1,166",404,"2,319","3,655","1,352","2,349","4,476","1,360",78,76,164,65,73,"2,417"
2020,3,30,"27,810",601,391,"1,165",284,"2,748","1,661",608,917,447,"1,515","2,867","1,390","2,191","6,120","1,951",47,60,158,57,60,"2,572"
2020,3,40,"38,789",968,408,"1,363",342,"2,717","1,866",917,"1,556",651,"2,423","4,463","2,195","3,147","9,192","2,207",71,73,162,90,95,"3,883"
2020,3,50,"29,834",843,547,"1,210",406,"2,237","2,199","1,158","1,470",570,"2,677","3,613","1,439","2,647","4,379","1,551",153,137,254,155,139,"2,050"
2020,3,60,"15,582",710,513,769,332,"1,418","1,358",660,799,301,892,"1,208",746,"1,153","1,963",787,200,199,352,211,149,862
2020,3,70,"9,608",497,420,558,234,772,866,302,392,221,432,715,441,772,992,335,203,198,309,210,236,503
2020,3,80,"5,294",204,190,262,101,395,583,180,190,146,247,422,205,363,443,184,175,127,209,212,206,250
2020,3,90,893,38,28,43,26,79,109,28,29,17,52,67,24,55,76,29,32,16,49,34,26,36
2020,3,100,58,3,6,5,5,5,2,0,3,1,1,2,3,3,4,4,2,2,2,2,2,1
2020,4,총,"201,969","5,596","3,350","8,019","2,372","15,897","12,895","5,744","8,148","3,484","13,481","21,845","10,416","16,297","39,706","11,485","1,050",955,"1,811","1,119","1,053","17,246"
2020,4,0,"20,470",377,166,750,173,"1,954","1,027",388,603,352,981,"1,972","1,086","1,611","5,348","1,590",31,23,73,33,24,"1,908"
2020,4,10,"26,078",587,209,834,199,"1,806","1,050",591,"1,041",371,"1,790","2,857","1,561","1,999","6,741","1,503",56,42,76,52,39,"2,674"
2020,4,20,"27,202",789,464,"1,050",291,"1,795","1,868",924,"1,159",400,"2,362","3,666","1,352","2,360","4,476","1,349",77,75,161,63,74,"2,447"
2020,4,30,"27,799",594,396,"1,166",273,"2,712","1,765",596,913,445,"1,533","2,887","1,384","2,187","6,064","1,934",48,58,154,55,60,"2,575"
