년도,월,나이,아산시,염치읍,배방읍,송악면,탕정면,음봉면,둔포면,영인면,인주면,선장면,도고면,신창면,온양1동,온양2동,온양3동,온양4동,온양5동,온양6동
2020,1,총,"151,525","3,228","35,739","2,077","9,673","9,186","9,325","2,658","2,988","1,555","2,221","9,811","4,602","3,544","18,654","8,849","12,655","14,760"
2020,1,0,"16,917",208,"4,729",113,"1,556","1,416","1,175",78,165,23,63,893,472,147,"2,135",749,"1,304","1,691"
2020,1,10,"16,668",250,"4,428",170,"1,337",776,683,125,203,69,105,"1,036",343,268,"2,428","1,164","1,448","1,835"
2020,1,20,"16,260",248,"4,293",124,"1,087",793,"1,016",167,203,92,163,"1,061",537,443,"2,132",869,"1,586","1,446"
2020,1,30,"23,709",279,"6,801",127,"2,039","1,744","1,827",159,245,60,140,"1,229",817,267,"2,845","1,018","1,888","2,224"
2020,1,40,"25,096",401,"6,509",262,"1,794","1,348","1,209",231,359,99,176,"1,617",645,502,"3,325","1,681","2,251","2,687"
2020,1,50,"20,949",546,"4,303",356,854,"1,227","1,351",469,547,246,385,"1,462",632,720,"2,541","1,406","1,876","2,028"
2020,1,60,"15,040",555,"2,462",378,480,942,970,562,507,390,444,"1,129",552,591,"1,633",957,"1,149","1,339"
2020,1,70,"9,807",395,"1,348",287,302,507,616,450,384,286,410,831,364,379,"1,014",594,741,899
2020,1,80,"6,081",295,757,223,189,364,400,353,330,249,293,480,190,186,529,356,343,544
2020,1,90,919,49,104,33,34,67,75,62,42,37,39,66,43,33,67,48,59,61
2020,1,100,79,2,5,4,1,2,3,2,3,4,3,7,7,8,5,7,10,6
2020,2,총,"151,260","3,196","35,734","2,069","9,683","9,170","9,358","2,647","2,967","1,550","2,214","9,752","4,601","3,537","18,589","8,844","12,610","14,739"
2020,2,0,"16,765",210,"4,709",111,"1,551","1,404","1,169",75,161,22,64,866,475,147,"2,099",741,"1,282","1,679"
2020,2,10,"16,666",247,"4,424",171,"1,348",781,703,123,202,70,104,"1,031",344,271,"2,407","1,167","1,444","1,829"
2020,2,20,"16,108",240,"4,268",118,"1,071",789,"1,008",167,194,91,152,"1,054",531,426,"2,142",860,"1,570","1,427"
2020,2,30,"23,479",274,"6,751",126,"2,015","1,730","1,825",153,245,60,140,"1,205",811,272,"2,798","1,005","1,849","2,220"
2020,2,40,"25,237",400,"6,558",268,"1,825","1,351","1,226",230,355,97,176,"1,616",655,490,"3,336","1,679","2,269","2,706"
2020,2,50,"20,937",541,"4,314",348,859,"1,234","1,336",467,545,241,385,"1,451",629,720,"2,547","1,414","1,883","2,023"
2020,2,60,"15,138",555,"2,476",382,486,940,988,567,510,392,447,"1,142",550,600,"1,644",959,"1,150","1,350"
