년도,월,나이,대전광역시 서구,대전광역시 서구 복수동,대전광역시 서구 도마1동,대전광역시 서구 도마2동,대전광역시 서구 정림동,대전광역시 서구 변동,대전광역시 서구 용문동,대전광역시 서구 탄방동,대전광역시 서구 괴정동,대전광역시 서구 가장동,대전광역시 서구 내동,대전광역시 서구 갈마1동,대전광역시 서구 갈마2동,대전광역시 서구 월평1동,대전광역시 서구 월평2동,대전광역시 서구 월평3동,대전광역시 서구 가수원동,대전광역시 서구 관저1동,대전광역시 서구 관저2동,대전광역시 서구 기성동,대전광역시 서구 둔산1동,대전광역시 서구 둔산2동,대전광역시 서구 만년동,대전광역시 서구 둔산3동
2020,3,총,"244,211","11,524","7,526","9,142","8,617","8,118","6,726","13,391","9,784","6,473","12,492","10,715","12,659","5,131","8,054","11,357","20,918","8,302","26,162","1,883","8,777","19,142","6,676","10,642"
2020,3,0,"19,423","1,097",359,425,579,496,333,739,628,463,"1,000",557,782,206,423,986,"2,809",624,"3,213",48,822,"1,692",513,629
2020,3,10,"24,788","1,535",566,735,760,630,318,"1,128",663,576,"1,395",842,"1,172",288,666,"1,305","2,237",840,"3,145",77,"1,629","2,195",714,"1,372"
2020,3,20,"36,055","1,376","1,071","1,135","1,014",999,"1,407","2,727","2,281",844,"1,469","1,977","2,702","1,222",943,"1,356","2,443","1,483","3,438",130,799,"2,838","1,122","1,279"
2020,3,30,"33,208","1,455",708,882,900,972,"1,058","2,101","1,681",795,"1,452","1,483","1,981",750,779,"1,409","3,576","1,068","4,388",118,884,"2,868",970,930
2020,3,40,"41,310","2,226",861,"1,226","1,243","1,141",835,"2,280","1,395","1,005","2,192","1,653","1,930",707,"1,113","1,950","3,745","1,335","5,072",162,"2,206","3,752","1,209","2,072"
2020,3,50,"40,328","1,729","1,389","1,672","1,787","1,521","1,038","2,254","1,379","1,051","2,067","1,874","2,122",898,"1,576","2,243","2,973","1,512","3,584",330,"1,117","3,225","1,184","1,803"
2020,3,60,"27,035","1,198","1,377","1,655","1,252","1,265",926,"1,189",980,935,"1,657","1,443","1,211",612,"1,224","1,289","1,852",714,"1,831",342,662,"1,542",545,"1,334"
2020,3,70,"13,617",580,777,906,662,733,519,581,512,517,820,556,447,278,737,466,804,443,889,326,419,627,260,758
2020,3,80,"7,147",275,360,430,353,302,253,343,223,236,390,269,276,139,498,304,394,240,512,271,206,350,127,396
2020,3,90,"1,230",51,55,72,65,55,35,46,39,48,46,55,36,29,94,48,81,42,83,74,32,49,31,64
2020,3,100,70,2,3,4,2,4,4,3,3,3,4,6,0,2,1,1,4,1,7,5,1,4,1,5
2020,4,총,"244,292","11,562","7,521","9,157","8,605","8,085","6,741","13,401","9,831","6,465","12,485","10,731","12,678","5,146","8,055","11,342","20,973","8,276","26,155","1,878","8,748","19,163","6,660","10,634"
2020,4,0,"19,331","1,086",357,426,573,484,326,744,624,464,995,559,775,202,429,983,"2,803",619,"3,205",49,805,"1,685",507,631
2020,4,10,"24,740","1,540",567,729,757,631,321,"1,122",668,565,"1,381",832,"1,175",290,669,"1,297","2,248",829,"3,144",76,"1,627","2,185",710,"1,377"
2020,4,20,"36,139","1,397","1,063","1,140","1,003","1,003","1,413","2,736","2,315",841,"1,477","1,974","2,706","1,227",937,"1,345","2,454","1,491","3,446",123,806,"2,843","1,116","1,283"
2020,4,30,"33,196","1,446",702,897,906,961,"1,067","2,111","1,690",803,"1,453","1,508","1,981",741,780,"1,404","3,579","1,046","4,365",120,867,"2,886",965,918
2020,4,40,"41,232","2,249",864,"1,204","1,243","1,125",830,"2,261","1,394",992,"2,195","1,640","1,933",714,"1,117","1,951","3,766","1,324","5,058",160,"2,204","3,742","1,196","2,070"
2020,4,50,"40,289","1,727","1,394","1,670","1,765","1,505","1,044","2,245","1,384","1,051","2,055","1,873","2,118",906,"1,568","2,226","2,970","1,514","3,605",333,"1,122","3,225","1,192","1,797"
2020,4,60,"27,203","1,207","1,369","1,672","1,268","1,280",923,"1,207",979,934,"1,662","1,455","1,217",616,"1,218","1,309","1,860",725,"1,844",344,664,"1,565",555,"1,330"
2020,4,70,"13,671",585,786,905,669,735,522,582,513,524,819,556,453,277,741,474,803,445,883,329,417,627,260,766
2020,4,80,"7,183",272,362,436,351,300,255,346,220,240,398,272,282,142,501,303,401,241,516,267,205,351,128,394
2020,4,90,"1,239",51,54,74,68,57,36,45,41,48,46,56,38,29,94,49,85,41,81,72,30,50,31,63
2020,4,100,69,2,3,4,2,4,4,2,3,3,4,6,0,2,1,1,4,1,8,5,1,4,0,5
