년도,월,나이,인천광역시,인천광역시 중구,인천광역시 동구,인천광역시 미추홀구,인천광역시 연수구,인천광역시 남동구,인천광역시 부평구,인천광역시 계양구,인천광역시 서구,인천광역시 강화군,인천광역시 옹진군
2020,3,총,"1,479,839","71,205","32,314","204,964","184,450","264,508","251,023","150,492","274,696","34,595","11,592"
2020,3,0,"122,481","6,315","2,221","14,620","18,845","23,036","18,140","10,142","26,948","1,710",504
2020,3,10,"143,995","6,440","2,741","16,894","21,364","26,169","23,500","14,487","29,327","2,446",627
2020,3,20,"211,904","9,731","3,688","30,278","26,374","37,338","37,407","23,728","38,214","3,191","1,955"
2020,3,30,"214,926","11,355","3,927","30,569","27,218","39,047","36,657","20,258","41,786","2,872","1,237"
2020,3,40,"249,847","13,335","5,602","33,917","32,370","45,918","40,215","23,610","49,041","4,272","1,567"
2020,3,50,"257,735","10,859","5,455","34,090","30,990","44,858","45,456","30,337","47,331","6,250","2,109"
2020,3,60,"172,319","7,542","4,732","25,782","17,983","30,215","30,820","18,687","27,763","6,764","2,031"
2020,3,70,"78,381","4,189","2,875","13,879","6,788","13,475","13,840","6,754","10,736","4,726","1,119"
2020,3,80,"25,441","1,262",948,"4,462","2,222","4,024","4,516","2,244","3,210","2,162",391
2020,3,90,"2,565",150,102,426,280,399,428,230,311,191,48
2020,3,100,245,27,23,47,16,29,44,15,29,11,4
2020,4,총,"1,478,916","71,389","32,239","204,942","184,733","264,348","250,187","150,250","274,644","34,609","11,575"
2020,4,0,"121,907","6,281","2,193","14,570","18,837","22,903","17,983","10,088","26,846","1,707",499
2020,4,10,"143,618","6,480","2,735","16,832","21,349","26,147","23,367","14,373","29,277","2,430",628
2020,4,20,"211,612","9,727","3,676","30,300","26,386","37,277","37,213","23,690","38,208","3,195","1,940"
2020,4,30,"214,442","11,402","3,913","30,535","27,203","38,901","36,509","20,202","41,694","2,855","1,228"
2020,4,40,"249,401","13,334","5,578","33,886","32,377","45,856","40,040","23,512","48,986","4,282","1,550"
2020,4,50,"257,622","10,908","5,454","34,078","31,070","44,895","45,277","30,280","47,324","6,228","2,108"
2020,4,60,"173,159","7,585","4,721","25,865","18,142","30,342","30,895","18,840","27,919","6,802","2,048"
2020,4,70,"78,726","4,217","2,885","13,924","6,839","13,547","13,868","6,775","10,808","4,734","1,129"
2020,4,80,"25,606","1,279",954,"4,475","2,231","4,052","4,562","2,246","3,239","2,175",393
2020,4,90,"2,577",149,107,429,283,399,428,229,314,191,48
2020,4,100,246,27,23,48,16,29,45,15,29,10,4
2020,5,총,"1,478,307","71,667","32,230","204,875","185,068","264,071","249,482","149,977","274,679","34,656","11,602"
2020,5,0,"121,360","6,265","2,185","14,498","18,841","22,760","17,850","10,015","26,731","1,713",502
2020,5,10,"143,138","6,511","2,718","16,743","21,322","26,059","23,235","14,271","29,229","2,419",631
2020,5,20,"211,467","9,747","3,671","30,332","26,370","37,279","37,094","23,617","38,207","3,198","1,952"
2020,5,30,"214,096","11,489","3,912","30,469","27,275","38,789","36,343","20,181","41,575","2,849","1,214"
2020,5,40,"248,912","13,372","5,551","33,831","32,433","45,734","39,819","23,386","48,957","4,282","1,547"
2020,5,50,"257,668","10,956","5,449","34,084","31,106","44,897","45,211","30,243","47,390","6,233","2,099"
2020,5,60,"173,935","7,631","4,740","25,935","18,307","30,417","30,928","18,957","28,121","6,835","2,064"
2020,5,70,"79,206","4,238","2,909","14,020","6,885","13,611","13,962","6,805","10,878","4,753","1,145"
2020,5,80,"25,702","1,282",964,"4,485","2,232","4,098","4,569","2,255","3,248","2,173",396
2020,5,90,"2,580",150,108,430,283,397,427,232,313,192,48
2020,5,100,243,26,23,48,14,30,44,15,30,9,4
2020,6,총,"1,476,813","71,833","32,101","204,638","185,258","263,707","248,663","149,655","274,761","34,617","11,580"
2020,6,0,"120,847","6,259","2,146","14,399","18,806","22,673","17,719","9,949","26,689","1,713",494
2020,6,10,"142,763","6,519","2,689","16,668","21,324","25,974","23,116","14,217","29,225","2,401",630
2020,6,20,"210,883","9,756","3,670","30,334","26,342","37,170","36,890","23,499","38,117","3,178","1,927"
2020,6,30,"213,371","11,522","3,870","30,340","27,332","38,569","36,111","20,115","41,475","2,841","1,196"
2020,6,40,"248,676","13,389","5,538","33,755","32,464","45,731","39,667","23,305","49,010","4,274","1,543"
