년도,월,나이,영동군,영동읍,용산면,황간면,추풍령면,매곡면,상촌면,양강면,용화면,학산면,양산면,심천면
2020,11,30,"1,741",999,99,141,53,43,59,100,22,70,48,107
2020,11,40,"2,919","1,565",170,242,116,98,106,159,47,145,100,171
2020,11,50,"4,509","1,828",364,436,241,197,222,341,112,277,182,309
2020,11,60,"4,665","1,484",411,508,255,242,302,348,129,361,223,402
2020,11,70,"2,853",835,245,291,179,132,209,218,78,237,156,273
2020,11,80,"1,335",334,111,134,88,92,89,113,40,133,72,129
2020,11,90,127,21,11,7,9,9,10,9,6,14,16,15
2020,11,100,11,5,1,1,1,0,1,0,0,1,0,1
2020,12,총,"23,624","10,322","1,675","2,210","1,131",958,"1,163","1,653",510,"1,433",933,"1,636"
2020,12,0,"1,190",767,57,95,25,27,27,49,15,48,27,53
2020,12,10,"1,766","1,066",71,163,63,52,65,101,30,49,38,68
2020,12,20,"2,499","1,435",140,183,90,70,70,206,24,105,66,110
2020,12,30,"1,726",988,98,137,50,41,57,104,24,71,49,107
2020,12,40,"2,907","1,557",167,240,117,96,108,165,49,139,102,167
2020,12,50,"4,513","1,825",363,442,247,198,222,334,113,278,180,311
2020,12,60,"4,691","1,487",413,512,262,241,306,352,133,357,227,401
2020,12,70,"2,852",835,244,294,182,131,206,218,77,239,155,271
2020,12,80,"1,349",337,111,136,86,94,91,115,39,133,75,132
2020,12,90,120,20,10,7,8,8,10,9,6,13,14,15
2020,12,100,11,5,1,1,1,0,1,0,0,1,0,1
2021,1,총,"23,487","10,280","1,668","2,201","1,129",946,"1,149","1,640",504,"1,423",926,"1,621"
2021,1,0,"1,169",760,54,92,25,23,26,47,17,47,25,53
2021,1,10,"1,744","1,056",70,162,64,51,63,99,31,48,36,64
2021,1,20,"2,461","1,424",138,176,88,66,67,200,23,103,66,110
2021,1,30,"1,700",973,100,137,47,43,54,99,24,68,50,105
2021,1,40,"2,887","1,543",166,243,120,96,107,167,46,136,104,159
2021,1,50,"4,470","1,816",357,439,245,195,219,330,108,272,178,311
2021,1,60,"4,717","1,500",419,508,262,239,302,361,135,363,227,401
2021,1,70,"2,872",845,245,298,182,133,209,217,76,242,152,273
2021,1,80,"1,336",336,108,138,87,93,90,112,38,130,74,130
2021,1,90,120,21,10,7,8,7,11,8,6,13,14,15
2021,1,100,11,6,1,1,1,0,1,0,0,1,0,0
2021,2,총,"23,396","10,228","1,665","2,197","1,129",947,"1,154","1,629",497,"1,422",918,"1,610"
2021,2,0,"1,145",746,54,90,24,23,28,43,15,46,23,53
2021,2,10,"1,734","1,052",71,160,62,50,61,100,28,49,38,63
2021,2,20,"2,409","1,390",136,170,87,68,64,195,24,103,63,109
2021,2,30,"1,686",969,95,137,49,43,58,96,22,66,50,101
2021,2,40,"2,872","1,538",166,244,120,94,109,167,46,133,99,156
2021,2,50,"4,440","1,809",352,441,245,192,214,332,107,272,176,300
2021,2,60,"4,761","1,507",428,508,263,243,306,362,136,364,231,413
2021,2,70,"2,869",851,245,294,183,133,209,217,74,245,149,269
2021,2,80,"1,345",337,108,145,86,93,93,109,39,129,75,131
2021,2,90,124,23,9,7,9,8,11,8,6,14,14,15
2021,2,100,11,6,1,1,1,0,1,0,0,1,0,0
2021,3,총,"23,207","10,123","1,656","2,184","1,117",942,"1,150","1,610",493,"1,407",912,"1,613"
2021,3,0,"1,142",747,53,91,23,22,27,43,16,45,22,53
2021,3,10,"1,709","1,032",74,157,55,48,65,99,28,46,39,66
2021,3,20,"2,353","1,355",127,173,86,67,62,189,23,100,62,109
2021,3,30,"1,668",960,96,137,50,43,56,96,21,64,47,98
2021,3,40,"2,836","1,527",168,237,119,94,111,156,43,129,97,155
2021,3,50,"4,383","1,776",349,441,239,188,211,336,108,264,174,297
2021,3,60,"4,817","1,534",432,508,267,243,308,363,138,370,238,416
2021,3,70,"2,833",832,237,289,185,134,206,214,71,247,145,273
2021,3,80,"1,351",340,110,144,85,96,95,107,40,127,76,131
2021,3,90,113,19,10,7,8,7,8,7,5,15,12,15
2021,3,100,2,1,0,0,0,0,1,0,0,0,0,0
2021,4,총,"23,178","10,098","1,659","2,170","1,116",949,"1,154","1,609",493,"1,408",911,"1,611"
2021,4,0,"1,130",741,52,90,24,22,27,44,16,43,21,50
2021,4,10,"1,710","1,033",75,158,55,48,66,97,28,45,39,66
2021,4,20,"2,333","1,349",126,167,85,69,62,185,22,99,61,108
2021,4,30,"1,649",951,98,135,49,44,55,93,20,62,46,96
2021,4,40,"2,814","1,519",166,232,120,93,111,156,39,126,97,155
2021,4,50,"4,370","1,772",342,436,236,189,211,338,113,266,172,295
2021,4,60,"4,861","1,536",437,510,270,247,312,368,138,380,240,423
2021,4,70,"2,839",836,240,289,187,136,204,214,72,243,145,273
2021,4,80,"1,356",341,113,146,81,94,97,106,40,129,78,131
2021,4,90,114,19,10,7,9,7,8,8,5,15,12,14
2021,4,100,2,1,0,0,0,0,1,0,0,0,0,0
2021,5,총,"23,171","10,078","1,665","2,162","1,110",951,"1,162","1,608",491,"1,409",915,"1,620"
2021,5,0,"1,131",736,52,95,22,24,28,43,15,44,22,50
2021,5,10,"1,695","1,029",72,153,54,47,65,98,29,44,37,67
2021,5,20,"2,330","1,348",126,164,82,72,62,181,22,102,61,110
2021,5,30,"1,638",945,99,131,48,44,55,94,20,61,45,96
2021,5,40,"2,787","1,497",165,233,119,93,106,158,39,124,98,155
2021,5,50,"4,358","1,775",346,429,235,184,213,333,114,262,172,295
2021,5,60,"4,919","1,551",442,517,271,249,323,373,135,387,240,431
2021,5,70,"2,830",833,238,283,190,138,203,214,72,241,148,270
2021,5,80,"1,364",344,114,150,80,93,96,107,40,130,79,131
2021,5,90,116,19,11,7,9,7,9,7,5,14,13,15
2021,5,100,3,1,0,0,0,0,2,0,0,0,0,0
2021,6,총,"23,096","10,040","1,665","2,150","1,108",953,"1,162","1,611",487,"1,402",914,"1,604"
2021,6,0,"1,131",737,50,95,23,25,28,43,15,44,21,50
2021,6,10,"1,684","1,018",73,153,54,47,63,99,28,43,40,66
2021,6,20,"2,309","1,340",122,159,79,71,64,181,21,100,60,112
2021,6,30,"1,626",940,102,130,48,42,55,94,20,62,43,90
2021,6,40,"2,768","1,484",161,232,120,94,106,157,39,122,97,156
2021,6,50,"4,320","1,770",343,420,234,182,215,329,109,255,171,292
2021,6,60,"4,958","1,556",452,525,269,254,323,380,138,391,242,428
2021,6,70,"2,820",832,240,281,191,138,201,215,71,237,149,265
2021,6,80,"1,361",343,111,148,81,93,97,105,41,134,78,130
2021,6,90,116,19,11,7,9,7,8,8,5,14,13,15
2021,6,100,3,1,0,0,0,0,2,0,0,0,0,0
2021,7,총,"23,068","10,028","1,656","2,146","1,110",946,"1,153","1,623",491,"1,399",911,"1,605"
2021,7,0,"1,119",736,46,89,22,25,27,44,15,43,23,49
2021,7,10,"1,684","1,020",76,154,52,47,62,97,28,43,39,66
2021,7,20,"2,288","1,318",118,157,81,68,64,194,21,98,59,110
2021,7,30,"1,627",946,101,133,48,43,51,91,20,62,43,89
2021,7,40,"2,738","1,474",158,229,119,94,102,152,39,119,98,154
2021,7,50,"4,325","1,778",340,418,233,181,215,333,112,253,171,291
2021,7,60,"4,974","1,553",454,530,273,251,324,382,138,396,240,433
2021,7,70,"2,822",838,241,281,188,138,201,214,70,238,147,266
2021,7,80,"1,369",344,111,148,85,91,97,108,43,133,78,131
2021,7,90,118,20,11,7,8,8,8,8,5,14,13,16
2021,7,100,4,1,0,0,1,0,2,0,0,0,0,0
2021,8,총,"23,006","10,002","1,647","2,138","1,107",943,"1,149","1,623",488,"1,393",914,"1,602"
2021,8,0,"1,107",729,46,87,20,26,26,44,15,43,23,48
2021,8,10,"1,682","1,018",75,156,51,46,61,98,28,42,40,67
2021,8,20,"2,262","1,306",118,156,81,67,61,193,22,95,57,106
2021,8,30,"1,619",943,98,131,46,44,51,91,18,64,43,90
2021,8,40,"2,707","1,468",155,223,119,90,98,153,38,116,98,149
2021,8,50,"4,316","1,773",340,417,234,180,219,330,111,250,172,290
2021,8,60,"4,993","1,562",454,531,272,252,327,382,139,399,240,435
2021,8,70,"2,828",837,241,283,189,139,200,218,69,235,148,269
2021,8,80,"1,373",346,110,147,86,91,97,107,44,135,80,130
2021,8,90,116,20,10,7,8,8,8,7,4,14,13,17
2021,8,100,3,0,0,0,1,0,1,0,0,0,0,1
2021,9,총,"22,912","9,977","1,642","2,126","1,107",944,"1,141","1,611",483,"1,381",910,"1,590"
2021,9,0,"1,100",729,45,87,21,25,26,45,15,40,23,44
2021,9,10,"1,667","1,007",72,157,51,46,61,96,27,44,40,66
2021,9,20,"2,212","1,287",116,149,78,65,60,182,22,92,56,105
2021,9,30,"1,589",930,96,129,48,43,48,89,17,63,41,85
2021,9,40,"2,697","1,465",156,218,118,91,98,148,38,117,99,149
2021,9,50,"4,329","1,778",341,417,235,181,216,336,112,249,173,291
2021,9,60,"4,993","1,577",452,530,271,255,327,383,136,395,238,429
2021,9,70,"2,825",834,243,285,190,137,199,216,68,232,149,272
2021,9,80,"1,380",349,111,146,86,92,97,109,44,136,79,131
2021,9,90,117,21,10,8,8,9,8,7,4,13,12,17
2021,9,100,3,0,0,0,1,0,1,0,0,0,0,1
2021,10,총,"22,879","9,982","1,640","2,125","1,108",940,"1,135","1,600",483,"1,381",908,"1,577"
2021,10,0,"1,088",730,42,84,21,25,25,39,17,40,23,42
2021,10,10,"1,671","1,012",71,160,53,46,60,97,27,43,39,63
2021,10,20,"2,200","1,279",123,146,73,65,61,182,22,93,54,102
2021,10,30,"1,574",925,93,128,52,43,48,82,17,61,41,84
2021,10,40,"2,701","1,471",152,220,118,90,100,150,35,121,97,147
2021,10,50,"4,311","1,768",344,416,232,183,211,335,113,247,173,289
2021,10,60,"5,010","1,596",455,532,273,250,322,381,136,395,240,430
2021,10,70,"2,825",830,241,287,189,138,204,217,67,232,148,272
2021,10,80,"1,383",353,110,143,88,90,95,110,45,136,81,132
2021,10,90,114,18,9,9,8,10,8,7,4,13,12,16
2021,10,100,2,0,0,0,1,0,1,0,0,0,0,0
2021,11,총,"22,861","9,963","1,641","2,135","1,105",952,"1,123","1,594",482,"1,383",903,"1,580"
2021,11,0,"1,081",725,41,86,20,24,25,39,17,39,23,42
2021,11,10,"1,670","1,014",69,162,53,47,57,94,26,44,40,64
2021,11,20,"2,168","1,257",127,147,71,69,58,178,21,92,51,97
2021,11,30,"1,575",930,94,127,52,43,50,78,16,59,43,83
2021,11,40,"2,680","1,457",150,224,113,92,99,149,35,122,95,144
2021,11,50,"4,333","1,785",350,413,233,188,208,333,114,249,169,291
2021,11,60,"5,034","1,598",451,538,279,250,321,388,136,396,239,438
2021,11,70,"2,820",828,242,286,188,139,202,217,67,231,149,271
2021,11,80,"1,387",353,108,143,88,90,94,110,46,139,82,134
2021,11,90,111,16,9,9,7,10,8,8,4,12,12,16
2021,11,100,2,0,0,0,1,0,1,0,0,0,0,0
2021,12,총,"22,810","9,954","1,647","2,121","1,113",950,"1,117","1,578",481,"1,373",896,"1,580"
2021,12,0,"1,068",732,38,78,20,24,25,34,16,39,22,40
2021,12,10,"1,668","1,014",69,166,53,47,57,94,26,41,37,64
2021,12,20,"2,139","1,230",130,146,74,68,56,175,20,91,51,98
2021,12,30,"1,572",935,92,127,51,42,48,79,17,59,42,80
2021,12,40,"2,671","1,456",153,220,114,93,96,144,34,124,93,144
2021,12,50,"4,326","1,788",348,413,234,189,206,326,113,247,170,292
2021,12,60,"5,045","1,595",454,535,283,247,323,393,138,392,239,446
2021,12,70,"2,812",829,242,284,185,141,204,214,66,230,149,268
2021,12,80,"1,394",360,112,143,89,89,92,111,47,137,81,133
2021,12,90,113,15,9,9,9,10,9,8,4,13,12,15
2021,12,100,2,0,0,0,1,0,1,0,0,0,0,0
