년도,월,나이,부산광역시 동구,부산광역시 동구 초량제1동,부산광역시 동구 초량제2동,부산광역시 동구 초량제3동,부산광역시 동구 초량제6동,부산광역시 동구 수정제1동,부산광역시 동구 수정제2동,부산광역시 동구 수정제4동,부산광역시 동구 수정제5동,부산광역시 동구 좌천동,부산광역시 동구 범일제1동,부산광역시 동구 범일제2동,부산광역시 동구 범일제5동
2020,1,총,"88,292","4,930","5,915","8,634","6,621","4,373","10,142","4,337","5,850","11,453","12,406","8,986","4,645"
2020,1,0,"4,164",200,185,715,241,209,431,138,218,493,424,528,382
2020,1,10,"5,312",279,286,505,457,351,633,273,399,706,696,459,268
2020,1,20,"10,429",683,670,"1,234",683,506,"1,248",388,626,"1,383","1,382","1,179",447
2020,1,30,"10,237",553,554,"1,713",570,422,"1,175",333,494,"1,247","1,226","1,222",728
2020,1,40,"12,129",721,800,"1,298",885,649,"1,351",538,775,"1,530","1,561","1,310",711
2020,1,50,"14,959",802,"1,044","1,252","1,122",724,"1,730",753,"1,026","1,945","2,268","1,642",651
2020,1,60,"15,577",862,"1,227","1,053","1,199",745,"1,792",835,"1,089","2,012","2,506","1,513",744
2020,1,70,"10,522",585,782,553,957,546,"1,230",741,838,"1,468","1,555",798,469
2020,1,80,"4,318",211,311,247,439,194,488,301,332,594,700,295,206
2020,1,90,549,28,47,56,56,22,49,35,51,64,75,32,34
2020,1,100,96,6,9,8,12,5,15,2,2,11,13,8,5
2020,2,총,"88,439","4,927","5,944","8,836","6,605","4,367","10,169","4,342","5,803","11,419","12,381","9,005","4,641"
2020,2,0,"4,133",202,186,718,239,206,427,137,216,493,420,511,378
2020,2,10,"5,321",278,281,529,456,347,644,274,388,691,685,477,271
2020,2,20,"10,456",680,685,"1,289",674,508,"1,256",386,614,"1,376","1,383","1,175",430
2020,2,30,"10,262",557,562,"1,746",559,422,"1,173",331,491,"1,255","1,213","1,215",738
2020,2,40,"12,133",717,805,"1,325",888,652,"1,352",543,766,"1,507","1,550","1,317",711
2020,2,50,"14,966",803,"1,036","1,280","1,113",715,"1,734",750,"1,018","1,947","2,263","1,651",656
2020,2,60,"15,620",858,"1,227","1,063","1,210",748,"1,795",833,"1,088","2,017","2,515","1,524",742
2020,2,70,"10,544",579,788,571,957,544,"1,235",745,836,"1,466","1,562",793,468
2020,2,80,"4,354",219,316,252,440,196,489,306,332,593,705,300,206
2020,2,90,552,28,49,55,56,24,49,35,52,62,72,34,36
2020,2,100,98,6,9,8,13,5,15,2,2,12,13,8,5
2020,3,총,"89,289","4,882","5,902","9,962","6,561","4,335","10,174","4,327","5,782","11,351","12,353","9,024","4,636"
2020,3,0,"4,246",194,177,879,228,207,420,135,206,487,422,516,375
2020,3,10,"5,359",276,273,611,449,335,649,266,390,680,676,481,273
2020,3,20,"10,594",684,671,"1,481",670,492,"1,256",389,608,"1,359","1,379","1,175",430
2020,3,30,"10,499",535,567,"2,047",553,430,"1,172",330,482,"1,232","1,201","1,221",729
2020,3,40,"12,198",712,793,"1,487",885,637,"1,358",532,762,"1,505","1,521","1,290",716
2020,3,50,"15,031",795,"1,018","1,406","1,096",715,"1,729",754,"1,015","1,936","2,252","1,668",647
2020,3,60,"15,683",851,"1,232","1,123","1,214",744,"1,799",831,"1,079","2,005","2,525","1,531",749
2020,3,70,"10,606",581,793,597,955,549,"1,232",748,845,"1,471","1,574",791,470
2020,3,80,"4,417",220,320,265,442,197,496,303,340,605,716,308,205
2020,3,90,558,28,49,58,56,24,48,37,53,59,74,35,37
2020,3,100,98,6,9,8,13,5,15,2,2,12,13,8,5
2020,4,총,"89,673","4,888","5,899","10,590","6,537","4,305","10,174","4,304","5,741","11,301","12,297","9,005","4,632"
2020,4,0,"4,268",193,173,933,223,193,422,136,201,484,418,508,384
2020,4,10,"5,357",278,272,663,442,336,642,259,378,678,667,473,269
2020,4,20,"10,658",682,668,"1,576",669,497,"1,253",388,612,"1,344","1,364","1,171",434
2020,4,30,"10,586",537,564,"2,185",554,417,"1,175",323,474,"1,229","1,193","1,210",725
2020,4,40,"12,257",709,790,"1,627",874,625,"1,345",528,749,"1,489","1,510","1,297",714
2020,4,50,"15,056",790,"1,036","1,465","1,080",715,"1,733",754,"1,011","1,917","2,238","1,673",644
2020,4,60,"15,757",855,"1,220","1,175","1,223",739,"1,814",826,"1,075","2,009","2,534","1,537",750
2020,4,70,"10,622",588,797,629,957,549,"1,231",742,844,"1,473","1,568",778,466
2020,4,80,"4,445",225,319,267,444,205,495,308,342,606,715,315,204
2020,4,90,568,25,51,62,58,24,49,38,53,59,77,35,37
2020,4,100,99,6,9,8,13,5,15,2,2,13,13,8,5
2020,5,총,"89,710","4,855","5,895","10,898","6,505","4,283","10,154","4,284","5,729","11,252","12,255","8,979","4,621"
2020,5,0,"4,248",187,166,954,218,193,416,139,201,482,414,501,377
2020,5,10,"5,322",270,275,676,440,323,638,254,380,666,666,463,271
2020,5,20,"10,678",683,658,"1,640",667,502,"1,246",384,606,"1,329","1,360","1,169",434
2020,5,30,"10,588",521,566,"2,251",548,415,"1,163",320,463,"1,224","1,193","1,207",717
2020,5,40,"12,254",710,790,"1,673",875,613,"1,344",522,756,"1,479","1,493","1,292",707
2020,5,50,"15,062",794,"1,036","1,514","1,070",717,"1,722",747,"1,005","1,912","2,231","1,666",648
2020,5,60,"15,786",849,"1,220","1,200","1,224",734,"1,822",825,"1,074","2,003","2,532","1,547",756
2020,5,70,"10,636",587,802,646,950,549,"1,235",744,847,"1,476","1,565",773,462
2020,5,80,"4,465",222,319,276,442,208,502,308,342,607,713,319,207
2020,5,90,572,26,54,60,58,24,51,39,53,61,75,34,37
2020,5,100,99,6,9,8,13,5,15,2,2,13,13,8,5
2020,6,총,"89,698","4,852","5,852","11,108","6,481","4,274","10,155","4,256","5,703","11,229","12,225","8,942","4,621"
2020,6,0,"4,230",187,164,977,216,195,417,126,197,478,408,486,379
2020,6,10,"5,283",272,272,684,428,323,631,248,373,658,668,456,270
2020,6,20,"10,686",686,647,"1,682",674,500,"1,251",380,604,"1,326","1,351","1,152",433
2020,6,30,"10,576",524,561,"2,287",543,410,"1,166",314,455,"1,209","1,183","1,205",719
2020,6,40,"12,218",699,782,"1,697",867,613,"1,344",517,750,"1,477","1,486","1,281",705
2020,6,50,"15,027",791,"1,030","1,567","1,066",718,"1,707",744,"1,000","1,900","2,205","1,654",645
2020,6,60,"15,879",853,"1,220","1,216","1,228",733,"1,830",826,"1,072","2,023","2,548","1,572",758
2020,6,70,"10,671",590,799,658,952,548,"1,234",747,854,"1,475","1,569",779,466
2020,6,80,"4,451",219,315,274,435,205,507,313,342,609,715,314,203
2020,6,90,577,25,53,58,59,24,52,39,54,61,79,35,38
2020,6,100,100,6,9,8,13,5,16,2,2,13,13,8,5
2020,7,총,"89,721","4,848","5,845","11,249","6,461","4,270","10,165","4,252","5,680","11,223","12,199","8,904","4,625"
2020,7,0,"4,219",179,165,998,215,192,412,125,196,476,402,484,375
2020,7,10,"5,255",274,269,693,420,321,622,247,371,657,658,449,274
2020,7,20,"10,702",676,657,"1,689",681,504,"1,261",384,598,"1,335","1,346","1,140",431
2020,7,30,"10,604",523,561,"2,320",542,398,"1,172",316,453,"1,206","1,192","1,207",714
2020,7,40,"12,168",703,776,"1,713",858,611,"1,335",513,739,"1,472","1,467","1,271",710
2020,7,50,"15,031",800,"1,031","1,589","1,060",722,"1,714",747,999,"1,894","2,188","1,643",644
2020,7,60,"15,882",848,"1,201","1,238","1,232",731,"1,832",819,"1,073","2,016","2,556","1,576",760
2020,7,70,"10,701",590,806,666,945,554,"1,241",745,849,"1,482","1,578",778,467
2020,7,80,"4,486",224,316,279,437,207,509,314,346,611,721,315,207
2020,7,90,574,26,54,56,58,25,51,40,54,61,78,33,38
2020,7,100,99,5,9,8,13,5,16,2,2,13,13,8,5
2020,8,총,"89,665","4,872","5,836","11,321","6,435","4,284","10,184","4,226","5,680","11,184","12,178","8,860","4,605"
2020,8,0,"4,203",179,160,"1,000",215,192,417,123,194,470,398,488,367
2020,8,10,"5,240",275,272,705,417,319,616,245,369,659,651,442,270
2020,8,20,"10,677",691,637,"1,717",676,507,"1,257",377,600,"1,324","1,330","1,121",440
2020,8,30,"10,569",522,561,"2,335",528,396,"1,181",318,449,"1,193","1,195","1,199",692
2020,8,40,"12,139",709,768,"1,728",854,609,"1,324",511,732,"1,470","1,459","1,259",716
2020,8,50,"14,998",798,"1,035","1,583","1,056",726,"1,705",734,997,"1,893","2,192","1,637",642
2020,8,60,"15,940",850,"1,208","1,243","1,234",739,"1,853",820,"1,086","2,016","2,551","1,580",760
2020,8,70,"10,717",589,815,666,939,555,"1,250",745,848,"1,477","1,582",784,467
2020,8,80,"4,503",226,316,283,441,213,514,313,347,611,723,308,208
2020,8,90,580,28,55,53,62,23,51,38,56,58,84,34,38
2020,8,100,99,5,9,8,13,5,16,2,2,13,13,8,5
2020,9,총,"89,410","4,862","5,840","11,347","6,394","4,245","10,149","4,212","5,641","11,131","12,151","8,838","4,600"
2020,9,0,"4,180",177,161,"1,003",200,178,420,127,189,460,398,492,375
2020,9,10,"5,220",276,276,706,418,319,611,245,365,655,647,433,269
2020,9,20,"10,589",684,639,"1,727",665,506,"1,234",375,589,"1,310","1,315","1,111",434
2020,9,30,"10,503",516,553,"2,330",524,392,"1,173",317,452,"1,173","1,186","1,194",693
2020,9,40,"12,075",707,768,"1,730",845,597,"1,316",511,722,"1,451","1,456","1,258",714
2020,9,50,"14,904",797,"1,029","1,573","1,055",719,"1,693",725,985,"1,889","2,170","1,630",639
2020,9,60,"16,011",855,"1,214","1,264","1,233",733,"1,868",820,"1,081","2,028","2,574","1,583",758
2020,9,70,"10,695",589,812,667,935,553,"1,247",741,847,"1,473","1,579",786,466
