년도,월,나이,서울특별시 종로구,서울특별시 종로구 청운효자동,서울특별시 종로구 사직동,서울특별시 종로구 삼청동,서울특별시 종로구 부암동,서울특별시 종로구 평창동,서울특별시 종로구 무악동,서울특별시 종로구 교남동,서울특별시 종로구 가회동,서울특별시 종로구 종로1.2.3.4가동,서울특별시 종로구 종로5.6가동,서울특별시 종로구 이화동,서울특별시 종로구 혜화동,서울특별시 종로구 창신제1동,서울특별시 종로구 창신제2동,서울특별시 종로구 창신제3동,서울특별시 종로구 숭인제1동,서울특별시 종로구 숭인제2동
2020,1,총,"151,215","12,738","9,554","2,779","10,095","18,653","8,707","10,614","4,374","7,207","5,357","7,838","16,806","5,231","8,528","7,114","6,188","9,432"
2020,1,0,"8,182",893,634,112,603,"1,199",745,918,214,212,124,276,755,163,266,422,328,318
2020,1,10,"11,714","1,256",749,214,958,"1,715","1,042",866,356,234,264,467,"1,408",264,581,568,409,363
2020,1,20,"23,442","1,618","1,231",354,"1,377","2,606",964,"1,313",494,863,"1,103","1,691","4,355",608,"1,219","1,017",809,"1,820"
2020,1,30,"20,356","1,771","1,407",396,"1,241","2,276",984,"1,805",596,890,693,"1,329","2,148",531,903,"1,005",871,"1,510"
2020,1,40,"23,030","2,251","1,527",387,"1,651","2,796","1,593","1,899",776,940,653,"1,045","2,330",693,"1,233","1,007",973,"1,276"
2020,1,50,"25,710","1,979","1,536",432,"1,720","3,364","1,387","1,583",708,"1,395",988,"1,155","2,271","1,171","1,867","1,307","1,151","1,696"
2020,1,60,"19,236","1,341","1,145",402,"1,273","2,352",996,"1,136",574,"1,369",744,903,"1,570",979,"1,304",963,855,"1,330"
2020,1,70,"12,563","1,031",784,298,797,"1,420",638,729,442,815,541,607,"1,259",567,798,548,531,758
2020,1,80,"5,705",500,430,146,390,747,293,306,168,363,198,309,610,205,302,226,217,295
2020,1,90,"1,018",80,92,29,75,154,49,44,36,89,40,43,79,43,42,39,36,48
2020,1,100,259,18,19,9,10,24,16,15,10,37,9,13,21,7,13,12,8,18
2020,2,총,"151,309","12,759","9,544","2,761","10,120","18,630","8,717","10,656","4,382","7,217","5,377","7,828","16,845","5,224","8,526","7,079","6,183","9,461"
2020,2,0,"8,130",895,617,110,607,"1,196",751,917,215,212,126,279,747,158,262,407,320,311
2020,2,10,"11,652","1,253",720,213,960,"1,694","1,043",876,352,228,256,468,"1,429",261,570,558,405,366
2020,2,20,"23,436","1,616","1,247",354,"1,372","2,585",943,"1,316",496,860,"1,111","1,684","4,364",609,"1,219","1,004",814,"1,842"
2020,2,30,"20,325","1,772","1,401",392,"1,247","2,267",995,"1,803",590,888,703,"1,311","2,143",533,916,998,860,"1,506"
2020,2,40,"23,051","2,249","1,514",380,"1,668","2,799","1,606","1,910",786,952,647,"1,058","2,323",694,"1,227",998,976,"1,264"
2020,2,50,"25,703","1,992","1,546",429,"1,712","3,350","1,373","1,596",698,"1,392",991,"1,152","2,294","1,154","1,863","1,305","1,148","1,708"
2020,2,60,"19,383","1,356","1,164",398,"1,273","2,380","1,004","1,140",584,"1,375",749,902,"1,577",988,"1,304",981,867,"1,341"
2020,2,70,"12,597","1,027",784,298,802,"1,431",643,734,442,825,541,607,"1,254",568,804,547,530,760
2020,2,80,"5,747",501,443,148,391,750,294,304,172,360,203,310,611,208,304,229,222,297
2020,2,90,"1,026",80,90,30,78,154,49,45,37,88,41,44,82,43,44,40,33,48
2020,2,100,259,18,18,9,10,24,16,15,10,37,9,13,21,8,13,12,8,18
2020,3,총,"151,217","12,723","9,553","2,749","10,164","18,609","8,720","10,603","4,361","7,230","5,368","7,828","16,879","5,188","8,503","7,057","6,174","9,508"
2020,3,0,"8,059",894,618,112,610,"1,197",743,904,214,203,125,274,733,154,256,407,316,299
2020,3,10,"11,570","1,223",710,212,949,"1,681","1,037",862,348,231,250,466,"1,441",257,555,562,405,381
2020,3,20,"23,472","1,627","1,262",350,"1,387","2,551",950,"1,319",492,855,"1,109","1,694","4,410",593,"1,225",993,811,"1,844"
2020,3,30,"20,290","1,758","1,405",384,"1,259","2,281",998,"1,795",594,871,691,"1,298","2,127",531,912,"1,003",862,"1,521"
2020,3,40,"22,935","2,225","1,500",386,"1,661","2,801","1,590","1,888",769,966,646,"1,053","2,310",687,"1,218",989,968,"1,278"
2020,3,50,"25,736","1,999","1,550",422,"1,729","3,346","1,389","1,593",698,"1,391",996,"1,153","2,302","1,151","1,864","1,298","1,150","1,705"
2020,3,60,"19,489","1,369","1,168",403,"1,287","2,404","1,001","1,138",586,"1,397",756,908,"1,585",987,"1,307",977,863,"1,353"
2020,3,70,"12,580","1,027",785,289,804,"1,421",647,732,443,826,539,612,"1,248",568,806,544,532,757
2020,3,80,"5,792",505,446,152,391,747,299,310,172,365,205,310,617,208,303,233,226,303
2020,3,90,"1,033",78,91,30,77,156,50,47,35,87,42,47,84,43,44,40,33,49
2020,3,100,261,18,18,9,10,24,16,15,10,38,9,13,22,9,13,11,8,18
2020,4,총,"150,936","12,711","9,509","2,734","10,144","18,573","8,690","10,563","4,351","7,242","5,368","7,786","16,916","5,185","8,452","7,049","6,148","9,515"
2020,4,0,"8,008",889,612,104,611,"1,198",739,904,214,196,121,271,723,155,252,402,319,298
2020,4,10,"11,479","1,223",695,217,941,"1,674","1,031",853,344,233,248,451,"1,427",251,540,568,396,387
2020,4,20,"23,445","1,623","1,251",346,"1,393","2,539",949,"1,302",497,847,"1,099","1,693","4,439",597,"1,212",986,818,"1,854"
2020,4,30,"20,235","1,754","1,403",383,"1,244","2,268",991,"1,785",580,898,695,"1,293","2,132",530,914,993,855,"1,517"
2020,4,40,"22,848","2,222","1,501",375,"1,656","2,806","1,585","1,876",764,966,642,"1,038","2,307",679,"1,194",990,966,"1,281"
