년도,월,나이,전라남도,목포시,여수시,순천시,나주시,광양시,담양군,곡성군,구례군,고흥군,보성군,화순군,장흥군,강진군,해남군,영암군,무안군,함평군,영광군,장성군,완도군,진도군,신안군
2020,1,총,"928,750","115,238","138,714","140,895","56,975","73,625","22,777","14,706","13,463","33,423","21,349","31,641","19,822","18,298","35,613","26,491","40,469","16,414","27,019","22,216","25,200","15,589","18,813"
2020,1,0,"67,787","9,797","10,766","11,715","5,058","6,975","1,195",595,613,"1,348",932,"1,773","1,019",949,"2,152","1,940","3,524",718,"1,869","1,504","1,613",916,816
2020,1,10,"83,669","12,562","13,263","14,960","4,557","8,107","1,468","1,018",930,"1,942","1,368","2,892","1,413","1,307","2,668","2,178","4,307","1,024","2,094","1,615","1,841","1,110","1,045"
2020,1,20,"91,072","12,818","15,076","17,088","5,843","8,846","2,079","1,177","1,013","1,948","1,388","3,137","1,490","1,316","2,556","2,214","3,784","1,143","2,333","1,878","1,598","1,077","1,270"
2020,1,30,"91,910","13,696","14,975","16,444","7,093","8,962","1,791",837,859,"1,780","1,278","2,433","1,391","1,307","2,711","2,328","4,544","1,022","2,388","1,889","1,987","1,060","1,135"
2020,1,40,"123,194","18,667","20,295","22,360","7,077","12,156","2,274","1,419","1,400","2,726","1,918","4,099","1,935","1,734","3,603","3,117","5,875","1,498","2,924","2,439","2,640","1,523","1,515"
2020,1,50,"148,165","18,448","23,551","24,311","7,954","13,046","3,661","2,245","2,147","4,814","3,067","5,097","3,027","2,769","5,416","4,061","5,636","2,437","4,034","3,327","3,802","2,371","2,944"
2020,1,60,"128,759","14,365","19,552","15,805","7,491","7,387","3,793","2,308","2,275","6,289","3,744","4,219","3,183","3,012","6,042","3,799","5,135","2,796","4,146","3,365","4,168","2,497","3,388"
2020,1,70,"109,370","9,669","13,081","10,331","6,611","4,465","3,545","2,571","2,325","6,624","3,930","4,462","3,256","3,107","5,832","3,757","4,410","3,109","4,154","3,382","4,271","2,805","3,673"
2020,1,80,"72,351","4,447","6,851","6,654","4,513","3,112","2,498","2,134","1,619","5,003","3,174","3,062","2,620","2,416","3,980","2,677","2,771","2,301","2,628","2,420","2,849","1,951","2,671"
2020,1,90,"11,784",712,"1,222","1,179",726,552,446,393,268,909,513,438,466,356,617,395,453,343,415,360,411,266,344
2020,1,100,689,57,82,48,52,17,27,9,14,40,37,29,22,25,36,25,30,23,34,37,20,13,12
2020,2,총,"926,994","114,973","138,417","141,041","56,942","73,091","22,748","14,660","13,399","33,360","21,294","31,571","19,761","18,238","35,476","26,457","40,546","16,394","26,954","22,164","25,145","15,554","18,809"
2020,2,0,"67,498","9,721","10,730","11,687","5,033","6,937","1,200",590,613,"1,349",920,"1,767","1,009",942,"2,136","1,932","3,508",721,"1,858","1,510","1,602",916,817
2020,2,10,"83,021","12,469","13,147","14,888","4,550","7,949","1,467","1,014",919,"1,923","1,366","2,861","1,401","1,288","2,644","2,157","4,301","1,011","2,089","1,618","1,826","1,103","1,030"
2020,2,20,"90,268","12,767","14,958","17,053","5,796","8,659","2,042","1,149",993,"1,908","1,366","3,115","1,462","1,294","2,518","2,196","3,796","1,124","2,295","1,846","1,610","1,053","1,268"
2020,2,30,"91,429","13,565","14,867","16,463","7,095","8,917","1,779",833,845,"1,765","1,266","2,407","1,375","1,296","2,673","2,318","4,544","1,027","2,391","1,857","1,962","1,050","1,134"
2020,2,40,"123,162","18,673","20,273","22,410","7,088","12,063","2,264","1,421","1,386","2,734","1,916","4,102","1,933","1,733","3,600","3,128","5,910","1,497","2,922","2,445","2,628","1,524","1,512"
2020,2,50,"147,945","18,428","23,530","24,346","7,943","12,981","3,669","2,250","2,139","4,802","3,060","5,075","3,025","2,760","5,389","4,050","5,644","2,427","4,018","3,331","3,784","2,361","2,933"
