년도,월,나이,제주특별자치도 서귀포시,제주특별자치도 서귀포시 대정읍,제주특별자치도 서귀포시 남원읍,제주특별자치도 서귀포시 성산읍,제주특별자치도 서귀포시 안덕면,제주특별자치도 서귀포시 표선면,제주특별자치도 서귀포시 송산동,제주특별자치도 서귀포시 정방동,제주특별자치도 서귀포시 중앙동,제주특별자치도 서귀포시 천지동,제주특별자치도 서귀포시 효돈동,제주특별자치도 서귀포시 영천동,제주특별자치도 서귀포시 동홍동,제주특별자치도 서귀포시 서홍동,제주특별자치도 서귀포시 대륜동,제주특별자치도 서귀포시 대천동,제주특별자치도 서귀포시 중문동,제주특별자치도 서귀포시 예래동
2020,1,총,"89,705","10,932","9,138","7,383","5,819","5,936","2,009","1,121","1,935","1,744","2,611","2,597","11,787","5,290","7,158","6,754","5,527","1,964"
2020,1,0,"7,327",843,566,479,454,392,109,58,112,85,185,173,"1,117",606,739,791,496,122
2020,1,10,"8,391","1,182",772,506,439,434,166,69,138,125,201,221,"1,552",697,596,591,568,134
2020,1,20,"9,136",858,866,661,678,562,204,94,165,171,282,287,"1,341",573,749,749,628,268
2020,1,30,"10,080","1,157",820,697,595,579,188,110,155,175,269,213,"1,307",633,"1,092","1,139",729,222
2020,1,40,"13,654","1,970","1,202",887,856,822,254,153,238,250,318,355,"2,006",951,"1,144","1,116",891,241
2020,1,50,"14,649","1,660","1,589","1,406",935,"1,119",361,230,392,331,431,445,"1,919",709,"1,054",925,826,317
2020,1,60,"11,753","1,303","1,340","1,146",737,924,304,209,397,297,380,352,"1,314",555,900,717,621,257
2020,1,70,"8,328","1,042","1,092",825,588,618,254,114,214,200,307,302,795,356,560,425,435,201
2020,1,80,"5,303",757,761,642,431,412,138,62,111,95,202,195,362,177,271,251,276,160
2020,1,90,995,146,121,127,100,66,27,20,10,13,29,49,72,31,47,48,51,38
2020,1,100,89,14,9,7,6,8,4,2,3,2,7,5,2,2,6,2,6,4
2020,2,총,"89,671","10,912","9,138","7,359","5,820","5,941","2,017","1,122","1,927","1,731","2,597","2,590","11,800","5,277","7,175","6,775","5,533","1,957"
2020,2,0,"7,323",838,567,467,454,395,112,59,112,85,185,168,"1,116",599,733,802,504,127
2020,2,10,"8,362","1,185",766,504,439,438,165,68,133,124,196,218,"1,546",698,592,596,563,131
2020,2,20,"9,026",839,864,660,659,552,200,94,161,163,281,274,"1,336",579,745,732,632,255
2020,2,30,"10,050","1,139",814,686,602,577,189,109,156,171,261,211,"1,308",627,"1,089","1,160",729,222
2020,2,40,"13,677","1,971","1,207",883,861,828,258,149,239,254,320,358,"2,008",945,"1,154","1,116",885,241
2020,2,50,"14,709","1,674","1,590","1,401",941,"1,125",360,236,389,323,423,454,"1,930",713,"1,065",934,833,318
2020,2,60,"11,770","1,305","1,346","1,154",740,914,307,209,401,298,384,351,"1,319",551,906,709,619,257
2020,2,70,"8,330","1,038","1,081",819,589,626,256,117,215,201,305,302,801,357,566,423,431,203
2020,2,80,"5,337",758,771,651,427,412,139,61,109,97,206,200,364,175,272,253,281,161
2020,2,90,999,151,123,127,103,66,26,18,9,13,29,50,70,31,47,48,50,38
2020,2,100,88,14,9,7,5,8,5,2,3,2,7,4,2,2,6,2,6,4
