년도,월,나이,전라남도 영암군,전라남도 영암군 영암읍,전라남도 영암군 삼호읍,전라남도 영암군 삼호읍서부출장소,전라남도 영암군 덕진면,전라남도 영암군 금정면,전라남도 영암군 신북면,전라남도 영암군 시종면,전라남도 영암군 도포면,전라남도 영암군 군서면,전라남도 영암군 서호면,전라남도 영암군 학산면,전라남도 영암군 미암면
2020,3,총,"54,335","8,384","14,882","6,719","1,907","2,068","3,856","3,663","2,318","3,235","1,961","3,018","2,324"
2020,3,0,"3,870",671,"1,677",701,72,53,122,111,72,108,72,130,81
2020,3,10,"4,623",817,"1,823",739,102,80,204,151,115,182,84,211,115
2020,3,20,"5,023",870,"1,510",852,130,122,292,261,183,246,127,263,167
2020,3,30,"5,165",796,"1,985",981,113,102,250,201,142,162,110,168,155
2020,3,40,"7,680","1,082","2,901","1,341",179,202,395,357,204,314,166,311,228
2020,3,50,"9,425","1,492","2,420","1,269",315,377,702,631,440,555,310,513,401
2020,3,60,"7,742","1,130","1,357",471,338,420,774,791,449,596,381,556,479
2020,3,70,"6,347",912,807,227,322,413,655,683,399,636,398,487,408
2020,3,80,"3,920",517,366,117,298,264,410,416,286,380,273,324,269
2020,3,90,506,93,33,20,34,35,46,59,25,54,36,52,19
2020,3,100,34,4,3,1,4,0,6,2,3,2,4,3,2
2020,4,총,"54,229","8,357","14,884","6,709","1,905","2,082","3,842","3,649","2,309","3,227","1,960","2,996","2,309"
2020,4,0,"3,856",667,"1,675",696,72,53,123,115,70,108,73,125,79
2020,4,10,"4,609",809,"1,821",736,101,86,204,154,115,180,85,206,112
2020,4,20,"5,001",868,"1,515",851,126,123,289,253,181,247,125,261,162
2020,4,30,"5,117",784,"1,975",972,112,103,250,201,138,159,110,163,150
2020,4,40,"7,650","1,078","2,896","1,338",182,199,390,350,205,313,165,306,228
2020,4,50,"9,420","1,490","2,420","1,281",318,383,697,623,437,553,311,510,397
2020,4,60,"7,763","1,131","1,368",470,336,421,776,794,448,596,381,559,483
2020,4,70,"6,324",909,813,231,323,409,650,683,397,637,389,483,400
2020,4,80,"3,941",522,361,113,299,270,410,416,290,377,281,327,275
2020,4,90,514,95,37,20,32,35,47,58,25,55,36,53,21
2020,4,100,34,4,3,1,4,0,6,2,3,2,4,3,2
2020,5,총,"54,224","8,348","14,899","6,744","1,903","2,062","3,835","3,644","2,305","3,215","1,958","3,005","2,306"
2020,5,0,"3,833",658,"1,658",696,72,51,121,115,69,108,74,132,79
2020,5,10,"4,592",813,"1,814",736,101,80,203,151,115,176,84,207,112
2020,5,20,"5,017",866,"1,531",884,125,114,283,252,180,244,122,258,158
2020,5,30,"5,107",779,"1,960",967,113,102,254,199,140,161,109,168,155
2020,5,40,"7,629","1,073","2,900","1,330",179,202,396,349,201,312,161,302,224
2020,5,50,"9,429","1,495","2,432","1,285",323,378,692,618,432,551,316,509,398
2020,5,60,"7,782","1,139","1,380",478,332,420,774,800,449,592,379,558,481
2020,5,70,"6,334",912,816,232,324,408,651,680,396,635,389,487,404
2020,5,80,"3,958",514,368,116,299,272,409,421,295,379,284,328,273
2020,5,90,510,95,37,19,31,35,46,57,25,55,36,53,21
2020,5,100,33,4,3,1,4,0,6,2,3,2,4,3,1
2020,6,총,"54,266","8,345","14,953","6,728","1,904","2,065","3,837","3,635","2,302","3,222","1,964","3,009","2,302"
2020,6,0,"3,828",658,"1,659",692,72,48,121,115,70,108,75,135,75
2020,6,10,"4,598",810,"1,831",729,104,80,200,153,110,173,88,207,113
2020,6,20,"5,008",862,"1,536",882,125,114,282,247,185,247,120,254,154
2020,6,30,"5,090",774,"1,951",964,113,102,254,193,141,163,112,169,154
2020,6,40,"7,637","1,074","2,919","1,318",178,204,398,352,197,312,161,301,223
2020,6,50,"9,388","1,489","2,420","1,287",320,374,687,614,427,551,311,511,397
2020,6,60,"7,856","1,145","1,406",486,335,425,781,799,457,593,383,562,484
2020,6,70,"6,348",920,824,233,325,409,652,679,392,640,390,483,401
2020,6,80,"3,971",512,367,117,296,274,410,424,297,381,284,331,278
2020,6,90,510,97,37,19,32,35,46,57,24,52,36,53,22
2020,6,100,32,4,3,1,4,0,6,2,2,2,4,3,1
2020,7,총,"54,223","8,320","14,994","6,734","1,889","2,058","3,827","3,615","2,302","3,225","1,961","3,004","2,294"
2020,7,0,"3,800",641,"1,660",679,72,48,125,112,71,109,76,135,72
2020,7,10,"4,579",812,"1,820",730,102,81,194,149,110,175,88,206,112
2020,7,20,"5,036",874,"1,551",894,122,109,281,247,184,248,123,251,152
2020,7,30,"5,062",758,"1,959",965,112,99,246,189,140,165,109,165,155
2020,7,40,"7,618","1,078","2,921","1,310",176,200,399,348,193,308,163,300,222
2020,7,50,"9,385","1,480","2,424","1,297",315,376,690,612,430,552,308,507,394
2020,7,60,"7,883","1,148","1,424",487,338,428,776,801,457,592,381,567,484
2020,7,70,"6,336",916,824,234,323,409,655,675,394,634,389,485,398
2020,7,80,"3,979",512,371,117,293,274,408,425,296,387,283,332,281
2020,7,90,511,97,36,20,32,34,47,54,25,53,37,53,23
2020,7,100,34,4,4,1,4,0,6,3,2,2,4,3,1
2020,8,총,"54,045","8,332","14,965","6,641","1,873","2,065","3,819","3,602","2,294","3,220","1,955","2,996","2,283"
2020,8,0,"3,724",633,"1,635",643,71,49,124,110,73,104,78,134,70
2020,8,10,"4,540",817,"1,812",720,100,80,189,141,109,171,85,206,110
