년도,월,나이,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2020,1,총,"45,625","13,717","3,711","3,766","1,888","3,610","6,530","4,179","1,586","1,411","2,928","2,299"
2020,1,0,"3,054","1,071",306,176,57,162,831,197,61,34,89,70
2020,1,10,"3,432","1,232",318,182,80,195,689,282,109,63,184,98
2020,1,20,"4,675","1,351",337,396,165,586,794,436,127,117,212,154
2020,1,30,"4,008","1,299",276,331,139,224,923,300,110,90,149,167
2020,1,40,"5,782","1,953",482,421,183,418,949,559,187,109,297,224
2020,1,50,"7,680","2,225",626,741,377,596,838,796,282,245,494,460
2020,1,60,"6,909","1,948",583,650,345,570,595,701,285,267,510,455
2020,1,70,"6,008","1,633",454,512,293,491,576,536,257,298,556,402
2020,1,80,"3,570",887,284,309,216,334,303,314,142,164,397,220
2020,1,90,466,105,41,47,32,32,32,53,23,23,38,40
2020,1,100,41,13,4,1,1,2,0,5,3,1,2,9
2020,2,총,"45,595","13,717","3,703","3,760","1,876","3,666","6,498","4,162","1,589","1,417","2,917","2,290"
2020,2,0,"3,024","1,071",314,174,52,158,810,197,58,34,88,68
2020,2,10,"3,432","1,231",310,185,80,192,698,279,111,62,185,99
2020,2,20,"4,696","1,342",330,399,155,648,793,426,130,115,206,152
2020,2,30,"3,957","1,291",277,330,139,221,896,293,108,90,149,163
2020,2,40,"5,809","1,976",484,417,184,415,958,554,191,111,293,226
2020,2,50,"7,676","2,222",622,737,382,592,844,797,282,248,495,455
2020,2,60,"6,924","1,936",586,654,346,580,595,704,286,271,509,457
2020,2,70,"5,963","1,636",450,506,286,482,565,535,254,295,551,403
2020,2,80,"3,609",892,289,307,219,346,307,319,143,167,402,218
2020,2,90,464,107,37,50,32,30,32,53,23,23,37,40
2020,2,100,41,13,4,1,1,2,0,5,3,1,2,9
2020,3,총,"45,412","13,703","3,664","3,746","1,883","3,612","6,441","4,172","1,572","1,424","2,923","2,272"
2020,3,0,"2,970","1,059",302,164,52,153,795,198,57,37,85,68
2020,3,10,"3,406","1,224",305,187,81,193,687,280,105,62,185,97
2020,3,20,"4,632","1,347",322,390,156,612,781,423,130,115,209,147
2020,3,30,"3,916","1,272",272,328,130,221,882,293,109,92,153,164
2020,3,40,"5,772","1,971",484,417,191,406,951,550,184,111,289,218
