년도,월,나이,경상남도 하동군,경상남도 하동군 하동읍,경상남도 하동군 화개면,경상남도 하동군 악양면,경상남도 하동군 적량면,경상남도 하동군 횡천면,경상남도 하동군 고전면,경상남도 하동군 금남면,경상남도 하동군 진교면,경상남도 하동군 양보면,경상남도 하동군 북천면,경상남도 하동군 청암면,경상남도 하동군 옥종면,경상남도 하동군 금성면
2020,3,총,"23,059","5,192","1,553","1,809","1,037",991,"1,194","1,771","3,124",930,944,766,"2,210","1,538"
2020,3,0,967,315,48,42,27,26,36,51,197,13,45,28,78,61
2020,3,10,"1,424",455,104,83,42,34,64,70,233,47,36,61,112,83
2020,3,20,"1,518",463,115,80,54,60,61,108,199,38,46,39,129,126
2020,3,30,"1,345",416,57,79,51,47,46,69,231,32,58,41,120,98
2020,3,40,"2,385",697,183,170,90,77,99,149,384,65,73,65,171,162
2020,3,50,"3,988",916,315,334,172,180,183,303,509,141,131,133,392,279
2020,3,60,"4,145",790,275,350,197,188,236,384,515,175,169,184,425,257
2020,3,70,"3,719",666,279,345,190,162,211,333,433,182,187,103,373,255
2020,3,80,"3,000",412,144,259,190,186,208,249,347,205,172,93,344,191
2020,3,90,549,60,32,65,24,31,48,53,73,30,26,18,63,26
2020,3,100,19,2,1,2,0,0,2,2,3,2,1,1,3,0
2020,4,총,"22,965","5,179","1,551","1,804","1,027",981,"1,182","1,751","3,135",931,934,760,"2,205","1,525"
2020,4,0,950,306,47,41,22,28,35,48,198,12,46,29,78,60
2020,4,10,"1,417",455,102,83,43,34,65,69,234,48,37,59,107,81
2020,4,20,"1,503",462,115,80,54,51,56,103,206,37,46,40,130,123
2020,4,30,"1,323",415,59,75,48,46,44,67,230,32,56,40,116,95
2020,4,40,"2,350",692,179,168,87,73,100,144,382,63,70,61,168,163
2020,4,50,"3,953",906,312,329,172,179,181,299,507,142,132,132,388,274
2020,4,60,"4,173",796,279,356,196,188,232,381,523,178,166,185,436,257
2020,4,70,"3,706",666,279,343,191,163,212,333,430,180,185,101,367,256
2020,4,80,"3,022",418,146,260,190,188,208,253,348,206,171,93,350,191
2020,4,90,548,61,32,66,24,31,47,52,74,31,24,19,62,25
2020,4,100,20,2,1,3,0,0,2,2,3,2,1,1,3,0
2020,5,총,"22,905","5,161","1,549","1,801","1,016",983,"1,176","1,740","3,124",933,937,760,"2,212","1,513"
2020,5,0,946,303,50,41,22,28,35,47,195,13,46,29,79,58
2020,5,10,"1,407",457,102,80,39,34,62,69,231,48,37,59,108,81
2020,5,20,"1,490",455,108,82,54,53,58,99,207,37,49,40,130,118
2020,5,30,"1,305",408,60,72,49,46,44,64,227,33,53,40,118,91
2020,5,40,"2,328",681,178,168,85,69,98,147,377,64,69,60,168,164
2020,5,50,"3,940",904,311,335,170,176,181,294,509,140,134,133,384,269
2020,5,60,"4,180",803,280,352,194,193,233,379,522,179,163,184,440,258
2020,5,70,"3,703",668,277,344,189,165,211,332,429,179,187,101,365,256
2020,5,80,"3,035",415,149,259,191,189,204,256,351,207,174,94,353,193
2020,5,90,551,65,33,65,23,30,48,51,73,31,24,19,64,25
2020,5,100,20,2,1,3,0,0,2,2,3,2,1,1,3,0
2020,6,총,"22,817","5,158","1,548","1,789","1,015",975,"1,172","1,733","3,118",925,927,753,"2,205","1,499"
2020,6,0,939,303,48,40,21,28,33,45,198,13,44,29,81,56
2020,6,10,"1,389",456,104,81,37,34,62,67,228,46,39,54,107,74
2020,6,20,"1,479",454,107,77,54,52,59,101,205,36,47,39,129,119
2020,6,30,"1,295",405,59,73,50,45,45,63,226,31,51,40,117,90
2020,6,40,"2,309",675,179,166,84,67,100,144,374,64,69,59,167,161
2020,6,50,"3,926",909,306,332,167,175,180,292,512,137,130,134,382,270
2020,6,60,"4,182",802,284,354,198,192,230,380,521,179,165,181,439,257
2020,6,70,"3,692",666,277,340,190,163,213,332,426,180,182,103,364,256
2020,6,80,"3,034",418,148,260,191,189,202,256,352,206,175,94,351,192
2020,6,90,552,68,35,63,23,30,46,51,73,31,24,19,65,24
2020,6,100,20,2,1,3,0,0,2,2,3,2,1,1,3,0
2020,7,총,"22,791","5,154","1,539","1,792","1,007",974,"1,173","1,732","3,119",930,917,753,"2,198","1,503"
2020,7,0,946,305,48,42,21,28,34,47,201,13,43,27,80,57
2020,7,10,"1,372",451,102,79,35,33,60,67,227,46,39,55,105,73
2020,7,20,"1,475",452,105,81,56,53,60,100,203,36,44,39,128,118
2020,7,30,"1,290",410,61,70,48,46,46,63,221,29,49,41,115,91
2020,7,40,"2,294",673,176,163,84,65,99,142,374,68,67,58,166,159
2020,7,50,"3,914",899,307,338,163,176,175,290,512,139,129,133,383,270
2020,7,60,"4,197",808,279,349,199,193,236,384,526,178,165,182,438,260
2020,7,70,"3,692",666,276,346,188,163,211,328,423,184,183,104,364,256
2020,7,80,"3,036",419,150,258,190,188,203,259,355,204,173,94,351,192
2020,7,90,555,69,34,63,23,29,47,50,74,31,24,19,65,27
2020,7,100,20,2,1,3,0,0,2,2,3,2,1,1,3,0
2020,8,총,"22,699","5,123","1,537","1,794","1,007",974,"1,169","1,726","3,092",916,917,747,"2,191","1,506"
2020,8,0,930,295,48,42,21,30,34,47,198,13,42,28,78,54
2020,8,10,"1,368",452,102,78,33,33,61,68,224,43,39,55,106,74
2020,8,20,"1,445",449,105,78,56,51,58,100,194,32,43,37,122,120
2020,8,30,"1,276",405,61,72,46,46,46,61,219,28,48,39,115,90
2020,8,40,"2,275",664,179,160,84,65,101,141,367,64,68,57,166,159
2020,8,50,"3,904",890,304,341,163,176,172,290,511,140,129,130,384,274
2020,8,60,"4,217",812,279,353,203,195,238,383,528,177,167,182,438,262
2020,8,70,"3,677",667,274,345,187,162,210,326,416,183,182,107,363,255
2020,8,80,"3,025",419,150,258,191,187,201,255,358,201,173,92,348,192
2020,8,90,562,68,34,64,23,29,46,53,74,33,25,19,68,26
2020,8,100,20,2,1,3,0,0,2,2,3,2,1,1,3,0
2020,9,총,"22,620","5,110","1,534","1,788","1,006",969,"1,168","1,715","3,079",911,912,738,"2,187","1,503"
2020,9,0,923,286,47,41,22,30,34,48,199,13,42,27,79,55
2020,9,10,"1,365",454,103,79,32,31,63,65,222,43,38,53,106,76
2020,9,20,"1,418",447,101,76,56,49,55,98,193,32,42,35,119,115
2020,9,30,"1,267",408,57,72,45,45,47,62,216,27,47,39,111,91
2020,9,40,"2,240",654,178,156,82,62,98,139,365,64,65,59,163,155
2020,9,50,"3,889",887,307,336,164,177,172,286,507,134,129,126,387,277
2020,9,60,"4,234",821,278,359,203,196,238,382,526,182,169,179,440,261
2020,9,70,"3,655",660,271,345,185,161,208,324,417,182,181,110,359,252
2020,9,80,"3,038",422,157,258,194,188,204,256,355,199,171,90,349,195
2020,9,90,572,69,34,63,23,30,48,53,76,33,27,19,71,26
2020,9,100,19,2,1,3,0,0,1,2,3,2,1,1,3,0
2020,10,총,"22,545","5,094","1,535","1,787","1,004",969,"1,160","1,712","3,064",906,909,727,"2,181","1,497"
2020,10,0,908,285,48,39,20,29,31,46,198,12,41,27,77,55
2020,10,10,"1,360",450,102,81,34,31,64,66,217,44,38,52,108,73
2020,10,20,"1,398",441,98,77,56,47,55,97,187,32,42,37,118,111
