년도,월,나이,부천시,심곡동,부천동,중동,신중동,상동,대산동,소사본동,범안동,성곡동,오정동
2020,1,총,"828,947","65,589","91,752","42,360","130,461","88,363","83,648","57,206","96,902","86,272","86,394"
2020,1,0,"61,547","3,380","6,149","2,931","10,208","8,614","5,193","3,905","10,559","5,054","5,554"
2020,1,10,"74,101","4,217","7,700","4,009","11,856","10,460","6,729","4,608","9,233","7,805","7,484"
2020,1,20,"119,505","10,250","13,118","6,351","19,538","12,528","12,060","8,039","11,582","12,910","13,129"
2020,1,30,"120,614","9,983","12,799","5,553","21,939","13,060","11,860","8,190","15,616","10,321","11,293"
2020,1,40,"132,845","10,044","14,418","6,567","20,563","15,949","12,861","8,163","16,933","13,727","13,620"
2020,1,50,"150,596","12,094","17,093","8,070","23,020","15,449","15,152","10,498","14,462","17,316","17,442"
2020,1,60,"102,941","9,288","12,271","5,459","14,906","7,993","11,813","8,396","10,872","11,106","10,837"
2020,1,70,"44,753","4,378","5,609","2,262","5,479","2,843","5,434","3,719","5,018","5,294","4,717"
2020,1,80,"18,892","1,697","2,255",971,"2,502","1,226","2,193","1,431","2,224","2,378","2,015"
2020,1,90,"2,926",226,309,174,431,238,325,233,369,338,283
2020,1,100,227,32,31,13,19,3,28,24,34,23,20
2020,2,총,"827,374","65,517","91,369","42,383","130,694","87,915","83,424","57,111","96,709","86,080","86,172"
2020,2,0,"60,921","3,331","6,086","2,915","10,222","8,504","5,114","3,844","10,421","4,981","5,503"
2020,2,10,"73,590","4,197","7,614","3,991","11,803","10,341","6,687","4,576","9,225","7,744","7,412"
2020,2,20,"118,999","10,258","13,009","6,324","19,519","12,481","11,966","8,004","11,554","12,865","13,019"
2020,2,30,"120,022","9,910","12,721","5,575","21,870","12,982","11,805","8,185","15,442","10,276","11,256"
2020,2,40,"132,634","10,034","14,313","6,586","20,707","15,815","12,816","8,132","17,004","13,660","13,567"
2020,2,50,"150,251","12,054","17,036","8,042","22,993","15,440","15,101","10,469","14,458","17,260","17,398"
2020,2,60,"103,863","9,342","12,356","5,515","15,112","8,057","11,903","8,472","10,926","11,217","10,963"
2020,2,70,"44,931","4,422","5,615","2,273","5,491","2,838","5,465","3,726","5,040","5,323","4,738"
2020,2,80,"18,994","1,707","2,277",978,"2,516","1,223","2,208","1,447","2,232","2,396","2,010"
2020,2,90,"2,934",229,310,171,441,230,329,231,373,333,287
2020,2,100,235,33,32,13,20,4,30,25,34,25,19
2020,3,총,"827,132","65,227","91,207","42,369","131,838","87,674","83,241","57,083","96,624","85,823","86,046"
2020,3,0,"60,612","3,280","6,040","2,893","10,311","8,438","5,075","3,834","10,361","4,926","5,454"
2020,3,10,"73,275","4,153","7,598","3,985","11,853","10,269","6,619","4,567","9,204","7,660","7,367"
2020,3,20,"119,178","10,233","12,981","6,302","19,768","12,489","11,958","8,016","11,555","12,847","13,029"
