년도,월,나이,동래구,수민동,복산동,명륜동,온천제1동,온천제2동,온천제3동,사직제1동,사직제2동,사직제3동,안락제1동,안락제2동,명장제1동,명장제2동
2020,1,총,"271,562","32,910","10,711","25,039","19,067","15,665","38,411","10,896","29,125","15,366","15,204","28,923","14,834","15,411"
2020,1,0,"19,999","2,727",404,"2,665","1,086",931,"2,590",857,"2,728","1,101",851,"2,138","1,041",880
2020,1,10,"25,449","2,943",738,"3,198","1,137","1,539","2,984","1,033","4,270","1,410","1,053","2,962","1,103","1,079"
2020,1,20,"33,579","4,015","1,242","2,632","2,785","1,872","5,574","1,325","3,371","1,672","1,849","3,457","1,770","2,015"
2020,1,30,"34,008","4,441",959,"3,284","3,159","1,534","5,298","1,452","3,052","1,740","1,772","3,418","1,915","1,984"
2020,1,40,"43,260","5,063","1,395","4,992","3,037","2,255","5,657","1,773","5,850","2,504","2,142","4,629","2,024","1,939"
2020,1,50,"45,376","5,380","1,935","3,602","2,980","2,609","6,661","1,762","4,779","2,499","2,680","5,038","2,593","2,858"
2020,1,60,"39,557","4,736","2,046","2,586","2,534","2,528","5,641","1,419","3,105","2,408","2,744","4,379","2,571","2,860"
2020,1,70,"21,489","2,575","1,334","1,466","1,594","1,599","2,891",887,"1,437","1,495","1,522","2,061","1,309","1,319"
2020,1,80,"7,702",899,570,527,635,682,978,343,465,476,524,744,443,416
2020,1,90,"1,005",115,67,78,93,110,119,43,63,56,61,84,59,57
2020,1,100,138,16,21,9,27,6,18,2,5,5,6,13,6,4
2020,2,총,"271,528","32,996","10,643","25,080","19,109","15,590","38,526","10,945","29,077","15,364","15,147","28,809","14,846","15,396"
2020,2,0,"19,986","2,724",395,"2,683","1,077",935,"2,605",864,"2,743","1,092",847,"2,106","1,041",874
2020,2,10,"25,322","2,923",728,"3,194","1,140","1,520","2,966","1,033","4,254","1,410","1,042","2,937","1,101","1,074"
2020,2,20,"33,519","4,052","1,222","2,629","2,814","1,839","5,597","1,335","3,323","1,691","1,837","3,421","1,764","1,995"
2020,2,30,"33,930","4,440",950,"3,276","3,124","1,523","5,310","1,464","3,081","1,699","1,745","3,419","1,922","1,977"
2020,2,40,"43,310","5,084","1,382","5,009","3,071","2,241","5,660","1,788","5,837","2,526","2,136","4,607","2,028","1,941"
2020,2,50,"45,275","5,389","1,923","3,609","2,966","2,611","6,672","1,753","4,749","2,493","2,671","5,003","2,583","2,853"
2020,2,60,"39,682","4,742","2,040","2,599","2,552","2,514","5,679","1,428","3,120","2,412","2,746","4,409","2,580","2,861"
2020,2,70,"21,562","2,595","1,338","1,457","1,600","1,601","2,900",893,"1,445","1,495","1,519","2,059","1,315","1,345"
2020,2,80,"7,786",913,573,534,646,689,"1,001",341,458,486,537,749,445,414
2020,2,90,"1,020",118,71,81,92,111,119,44,63,55,61,86,61,58
2020,2,100,136,16,21,9,27,6,17,2,4,5,6,13,6,4
2020,3,총,"272,319","33,011","10,590","24,924","19,170","15,513","38,473","10,885","28,846","17,001","15,137","28,623","14,822","15,324"
2020,3,0,"20,195","2,723",386,"2,658","1,062",934,"2,579",856,"2,694","1,474",847,"2,074","1,033",875
2020,3,10,"25,347","2,891",700,"3,175","1,141","1,499","2,959","1,019","4,208","1,621","1,047","2,925","1,099","1,063"
2020,3,20,"33,535","4,088","1,221","2,598","2,846","1,819","5,608","1,343","3,284","1,803","1,808","3,388","1,751","1,978"
2020,3,30,"34,024","4,461",953,"3,238","3,138","1,512","5,275","1,437","3,042","2,024","1,738","3,351","1,903","1,952"
2020,3,40,"43,452","5,067","1,358","4,975","3,061","2,215","5,628","1,788","5,757","2,912","2,139","4,585","2,036","1,931"
2020,3,50,"45,147","5,350","1,898","3,587","2,985","2,620","6,668","1,723","4,721","2,601","2,650","4,971","2,558","2,815"
2020,3,60,"39,865","4,759","2,055","2,598","2,560","2,501","5,675","1,422","3,153","2,485","2,764","4,412","2,599","2,882"
2020,3,70,"21,714","2,614","1,355","1,465","1,606","1,604","2,924",904,"1,459","1,517","1,533","2,066","1,325","1,342"
2020,3,80,"7,859",921,570,538,650,689,"1,020",346,456,505,542,750,451,421
2020,3,90,"1,045",121,73,84,94,113,120,45,67,54,63,89,61,61
2020,3,100,136,16,21,8,27,7,17,2,5,5,6,12,6,4
2020,4,총,"272,570","33,043","10,544","24,898","19,233","15,460","38,510","10,884","28,760","17,519","15,157","28,469","14,761","15,332"
2020,4,0,"20,194","2,716",375,"2,649","1,063",919,"2,588",847,"2,673","1,569",843,"2,049","1,027",876
2020,4,10,"25,298","2,879",692,"3,182","1,136","1,490","2,945","1,023","4,183","1,682","1,047","2,889","1,090","1,060"
2020,4,20,"33,528","4,084","1,208","2,589","2,865","1,804","5,617","1,337","3,282","1,859","1,804","3,374","1,733","1,972"
2020,4,30,"34,058","4,456",948,"3,214","3,145","1,527","5,300","1,429","3,027","2,110","1,739","3,333","1,883","1,947"
2020,4,40,"43,485","5,087","1,354","4,972","3,051","2,197","5,622","1,793","5,726","3,041","2,147","4,532","2,036","1,927"
2020,4,50,"45,131","5,358","1,876","3,589","3,003","2,603","6,658","1,723","4,723","2,645","2,627","4,971","2,538","2,817"
2020,4,60,"39,981","4,778","2,056","2,597","2,578","2,504","5,688","1,427","3,154","2,508","2,799","4,405","2,601","2,886"
2020,4,70,"21,793","2,625","1,365","1,473","1,610","1,602","2,932",903,"1,469","1,531","1,530","2,070","1,328","1,355"
2020,4,80,"7,916",920,574,542,660,692,"1,028",355,451,512,548,747,459,428
2020,4,90,"1,053",124,75,83,95,116,117,45,67,57,67,87,60,60
2020,4,100,133,16,21,8,27,6,15,2,5,5,6,12,6,4
2020,5,총,"272,532","33,041","10,517","24,873","19,269","15,414","38,542","10,872","28,730","17,708","15,144","28,324","14,756","15,342"
2020,5,0,"20,152","2,711",385,"2,634","1,061",923,"2,580",843,"2,653","1,586",841,"2,027","1,030",878
2020,5,10,"25,233","2,845",688,"3,180","1,127","1,467","2,931","1,033","4,199","1,711","1,037","2,883","1,085","1,047"
2020,5,20,"33,527","4,080","1,191","2,586","2,874","1,802","5,628","1,341","3,283","1,884","1,789","3,355","1,731","1,983"
2020,5,30,"33,999","4,456",950,"3,184","3,154","1,531","5,313","1,409","2,998","2,130","1,746","3,293","1,884","1,951"
2020,5,40,"43,425","5,077","1,343","4,973","3,053","2,176","5,604","1,789","5,734","3,089","2,124","4,499","2,033","1,931"
2020,5,50,"45,156","5,385","1,881","3,591","3,012","2,601","6,661","1,724","4,715","2,663","2,647","4,950","2,519","2,807"
2020,5,60,"40,010","4,790","2,041","2,609","2,579","2,497","5,714","1,427","3,147","2,526","2,789","4,396","2,608","2,887"
2020,5,70,"21,884","2,631","1,361","1,473","1,623","1,602","2,944",902,"1,476","1,542","1,550","2,075","1,339","1,366"
2020,5,80,"7,949",928,579,549,665,695,"1,035",356,450,515,545,742,463,427
2020,5,90,"1,064",122,77,86,94,114,117,46,70,57,70,92,58,61
2020,5,100,133,16,21,8,27,6,15,2,5,5,6,12,6,4
2020,6,총,"272,476","33,037","10,531","24,866","19,347","15,374","38,546","10,848","28,694","17,844","15,155","28,227","14,676","15,331"
2020,6,0,"20,099","2,712",390,"2,628","1,063",917,"2,574",841,"2,635","1,595",842,"2,017","1,008",877
2020,6,10,"25,215","2,830",685,"3,181","1,127","1,468","2,928","1,037","4,183","1,736","1,031","2,885","1,079","1,045"
2020,6,20,"33,396","4,051","1,183","2,569","2,901","1,795","5,621","1,331","3,284","1,888","1,781","3,316","1,704","1,972"
2020,6,30,"33,948","4,472",948,"3,185","3,180","1,518","5,317","1,404","2,965","2,120","1,765","3,266","1,865","1,943"
2020,6,40,"43,454","5,052","1,344","4,959","3,061","2,186","5,597","1,784","5,754","3,152","2,123","4,485","2,018","1,939"
2020,6,50,"45,012","5,386","1,883","3,585","3,023","2,569","6,631","1,719","4,700","2,666","2,635","4,907","2,523","2,785"
2020,6,60,"40,150","4,802","2,046","2,619","2,592","2,505","5,744","1,422","3,174","2,544","2,788","4,404","2,608","2,902"
2020,6,70,"22,033","2,657","1,370","1,490","1,625","1,608","2,957",909,"1,475","1,558","1,567","2,095","1,346","1,376"
2020,6,80,"7,958",936,583,554,655,689,"1,040",354,449,518,545,748,462,425
2020,6,90,"1,077",122,78,88,94,112,122,45,70,62,72,92,57,63
