년도,월,나이,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2020,1,총,"220,699","8,731","7,986","8,590","9,696","12,148","5,878","9,691","10,164","6,408","8,333","12,838","5,960","5,206","8,802","7,031","7,324","12,099","10,361","6,541","8,242","16,553","14,153","17,964"
2020,1,0,"15,046",716,508,"1,012",709,956,263,575,711,579,463,"1,022",305,219,541,563,480,560,568,218,566,"1,187","1,027","1,298"
2020,1,10,"25,306","1,153",872,"1,015","2,059","1,277",568,"1,394","1,176",922,799,"2,138",489,325,683,477,611,896,979,386,906,"2,410","1,616","2,155"
2020,1,20,"25,872",977,"1,141","1,044",821,"1,374",833,998,"1,076",574,"1,062","1,285",919,622,"1,006",597,"1,023","1,560","1,216",704,904,"2,116","1,682","2,338"
2020,1,30,"22,851",891,"1,050","1,238",761,"1,300",591,860,919,687,818,"1,138",693,582,"1,047",868,959,"1,177","1,078",466,819,"1,513","1,493","1,903"
2020,1,40,"40,778","1,653","1,421","1,718","2,608","2,117",975,"2,571","1,796","1,294","1,348","2,835",949,805,"1,360","1,011","1,266","1,874","1,649",750,"1,480","3,333","2,603","3,362"
2020,1,50,"38,582","1,449","1,333","1,270","1,268","2,093","1,119","1,535","1,642",891,"1,585","2,085","1,012",924,"1,490","1,203","1,400","2,326","2,020","1,271","1,559","3,064","2,623","3,420"
2020,1,60,"26,430",919,873,655,702,"1,524",779,860,"1,280",732,"1,123","1,229",800,861,"1,338","1,201",913,"1,832","1,495","1,287","1,202","1,524","1,618","1,683"
2020,1,70,"15,935",641,513,405,495,940,449,576,980,478,713,651,531,547,810,697,431,"1,155",785,854,474,844,891,"1,075"
2020,1,80,"8,536",284,241,203,242,490,268,283,506,224,370,383,221,279,433,343,204,614,502,526,283,485,509,643
2020,1,90,"1,292",44,32,26,31,74,32,38,75,22,46,70,41,39,87,65,34,100,68,75,47,75,87,84
2020,1,100,71,4,2,4,0,3,1,1,3,5,6,2,0,3,7,6,3,5,1,4,2,2,4,3
2020,2,총,"220,659","8,739","7,971","8,635","9,685","12,119","5,846","9,809","10,184","6,405","8,304","12,857","5,925","5,415","8,779","6,946","7,298","12,053","10,323","6,522","8,214","16,548","14,157","17,925"
2020,2,0,"15,150",721,509,"1,031",733,955,260,599,708,580,468,"1,069",298,261,528,546,473,540,569,217,566,"1,194","1,039","1,286"
2020,2,10,"25,166","1,148",862,"1,022","2,048","1,266",558,"1,412","1,185",908,784,"2,124",481,348,678,471,599,899,962,385,899,"2,395","1,589","2,143"
2020,2,20,"25,669",970,"1,134","1,035",820,"1,365",827,999,"1,075",581,"1,053","1,256",893,632,"1,000",586,"1,011","1,535","1,227",687,890,"2,117","1,671","2,305"
2020,2,30,"22,867",897,"1,048","1,238",751,"1,309",579,876,915,685,814,"1,167",711,634,"1,041",851,954,"1,171","1,066",471,809,"1,507","1,492","1,881"
2020,2,40,"40,684","1,649","1,408","1,736","2,605","2,077",972,"2,619","1,793","1,298","1,346","2,816",935,845,"1,355",999,"1,261","1,863","1,632",754,"1,466","3,303","2,604","3,348"
2020,2,50,"38,617","1,458","1,344","1,277","1,258","2,108","1,117","1,534","1,652",892,"1,572","2,083","1,014",941,"1,496","1,183","1,407","2,305","2,014","1,253","1,557","3,074","2,625","3,453"
2020,2,60,"26,557",915,875,655,706,"1,528",780,869,"1,291",732,"1,129","1,239",805,875,"1,334","1,201",916,"1,837","1,497","1,288","1,213","1,540","1,631","1,701"
2020,2,70,"15,939",644,514,406,495,940,449,575,972,478,710,646,526,550,810,691,431,"1,178",786,857,480,847,890,"1,064"
2020,2,80,"8,621",289,243,201,237,495,270,286,516,223,375,380,222,286,443,348,206,616,502,530,287,493,521,652
2020,2,90,"1,317",44,32,29,32,73,33,39,74,23,47,75,40,40,87,64,37,104,67,77,45,75,91,89
2020,2,100,72,4,2,5,0,3,1,1,3,5,6,2,0,3,7,6,3,5,1,3,2,3,4,3
2020,3,총,"220,702","8,737","8,005","8,634","9,653","12,129","5,825","9,826","10,189","6,389","8,268","12,807","5,932","5,682","8,758","6,882","7,335","12,066","10,328","6,496","8,186","16,515","14,147","17,913"
