년도,월,나이,전라북도 무주군,전라북도 무주군 무주읍,전라북도 무주군 무풍면,전라북도 무주군 설천면,전라북도 무주군 적상면,전라북도 무주군 안성면,전라북도 무주군 부남면
2020,1,총,"12,058","4,765","1,132","2,032","1,281","2,151",697
2020,1,0,681,418,34,118,31,67,13
2020,1,10,942,497,63,153,57,141,31
2020,1,20,"1,052",497,86,180,88,158,43
2020,1,30,966,478,76,147,80,147,38
2020,1,40,"1,680",784,122,314,143,244,73
2020,1,50,"2,340",832,240,419,266,441,142
2020,1,60,"2,125",590,255,366,277,460,177
2020,1,70,"1,427",442,166,211,197,297,114
2020,1,80,769,205,82,119,128,177,58
2020,1,90,71,21,7,5,13,17,8
2020,1,100,5,1,1,0,1,2,0
2020,2,총,"12,047","4,760","1,130","2,032","1,275","2,156",694
2020,2,0,678,414,37,117,30,67,13
2020,2,10,938,493,65,153,58,139,30
2020,2,20,"1,051",500,83,179,89,159,41
2020,2,30,957,474,77,146,75,147,38
2020,2,40,"1,671",776,120,309,147,246,73
2020,2,50,"2,342",834,240,424,261,443,140
2020,2,60,"2,137",599,250,370,276,462,180
2020,2,70,"1,421",441,169,208,195,295,113
2020,2,80,775,207,81,120,130,179,58
2020,2,90,72,21,7,6,13,17,8
2020,2,100,5,1,1,0,1,2,0
2020,3,총,"12,017","4,747","1,129","2,029","1,276","2,149",687
2020,3,0,677,412,37,116,32,67,13
2020,3,10,919,483,65,153,59,132,27
2020,3,20,"1,045",493,81,178,90,160,43
2020,3,30,960,482,80,142,71,148,37
2020,3,40,"1,655",773,120,302,146,245,69
2020,3,50,"2,344",831,237,435,260,440,141
2020,3,60,"2,142",598,254,370,277,465,178
2020,3,70,"1,415",439,166,208,196,292,114
2020,3,80,782,215,80,118,131,181,57
2020,3,90,73,20,8,7,13,17,8
2020,3,100,5,1,1,0,1,2,0
2020,4,총,"11,995","4,738","1,118","2,035","1,271","2,147",686
2020,4,0,677,409,36,116,32,69,15
2020,4,10,915,480,64,155,59,130,27
2020,4,20,"1,039",495,78,176,90,158,42
2020,4,30,964,481,79,146,71,151,36
2020,4,40,"1,650",778,118,300,144,242,68
2020,4,50,"2,335",826,237,437,257,439,139
2020,4,60,"2,139",595,254,370,274,469,177
2020,4,70,"1,410",432,166,210,199,288,115
2020,4,80,789,221,78,118,131,182,59
2020,4,90,73,20,8,7,13,17,8
2020,4,100,4,1,0,0,1,2,0
2020,5,총,"11,976","4,729","1,122","2,031","1,267","2,142",685
2020,5,0,678,409,37,117,32,67,16
2020,5,10,911,481,63,152,57,131,27
2020,5,20,"1,024",489,77,174,90,152,42
2020,5,30,961,471,82,148,72,152,36
2020,5,40,"1,637",781,119,292,141,239,65
2020,5,50,"2,329",825,234,440,257,435,138
2020,5,60,"2,153",597,255,372,274,475,180
2020,5,70,"1,407",434,168,209,197,288,111
2020,5,80,798,220,79,120,133,184,62
2020,5,90,74,21,8,7,13,17,8
2020,5,100,4,1,0,0,1,2,0
2020,6,총,"11,952","4,712","1,121","2,040","1,268","2,126",685
2020,6,0,677,408,36,118,32,67,16
2020,6,10,906,483,61,154,56,125,27
2020,6,20,"1,008",486,73,171,89,147,42
2020,6,30,964,471,81,151,74,150,37
2020,6,40,"1,618",766,118,291,142,238,63
2020,6,50,"2,335",827,238,444,256,430,140
2020,6,60,"2,162",595,257,374,278,478,180
2020,6,70,"1,419",439,170,209,198,292,111
2020,6,80,791,214,79,121,133,183,61
2020,6,90,68,22,8,7,9,14,8
2020,6,100,4,1,0,0,1,2,0
2020,7,총,"11,929","4,700","1,121","2,034","1,271","2,121",682
2020,7,0,672,403,34,119,33,67,16
2020,7,10,912,488,63,153,57,124,27
2020,7,20,992,476,74,170,88,144,40
2020,7,30,965,467,86,149,76,149,38
2020,7,40,"1,615",769,114,288,143,240,61
2020,7,50,"2,325",821,239,444,254,428,139
2020,7,60,"2,161",600,253,370,280,477,181
2020,7,70,"1,423",439,169,213,197,294,111
2020,7,80,793,215,81,121,133,182,61
2020,7,90,67,21,8,7,9,14,8
2020,7,100,4,1,0,0,1,2,0
2020,8,총,"11,938","4,707","1,124","2,040","1,268","2,116",683
2020,8,0,671,404,35,116,34,66,16
2020,8,10,921,488,65,157,58,126,27
2020,8,20,985,473,75,173,84,143,37
2020,8,30,957,463,83,150,75,146,40
2020,8,40,"1,614",773,115,283,145,238,60
2020,8,50,"2,323",823,234,449,248,428,141
2020,8,60,"2,172",603,256,372,282,477,182
2020,8,70,"1,431",442,172,214,199,293,111
2020,8,80,794,217,80,120,133,183,61
2020,8,90,66,20,9,6,9,14,8
2020,8,100,4,1,0,0,1,2,0
2020,9,총,"11,940","4,702","1,124","2,040","1,269","2,123",682
2020,9,0,659,391,34,117,34,67,16
2020,9,10,923,493,64,157,58,124,27
2020,9,20,980,472,75,172,82,143,36
2020,9,30,954,459,82,149,77,148,39
2020,9,40,"1,609",769,114,279,145,240,62
2020,9,50,"2,328",832,234,449,245,429,139
2020,9,60,"2,194",607,257,378,288,482,182
2020,9,70,"1,427",438,175,212,197,291,114
2020,9,80,796,220,80,121,133,183,59
2020,9,90,66,20,9,6,9,14,8
2020,9,100,4,1,0,0,1,2,0
2020,10,총,"11,943","4,712","1,112","2,038","1,275","2,122",684
2020,10,0,657,391,33,114,34,68,17
2020,10,10,922,495,64,156,56,125,26
2020,10,20,985,472,71,175,84,146,37
2020,10,30,943,458,79,145,78,144,39
2020,10,40,"1,604",772,113,276,142,239,62
2020,10,50,"2,326",835,231,448,246,429,137
2020,10,60,"2,220",610,261,384,294,485,186
2020,10,70,"1,422",434,173,211,199,290,115
2020,10,80,793,224,77,123,131,181,57
2020,10,90,67,20,10,6,10,13,8
2020,10,100,4,1,0,0,1,2,0
2020,11,총,"11,948","4,722","1,111","2,039","1,278","2,110",688
2020,11,0,647,391,32,107,34,66,17
2020,11,10,927,496,65,159,56,125,26
2020,11,20,985,468,70,181,85,142,39
2020,11,30,936,459,79,143,76,140,39
2020,11,40,"1,598",773,111,275,139,241,59
2020,11,50,"2,336",838,232,451,252,427,136
2020,11,60,"2,235",618,261,384,296,485,191
2020,11,70,"1,413",432,173,209,197,288,114
2020,11,80,794,225,78,123,130,179,59
2020,11,90,73,21,10,7,12,15,8
2020,11,100,4,1,0,0,1,2,0
2020,12,총,"11,959","4,707","1,112","2,048","1,288","2,106",698
2020,12,0,639,388,32,105,32,65,17
2020,12,10,933,500,65,161,56,124,27
2020,12,20,986,472,68,178,86,142,40
2020,12,30,934,451,78,148,77,140,40
2020,12,40,"1,598",765,111,281,137,240,64
2020,12,50,"2,320",829,230,446,260,421,134
2020,12,60,"2,253",621,269,388,298,484,193
2020,12,70,"1,417",432,171,210,197,291,116
2020,12,80,799,226,78,123,131,182,59
2020,12,90,75,22,10,8,13,14,8
2020,12,100,5,1,0,0,1,3,0
2021,1,총,"11,979","4,717","1,112","2,049","1,284","2,109",708
2021,1,0,639,388,33,104,31,66,17
2021,1,10,936,503,68,160,55,123,27
2021,1,20,985,476,63,177,86,144,39
2021,1,30,933,453,79,150,75,137,39
2021,1,40,"1,598",766,110,280,137,237,68
2021,1,50,"2,305",821,230,442,254,421,137
2021,1,60,"2,280",632,269,393,301,487,198
2021,1,70,"1,419",430,170,210,200,294,115
2021,1,80,803,225,80,125,130,183,60
2021,1,90,76,22,10,8,14,14,8
2021,1,100,5,1,0,0,1,3,0
2021,2,총,"11,968","4,720","1,112","2,043","1,277","2,112",704
2021,2,0,630,386,31,102,29,68,14
2021,2,10,933,501,67,161,55,121,28
2021,2,20,977,473,64,172,86,144,38
2021,2,30,931,453,78,149,71,141,39
2021,2,40,"1,590",764,111,278,136,234,67
2021,2,50,"2,296",822,228,439,250,421,136
2021,2,60,"2,306",645,272,397,306,489,197
2021,2,70,"1,407",426,166,209,195,293,118
2021,2,80,815,227,85,127,133,184,59
2021,2,90,78,22,10,9,15,14,8
2021,2,100,5,1,0,0,1,3,0
2021,3,총,"11,944","4,709","1,112","2,042","1,274","2,103",704
2021,3,0,629,385,31,102,29,68,14
2021,3,10,929,498,65,161,54,123,28
2021,3,20,969,470,65,170,88,140,36
2021,3,30,924,451,78,145,72,140,38
2021,3,40,"1,571",757,112,273,132,229,68
2021,3,50,"2,292",824,228,439,249,417,135
2021,3,60,"2,328",653,270,404,307,496,198
2021,3,70,"1,398",421,167,211,192,287,120
2021,3,80,823,229,86,127,135,186,60
2021,3,90,76,21,9,10,15,14,7
2021,3,100,5,0,1,0,1,3,0
2021,4,총,"11,915","4,701","1,108","2,030","1,276","2,101",699
2021,4,0,617,378,31,98,29,67,14
2021,4,10,923,492,65,161,53,124,28
2021,4,20,966,472,64,164,92,138,36
2021,4,30,921,456,76,144,69,139,37
2021,4,40,"1,564",753,112,275,132,227,65
2021,4,50,"2,296",828,227,436,252,416,137
2021,4,60,"2,327",650,271,406,307,497,196
2021,4,70,"1,395",420,165,212,190,291,117
2021,4,80,826,232,87,124,137,185,61
2021,4,90,76,20,9,10,15,14,8
2021,4,100,4,0,1,0,0,3,0
2021,5,총,"11,909","4,699","1,099","2,035","1,274","2,098",704
2021,5,0,606,374,29,93,29,67,14
2021,5,10,920,494,63,163,52,121,27
2021,5,20,962,471,61,166,92,135,37
2021,5,30,912,454,72,142,68,139,37
2021,5,40,"1,554",749,111,277,127,224,66
2021,5,50,"2,311",833,228,438,256,418,138
2021,5,60,"2,331",647,270,409,307,499,199
2021,5,70,"1,403",423,167,213,191,292,117
2021,5,80,827,234,88,123,137,184,61
2021,5,90,79,20,9,11,15,16,8
2021,5,100,4,0,1,0,0,3,0
2021,6,총,"11,889","4,698","1,094","2,030","1,267","2,096",704
2021,6,0,601,373,29,91,27,66,15
2021,6,10,914,488,62,163,53,121,27
2021,6,20,959,473,60,163,92,134,37
2021,6,30,907,452,72,142,68,136,37
2021,6,40,"1,554",748,110,275,128,227,66
2021,6,50,"2,294",833,224,438,248,414,137
2021,6,60,"2,350",653,273,410,311,504,199
2021,6,70,"1,401",424,164,214,190,293,116
2021,6,80,830,234,90,124,137,183,62
2021,6,90,75,20,9,10,13,15,8
2021,6,100,4,0,1,0,0,3,0
2021,7,총,"11,875","4,695","1,098","2,019","1,267","2,091",705
2021,7,0,596,369,29,89,28,66,15
2021,7,10,908,485,60,162,53,121,27
2021,7,20,956,473,62,164,89,132,36
2021,7,30,911,456,70,141,70,137,37
2021,7,40,"1,538",742,110,269,125,227,65
2021,7,50,"2,282",830,225,432,250,408,137
2021,7,60,"2,369",661,275,414,313,506,200
2021,7,70,"1,397",426,164,214,184,293,116
2021,7,80,839,234,92,125,142,184,62
2021,7,90,75,19,10,9,13,14,10
2021,7,100,4,0,1,0,0,3,0
2021,8,총,"11,866","4,698","1,098","2,009","1,274","2,081",706
2021,8,0,594,365,29,88,30,66,16
2021,8,10,909,488,60,161,55,119,26
2021,8,20,951,473,62,160,88,132,36
2021,8,30,907,454,70,139,70,136,38
2021,8,40,"1,531",738,110,265,126,226,66
2021,8,50,"2,278",833,227,432,246,405,135
2021,8,60,"2,383",669,274,416,319,505,200
2021,8,70,"1,389",423,161,216,180,294,115
2021,8,80,846,234,94,125,147,182,64
2021,8,90,74,21,10,7,13,13,10
2021,8,100,4,0,1,0,0,3,0
2021,9,총,"11,826","4,690","1,092","2,013","1,259","2,072",700
2021,9,0,588,363,29,89,28,63,16
2021,9,10,901,490,58,156,52,119,26
2021,9,20,936,468,59,163,83,129,34
2021,9,30,893,446,70,139,67,131,40
2021,9,40,"1,527",736,112,261,128,225,65
2021,9,50,"2,283",840,223,436,244,406,134
2021,9,60,"2,389",669,277,421,317,507,198
2021,9,70,"1,385",420,160,215,181,293,116
2021,9,80,847,237,93,125,147,182,63
2021,9,90,73,21,10,8,12,14,8
2021,9,100,4,0,1,0,0,3,0
2021,10,총,"11,838","4,699","1,092","2,011","1,267","2,068",701
2021,10,0,584,362,30,88,27,61,16
2021,10,10,902,495,59,153,53,116,26
2021,10,20,933,463,60,162,83,130,35
2021,10,30,895,449,68,139,67,132,40
2021,10,40,"1,519",735,114,256,128,223,63
2021,10,50,"2,285",845,218,441,245,403,133
2021,10,60,"2,401",669,280,421,321,512,198
2021,10,70,"1,387",423,159,214,182,290,119
2021,10,80,853,239,93,128,147,182,64
2021,10,90,75,19,10,9,14,16,7
2021,10,100,4,0,1,0,0,3,0
2021,11,총,"11,846","4,711","1,092","2,006","1,264","2,071",702
2021,11,0,581,365,29,83,27,61,16
2021,11,10,887,488,59,147,52,115,26
2021,11,20,937,463,60,164,84,130,36
2021,11,30,902,457,70,141,65,131,38
2021,11,40,"1,509",734,114,252,125,221,63
2021,11,50,"2,290",848,217,441,246,405,133
2021,11,60,"2,419",674,279,425,321,517,203
2021,11,70,"1,380",421,159,214,184,287,115
2021,11,80,862,242,94,130,145,186,65
2021,11,90,76,19,10,9,15,16,7
2021,11,100,3,0,1,0,0,2,0
2021,12,총,"11,826","4,697","1,088","2,004","1,259","2,080",698
2021,12,0,571,361,28,79,27,60,16
2021,12,10,893,493,59,147,52,117,25
2021,12,20,936,463,56,168,79,134,36
2021,12,30,907,452,72,143,66,136,38
2021,12,40,"1,492",725,112,249,124,220,62
2021,12,50,"2,282",849,213,435,247,406,132
2021,12,60,"2,427",668,286,430,324,516,203
2021,12,70,"1,370",422,157,214,184,284,109
2021,12,80,870,243,94,131,142,190,70
2021,12,90,75,21,10,8,14,15,7
2021,12,100,3,0,1,0,0,2,0
