년도,월,나이,서울특별시 동대문구,서울특별시 동대문구 용신동,서울특별시 동대문구 제기동,서울특별시 동대문구 전농제1동,서울특별시 동대문구 전농제2동,서울특별시 동대문구 답십리제1동,서울특별시 동대문구 답십리제2동,서울특별시 동대문구 장안제1동,서울특별시 동대문구 장안제2동,서울특별시 동대문구 청량리동,서울특별시 동대문구 회기동,서울특별시 동대문구 휘경제1동,서울특별시 동대문구 휘경제2동,서울특별시 동대문구 이문제1동,서울특별시 동대문구 이문제2동
2020,3,총,"171,896","15,810","12,785","15,370","9,326","14,170","14,666","19,240","16,582","10,513","4,901","7,070","12,090","9,279","10,094"
2020,3,0,"11,126",696,560,"1,026",660,"1,418",987,"1,332","1,542",463,264,414,698,375,691
2020,3,10,"12,682",808,740,"1,024",893,"1,027","1,087","1,391","1,561",659,322,442,"1,040",699,989
2020,3,20,"27,933","2,865","2,319","2,392","1,230","1,903","2,027","2,524","2,060","1,305","1,422","1,455","2,735","2,331","1,365"
2020,3,30,"26,543","2,780","1,877","2,343","1,165","2,634","2,319","3,316","2,622","1,331",762,"1,200","1,631","1,236","1,327"
2020,3,40,"26,824","2,353","1,764","2,340","1,497","2,401","2,310","3,348","2,952","1,474",678,953,"1,803","1,309","1,642"
2020,3,50,"27,341","2,533","2,029","2,569","1,642","2,122","2,504","3,044","2,519","1,895",587,"1,129","1,713","1,355","1,700"
2020,3,60,"21,857","2,034","1,844","2,080","1,222","1,516","1,929","2,535","1,969","1,846",426,791,"1,372","1,013","1,280"
2020,3,70,"12,689","1,228","1,160","1,116",672,839,"1,112","1,356","1,053","1,130",291,478,816,646,792
2020,3,80,"4,359",455,437,423,316,271,359,349,272,362,132,183,237,283,280
2020,3,90,456,51,50,43,25,28,22,37,27,43,16,20,42,26,26
2020,3,100,86,7,5,14,4,11,10,8,5,5,1,5,3,6,2
2020,4,총,"171,621","15,772","12,819","15,324","9,312","14,172","14,638","19,240","16,576","10,504","4,910","6,874","12,117","9,267","10,096"
2020,4,0,"11,047",695,556,"1,007",648,"1,416",986,"1,337","1,539",459,257,410,686,370,681
2020,4,10,"12,618",795,744,"1,022",894,"1,030","1,075","1,377","1,555",648,327,429,"1,045",696,981
2020,4,20,"27,941","2,880","2,329","2,391","1,225","1,886","2,028","2,517","2,045","1,311","1,426","1,438","2,756","2,333","1,376"
2020,4,30,"26,482","2,749","1,886","2,330","1,169","2,618","2,325","3,314","2,626","1,328",772,"1,182","1,617","1,246","1,320"
2020,4,40,"26,708","2,329","1,752","2,330","1,493","2,417","2,294","3,353","2,949","1,455",668,921,"1,800","1,304","1,643"
2020,4,50,"27,284","2,541","2,033","2,559","1,634","2,117","2,498","3,028","2,516","1,901",594,"1,089","1,728","1,347","1,699"
2020,4,60,"21,918","2,041","1,864","2,084","1,234","1,532","1,928","2,551","1,984","1,855",424,746,"1,379","1,004","1,292"
