년도,월,나이,충청남도 예산군,충청남도 예산군 예산읍,충청남도 예산군 삽교읍,충청남도 예산군 대술면,충청남도 예산군 신양면,충청남도 예산군 광시면,충청남도 예산군 대흥면,충청남도 예산군 응봉면,충청남도 예산군 덕산면,충청남도 예산군 봉산면,충청남도 예산군 고덕면,충청남도 예산군 신암면,충청남도 예산군 오가면
2020,3,총,"39,587","16,896","4,797","1,320","1,596","1,592",879,"1,317","3,342","1,288","2,353","1,834","2,373"
2020,3,0,"1,983","1,180",260,24,45,48,21,31,145,41,68,57,63
2020,3,10,"3,025","1,739",339,53,93,73,29,84,213,68,130,77,127
2020,3,20,"3,981","2,018",581,84,106,109,47,118,285,91,188,155,199
2020,3,30,"3,576","1,690",589,100,121,82,54,91,264,106,163,138,178
2020,3,40,"5,420","2,624",615,176,169,178,103,166,435,144,286,221,303
2020,3,50,"7,368","3,088",834,250,269,321,149,241,692,246,453,339,486
2020,3,60,"7,044","2,464",751,300,356,349,247,280,670,258,464,406,499
2020,3,70,"4,654","1,447",510,213,268,248,155,181,414,205,397,283,333
2020,3,80,"2,350",596,299,114,162,168,72,112,206,113,195,147,166
2020,3,90,181,48,19,5,7,16,2,12,18,15,9,11,19
2020,3,100,5,2,0,1,0,0,0,1,0,1,0,0,0
2020,4,총,"39,524","16,826","4,829","1,319","1,594","1,590",881,"1,315","3,341","1,287","2,340","1,830","2,372"
2020,4,0,"1,959","1,157",267,25,43,47,18,31,139,44,66,58,64
2020,4,10,"3,011","1,732",335,50,94,72,32,83,214,69,128,77,125
2020,4,20,"3,971","2,002",588,87,106,110,48,115,285,90,184,154,202
2020,4,30,"3,571","1,684",606,96,121,80,53,93,265,103,157,139,174
2020,4,40,"5,383","2,598",624,175,169,176,101,164,428,144,281,217,306
2020,4,50,"7,359","3,088",823,248,263,320,149,243,698,246,455,341,485
2020,4,60,"7,050","2,468",753,304,359,356,244,278,672,259,462,400,495
2020,4,70,"4,687","1,455",518,214,268,248,163,181,413,203,403,284,337
2020,4,80,"2,345",591,297,114,164,165,71,114,208,112,195,149,165
2020,4,90,183,49,18,5,7,16,2,12,19,16,9,11,19
2020,4,100,5,2,0,1,0,0,0,1,0,1,0,0,0
2020,5,총,"39,497","16,806","4,847","1,323","1,593","1,583",879,"1,319","3,335","1,292","2,329","1,830","2,361"
2020,5,0,"1,955","1,156",264,28,40,45,18,32,141,44,67,57,63
2020,5,10,"2,986","1,716",335,51,96,73,31,79,215,67,127,75,121
2020,5,20,"3,967","2,001",591,85,103,103,47,119,287,95,176,155,205
2020,5,30,"3,553","1,672",602,96,118,82,52,93,264,104,157,142,171
2020,5,40,"5,355","2,593",624,172,172,174,100,164,422,142,279,209,304
2020,5,50,"7,367","3,090",830,252,264,319,147,243,696,246,453,345,482
2020,5,60,"7,064","2,476",763,306,361,354,244,283,668,256,461,405,487
2020,5,70,"4,719","1,464",523,210,269,248,165,180,417,210,405,282,346
2020,5,80,"2,344",587,297,117,164,168,73,114,205,111,195,149,164
