년도,월,나이,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2020,1,총,"240,215","17,378","15,011","13,847","14,080","4,838","16,084","5,464","6,957","10,079","10,576","13,973","26,900","6,717","13,910","23,165","13,091","28,145"
2020,1,0,"16,533",986,"1,623",849,"1,031",192,797,192,334,597,684,"1,344","2,106",351,922,"2,142",711,"1,672"
2020,1,10,"23,194","1,154","2,465","1,351","1,124",310,"1,231",276,503,820,841,"1,724","3,330",376,"1,039","2,994","1,177","2,479"
2020,1,20,"31,448","2,969","1,685","1,712","2,317",521,"1,869",923,827,"1,801","1,472","1,543","3,173",872,"1,816","2,844","1,667","3,437"
2020,1,30,"27,808","2,590","1,717","1,500","2,042",489,"1,707",576,691,"1,328","1,342","1,737","2,655",904,"1,636","2,671","1,325","2,898"
2020,1,40,"38,184","2,787","3,283","2,214","2,117",636,"2,151",673,977,"1,533","1,552","2,549","4,565",983,"1,953","4,073","1,974","4,164"
2020,1,50,"40,454","2,877","2,056","2,479","2,094",875,"2,998",969,"1,309","1,518","1,727","2,192","4,518","1,242","2,284","3,489","2,462","5,365"
2020,1,60,"32,385","2,268","1,163","1,974","1,755",837,"2,770",861,"1,142","1,170","1,386","1,488","3,355","1,099","2,190","2,463","1,904","4,560"
2020,1,70,"20,089","1,172",678,"1,147","1,059",646,"1,812",650,765,858,950,966,"2,093",623,"1,386","1,673","1,188","2,423"
2020,1,80,"8,845",487,297,543,454,291,657,300,345,397,544,380,978,239,592,723,616,"1,002"
2020,1,90,"1,198",83,39,74,82,38,86,37,60,50,77,50,118,26,85,89,64,140
2020,1,100,77,5,5,4,5,3,6,7,4,7,1,0,9,2,7,4,3,5
2020,2,총,"240,064","17,331","15,039","13,807","14,150","4,824","16,115","5,511","6,904","10,053","10,574","13,918","26,853","6,728","13,924","23,092","13,085","28,156"
2020,2,0,"16,424",977,"1,628",837,"1,041",191,794,192,324,587,679,"1,321","2,099",355,924,"2,108",695,"1,672"
2020,2,10,"23,081","1,155","2,469","1,340","1,122",310,"1,223",271,493,809,833,"1,713","3,307",380,"1,037","2,982","1,173","2,464"
2020,2,20,"31,424","2,963","1,676","1,695","2,358",516,"1,883",954,812,"1,800","1,487","1,543","3,161",872,"1,798","2,843","1,649","3,414"
2020,2,30,"27,658","2,585","1,694","1,501","2,022",480,"1,691",588,678,"1,335","1,345","1,710","2,617",902,"1,651","2,615","1,348","2,896"
2020,2,40,"38,162","2,771","3,310","2,203","2,143",634,"2,164",671,980,"1,509","1,539","2,541","4,570",984,"1,952","4,071","1,970","4,150"
2020,2,50,"40,455","2,869","2,065","2,474","2,101",868,"2,995",965,"1,305","1,521","1,718","2,198","4,513","1,234","2,282","3,509","2,451","5,387"
2020,2,60,"32,561","2,265","1,176","1,985","1,764",843,"2,791",863,"1,145","1,171","1,406","1,491","3,372","1,107","2,207","2,468","1,926","4,581"
2020,2,70,"20,135","1,168",680,"1,152","1,056",653,"1,819",651,762,860,948,964,"2,100",623,"1,388","1,672","1,197","2,442"
2020,2,80,"8,877",488,297,541,455,287,664,314,339,400,540,389,988,242,590,726,611,"1,006"
2020,2,90,"1,210",85,39,75,83,39,85,36,62,53,78,48,117,27,88,94,62,139
2020,2,100,77,5,5,4,5,3,6,6,4,8,1,0,9,2,7,4,3,5
2020,3,총,"239,635","17,192","14,977","13,753","14,154","4,798","16,072","5,538","6,909","10,019","10,560","13,880","26,822","6,754","13,952","23,057","13,064","28,134"
2020,3,0,"16,309",970,"1,615",820,"1,030",188,788,197,325,575,668,"1,313","2,112",359,926,"2,078",682,"1,663"
2020,3,10,"22,902","1,129","2,467","1,328","1,115",306,"1,205",271,491,795,819,"1,703","3,264",379,"1,035","2,979","1,171","2,445"
2020,3,20,"31,448","2,960","1,658","1,693","2,380",504,"1,881",977,813,"1,813","1,502","1,537","3,158",884,"1,797","2,841","1,636","3,414"
2020,3,30,"27,484","2,540","1,674","1,484","2,018",481,"1,688",600,675,"1,304","1,329","1,703","2,616",905,"1,647","2,609","1,341","2,870"
2020,3,40,"38,000","2,745","3,295","2,189","2,145",628,"2,149",660,969,"1,506","1,534","2,521","4,558",984,"1,954","4,068","1,963","4,132"
2020,3,50,"40,307","2,856","2,069","2,451","2,077",860,"2,967",967,"1,306","1,528","1,710","2,195","4,478","1,236","2,292","3,495","2,452","5,368"
2020,3,60,"32,707","2,231","1,174","1,994","1,788",846,"2,814",857,"1,154","1,177","1,418","1,502","3,399","1,104","2,210","2,472","1,926","4,641"
2020,3,70,"20,223","1,176",686,"1,169","1,057",646,"1,824",654,763,856,952,959,"2,109",626,"1,403","1,678","1,211","2,454"
