년도,월,나이,전라북도 장수군,전라북도 장수군 장수읍,전라북도 장수군 산서면,전라북도 장수군 번암면,전라북도 장수군 장계면,전라북도 장수군 천천면,전라북도 장수군 계남면,전라북도 장수군 계북면
2020,1,총,"22,382","7,487","2,144","2,380","4,458","2,106","2,201","1,606"
2020,1,0,"1,229",587,86,83,246,56,96,75
2020,1,10,"1,713",743,120,126,375,108,153,88
2020,1,20,"1,744",672,158,153,396,125,158,82
2020,1,30,"1,711",761,125,132,335,120,141,97
2020,1,40,"2,651","1,042",213,227,584,196,230,159
2020,1,50,"3,840","1,175",348,428,801,390,423,275
2020,1,60,"4,046","1,146",394,511,741,480,404,370
2020,1,70,"3,110",822,373,423,564,346,336,246
2020,1,80,"2,044",474,286,257,368,239,237,183
2020,1,90,275,62,39,38,40,44,21,31
2020,1,100,19,3,2,2,8,2,2,0
2020,2,총,"22,285","7,458","2,119","2,373","4,441","2,106","2,196","1,592"
2020,2,0,"1,212",584,83,78,247,54,96,70
2020,2,10,"1,684",736,114,125,367,103,150,89
2020,2,20,"1,721",657,155,156,391,128,154,80
2020,2,30,"1,683",743,122,129,330,120,144,95
2020,2,40,"2,656","1,051",206,224,587,202,232,154
2020,2,50,"3,804","1,170",346,423,789,379,427,270
2020,2,60,"4,071","1,152",393,514,750,489,400,373
2020,2,70,"3,111",825,374,421,562,345,338,246
2020,2,80,"2,048",477,285,262,369,240,231,184
2020,2,90,275,60,39,39,41,43,22,31
2020,2,100,20,3,2,2,8,3,2,0
2020,3,총,"22,277","7,452","2,117","2,370","4,429","2,115","2,197","1,597"
2020,3,0,"1,208",581,82,79,244,53,97,72
2020,3,10,"1,681",735,115,123,366,103,150,89
2020,3,20,"1,715",660,151,157,384,128,154,81
2020,3,30,"1,669",735,117,129,331,118,140,99
2020,3,40,"2,653","1,044",209,223,582,206,235,154
2020,3,50,"3,785","1,169",345,414,794,378,417,268
2020,3,60,"4,085","1,156",397,517,746,488,407,374
2020,3,70,"3,117",829,373,426,559,352,339,239
2020,3,80,"2,064",477,288,261,374,243,233,188
2020,3,90,278,63,38,39,41,43,21,33
2020,3,100,22,3,2,2,8,3,4,0
2020,4,총,"22,277","7,457","2,113","2,381","4,427","2,114","2,195","1,590"
2020,4,0,"1,205",583,81,81,244,53,94,69
2020,4,10,"1,677",735,115,124,360,102,150,91
2020,4,20,"1,711",656,150,155,382,129,158,81
2020,4,30,"1,655",726,114,132,338,117,136,92
2020,4,40,"2,645","1,047",207,223,576,202,237,153
2020,4,50,"3,764","1,163",342,411,790,376,414,268
2020,4,60,"4,116","1,170",397,521,755,493,408,372
2020,4,70,"3,114",828,373,430,551,351,339,242
2020,4,80,"2,090",484,293,263,380,247,233,190
2020,4,90,278,62,39,39,43,41,22,32
2020,4,100,22,3,2,2,8,3,4,0
2020,5,총,"22,230","7,416","2,112","2,383","4,411","2,134","2,189","1,585"
2020,5,0,"1,207",585,82,76,246,56,94,68
2020,5,10,"1,663",722,116,128,356,103,147,91
2020,5,20,"1,697",655,147,155,372,129,158,81
2020,5,30,"1,641",712,117,132,333,121,135,91
2020,5,40,"2,630","1,046",200,223,573,202,232,154
2020,5,50,"3,731","1,152",340,409,785,373,411,261
2020,5,60,"4,147","1,170",403,523,767,500,411,373
2020,5,70,"3,113",829,375,431,547,349,339,243
2020,5,80,"2,099",480,292,266,380,255,235,191
2020,5,90,280,62,39,38,43,43,23,32
2020,5,100,22,3,1,2,9,3,4,0
2020,6,총,"22,240","7,440","2,109","2,382","4,388","2,141","2,196","1,584"
2020,6,0,"1,207",580,81,76,246,59,95,70
2020,6,10,"1,663",734,117,125,350,101,148,88
2020,6,20,"1,693",653,143,154,370,133,160,80
2020,6,30,"1,628",708,117,131,324,124,131,93
2020,6,40,"2,638","1,057",202,221,569,199,236,154
2020,6,50,"3,718","1,155",339,402,779,374,412,257
2020,6,60,"4,166","1,176",400,531,769,502,412,376
2020,6,70,"3,135",834,376,438,548,353,342,244
2020,6,80,"2,087",478,291,263,381,250,233,191
2020,6,90,283,62,42,39,43,43,23,31
2020,6,100,22,3,1,2,9,3,4,0
2020,7,총,"22,205","7,409","2,110","2,375","4,400","2,137","2,188","1,586"
2020,7,0,"1,189",568,77,76,245,59,94,70
2020,7,10,"1,662",731,119,124,351,101,147,89
2020,7,20,"1,692",651,142,152,371,133,160,83
2020,7,30,"1,601",696,114,128,325,122,126,90
2020,7,40,"2,632","1,056",202,222,569,193,236,154
2020,7,50,"3,711","1,146",341,400,782,373,413,256
2020,7,60,"4,172","1,183",396,529,774,504,410,376
2020,7,70,"3,144",834,380,440,549,355,341,245
2020,7,80,"2,099",480,295,263,381,252,234,194
2020,7,90,281,61,43,39,44,42,23,29
2020,7,100,22,3,1,2,9,3,4,0
2020,8,총,"22,159","7,398","2,109","2,352","4,410","2,128","2,177","1,585"
2020,8,0,"1,183",565,76,73,250,59,91,69
2020,8,10,"1,663",737,120,121,349,100,145,91
2020,8,20,"1,679",648,142,147,371,127,162,82
2020,8,30,"1,588",686,112,127,327,121,126,89
2020,8,40,"2,621","1,054",200,221,570,191,231,154
2020,8,50,"3,709","1,145",340,396,784,377,410,257
2020,8,60,"4,174","1,187",395,530,776,500,412,374
2020,8,70,"3,132",828,379,436,551,358,336,244
2020,8,80,"2,108",480,301,261,381,253,237,195
2020,8,90,280,65,43,38,42,39,23,30
2020,8,100,22,3,1,2,9,3,4,0
2020,9,총,"22,149","7,394","2,105","2,342","4,422","2,124","2,177","1,585"
2020,9,0,"1,176",564,75,73,248,58,89,69
2020,9,10,"1,670",742,121,121,352,98,146,90
2020,9,20,"1,672",643,141,146,371,125,160,86
2020,9,30,"1,578",686,109,124,325,122,125,87
2020,9,40,"2,612","1,043",197,217,577,188,233,157
2020,9,50,"3,702","1,141",343,393,781,376,413,255
2020,9,60,"4,186","1,196",395,531,779,502,412,371
2020,9,70,"3,131",831,375,435,553,358,333,246
2020,9,80,"2,113",480,302,262,384,254,238,193
2020,9,90,287,65,46,38,43,40,24,31
2020,9,100,22,3,1,2,9,3,4,0
2020,10,총,"22,140","7,401","2,101","2,330","4,422","2,112","2,183","1,591"
2020,10,0,"1,162",555,75,69,250,55,90,68
2020,10,10,"1,671",754,121,121,347,94,145,89
2020,10,20,"1,674",642,140,144,371,129,161,87
2020,10,30,"1,570",686,106,119,325,120,126,88
2020,10,40,"2,603","1,034",197,217,573,188,235,159
2020,10,50,"3,696","1,142",342,386,775,379,417,255
2020,10,60,"4,204","1,200",394,535,790,493,416,376
2020,10,70,"3,140",837,376,439,554,361,326,247
2020,10,80,"2,111",483,301,262,385,251,238,191
2020,10,90,287,65,48,36,43,39,25,31
2020,10,100,22,3,1,2,9,3,4,0
2020,11,총,"22,099","7,401","2,100","2,322","4,421","2,107","2,168","1,580"
2020,11,0,"1,156",555,76,68,251,54,86,66
2020,11,10,"1,658",749,116,118,348,95,144,88
2020,11,20,"1,669",643,138,145,371,126,159,87
2020,11,30,"1,555",683,110,118,316,121,122,85
2020,11,40,"2,591","1,024",196,216,585,184,231,155
2020,11,50,"3,704","1,153",342,387,772,377,413,260
2020,11,60,"4,202","1,201",394,535,788,494,420,370
2020,11,70,"3,132",838,378,435,552,357,324,248
2020,11,80,"2,120",484,302,263,385,257,239,190
2020,11,90,290,68,47,35,44,39,26,31
2020,11,100,22,3,1,2,9,3,4,0
2020,12,총,"22,085","7,406","2,089","2,318","4,429","2,107","2,160","1,576"
2020,12,0,"1,156",559,74,69,256,48,84,66
2020,12,10,"1,658",751,115,117,349,94,143,89
2020,12,20,"1,669",647,136,147,369,130,153,87
2020,12,30,"1,553",680,110,118,313,120,126,86
2020,12,40,"2,582","1,030",193,212,588,183,228,148
2020,12,50,"3,682","1,143",341,378,773,381,403,263
2020,12,60,"4,216","1,202",394,540,789,492,429,370
2020,12,70,"3,136",840,378,433,554,360,323,248
2020,12,80,"2,121",483,302,262,385,257,244,188
2020,12,90,291,67,45,40,44,39,25,31
2020,12,100,21,4,1,2,9,3,2,0
2021,1,총,"22,081","7,394","2,085","2,324","4,429","2,105","2,166","1,578"
2021,1,0,"1,147",551,73,70,254,48,85,66
2021,1,10,"1,654",745,116,119,350,94,144,86
2021,1,20,"1,649",638,131,147,369,127,149,88
2021,1,30,"1,555",679,111,117,311,121,131,85
2021,1,40,"2,568","1,030",193,214,580,182,223,146
2021,1,50,"3,680","1,139",339,378,772,377,407,268
2021,1,60,"4,238","1,208",394,540,797,498,431,370
2021,1,70,"3,131",841,379,432,554,359,323,243
2021,1,80,"2,141",489,304,264,387,256,246,195
2021,1,90,296,70,44,41,46,40,25,30
2021,1,100,22,4,1,2,9,3,2,1
2021,2,총,"22,035","7,377","2,080","2,312","4,423","2,109","2,157","1,577"
2021,2,0,"1,130",545,74,66,251,49,79,66
2021,2,10,"1,650",746,113,121,351,95,140,84
2021,2,20,"1,633",635,130,145,363,126,148,86
2021,2,30,"1,535",674,111,114,307,121,125,83
2021,2,40,"2,552","1,016",191,209,577,188,226,145
2021,2,50,"3,675","1,138",338,376,774,377,404,268
2021,2,60,"4,253","1,204",396,544,801,499,434,375
2021,2,70,"3,124",848,374,429,551,360,324,238
2021,2,80,"2,159",498,306,263,390,252,249,201
2021,2,90,301,69,46,43,49,39,26,29
2021,2,100,23,4,1,2,9,3,2,2
2021,3,총,"21,946","7,365","2,076","2,303","4,372","2,100","2,148","1,582"
2021,3,0,"1,122",545,68,67,247,50,78,67
2021,3,10,"1,641",741,113,120,347,96,141,83
2021,3,20,"1,625",637,130,140,366,123,145,84
2021,3,30,"1,509",666,114,114,297,119,117,82
2021,3,40,"2,532","1,018",189,207,559,184,225,150
2021,3,50,"3,649","1,136",337,373,763,371,404,265
2021,3,60,"4,284","1,209",398,547,806,505,438,381
2021,3,70,"3,108",848,375,423,544,358,324,236
2021,3,80,"2,166",498,305,268,393,252,249,201
2021,3,90,299,65,46,42,49,40,26,31
2021,3,100,11,2,1,2,1,2,1,2
2021,4,총,"21,910","7,343","2,079","2,306","4,373","2,088","2,149","1,572"
2021,4,0,"1,105",535,65,69,241,49,79,67
2021,4,10,"1,640",740,114,120,354,94,135,83
2021,4,20,"1,617",638,130,137,363,123,146,80
2021,4,30,"1,507",660,111,119,299,118,119,81
2021,4,40,"2,517","1,013",188,199,560,183,224,150
2021,4,50,"3,629","1,135",339,370,760,361,400,264
2021,4,60,"4,309","1,206",402,555,810,511,445,380
2021,4,70,"3,098",843,375,421,543,354,328,234
2021,4,80,"2,174",503,307,272,390,254,246,202
2021,4,90,303,68,47,42,52,39,26,29
2021,4,100,11,2,1,2,1,2,1,2
2021,5,총,"21,902","7,337","2,085","2,317","4,377","2,081","2,136","1,569"
2021,5,0,"1,089",530,65,67,236,48,78,65
2021,5,10,"1,641",741,113,123,354,93,133,84
2021,5,20,"1,618",640,129,138,364,125,146,76
2021,5,30,"1,495",653,113,118,305,111,114,81
2021,5,40,"2,491","1,004",185,195,553,179,224,151
2021,5,50,"3,635","1,134",342,375,763,361,398,262
2021,5,60,"4,324","1,216",403,558,809,510,442,386
2021,5,70,"3,100",839,378,423,545,357,327,231
2021,5,80,"2,193",510,308,276,399,254,244,202
2021,5,90,305,68,48,41,48,41,29,30
2021,5,100,11,2,1,3,1,2,1,1
2021,6,총,"21,880","7,327","2,077","2,309","4,374","2,079","2,137","1,577"
2021,6,0,"1,075",524,66,64,230,47,77,67
2021,6,10,"1,647",738,114,124,355,95,135,86
2021,6,20,"1,611",642,125,135,363,124,146,76
2021,6,30,"1,480",646,111,115,306,107,116,79
2021,6,40,"2,481","1,004",182,195,548,176,223,153
2021,6,50,"3,634","1,138",346,371,760,361,396,262
2021,6,60,"4,342","1,218",405,558,823,509,438,391
2021,6,70,"3,096",833,375,424,540,363,334,227
2021,6,80,"2,200",514,304,279,401,254,243,205
2021,6,90,303,68,48,41,47,41,28,30
2021,6,100,11,2,1,3,1,2,1,1
2021,7,총,"21,854","7,321","2,072","2,306","4,374","2,072","2,129","1,580"
2021,7,0,"1,071",523,64,64,235,47,73,65
2021,7,10,"1,651",739,116,123,356,94,136,87
2021,7,20,"1,597",639,125,134,360,121,144,74
2021,7,30,"1,464",640,106,115,303,105,113,82
2021,7,40,"2,462",997,176,193,546,175,223,152
2021,7,50,"3,638","1,141",352,372,756,361,394,262
2021,7,60,"4,358","1,221",407,559,830,509,437,395
2021,7,70,"3,102",836,372,424,539,365,338,228
2021,7,80,"2,197",516,305,278,402,252,240,204
2021,7,90,302,67,48,41,46,41,29,30
2021,7,100,12,2,1,3,1,2,2,1
2021,8,총,"21,811","7,318","2,060","2,305","4,353","2,075","2,123","1,577"
2021,8,0,"1,059",515,65,66,231,47,71,64
2021,8,10,"1,649",741,115,121,357,92,136,87
2021,8,20,"1,579",637,127,131,347,119,144,74
2021,8,30,"1,454",640,102,112,300,110,109,81
2021,8,40,"2,458",999,175,192,545,168,227,152
2021,8,50,"3,628","1,136",352,376,753,362,392,257
2021,8,60,"4,360","1,216",402,561,829,516,438,398
2021,8,70,"3,113",847,370,421,541,363,341,230
2021,8,80,"2,195",517,304,280,401,255,235,203
2021,8,90,305,68,47,42,48,41,29,30
2021,8,100,11,2,1,3,1,2,1,1
2021,9,총,"21,755","7,289","2,049","2,304","4,334","2,073","2,129","1,577"
2021,9,0,"1,047",505,65,68,228,47,70,64
2021,9,10,"1,650",744,113,120,357,90,139,87
2021,9,20,"1,564",626,121,133,343,121,144,76
2021,9,30,"1,430",627,97,107,304,108,106,81
2021,9,40,"2,440",997,169,189,544,164,224,153
2021,9,50,"3,633","1,137",356,377,750,366,393,254
2021,9,60,"4,357","1,210",409,558,819,517,446,398
2021,9,70,"3,111",851,370,429,537,359,335,230
2021,9,80,"2,204",522,299,280,401,259,240,203
2021,9,90,308,68,49,40,50,40,31,30
2021,9,100,11,2,1,3,1,2,1,1
2021,10,총,"21,731","7,284","2,044","2,299","4,343","2,070","2,119","1,572"
2021,10,0,"1,029",496,65,69,225,47,64,63
2021,10,10,"1,642",740,111,117,359,87,138,90
2021,10,20,"1,562",628,123,132,339,120,144,76
2021,10,30,"1,430",628,97,105,304,110,105,81
2021,10,40,"2,422",987,169,186,544,163,224,149
2021,10,50,"3,633","1,146",353,382,750,359,390,253
2021,10,60,"4,375","1,215",409,555,829,522,449,396
2021,10,70,"3,104",854,369,430,532,360,329,230
2021,10,80,"2,212",520,299,277,409,261,244,202
2021,10,90,311,68,48,43,51,39,31,31
2021,10,100,11,2,1,3,1,2,1,1
2021,11,총,"21,723","7,282","2,041","2,306","4,350","2,044","2,128","1,572"
2021,11,0,"1,029",496,66,69,227,44,65,62
2021,11,10,"1,637",740,112,117,358,83,138,89
2021,11,20,"1,557",622,124,134,334,117,148,78
2021,11,30,"1,423",628,94,106,303,106,106,80
2021,11,40,"2,410",983,168,186,549,157,218,149
2021,11,50,"3,626","1,143",351,377,749,357,398,251
2021,11,60,"4,392","1,219",410,560,834,523,448,398
2021,11,70,"3,088",852,366,431,526,356,329,228
2021,11,80,"2,236",524,300,278,417,263,246,208
2021,11,90,314,73,49,45,52,36,31,28
2021,11,100,11,2,1,3,1,2,1,1
2021,12,총,"21,695","7,259","2,048","2,288","4,335","2,056","2,144","1,565"
2021,12,0,"1,025",495,66,67,226,45,68,58
2021,12,10,"1,627",732,113,115,355,84,136,92
2021,12,20,"1,548",619,126,130,327,115,153,78
2021,12,30,"1,400",619,92,101,300,106,105,77
2021,12,40,"2,405",985,172,180,547,160,216,145
2021,12,50,"3,635","1,139",357,370,748,360,406,255
2021,12,60,"4,394","1,221",405,565,841,521,448,393
2021,12,70,"3,075",850,363,432,517,355,329,229
2021,12,80,"2,258",524,303,280,422,270,250,209
2021,12,90,316,73,50,44,51,38,32,28
2021,12,100,12,2,1,4,1,2,1,1
