년도,월,나이,광양시,광양읍,봉강면,옥룡면,옥곡면,진상면,진월면,다압면,골약동,중마동,광영동,금호동,태인동
2020,1,총,"153,335","49,746","2,216","3,156","2,948","2,978","2,901","1,824","1,774","58,659","12,526","12,723","1,884"
2020,1,0,"14,203","4,670",77,102,76,79,72,56,47,"6,969","1,011",982,62
2020,1,10,"16,748","5,369",160,142,124,149,104,97,75,"7,584","1,268","1,550",126
2020,1,20,"20,913","6,565",210,289,279,230,239,121,152,"8,503","1,737","2,371",217
2020,1,30,"19,258","6,328",135,174,196,195,181,112,140,"8,957","1,352","1,347",141
2020,1,40,"24,596","8,156",224,314,303,237,276,180,196,"10,881","2,050","1,558",221
2020,1,50,"28,857","8,591",474,699,613,593,539,373,336,"10,467","2,830","2,914",428
2020,1,60,"15,609","5,465",357,555,558,579,571,374,306,"3,469","1,472","1,587",316
2020,1,70,"7,929","2,827",306,493,459,501,537,289,289,"1,213",520,284,211
2020,1,80,"4,524","1,513",229,334,301,367,319,196,210,546,251,109,149
2020,1,90,676,252,43,53,38,47,61,24,22,67,35,21,13
2020,1,100,22,10,1,1,1,1,2,2,1,3,0,0,0
2020,2,총,"152,304","49,415","2,197","3,132","2,909","2,933","2,861","1,794","1,739","58,390","12,461","12,599","1,874"
2020,2,0,"14,112","4,641",80,98,75,78,72,56,43,"6,937",998,972,62
2020,2,10,"16,478","5,302",155,139,120,141,97,93,74,"7,515","1,236","1,484",122
2020,2,20,"20,552","6,449",201,280,266,223,225,112,151,"8,378","1,716","2,332",219
2020,2,30,"19,129","6,286",137,170,196,181,176,108,135,"8,920","1,335","1,351",134
2020,2,40,"24,394","8,107",225,304,296,236,271,173,188,"10,813","2,039","1,529",213
2020,2,50,"28,787","8,540",463,698,600,573,525,356,325,"10,512","2,835","2,930",430
2020,2,60,"15,649","5,482",357,556,557,581,570,383,296,"3,477","1,480","1,588",322
2020,2,70,"7,926","2,814",307,496,458,501,537,290,290,"1,212",533,283,205
2020,2,80,"4,559","1,527",227,337,299,366,325,197,212,553,253,111,152
2020,2,90,696,257,44,53,41,52,61,24,24,70,36,19,15
2020,2,100,22,10,1,1,1,1,2,2,1,3,0,0,0
2020,3,총,"151,372","49,029","2,156","3,110","2,871","2,905","2,822","1,784","1,719","58,194","12,409","12,518","1,855"
2020,3,0,"14,012","4,633",73,97,70,78,65,56,42,"6,883",988,968,59
2020,3,10,"16,294","5,233",145,141,117,137,94,95,70,"7,480","1,212","1,447",123
2020,3,20,"20,300","6,322",192,269,254,218,215,107,145,"8,327","1,719","2,317",215
2020,3,30,"18,949","6,205",135,167,190,175,171,102,130,"8,890","1,318","1,335",131
2020,3,40,"24,153","8,026",218,299,284,232,268,172,183,"10,755","1,998","1,510",208
2020,3,50,"28,726","8,513",458,686,593,563,515,353,327,"10,521","2,854","2,921",422
2020,3,60,"15,733","5,502",355,568,559,581,568,383,297,"3,495","1,499","1,601",325
2020,3,70,"7,895","2,808",305,491,458,499,534,291,287,"1,207",524,287,204
2020,3,80,"4,581","1,525",230,335,302,368,324,199,213,562,258,113,152
2020,3,90,707,252,44,56,43,53,66,24,24,71,39,19,16
2020,3,100,22,10,1,1,1,1,2,2,1,3,0,0,0
2020,4,총,"151,751","49,161","2,172","3,122","2,875","2,895","2,824","1,789","1,704","58,387","12,451","12,526","1,845"
2020,4,0,"13,977","4,627",73,98,67,77,65,55,42,"6,883",991,939,60
2020,4,10,"16,263","5,234",148,145,118,132,94,95,67,"7,464","1,208","1,435",123
2020,4,20,"20,379","6,325",189,271,256,215,212,107,139,"8,404","1,724","2,329",208
2020,4,30,"19,033","6,252",138,165,184,175,170,102,130,"8,917","1,328","1,342",130
2020,4,40,"24,183","8,056",225,299,288,230,268,170,181,"10,755","2,002","1,503",206
2020,4,50,"28,799","8,538",452,683,590,563,517,352,328,"10,566","2,857","2,930",423
2020,4,60,"15,867","5,522",365,574,563,580,570,389,297,"3,542","1,517","1,622",326
2020,4,70,"7,909","2,817",309,490,459,496,534,288,281,"1,216",524,292,203
2020,4,80,"4,596","1,525",228,339,306,370,324,205,211,563,260,115,150
2020,4,90,722,254,44,57,43,56,68,24,27,74,40,19,16
2020,4,100,23,11,1,1,1,1,2,2,1,3,0,0,0
2020,5,총,"152,576","49,517","2,193","3,132","2,879","2,899","2,851","1,803","1,699","58,648","12,553","12,556","1,846"
2020,5,0,"13,965","4,642",72,96,66,75,67,53,41,"6,839","1,014",941,59
2020,5,10,"16,223","5,233",146,143,119,127,94,94,65,"7,456","1,201","1,419",126
2020,5,20,"20,474","6,355",191,268,255,217,215,113,134,"8,466","1,731","2,327",202
2020,5,30,"19,303","6,350",139,175,186,174,180,104,133,"8,998","1,362","1,369",133
2020,5,40,"24,332","8,125",229,294,288,240,275,170,183,"10,804","2,016","1,504",204
2020,5,50,"28,935","8,585",452,684,597,560,520,353,328,"10,632","2,868","2,934",422
2020,5,60,"16,006","5,575",379,581,559,575,567,394,291,"3,596","1,530","1,628",331
2020,5,70,"7,975","2,851",311,490,458,503,540,291,286,"1,215",530,296,204
2020,5,80,"4,611","1,535",228,342,306,369,325,206,209,567,259,117,148
2020,5,90,731,256,45,58,44,58,66,24,28,72,42,21,17
2020,5,100,21,10,1,1,1,1,2,1,1,3,0,0,0
2020,6,총,"152,016","49,276","2,184","3,118","2,850","2,884","2,849","1,816","1,690","58,479","12,534","12,497","1,839"
2020,6,0,"13,853","4,589",72,98,64,78,66,54,39,"6,795","1,004",935,59
2020,6,10,"16,195","5,229",146,138,119,125,95,92,66,"7,458","1,200","1,400",127
2020,6,20,"20,344","6,300",189,264,256,214,211,118,130,"8,419","1,733","2,310",200
2020,6,30,"19,047","6,248",139,173,179,170,178,103,131,"8,907","1,341","1,349",129
