년도,월,나이,충청북도 단양군,충청북도 단양군 단양읍,충청북도 단양군 매포읍,충청북도 단양군 대강면,충청북도 단양군 가곡면,충청북도 단양군 영춘면,충청북도 단양군 어상천면,충청북도 단양군 적성면,충청북도 단양군 단성면
2020,1,총,"15,023","5,455","2,870","1,233","1,125","1,608","1,070",787,875
2020,1,0,665,354,152,29,34,46,23,11,16
2020,1,10,"1,102",504,226,53,98,93,55,15,58
2020,1,20,"1,425",689,308,63,63,103,73,45,81
2020,1,30,"1,161",561,255,55,56,94,55,45,40
2020,1,40,"1,951",829,430,115,116,183,102,88,88
2020,1,50,"3,087","1,067",543,299,226,357,232,167,196
2020,1,60,"3,105",848,486,334,275,378,306,245,233
2020,1,70,"1,740",417,325,190,187,255,151,111,104
2020,1,80,718,173,135,83,64,92,65,54,52
2020,1,90,61,11,9,10,6,6,7,6,6
2020,1,100,8,2,1,2,0,1,1,0,1
2020,2,총,"14,987","5,434","2,861","1,238","1,127","1,609","1,066",787,865
2020,2,0,665,352,152,31,34,46,23,11,16
2020,2,10,"1,096",502,223,54,100,94,57,13,53
2020,2,20,"1,404",682,307,63,61,98,70,44,79
2020,2,30,"1,154",556,249,55,56,96,56,47,39
2020,2,40,"1,940",821,434,116,114,183,103,85,84
2020,2,50,"3,065","1,068",538,295,222,354,225,167,196
2020,2,60,"3,124",846,487,335,278,380,313,251,234
2020,2,70,"1,740",422,324,191,190,253,145,111,104
2020,2,80,728,171,137,85,66,98,65,53,53
2020,2,90,63,12,9,11,6,6,8,5,6
2020,2,100,8,2,1,2,0,1,1,0,1
2020,3,총,"14,958","5,422","2,862","1,239","1,127","1,608","1,060",785,855
2020,3,0,659,345,153,31,34,45,23,11,17
2020,3,10,"1,095",503,222,55,99,96,57,14,49
2020,3,20,"1,395",673,309,62,63,97,71,44,76
2020,3,30,"1,148",556,249,55,56,94,52,47,39
2020,3,40,"1,926",818,431,116,110,182,102,84,83
2020,3,50,"3,052","1,066",538,296,222,351,223,166,190
2020,3,60,"3,140",855,488,334,280,384,312,249,238
2020,3,70,"1,739",419,323,191,193,253,145,111,104
2020,3,80,730,171,139,86,65,99,66,52,52
2020,3,90,66,14,9,11,5,6,8,7,6
2020,3,100,8,2,1,2,0,1,1,0,1
2020,4,총,"14,920","5,406","2,851","1,239","1,124","1,609","1,056",783,852
2020,4,0,661,346,152,32,33,45,24,12,17
2020,4,10,"1,088",498,222,54,100,97,55,14,48
2020,4,20,"1,379",660,309,61,61,98,70,45,75
2020,4,30,"1,132",555,244,54,55,90,49,47,38
2020,4,40,"1,909",811,429,114,110,181,100,83,81
2020,4,50,"3,061","1,071",536,299,222,353,225,166,189
2020,4,60,"3,142",859,489,333,277,384,314,247,239
2020,4,70,"1,737",421,320,193,193,250,144,110,106
2020,4,80,738,170,139,87,68,104,66,52,52
2020,4,90,65,13,10,10,5,6,8,7,6
2020,4,100,8,2,1,2,0,1,1,0,1
2020,5,총,"14,894","5,389","2,840","1,232","1,125","1,610","1,050",792,856
2020,5,0,649,339,147,31,37,44,24,11,16
2020,5,10,"1,085",498,221,55,99,97,52,15,48
2020,5,20,"1,361",656,308,59,61,96,68,42,71
2020,5,30,"1,122",553,241,54,53,87,47,48,39
2020,5,40,"1,896",802,426,111,110,180,103,83,81
2020,5,50,"3,063","1,073",536,294,217,356,221,172,194
2020,5,60,"3,164",865,492,336,279,388,314,248,242
2020,5,70,"1,738",417,319,191,196,249,146,114,106
2020,5,80,742,171,139,88,68,106,66,52,52
2020,5,90,66,13,10,11,5,6,8,7,6
2020,5,100,8,2,1,2,0,1,1,0,1
2020,6,총,"14,894","5,386","2,830","1,240","1,132","1,610","1,051",787,858
2020,6,0,647,338,146,32,38,42,24,11,16
2020,6,10,"1,085",497,220,55,101,97,52,15,48
2020,6,20,"1,346",646,306,59,61,94,68,42,70
