년도,월,나이,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2020,1,총,"250,931","12,280","7,910","14,901","14,392","8,480","16,011","17,013","7,433","13,109","9,001","11,857","9,278","13,077","11,456","11,110","8,012","8,892","14,183","12,566","15,692","14,278"
2020,1,0,"12,776",708,778,"1,159",654,417,614,"1,285",256,690,582,420,343,471,470,216,656,377,396,554,980,750
2020,1,10,"15,703",808,638,"1,649",740,404,851,"1,360",349,877,424,489,461,606,699,243,795,462,564,918,"1,249","1,117"
2020,1,20,"52,698","2,256","1,032","1,927","3,356","2,533","4,594","2,684","1,842","2,784","1,762","3,198","2,194","3,246","2,614","3,897",909,"1,753","3,741","1,710","2,459","2,207"
2020,1,30,"48,672","2,321","1,327","2,013","3,267","1,949","3,330","2,912","1,612","2,729","2,030","2,735","1,878","2,903","2,255","3,172","1,023","1,879","3,197","1,650","2,373","2,117"
2020,1,40,"37,677","1,781","1,379","2,651","1,993","1,093","2,091","2,848",964,"1,926","1,228","1,543","1,303","1,936","1,575","1,392","1,569","1,268","2,432","1,973","2,510","2,222"
2020,1,50,"34,472","1,673","1,156","2,340","1,717",859,"1,825","2,385",968,"1,739","1,193","1,390","1,200","1,662","1,667",937,"1,310","1,304","1,920","2,265","2,477","2,485"
2020,1,60,"26,790","1,483",868,"1,704","1,430",649,"1,455","1,922",762,"1,284",976,"1,127",985,"1,266","1,178",675,957,"1,055","1,117","1,892","2,109","1,896"
2020,1,70,"16,730",965,517,"1,084",960,439,934,"1,232",511,792,616,725,697,749,749,443,610,575,587,"1,169","1,220","1,156"
2020,1,80,"4,961",263,191,338,251,123,284,358,157,264,181,219,200,222,230,125,159,196,213,388,292,307
2020,1,90,389,21,21,32,18,13,26,21,11,22,9,11,13,15,15,9,18,23,13,42,18,18
2020,1,100,63,1,3,4,6,1,7,6,1,2,0,0,4,1,4,1,6,0,3,5,5,3
2020,2,총,"250,822","12,278","7,888","14,866","14,418","8,493","16,109","16,959","7,446","13,103","9,022","11,841","9,263","13,067","11,452","11,159","7,968","8,935","14,130","12,530","15,667","14,228"
2020,2,0,"12,588",690,765,"1,154",646,418,618,"1,263",258,668,584,405,339,461,460,210,649,376,390,539,964,731
2020,2,10,"15,656",814,634,"1,624",744,407,872,"1,346",338,885,416,496,460,600,703,248,787,458,555,917,"1,238","1,114"
2020,2,20,"52,761","2,256","1,031","1,929","3,355","2,552","4,643","2,686","1,845","2,789","1,762","3,180","2,179","3,246","2,620","3,945",900,"1,780","3,722","1,690","2,462","2,189"
2020,2,30,"48,639","2,317","1,330","2,011","3,297","1,942","3,340","2,894","1,631","2,726","2,039","2,737","1,869","2,893","2,242","3,168","1,007","1,888","3,183","1,643","2,361","2,121"
2020,2,40,"37,596","1,781","1,355","2,632","1,983","1,085","2,096","2,839",964,"1,915","1,222","1,540","1,319","1,937","1,583","1,403","1,560","1,269","2,423","1,966","2,510","2,214"
2020,2,50,"34,438","1,669","1,161","2,333","1,721",860,"1,837","2,381",965,"1,736","1,210","1,391","1,194","1,666","1,659",930,"1,320","1,294","1,910","2,260","2,484","2,457"
2020,2,60,"26,916","1,497",880,"1,725","1,436",653,"1,451","1,926",764,"1,294",982,"1,134",984,"1,267","1,185",672,951,"1,070","1,131","1,890","2,105","1,919"
2020,2,70,"16,739",963,515,"1,080",953,437,935,"1,231",509,801,615,723,695,755,747,446,609,576,586,"1,183","1,221","1,159"
2020,2,80,"5,034",267,192,337,260,125,284,369,160,265,183,222,207,226,234,127,162,201,214,396,299,304
2020,2,90,391,23,22,37,17,13,26,18,11,22,9,12,13,15,15,9,17,23,13,41,18,17
2020,2,100,64,1,3,4,6,1,7,6,1,2,0,1,4,1,4,1,6,0,3,5,5,3
2020,3,총,"250,743","12,228","7,849","14,863","14,385","8,543","16,168","16,873","7,446","13,055","9,021","11,922","9,283","13,066","11,476","11,190","7,945","8,937","14,210","12,454","15,640","14,189"
2020,3,0,"12,476",686,751,"1,156",646,411,609,"1,237",250,664,587,404,330,451,464,206,644,367,393,536,960,724
2020,3,10,"15,604",801,627,"1,620",733,426,875,"1,348",340,881,416,494,462,602,694,267,778,441,559,907,"1,230","1,103"
2020,3,20,"53,005","2,269","1,038","1,939","3,369","2,589","4,683","2,671","1,843","2,766","1,767","3,260","2,220","3,237","2,640","3,950",902,"1,810","3,737","1,673","2,467","2,175"
2020,3,30,"48,560","2,291","1,335","2,020","3,279","1,957","3,353","2,855","1,644","2,709","2,012","2,743","1,863","2,885","2,243","3,163",995,"1,895","3,232","1,623","2,347","2,116"
2020,3,40,"37,426","1,771","1,329","2,607","1,970","1,074","2,086","2,831",953,"1,908","1,226","1,540","1,305","1,952","1,593","1,406","1,552","1,253","2,404","1,956","2,500","2,210"
2020,3,50,"34,354","1,655","1,155","2,345","1,714",859,"1,842","2,378",965,"1,729","1,212","1,391","1,198","1,665","1,640",925,"1,315","1,284","1,921","2,231","2,483","2,447"
2020,3,60,"27,001","1,501",886,"1,724","1,435",644,"1,460","1,927",770,"1,304",992,"1,133",984,"1,276","1,194",682,962,"1,074","1,139","1,898","2,100","1,916"
2020,3,70,"16,751",961,514,"1,074",951,439,940,"1,236",505,801,614,718,694,747,748,450,610,582,593,"1,183","1,229","1,162"
2020,3,80,"5,109",270,190,337,265,130,286,366,163,268,185,226,209,233,241,131,164,210,218,400,301,316
2020,3,90,393,22,21,37,17,13,27,18,12,23,10,12,14,17,15,9,17,21,11,42,18,17
2020,3,100,64,1,3,4,6,1,7,6,1,2,0,1,4,1,4,1,6,0,3,5,5,3
2020,4,총,"250,442","12,236","7,810","14,810","14,341","8,548","16,156","16,895","7,472","13,035","9,001","11,910","9,262","13,096","11,458","11,214","7,921","8,907","14,238","12,426","15,582","14,124"
2020,4,0,"12,341",677,738,"1,140",633,408,608,"1,224",253,660,583,399,321,454,460,201,637,367,390,527,954,707
2020,4,10,"15,523",805,626,"1,612",730,427,858,"1,349",338,876,408,493,463,603,690,262,775,440,552,896,"1,221","1,099"
2020,4,20,"53,028","2,282","1,035","1,934","3,356","2,603","4,689","2,688","1,871","2,751","1,761","3,267","2,210","3,220","2,639","3,978",901,"1,803","3,735","1,674","2,464","2,167"
2020,4,30,"48,473","2,280","1,330","2,022","3,277","1,952","3,345","2,870","1,659","2,707","2,002","2,729","1,849","2,893","2,229","3,174",988,"1,881","3,234","1,612","2,326","2,114"
2020,4,40,"37,320","1,772","1,317","2,590","1,953","1,074","2,083","2,814",953,"1,905","1,225","1,549","1,300","1,972","1,593","1,409","1,546","1,239","2,409","1,938","2,497","2,182"
2020,4,50,"34,370","1,655","1,148","2,343","1,707",864,"1,845","2,382",955,"1,742","1,219","1,379","1,202","1,672","1,643",929,"1,308","1,296","1,938","2,240","2,463","2,440"
2020,4,60,"26,987","1,507",886,"1,724","1,446",640,"1,458","1,940",759,"1,298",991,"1,136",987,"1,281","1,186",675,959,"1,067","1,143","1,900","2,092","1,912"
2020,4,70,"16,809",967,516,"1,066",952,436,950,"1,232",509,803,615,717,698,748,758,448,620,584,599,"1,186","1,242","1,163"
2020,4,80,"5,133",268,191,338,264,130,285,373,161,268,187,228,214,235,240,129,164,211,224,405,299,319
