년도,월,나이,임실군,임실읍,청웅면,운암면,신평면,성수면,오수면,신덕면,삼계면,관촌면,강진면,덕치면,지사면
2020,1,총,"28,446","7,657","1,361","1,710","1,529","1,738","3,891","1,375","1,556","3,511","1,646","1,207","1,265"
2020,1,0,"1,474",728,38,39,62,52,128,58,42,173,54,46,54
2020,1,10,"1,840",728,53,81,75,85,267,61,74,204,97,51,64
2020,1,20,"2,425",819,93,140,117,133,312,93,87,296,171,77,87
2020,1,30,"2,202",875,72,108,113,100,275,72,85,259,85,81,77
2020,1,40,"3,114","1,091",148,170,143,160,392,134,130,372,181,88,105
2020,1,50,"4,919","1,088",216,364,256,317,675,259,247,697,317,248,235
2020,1,60,"4,838",974,240,376,299,300,736,267,307,624,272,215,228
2020,1,70,"4,298",770,269,230,267,336,596,257,305,529,271,249,219
2020,1,80,"2,892",502,203,171,170,223,450,152,243,314,162,132,170
2020,1,90,418,76,27,31,24,30,59,21,36,40,33,15,26
2020,1,100,26,6,2,0,3,2,1,1,0,3,3,5,0
2020,2,총,"28,253","7,577","1,359","1,700","1,529","1,728","3,863","1,361","1,551","3,497","1,629","1,204","1,255"
2020,2,0,"1,451",708,39,41,67,52,127,54,39,172,52,48,52
2020,2,10,"1,836",729,54,78,74,87,262,59,77,203,96,52,65
2020,2,20,"2,371",805,89,136,112,128,308,94,85,290,168,73,83
2020,2,30,"2,162",848,75,106,117,96,264,70,87,260,81,81,77
2020,2,40,"3,055","1,082",143,166,143,158,380,134,125,365,172,85,102
2020,2,50,"4,874","1,073",215,356,249,314,675,255,251,694,314,247,231
2020,2,60,"4,868",983,243,385,299,302,738,264,308,624,277,216,229
2020,2,70,"4,283",765,270,231,267,333,594,257,302,531,268,247,218
2020,2,80,"2,911",505,202,171,173,226,453,153,239,317,165,135,172
2020,2,90,418,74,27,30,25,30,61,20,38,39,33,15,26
2020,2,100,24,5,2,0,3,2,1,1,0,2,3,5,0
2020,3,총,"28,073","7,522","1,347","1,698","1,512","1,727","3,838","1,359","1,537","3,464","1,631","1,193","1,245"
2020,3,0,"1,424",692,37,44,62,50,125,54,37,167,55,48,53
2020,3,10,"1,814",729,54,76,73,89,259,58,74,196,93,51,62
2020,3,20,"2,297",791,84,130,111,125,296,91,77,282,162,68,80
2020,3,30,"2,127",835,75,107,114,93,258,66,86,257,80,82,74
2020,3,40,"3,023","1,079",139,161,140,162,373,133,126,357,169,83,101
2020,3,50,"4,856","1,063",213,358,245,310,680,260,251,689,320,239,228
2020,3,60,"4,862",986,242,386,298,308,736,259,303,623,277,219,225
2020,3,70,"4,303",759,269,234,266,334,594,263,308,536,270,246,224
2020,3,80,"2,919",508,204,172,174,225,454,154,235,318,169,136,170
2020,3,90,425,76,28,30,26,29,62,20,40,37,33,16,28
2020,3,100,23,4,2,0,3,2,1,1,0,2,3,5,0
2020,4,총,"27,895","7,494","1,338","1,683","1,497","1,703","3,826","1,337","1,537","3,442","1,608","1,192","1,238"
2020,4,0,"1,407",693,36,46,61,49,120,49,38,161,51,48,55
2020,4,10,"1,779",725,54,70,72,85,254,55,70,194,88,52,60
2020,4,20,"2,253",776,80,129,107,117,298,90,77,276,157,68,78
2020,4,30,"2,089",830,70,109,109,92,254,64,83,248,77,81,72
2020,4,40,"2,997","1,073",138,157,139,159,373,128,131,353,164,85,97
2020,4,50,"4,820","1,061",214,351,243,307,680,255,245,680,321,239,224
2020,4,60,"4,856",981,245,385,294,303,730,256,309,626,280,219,228
2020,4,70,"4,319",765,268,235,269,330,599,265,308,543,266,247,224
2020,4,80,"2,929",511,202,172,174,228,455,155,237,322,169,132,172
2020,4,90,423,75,29,29,26,31,62,19,39,37,32,16,28
2020,4,100,23,4,2,0,3,2,1,1,0,2,3,5,0
2020,5,총,"27,807","7,456","1,342","1,673","1,496","1,703","3,826","1,332","1,540","3,426","1,586","1,189","1,238"
2020,5,0,"1,399",684,35,45,62,49,122,49,39,167,44,47,56
2020,5,10,"1,777",730,55,70,71,85,249,55,71,192,88,51,60
2020,5,20,"2,209",750,80,126,108,117,298,87,78,266,153,70,76
2020,5,30,"2,073",832,70,106,105,93,254,66,82,240,73,80,72
2020,5,40,"2,982","1,074",139,156,139,156,372,126,131,354,161,81,93
2020,5,50,"4,812","1,051",215,348,245,306,679,254,245,679,323,240,227
2020,5,60,"4,866",981,249,388,292,306,734,251,309,632,274,221,229
2020,5,70,"4,313",769,267,235,269,330,603,267,307,531,270,242,223
2020,5,80,"2,933",507,201,171,177,229,455,156,238,323,165,137,174
2020,5,90,420,74,29,28,25,30,59,20,40,40,32,15,28
2020,5,100,23,4,2,0,3,2,1,1,0,2,3,5,0
2020,6,총,"27,783","7,469","1,338","1,668","1,491","1,700","3,807","1,333","1,538","3,430","1,590","1,184","1,235"
2020,6,0,"1,402",683,35,46,63,49,121,48,39,169,45,46,58
2020,6,10,"1,764",735,54,69,73,83,238,56,71,192,86,50,57
2020,6,20,"2,195",750,81,123,105,115,298,87,74,267,153,67,75
2020,6,30,"2,064",829,68,105,105,92,253,67,82,241,74,77,71
2020,6,40,"2,972","1,076",136,160,137,151,367,125,130,351,162,83,94
2020,6,50,"4,789","1,051",217,339,246,305,674,251,244,674,322,242,224
2020,6,60,"4,892",987,249,393,294,312,732,254,310,637,273,222,229
2020,6,70,"4,313",769,265,237,266,330,608,262,308,528,272,242,226
2020,6,80,"2,945",512,202,166,175,230,455,161,240,327,168,135,174
2020,6,90,425,74,29,30,24,31,60,21,40,42,32,15,27
2020,6,100,22,3,2,0,3,2,1,1,0,2,3,5,0
2020,7,총,"27,706","7,441","1,339","1,666","1,481","1,695","3,791","1,332","1,535","3,422","1,577","1,183","1,244"
2020,7,0,"1,399",680,36,46,61,50,125,47,38,168,44,45,59
2020,7,10,"1,741",728,54,64,72,82,236,56,70,185,87,50,57
2020,7,20,"2,178",744,81,125,103,111,294,87,74,266,150,65,78
2020,7,30,"2,050",821,69,104,103,90,251,67,79,246,69,78,73
2020,7,40,"2,952","1,074",136,156,135,152,362,124,128,348,161,82,94
2020,7,50,"4,770","1,047",215,341,244,307,660,255,244,668,318,243,228
2020,7,60,"4,906",989,252,396,295,310,738,251,311,638,273,225,228
2020,7,70,"4,298",771,265,236,265,330,602,259,308,527,270,240,225
2020,7,80,"2,959",508,201,166,178,229,460,162,243,332,171,134,175
2020,7,90,431,76,28,32,22,32,62,23,40,42,31,16,27
2020,7,100,22,3,2,0,3,2,1,1,0,2,3,5,0
2020,8,총,"27,663","7,459","1,335","1,666","1,476","1,688","3,778","1,321","1,530","3,416","1,568","1,184","1,242"
2020,8,0,"1,402",684,37,49,61,50,119,46,39,169,44,46,58
2020,8,10,"1,728",730,53,62,71,82,239,53,70,182,84,49,53
2020,8,20,"2,162",742,83,124,103,109,293,84,71,264,144,66,79
2020,8,30,"2,016",816,67,103,100,87,243,65,76,242,68,76,73
2020,8,40,"2,958","1,085",137,153,136,152,370,117,128,344,159,85,92
2020,8,50,"4,765","1,057",213,343,243,303,648,259,244,668,318,241,228
2020,8,60,"4,920",990,249,397,294,308,739,253,313,644,276,227,230
2020,8,70,"4,304",772,266,238,265,333,604,257,307,527,270,239,226
2020,8,80,"2,962",505,202,166,179,232,460,162,242,334,172,135,173
2020,8,90,423,75,26,31,21,30,62,24,40,39,30,15,30
2020,8,100,23,3,2,0,3,2,1,1,0,3,3,5,0
2020,9,총,"27,566","7,450","1,324","1,646","1,480","1,685","3,757","1,316","1,526","3,404","1,557","1,183","1,238"
2020,9,0,"1,382",675,38,45,61,49,116,45,39,168,44,46,56
2020,9,10,"1,729",734,53,61,71,83,242,54,69,179,82,48,53
2020,9,20,"2,130",738,81,121,101,107,287,84,69,261,140,64,77
2020,9,30,"1,991",811,64,98,102,88,240,63,74,240,66,75,70
2020,9,40,"2,928","1,071",136,150,138,149,366,118,126,337,159,86,92
2020,9,50,"4,746","1,072",208,343,239,301,637,254,245,663,317,238,229
2020,9,60,"4,928",993,247,393,301,310,743,249,313,648,272,230,229
2020,9,70,"4,306",774,265,237,264,331,606,259,305,528,271,240,226
2020,9,80,"2,974",504,204,166,180,235,455,162,245,338,173,136,176
2020,9,90,429,75,26,32,20,30,64,27,41,39,30,15,30
2020,9,100,23,3,2,0,3,2,1,1,0,3,3,5,0
2020,10,총,"27,508","7,458","1,314","1,632","1,476","1,680","3,757","1,318","1,522","3,403","1,547","1,177","1,224"
2020,10,0,"1,364",668,35,46,58,49,117,45,40,170,45,42,49
2020,10,10,"1,709",729,53,59,72,83,238,53,68,177,78,48,51
2020,10,20,"2,135",749,79,118,102,107,289,85,70,264,138,61,73
2020,10,30,"1,984",808,63,95,100,85,244,65,74,242,66,75,67
