년도,월,나이,부여군,부여읍,규암면,은산면,외산면,내산면,구룡면,홍산면,옥산면,남면,충화면,양화면,임천면,장암면,세도면,석성면,초촌면
2020,1,총,"33,011","10,393","5,888","1,918","1,161",789,"1,200","1,421",693,929,588,846,"1,461","1,396","1,658","1,575","1,095"
2020,1,0,"1,679",623,519,57,26,32,39,50,15,33,15,17,47,49,55,66,36
2020,1,10,"2,609","1,093",606,98,85,31,81,97,24,46,21,29,84,73,72,123,46
2020,1,20,"3,320","1,365",714,167,76,52,89,120,49,65,39,46,98,87,124,150,79
2020,1,30,"2,583",903,615,115,59,52,85,80,39,55,37,56,86,95,117,105,84
2020,1,40,"4,130","1,455",897,227,132,64,142,139,66,83,47,60,160,160,176,206,116
2020,1,50,"5,863","1,879","1,008",352,200,138,209,251,110,149,107,136,242,229,323,327,203
2020,1,60,"6,237","1,662",803,443,260,189,224,300,181,209,135,208,340,322,365,318,278
2020,1,70,"4,182",983,453,286,218,144,212,249,117,165,114,177,247,215,274,181,147
2020,1,80,"2,178",393,250,153,98,78,110,119,79,109,71,106,143,146,136,91,96
2020,1,90,222,35,22,17,7,9,9,15,13,14,2,11,14,20,16,8,10
2020,1,100,8,2,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0
2020,2,총,"32,969","10,375","5,904","1,912","1,170",787,"1,196","1,416",687,930,586,841,"1,463","1,387","1,650","1,568","1,097"
2020,2,0,"1,667",617,523,53,28,31,37,50,13,32,16,17,48,49,52,65,36
2020,2,10,"2,605","1,088",608,99,87,31,80,97,23,46,22,27,84,70,73,124,46
2020,2,20,"3,291","1,352",708,166,77,49,88,120,50,62,37,45,100,85,120,151,81
2020,2,30,"2,556",899,609,114,55,54,81,79,38,58,37,55,87,92,114,102,82
2020,2,40,"4,128","1,461",901,225,133,63,142,136,66,84,45,60,158,160,176,203,115
2020,2,50,"5,848","1,877","1,013",352,200,138,209,252,106,147,105,134,245,226,317,326,201
2020,2,60,"6,269","1,659",814,439,265,191,229,298,181,210,136,213,335,323,373,319,284
2020,2,70,"4,178",984,455,291,216,142,209,249,119,166,114,173,249,216,273,178,144
2020,2,80,"2,196",401,250,153,101,79,111,120,79,109,72,107,142,146,137,91,98
2020,2,90,223,35,22,17,8,9,10,14,12,15,2,10,15,20,15,9,10
2020,2,100,8,2,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0
2020,3,총,"32,871","10,334","5,906","1,917","1,164",786,"1,190","1,410",686,927,588,833,"1,451","1,384","1,636","1,565","1,094"
2020,3,0,"1,660",616,523,52,27,31,37,49,13,32,16,16,48,49,51,62,38
2020,3,10,"2,584","1,071",604,102,85,31,83,95,23,45,21,28,84,72,71,124,45
2020,3,20,"3,263","1,341",706,163,75,48,84,119,50,64,39,43,98,83,117,151,82
2020,3,30,"2,530",897,609,116,54,51,79,78,36,57,35,54,84,90,110,100,80
2020,3,40,"4,105","1,459",902,217,130,63,137,137,65,85,45,58,157,158,177,201,114
2020,3,50,"5,789","1,861","1,012",356,198,137,205,247,105,137,105,133,241,223,310,326,193
2020,3,60,"6,303","1,657",817,445,267,194,232,295,182,217,136,213,334,325,375,326,288
2020,3,70,"4,196",989,462,292,218,144,210,254,121,166,116,168,246,217,271,176,146
2020,3,80,"2,198",402,247,154,102,77,113,120,77,108,73,109,143,147,138,90,98
2020,3,90,235,39,23,17,8,10,10,15,14,15,2,11,16,20,16,9,10
2020,3,100,8,2,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0
2020,4,총,"32,826","10,286","5,924","1,911","1,163",786,"1,193","1,406",684,925,586,835,"1,453","1,383","1,639","1,560","1,092"
2020,4,0,"1,652",611,524,53,25,30,37,48,14,29,14,15,49,49,54,62,38
2020,4,10,"2,559","1,049",605,99,85,32,81,96,23,44,22,28,82,71,74,124,44
2020,4,20,"3,254","1,341",703,163,75,45,86,117,51,64,37,44,99,83,113,150,83
2020,4,30,"2,511",883,606,117,55,54,78,77,35,59,34,53,83,90,110,99,78
2020,4,40,"4,095","1,439",914,214,127,62,143,137,60,86,46,59,158,158,180,198,114
2020,4,50,"5,783","1,873","1,010",355,200,135,201,246,108,137,105,134,239,221,305,326,188
2020,4,60,"6,319","1,654",824,444,267,197,235,294,180,217,135,214,337,326,377,324,294
2020,4,70,"4,206",992,467,290,219,145,208,255,122,166,118,169,246,217,267,179,146
2020,4,80,"2,200",402,246,156,102,76,114,119,77,107,73,106,145,148,143,89,97
2020,4,90,239,40,24,17,8,10,10,16,14,15,2,13,15,20,16,9,10
2020,4,100,8,2,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0
2020,5,총,"32,746","10,261","5,939","1,907","1,158",788,"1,185","1,402",682,916,580,826,"1,454","1,379","1,631","1,549","1,089"
2020,5,0,"1,646",608,527,53,25,30,37,48,14,29,12,15,47,50,53,62,36
2020,5,10,"2,547","1,046",606,99,82,32,81,95,25,43,23,28,82,68,74,123,40
2020,5,20,"3,205","1,322",703,161,75,44,83,109,50,63,36,42,101,84,107,142,83
2020,5,30,"2,491",871,608,116,54,54,76,78,35,56,33,49,82,88,111,101,79
2020,5,40,"4,064","1,430",915,211,123,62,140,137,62,86,44,58,155,158,179,191,113
2020,5,50,"5,786","1,888","1,009",355,200,135,198,246,106,137,103,132,241,222,301,322,191
2020,5,60,"6,332","1,652",833,449,268,197,236,293,179,212,137,213,339,324,378,327,295
2020,5,70,"4,214",998,465,284,219,147,209,257,122,167,116,169,249,216,268,181,147
2020,5,80,"2,215",403,248,160,104,77,115,122,76,108,74,107,142,149,144,90,96
2020,5,90,239,41,24,17,8,10,10,16,13,14,2,13,16,20,16,10,9
2020,5,100,7,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2020,6,총,"32,648","10,215","5,940","1,912","1,156",787,"1,168","1,397",679,911,582,826,"1,446","1,372","1,620","1,550","1,087"
2020,6,0,"1,637",606,524,56,24,29,36,47,15,28,14,15,47,47,51,62,36
2020,6,10,"2,527","1,040",605,97,83,33,73,96,25,42,22,27,82,67,74,121,40
2020,6,20,"3,197","1,317",700,161,74,43,83,107,48,64,36,44,100,86,108,143,83
2020,6,30,"2,468",851,609,118,54,53,73,80,36,55,33,48,82,85,112,101,78
2020,6,40,"4,021","1,416",912,209,125,62,136,134,62,84,42,58,152,156,175,187,111
2020,6,50,"5,775","1,881","1,013",354,200,135,197,243,106,138,102,132,234,220,300,327,193
2020,6,60,"6,346","1,657",833,457,265,198,239,294,178,213,139,214,340,323,374,327,295
2020,6,70,"4,232","1,005",470,284,219,148,208,257,121,167,117,169,252,220,265,182,148
2020,6,80,"2,207",400,249,158,104,76,113,123,76,107,75,106,142,148,146,90,94
2020,6,90,231,40,24,16,8,10,10,15,12,12,2,13,15,20,15,10,9
2020,6,100,7,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2020,7,총,"32,604","10,200","5,926","1,909","1,156",784,"1,159","1,399",682,914,579,828,"1,442","1,374","1,622","1,542","1,088"
2020,7,0,"1,631",606,515,57,25,29,37,47,15,28,14,15,46,46,51,64,36
2020,7,10,"2,516","1,032",606,98,81,33,68,94,26,42,22,27,82,70,74,119,42
2020,7,20,"3,172","1,316",694,154,73,39,81,108,48,68,33,45,96,86,109,140,82
2020,7,30,"2,465",847,609,121,55,55,71,81,35,55,34,48,82,84,112,97,79
2020,7,40,"4,009","1,408",906,205,124,63,136,135,61,84,42,58,155,155,177,188,112
2020,7,50,"5,772","1,879","1,018",354,202,131,197,243,106,138,100,132,235,218,302,326,191
2020,7,60,"6,357","1,658",833,459,266,201,237,298,180,213,140,214,337,328,369,326,298
2020,7,70,"4,244","1,015",475,283,216,147,209,252,124,167,118,169,254,221,268,179,147
2020,7,80,"2,191",396,244,158,106,76,112,125,75,106,74,107,140,145,144,92,91
2020,7,90,240,41,25,18,8,10,11,15,12,12,2,13,15,21,16,11,10
2020,7,100,7,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2020,8,총,"32,560","10,172","5,917","1,916","1,165",779,"1,168","1,405",681,912,574,821,"1,442","1,366","1,618","1,536","1,088"
2020,8,0,"1,621",596,513,57,26,30,37,48,15,27,11,15,49,45,51,63,38
2020,8,10,"2,509","1,029",599,100,83,33,69,92,27,43,22,28,79,71,75,118,41
2020,8,20,"3,164","1,317",693,154,74,38,84,111,46,65,33,43,97,83,106,137,83
2020,8,30,"2,440",836,609,120,58,55,72,81,34,53,32,46,82,81,109,95,77
2020,8,40,"4,012","1,401",905,204,125,63,138,138,59,87,40,60,158,157,175,189,113
2020,8,50,"5,751","1,875","1,014",354,202,131,196,246,106,140,102,128,230,216,300,323,188
2020,8,60,"6,374","1,665",837,463,267,200,238,297,182,211,139,215,333,327,374,327,299
2020,8,70,"4,238","1,015",474,286,216,146,208,248,125,166,117,166,257,221,267,180,146
2020,8,80,"2,204",395,246,158,106,73,115,128,75,106,76,108,142,146,145,93,92
2020,8,90,240,41,26,18,8,10,11,15,12,13,2,12,15,19,16,11,11
2020,8,100,7,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2020,9,총,"32,485","10,153","5,915","1,907","1,164",776,"1,167","1,403",679,903,576,810,"1,435","1,372","1,614","1,532","1,079"
2020,9,0,"1,599",584,514,55,26,27,36,48,15,28,12,15,47,43,50,62,37
2020,9,10,"2,509","1,028",598,100,82,34,68,92,27,42,23,28,79,72,76,118,42
2020,9,20,"3,143","1,311",694,149,74,37,84,111,46,64,33,41,96,84,105,135,79
2020,9,30,"2,423",834,602,121,58,54,73,81,32,51,34,43,79,82,106,96,77
2020,9,40,"3,979","1,385",901,206,123,62,136,135,59,86,41,58,159,158,170,187,113
2020,9,50,"5,726","1,878","1,010",343,199,128,193,248,105,139,99,123,232,217,298,324,190
2020,9,60,"6,397","1,675",844,468,270,203,240,297,183,210,140,215,329,326,380,324,293
2020,9,70,"4,241","1,014",474,288,219,148,208,246,125,163,116,167,257,225,267,178,146
2020,9,80,"2,219",400,251,157,105,72,117,130,75,108,75,108,142,146,146,97,90
2020,9,90,242,42,26,18,8,11,12,14,12,11,3,12,15,19,16,11,12
2020,9,100,7,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2020,10,총,"32,454","10,129","5,929","1,905","1,163",776,"1,172","1,404",676,905,576,807,"1,431","1,371","1,615","1,520","1,075"
2020,10,0,"1,581",573,514,54,26,27,37,48,13,28,11,16,47,43,50,58,36
2020,10,10,"2,507","1,028",598,99,80,34,69,92,27,43,21,28,77,72,77,119,43
2020,10,20,"3,138","1,307",699,145,74,37,85,111,45,63,34,41,95,84,108,134,76
2020,10,30,"2,423",839,605,124,60,53,72,80,31,48,35,42,76,82,104,93,79
2020,10,40,"3,951","1,370",899,201,120,62,138,133,60,87,41,56,160,155,169,186,114
2020,10,50,"5,701","1,871","1,016",342,201,127,189,245,103,139,98,122,227,216,295,320,190
2020,10,60,"6,443","1,684",846,477,271,206,245,302,184,214,142,213,332,329,383,325,290
2020,10,70,"4,236","1,015",469,284,219,147,207,247,127,162,116,168,260,227,266,178,144
2020,10,80,"2,221",397,256,158,104,72,118,132,74,108,75,109,141,143,146,96,92
2020,10,90,246,43,26,19,8,11,12,13,12,12,3,12,16,20,17,11,11
2020,10,100,7,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2020,11,총,"32,417","10,123","5,925","1,900","1,170",776,"1,172","1,399",679,900,572,804,"1,430","1,365","1,607","1,516","1,079"
2020,11,0,"1,558",570,500,51,26,28,37,48,13,28,10,16,47,42,47,57,38
2020,11,10,"2,488","1,018",600,99,78,34,68,90,27,41,20,28,75,71,77,119,43
2020,11,20,"3,137","1,303",707,143,77,38,84,107,45,64,34,41,95,85,106,134,74
2020,11,30,"2,411",847,596,122,59,53,71,78,32,46,34,43,74,80,104,93,79
2020,11,40,"3,932","1,350",902,202,122,61,138,132,58,86,40,56,161,155,168,185,116
2020,11,50,"5,707","1,884","1,023",339,204,128,189,244,105,137,98,118,226,213,293,317,189
