년도,월,나이,전라남도 함평군,전라남도 함평군 함평읍,전라남도 함평군 손불면,전라남도 함평군 신광면,전라남도 함평군 학교면,전라남도 함평군 엄다면,전라남도 함평군 대동면,전라남도 함평군 나산면,전라남도 함평군 해보면,전라남도 함평군 월야면
2020,1,총,"16,371","4,256","1,689",948,"1,988",939,"1,624","1,430","1,499","1,998"
2020,1,0,780,289,58,43,86,20,68,58,57,101
2020,1,10,"1,162",440,95,32,106,59,134,70,78,148
2020,1,20,"1,560",455,129,77,185,90,170,122,158,174
2020,1,30,"1,232",384,99,72,147,60,106,106,113,145
2020,1,40,"2,187",649,236,116,253,105,182,167,190,289
2020,1,50,"3,298",786,347,180,402,207,356,302,315,403
2020,1,60,"2,890",585,327,204,383,183,256,331,281,340
2020,1,70,"2,185",445,271,150,278,138,240,181,202,280
2020,1,80,972,200,115,64,134,70,102,90,91,106
2020,1,90,102,21,12,10,14,7,10,3,14,11
2020,1,100,3,2,0,0,0,0,0,0,0,1
2020,2,총,"16,341","4,242","1,696",951,"1,977",939,"1,623","1,429","1,485","1,999"
2020,2,0,769,284,62,43,86,20,64,57,55,98
2020,2,10,"1,142",437,96,32,104,57,132,70,76,138
2020,2,20,"1,552",451,123,78,183,91,164,121,156,185
2020,2,30,"1,228",378,101,73,145,60,110,106,110,145
2020,2,40,"2,193",651,241,119,248,104,185,168,188,289
2020,2,50,"3,294",785,346,178,395,209,357,300,317,407
2020,2,60,"2,898",588,324,205,388,182,260,331,280,340
2020,2,70,"2,179",445,272,147,281,138,235,182,199,280
2020,2,80,976,200,119,66,132,70,105,91,90,103
2020,2,90,107,21,12,10,15,8,11,3,14,13
2020,2,100,3,2,0,0,0,0,0,0,0,1
2020,3,총,"16,311","4,236","1,706",949,"1,970",941,"1,624","1,427","1,469","1,989"
2020,3,0,759,282,63,42,85,20,63,54,53,97
2020,3,10,"1,146",432,96,34,107,57,134,72,76,138
2020,3,20,"1,526",449,122,77,175,92,163,118,151,179
2020,3,30,"1,213",371,102,73,142,60,109,109,108,139
2020,3,40,"2,183",655,239,119,249,104,181,163,186,287
2020,3,50,"3,282",779,349,175,391,208,359,305,308,408
2020,3,60,"2,925",592,332,206,392,185,264,329,283,342
2020,3,70,"2,165",449,269,143,275,134,232,182,200,281
2020,3,80,996,202,122,70,139,71,107,91,90,104
2020,3,90,113,23,12,10,15,10,12,4,14,13
2020,3,100,3,2,0,0,0,0,0,0,0,1
2020,4,총,"16,239","4,213","1,699",947,"1,959",933,"1,617","1,421","1,463","1,987"
2020,4,0,756,283,61,41,84,20,63,54,52,98
2020,4,10,"1,134",428,97,35,107,55,130,71,73,138
2020,4,20,"1,510",442,122,75,172,91,163,115,151,179
2020,4,30,"1,187",365,98,74,140,57,110,106,100,137
2020,4,40,"2,163",649,240,118,245,102,171,165,189,284
2020,4,50,"3,266",778,347,171,383,208,362,302,308,407
2020,4,60,"2,946",596,330,208,398,186,268,329,286,345
2020,4,70,"2,156",446,264,144,276,131,231,185,200,279
2020,4,80,"1,005",201,128,71,139,73,107,89,90,107
2020,4,90,113,23,12,10,15,10,12,5,14,12
2020,4,100,3,2,0,0,0,0,0,0,0,1
2020,5,총,"16,211","4,191","1,706",941,"1,961",930,"1,614","1,434","1,455","1,979"
2020,5,0,754,279,61,40,85,20,64,55,53,97
2020,5,10,"1,125",421,96,35,112,55,129,72,71,134
2020,5,20,"1,504",439,126,74,171,89,164,116,151,174
2020,5,30,"1,183",366,98,72,137,59,109,107,96,139
2020,5,40,"2,141",645,239,117,240,98,170,163,189,280
2020,5,50,"3,270",772,345,170,383,208,363,308,309,412
2020,5,60,"2,950",599,333,205,402,189,266,330,282,344
2020,5,70,"2,165",439,268,148,279,130,233,186,201,281
2020,5,80,"1,002",206,127,71,138,73,104,92,88,103
2020,5,90,114,23,13,9,14,9,12,5,15,14
2020,5,100,3,2,0,0,0,0,0,0,0,1
2020,6,총,"16,181","4,182","1,703",936,"1,956",931,"1,618","1,432","1,448","1,975"
2020,6,0,755,280,61,38,85,20,66,58,50,97
2020,6,10,"1,111",417,95,35,112,55,127,73,70,127
2020,6,20,"1,495",432,127,73,170,88,163,112,153,177
2020,6,30,"1,175",365,98,72,129,58,111,109,94,139
2020,6,40,"2,130",644,237,117,241,99,168,162,185,277
2020,6,50,"3,245",765,341,167,379,208,364,302,307,412
2020,6,60,"2,989",611,337,206,409,191,269,330,290,346
2020,6,70,"2,162",439,265,149,279,131,234,190,195,280
2020,6,80,"1,001",203,129,71,137,72,104,91,89,105
2020,6,90,115,24,13,8,15,9,12,5,15,14
2020,6,100,3,2,0,0,0,0,0,0,0,1
2020,7,총,"16,154","4,181","1,692",940,"1,948",938,"1,614","1,424","1,450","1,967"
2020,7,0,749,282,59,38,82,21,64,58,48,97
2020,7,10,"1,106",416,96,35,113,54,127,68,70,127
2020,7,20,"1,494",433,124,71,169,92,162,114,152,177
2020,7,30,"1,173",365,100,73,127,57,112,106,97,136
2020,7,40,"2,117",639,234,116,244,100,165,159,184,276
2020,7,50,"3,241",760,339,171,371,209,366,305,312,408
2020,7,60,"2,994",616,334,205,413,192,266,332,289,347
2020,7,70,"2,169",443,262,151,280,133,237,189,195,279
2020,7,80,"1,001",202,133,72,136,71,104,90,89,104
2020,7,90,107,23,11,8,13,9,11,3,14,15
2020,7,100,3,2,0,0,0,0,0,0,0,1
2020,8,총,"16,130","4,176","1,695",938,"1,944",940,"1,613","1,426","1,444","1,954"
2020,8,0,754,282,60,39,82,19,66,60,49,97
2020,8,10,"1,094",417,95,35,114,51,122,66,69,125
2020,8,20,"1,490",434,124,71,168,94,162,116,150,171
2020,8,30,"1,173",367,101,72,127,58,112,104,95,137
2020,8,40,"2,084",630,229,115,239,98,162,153,183,275
2020,8,50,"3,241",757,344,171,371,212,367,306,309,404
2020,8,60,"3,013",619,336,204,413,196,271,337,291,346
2020,8,70,"2,170",436,263,153,282,131,240,191,195,279
2020,8,80,999,209,132,70,133,71,102,90,88,104
2020,8,90,109,23,11,8,15,10,9,3,15,15
2020,8,100,3,2,0,0,0,0,0,0,0,1
2020,9,총,"16,116","4,171","1,684",935,"1,945",935,"1,612","1,430","1,445","1,959"
2020,9,0,748,281,58,38,83,19,64,59,50,96
2020,9,10,"1,093",418,93,34,114,49,128,66,68,123
2020,9,20,"1,483",437,119,70,166,92,159,120,149,171
2020,9,30,"1,163",360,98,73,128,56,113,105,95,135
2020,9,40,"2,079",626,227,116,238,99,162,151,181,279
2020,9,50,"3,241",757,342,167,377,212,367,301,310,408
2020,9,60,"3,021",620,340,206,409,196,269,343,295,343
2020,9,70,"2,172",438,262,153,283,131,237,192,194,282
2020,9,80,"1,003",209,133,70,132,71,105,90,88,105
2020,9,90,110,23,12,8,15,10,8,3,15,16
