년도,월,나이,경상북도,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군
2020,3,총,"2,653,418","505,479","233,066","272,413","254,441","140,609","159,338","418,436","104,557","101,630","98,967","71,527","263,285","23,614","52,333","25,340","16,884","36,969","42,727","31,968","43,682","115,924","55,452","31,951","48,957","9,348"
2020,3,0,"197,251","41,406","18,436","22,970","16,710","10,788","11,050","42,977","6,468","5,826","5,417","4,110","21,400",729,"1,994","1,023",785,"1,787","1,594","1,514","1,989","10,116","4,676","1,491","2,975",426
2020,3,10,"232,058","47,793","21,711","26,082","21,618","12,043","14,020","46,218","9,212","6,834","7,934","5,897","23,236","1,016","2,430","1,284",991,"2,159","2,380","2,159","2,432","11,722","4,385","1,912","3,892",491
2020,3,20,"289,348","57,474","26,882","30,592","27,482","14,906","16,753","57,656","9,975","10,390","8,605","6,155","35,765","1,627","3,329","1,817","1,183","2,611","2,981","2,698","3,703","12,614","4,125","2,136","4,509",854
2020,3,30,"301,627","61,457","28,244","33,213","26,182","15,730","15,861","67,425","8,979","9,572","7,844","6,003","34,196","1,442","3,407","1,775","1,087","2,631","2,988","2,474","3,440","16,015","5,648","2,083","4,455",933
2020,3,40,"389,278","78,221","36,203","42,018","37,579","19,541","22,662","73,583","14,220","12,942","11,929","8,882","41,831","2,263","4,844","2,492","1,817","4,065","4,594","4,014","4,896","20,712","7,044","3,361","6,435","1,351"
2020,3,50,"463,397","91,389","42,287","49,102","46,933","24,044","26,874","69,234","18,348","18,310","17,302","12,204","44,632","4,450","9,039","4,833","3,029","6,347","7,560","6,041","8,738","19,319","8,124","5,963","8,756","1,928"
2020,3,60,"391,301","74,903","35,199","39,704","39,469","21,087","24,573","36,703","17,810","17,911","17,730","12,916","33,321","5,158","11,402","5,354","3,315","7,184","9,347","6,039","8,884","12,992","9,027","6,567","7,846","1,763"
2020,3,70,"238,953","35,907","16,747","19,160","24,064","13,403","16,698","15,662","11,865","12,270","12,728","9,245","18,913","4,034","9,049","4,046","2,739","6,011","6,499","4,098","5,728","7,534","6,921","4,801","5,723","1,015"
2020,3,80,"131,466","14,783","6,449","8,334","12,677","7,909","9,384","7,806","6,667","6,790","8,204","5,285","8,917","2,576","6,024","2,391","1,685","3,676","4,195","2,610","3,400","4,261","4,834","3,134","3,755",503
2020,3,90,"17,787","2,043",856,"1,187","1,637","1,106","1,399","1,126",956,744,"1,219",773,"1,004",305,773,305,228,472,569,314,447,594,633,476,591,73
2020,3,100,952,103,52,51,90,52,64,46,57,41,55,57,70,14,42,20,25,26,20,7,25,45,35,27,20,11
2020,4,총,"2,651,054","505,209","232,620","272,589","254,225","140,418","159,035","418,205","104,418","101,828","98,644","71,382","263,375","23,534","52,236","25,291","16,844","36,845","42,684","31,910","43,627","115,780","55,572","31,889","48,834","9,269"
2020,4,0,"196,465","41,207","18,299","22,908","16,697","10,750","10,992","42,862","6,438","5,841","5,371","4,093","21,309",724,"1,996","1,014",773,"1,767","1,583","1,490","1,970","10,055","4,677","1,479","2,949",428
