년도,월,나이,금산군,금산읍,금성면,제원면,부리면,군북면,남일면,남이면,진산면,복수면,추부면
2020,1,총,"52,120","23,144","3,369","2,861","2,551","2,593","2,868","2,150","3,272","3,145","6,167"
2020,1,0,"2,774","1,796",97,75,75,131,95,62,75,93,275
2020,1,10,"4,440","2,553",167,119,80,150,406,160,217,145,443
2020,1,20,"4,231","2,271",248,185,120,139,176,110,200,247,535
2020,1,30,"4,120","2,361",220,188,126,172,142,86,158,200,467
2020,1,40,"6,491","3,631",322,240,215,264,242,191,354,319,713
2020,1,50,"9,286","3,741",627,506,446,452,453,447,650,645,"1,319"
2020,1,60,"9,339","3,232",719,700,593,569,537,423,669,709,"1,188"
2020,1,70,"6,746","2,332",520,456,462,415,437,389,573,457,705
2020,1,80,"4,145","1,075",382,355,388,276,347,246,335,285,456
2020,1,90,516,137,65,37,44,25,32,34,38,42,62
2020,1,100,32,15,2,0,2,0,1,2,3,3,4
2020,2,총,"51,969","23,048","3,367","2,863","2,541","2,576","2,876","2,148","3,267","3,136","6,147"
2020,2,0,"2,753","1,780",97,74,75,130,95,62,77,91,272
2020,2,10,"4,412","2,518",167,116,82,147,411,158,226,148,439
2020,2,20,"4,162","2,230",246,186,118,136,171,105,202,239,529
2020,2,30,"4,057","2,328",219,179,123,169,138,89,155,198,459
2020,2,40,"6,481","3,633",316,243,215,258,244,193,347,318,714
2020,2,50,"9,275","3,750",630,504,442,451,458,448,646,638,"1,308"
2020,2,60,"9,365","3,237",718,711,593,568,540,426,667,711,"1,194"
2020,2,70,"6,745","2,328",525,457,459,414,437,387,571,461,706
2020,2,80,"4,168","1,088",382,355,388,278,348,243,337,287,462
2020,2,90,522,141,65,38,45,25,33,35,36,42,62
2020,2,100,29,15,2,0,1,0,1,2,3,3,2
2020,3,총,"51,904","22,976","3,360","2,864","2,542","2,584","2,907","2,163","3,257","3,115","6,136"
2020,3,0,"2,737","1,771",96,74,74,133,91,61,74,89,274
2020,3,10,"4,443","2,498",169,116,87,147,440,179,223,147,437
2020,3,20,"4,116","2,217",239,181,115,134,173,107,201,228,521
2020,3,30,"4,000","2,296",216,175,121,174,132,86,153,191,456
2020,3,40,"6,450","3,625",316,240,218,258,240,190,341,310,712
2020,3,50,"9,263","3,741",640,504,437,447,464,448,643,637,"1,302"
