년도,월,나이,경기도 양평군,경기도 양평군 양평읍,경기도 양평군 강상면,경기도 양평군 강하면,경기도 양평군 양서면,경기도 양평군 옥천면,경기도 양평군 서종면,경기도 양평군 단월면,경기도 양평군 청운면,경기도 양평군 양동면,경기도 양평군 지평면,경기도 양평군 용문면,경기도 양평군 개군면
2020,3,총,"58,676","15,240","4,985","2,336","6,584","3,900","4,711","1,977","1,892","2,283","3,443","8,729","2,596"
2020,3,0,"3,865","1,208",469,92,385,245,313,70,62,83,140,687,111
2020,3,10,"5,112","1,719",448,150,523,286,436,134,93,102,218,801,202
2020,3,20,"5,684","1,874",428,188,632,421,319,143,127,167,275,887,223
2020,3,30,"5,567","1,646",592,200,633,390,402,186,109,163,208,827,211
2020,3,40,"8,426","2,389",804,265,932,550,747,256,229,231,408,"1,292",323
2020,3,50,"10,717","2,778",847,456,"1,222",690,838,338,368,476,674,"1,534",496
2020,3,60,"10,576","2,075",770,535,"1,206",758,965,465,454,555,826,"1,432",535
2020,3,70,"6,239","1,123",464,353,750,410,526,281,295,326,461,890,360
2020,3,80,"2,248",389,146,87,271,134,146,99,147,161,200,344,124
2020,3,90,227,36,17,9,25,16,17,5,7,18,33,34,10
2020,3,100,15,3,0,1,5,0,2,0,1,1,0,1,1
2020,4,총,"58,837","15,321","4,993","2,343","6,621","3,915","4,719","1,976","1,880","2,283","3,458","8,736","2,592"
2020,4,0,"3,852","1,200",473,93,381,242,314,67,62,82,139,689,110
2020,4,10,"5,103","1,726",445,147,529,283,435,133,91,102,220,801,191
2020,4,20,"5,745","1,904",426,186,638,425,323,143,125,167,283,896,229
2020,4,30,"5,561","1,651",591,198,636,393,397,183,110,160,208,826,208
2020,4,40,"8,425","2,397",803,271,932,552,754,254,221,231,404,"1,282",324
2020,4,50,"10,727","2,800",849,450,"1,229",694,837,340,364,474,668,"1,528",494
2020,4,60,"10,649","2,081",777,545,"1,218",761,966,470,458,559,839,"1,438",537
2020,4,70,"6,266","1,129",464,356,752,413,526,283,294,327,463,895,364
2020,4,80,"2,268",394,148,88,275,136,149,98,147,162,202,346,123
2020,4,90,227,36,17,8,26,16,17,5,7,18,32,34,11
2020,4,100,14,3,0,1,5,0,1,0,1,1,0,1,1
2020,5,총,"58,902","15,334","5,011","2,348","6,634","3,919","4,730","1,970","1,881","2,266","3,456","8,755","2,598"
2020,5,0,"3,810","1,188",473,94,372,238,308,65,63,79,136,686,108
2020,5,10,"5,119","1,723",449,146,522,287,437,132,89,100,220,823,191
2020,5,20,"5,748","1,911",423,185,638,420,328,143,125,163,288,895,229
2020,5,30,"5,546","1,655",589,198,640,401,390,180,112,160,205,809,207
2020,5,40,"8,407","2,379",819,269,930,549,757,250,216,226,398,"1,287",327
2020,5,50,"10,746","2,813",842,447,"1,247",695,842,342,363,469,660,"1,535",491
2020,5,60,"10,708","2,097",786,553,"1,221",759,966,471,467,559,846,"1,438",545
2020,5,70,"6,289","1,129",462,359,752,421,533,282,291,327,469,901,363
