년도,월,나이,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 학온동,경기도 광명시 일직동
2020,3,총,"160,092","3,429","4,713","5,035","7,289","7,472","5,575","8,648","6,639","6,448","16,944","6,828","13,340","7,552","11,101","6,624","16,537","24,922",996,
2020,3,0,"12,420",154,186,208,370,467,482,492,559,263,"1,526",543,"1,259",550,775,545,"1,609","2,400",32,
2020,3,10,"15,773",244,338,280,498,647,559,794,774,467,"2,063",597,"1,614",596,985,742,"2,087","2,449",39,
2020,3,20,"19,533",435,620,635,889,850,631,"1,121",824,"1,005","2,035",820,"1,487",879,"1,271",828,"1,792","3,316",95,
2020,3,30,"22,157",393,479,587,950,891,699,982,893,805,"2,218","1,186","1,656","1,300","1,565","1,055","2,232","4,168",98,
2020,3,40,"27,648",495,663,696,"1,018","1,191",938,"1,315","1,309",933,"3,266","1,186","2,595","1,277","1,878","1,330","3,236","4,223",99,
2020,3,50,"26,475",660,884,974,"1,284","1,332",931,"1,613","1,083","1,338","2,772","1,090","2,194","1,155","1,716",997,"2,441","3,831",180,
2020,3,60,"19,814",537,852,876,"1,258","1,127",743,"1,331",655,949,"1,797",806,"1,425",881,"1,345",607,"1,809","2,601",215,
2020,3,70,"10,169",328,458,531,685,631,375,644,358,428,762,400,668,497,932,305,810,"1,236",121,
2020,3,80,"5,154",158,206,218,275,291,181,300,150,218,419,178,367,354,542,187,418,593,99,
2020,3,90,845,22,23,28,49,41,30,50,32,36,81,21,68,54,85,27,90,95,13,
2020,3,100,104,3,4,2,13,4,6,6,2,6,5,1,7,9,7,1,13,10,5,
2020,4,총,"159,845","3,267","4,482","5,040","7,278","7,466","5,567","8,655","6,617","6,403","16,880","6,848","13,322","7,559","11,102","6,621","16,532","25,224",982,
2020,4,0,"12,344",152,182,209,359,461,483,492,550,265,"1,496",544,"1,241",548,777,549,"1,594","2,411",31,
2020,4,10,"15,689",226,313,280,497,634,560,796,773,458,"2,057",601,"1,606",582,975,737,"2,096","2,459",39,
2020,4,20,"19,560",414,585,629,889,862,631,"1,124",826,995,"2,036",826,"1,489",889,"1,273",825,"1,798","3,377",92,
2020,4,30,"22,086",375,457,580,944,892,683,974,889,801,"2,190","1,182","1,646","1,308","1,562","1,059","2,218","4,230",96,
2020,4,40,"27,570",457,626,695,"1,015","1,179",945,"1,321","1,299",923,"3,256","1,191","2,589","1,274","1,873","1,320","3,243","4,266",98,
2020,4,50,"26,424",639,844,973,"1,283","1,329",929,"1,619","1,080","1,326","2,770","1,092","2,196","1,146","1,708","1,001","2,431","3,884",174,
2020,4,60,"19,849",508,809,886,"1,258","1,141",741,"1,331",653,949,"1,805",806,"1,437",896,"1,355",604,"1,818","2,636",216,
