년도,월,나이,용인시,처인구,포곡읍,모현읍,이동읍,남사면,원삼면,백암면,양지면,중앙동,역삼동,유림동,동부동,기흥구,신갈동,영덕동,영덕1동,영덕2동,구갈동,상갈동,보라동,기흥동,서농동,구성동,마북동,동백1동,동백2동,동백3동,동백동,상하동,보정동,수지구,풍덕천1동,풍덕천2동,신봉동,죽전1동,죽전2동,동천동,상현1동,상현2동,성복동,남사읍,역북동,삼가동,죽전3동,상현3동
2020,1,총,"526,823","130,032","17,005","13,476","10,304","11,633","4,331","4,530","9,629","12,238","22,030","18,026","6,830","215,981","19,503",0.0,"15,297","8,111","21,016","7,017","16,541","10,434","12,906","19,117","15,861","15,904","13,469","10,951",0.0,"12,153","17,701","180,810","18,108","20,688","18,529","27,665","9,233","22,695","23,772","16,715","23,405",,,,,
2020,1,0,"53,720","11,292","1,271","1,071",861,"1,561",174,141,698,836,"2,623","1,663",393,"23,413","1,827",0.0,"1,916",951,"2,359",574,"1,729","1,006","1,712","1,879","1,508","1,892","1,484","1,578",0.0,"1,129","1,869","19,015","1,526","2,457","1,880","2,798",845,"2,721","2,472","1,832","2,484",,,,,
2020,1,10,"63,114","13,263","2,028","1,242",985,846,314,288,"1,014","1,189","2,331","2,349",677,"26,559","1,959",0.0,"1,869",669,"1,807",714,"2,254","1,145","1,226","2,578","1,607","2,928","2,447","1,500",0.0,"1,540","2,316","23,292","2,012","3,067","2,718","3,684",861,"2,611","3,236","2,223","2,880",,,,,
2020,1,20,"68,645","17,948","2,561","1,751","1,181","1,035",451,485,"1,249","2,225","3,453","2,529","1,028","27,822","2,580",0.0,"1,954","1,090","3,156","1,023","2,006","1,287","2,520","2,153","2,064","1,673","1,554","1,055",0.0,"1,693","2,014","22,875","2,783","2,494","2,096","3,832","1,383","2,660","3,049","1,953","2,625",,,,,
2020,1,30,"73,351","18,250","2,161","1,658","1,299","2,182",429,457,"1,266","1,699","3,850","2,419",830,"30,318","3,282",0.0,"2,475","1,519","4,179","1,062","1,991","1,406","2,444","2,157","2,099","1,613","1,150","1,459",0.0,"1,449","2,033","24,783","3,253","2,989","1,896","3,446","1,741","3,526","3,319","2,131","2,482",,,,,
2020,1,40,"99,339","22,808","3,153","2,345","1,849","2,107",633,637,"1,660","2,042","3,867","3,438","1,077","41,746","3,415",0.0,"3,057","1,308","3,661","1,307","3,280","1,913","2,218","3,845","2,675","3,895","3,023","2,427",0.0,"2,216","3,506","34,785","3,121","4,445","3,821","5,399","1,498","4,353","4,556","3,158","4,434",,,,,
2020,1,50,"80,977","22,098","3,026","2,505","1,922","1,598",878,936,"1,694","2,037","3,099","3,079","1,324","32,016","3,154",0.0,"2,272","1,242","3,151","1,203","2,444","1,620","1,526","2,723","2,421","2,216","2,142","1,284",0.0,"2,077","2,541","26,863","2,701","3,013","2,847","4,182","1,418","3,235","3,515","2,509","3,443",,,,,
2020,1,60,"46,991","14,366","1,655","1,723","1,301","1,317",810,897,"1,261","1,326","1,674","1,478",924,"17,962","1,811",0.0,"1,109",746,"1,594",571,"1,471","1,146",798,"1,813","1,672",864,883,765,0.0,"1,156","1,563","14,663","1,420","1,119","1,517","2,220",806,"2,060","1,828","1,342","2,351",,,,,
2020,1,70,"29,244","7,172",803,856,636,744,460,440,555,631,840,777,430,"11,599","1,024",0.0,506,347,843,403,995,679,349,"1,395","1,274",569,567,660,0.0,648,"1,340","10,473",925,727,"1,246","1,460",478,"1,164","1,301","1,136","2,036",,,,,
2020,1,80,"10,419","2,581",327,304,247,221,161,225,210,226,266,268,126,"4,134",413,0.0,126,197,241,152,331,219,103,532,489,232,194,201,0.0,228,476,"3,704",331,339,477,591,177,336,454,384,615,,,,,
