년도,월,나이,경상북도 울진군,경상북도 울진군 울진읍,경상북도 울진군 평해읍,경상북도 울진군 북면,경상북도 울진군 북면하당출장소,경상북도 울진군 근남면,경상북도 울진군 기성면,경상북도 울진군 온정면,경상북도 울진군 죽변면,경상북도 울진군 후포면,경상북도 울진군 금강송면,경상북도 울진군 매화면
2020,3,총,"24,470","7,009","1,490","3,159",341,"1,394","1,380",910,"3,193","3,845",652,"1,097"
2020,3,0,"1,467",534,31,396,2,55,31,27,171,180,13,27
2020,3,10,"1,764",809,71,213,16,65,57,25,187,263,17,41
2020,3,20,"1,869",675,79,314,18,69,55,50,273,274,19,43
2020,3,30,"2,026",715,63,516,9,83,50,22,261,260,16,31
2020,3,40,"2,874","1,174",111,387,18,126,74,70,367,429,62,56
2020,3,50,"4,045","1,100",213,463,53,227,215,126,627,724,137,160
2020,3,60,"4,015",854,302,370,61,251,283,178,540,822,135,219
2020,3,70,"3,273",620,318,253,79,249,267,194,413,530,130,220
2020,3,80,"2,618",429,246,206,72,220,282,189,308,304,113,249
2020,3,90,501,97,53,37,13,48,64,29,43,58,9,50
2020,3,100,18,2,3,4,0,1,2,0,3,1,1,1
2020,4,총,"24,424","6,994","1,485","3,158",341,"1,391","1,381",908,"3,180","3,840",650,"1,096"
2020,4,0,"1,454",534,27,390,2,53,31,27,165,185,13,27
2020,4,10,"1,767",806,70,217,16,67,55,26,187,263,17,43
2020,4,20,"1,847",668,81,304,18,69,56,50,275,267,17,42
2020,4,30,"2,010",708,62,521,8,79,50,20,255,261,16,30
2020,4,40,"2,859","1,177",108,390,18,122,75,69,360,423,60,57
2020,4,50,"4,044","1,101",218,465,52,231,212,126,625,714,139,161
2020,4,60,"4,027",852,298,372,63,249,286,178,549,830,134,216
2020,4,70,"3,265",620,318,247,78,252,262,194,412,534,130,218
2020,4,80,"2,626",427,247,210,75,220,284,189,307,303,114,250
2020,4,90,508,99,54,38,11,48,68,29,42,59,9,51
2020,4,100,17,2,2,4,0,1,2,0,3,1,1,1
2020,5,총,"24,416","6,991","1,489","3,167",339,"1,386","1,376",908,"3,191","3,817",656,"1,096"
2020,5,0,"1,457",531,28,394,2,53,31,27,168,182,13,28
2020,5,10,"1,752",799,69,217,14,66,53,26,183,263,19,43
2020,5,20,"1,853",673,85,302,19,69,57,50,278,261,19,40
2020,5,30,"2,004",705,60,522,8,78,49,21,256,258,16,31
2020,5,40,"2,862","1,182",111,398,18,118,74,68,363,414,60,56
2020,5,50,"4,024","1,100",211,459,52,231,209,123,626,713,139,161
2020,5,60,"4,036",852,302,377,64,251,286,179,548,827,135,215
2020,5,70,"3,269",623,317,246,78,249,263,195,415,537,128,218
2020,5,80,"2,632",424,251,210,71,222,284,190,311,302,116,251
2020,5,90,511,100,53,38,13,48,68,29,41,59,10,52
2020,5,100,16,2,2,4,0,1,2,0,2,1,1,1
2020,6,총,"24,413","6,984","1,490","3,169",340,"1,381","1,373",903,"3,198","3,822",659,"1,094"
2020,6,0,"1,464",531,30,395,2,52,32,27,171,182,13,29
2020,6,10,"1,749",798,69,211,14,65,52,26,183,266,19,46
2020,6,20,"1,852",669,82,305,19,70,59,48,279,262,21,38
2020,6,30,"2,006",703,63,522,8,77,48,21,257,261,16,30
2020,6,40,"2,845","1,174",111,396,18,118,70,69,362,411,60,56
2020,6,50,"4,015","1,115",210,459,52,224,205,119,621,715,137,158
2020,6,60,"4,057",845,302,383,64,257,292,182,552,828,137,215
2020,6,70,"3,267",628,317,242,79,245,263,194,416,537,129,217
2020,6,80,"2,625",417,250,214,71,224,282,187,314,300,116,250
2020,6,90,517,102,54,38,13,48,68,30,41,59,10,54
2020,6,100,16,2,2,4,0,1,2,0,2,1,1,1
2020,7,총,"24,380","6,962","1,487","3,163",339,"1,384","1,371",905,"3,193","3,826",658,"1,092"
2020,7,0,"1,452",524,30,394,2,54,31,27,169,181,12,28
2020,7,10,"1,745",796,68,208,15,64,54,26,185,263,20,46
2020,7,20,"1,845",668,80,302,18,72,59,47,275,264,20,40
2020,7,30,"1,991",689,64,522,8,77,49,22,254,260,16,30
2020,7,40,"2,859","1,179",108,397,17,122,69,70,364,415,60,58
2020,7,50,"4,002","1,115",211,453,53,219,207,118,620,714,135,157
2020,7,60,"4,056",847,301,388,64,256,292,181,551,823,139,214
2020,7,70,"3,276",627,320,245,79,245,262,196,413,544,130,215
2020,7,80,"2,618",414,248,212,70,225,279,186,318,301,116,249
2020,7,90,521,101,55,38,13,49,68,32,42,60,9,54
2020,7,100,15,2,2,4,0,1,1,0,2,1,1,1
2020,8,총,"24,377","6,961","1,486","3,171",339,"1,382","1,374",905,"3,180","3,830",658,"1,091"
2020,8,0,"1,448",519,29,398,2,56,31,26,168,179,12,28
2020,8,10,"1,746",798,70,207,15,64,54,28,184,261,20,45
2020,8,20,"1,846",663,78,306,18,73,63,46,272,268,19,40
2020,8,30,"1,982",696,63,520,8,75,48,23,246,257,16,30
2020,8,40,"2,847","1,164",107,400,17,119,71,71,361,419,61,57
2020,8,50,"3,997","1,121",211,448,52,218,210,114,617,719,132,155
2020,8,60,"4,086",853,301,395,65,259,291,186,559,818,142,217
2020,8,70,"3,261",627,317,243,77,244,261,195,409,544,130,214
2020,8,80,"2,626",419,252,211,72,224,278,184,320,301,115,250
2020,8,90,523,99,56,39,13,49,66,32,42,63,10,54
2020,8,100,15,2,2,4,0,1,1,0,2,1,1,1
2020,9,총,"24,370","6,960","1,489","3,165",340,"1,379","1,368",908,"3,182","3,840",655,"1,084"
2020,9,0,"1,450",517,29,398,2,57,31,27,167,183,12,27
2020,9,10,"1,736",795,69,208,16,59,53,27,183,263,19,44
2020,9,20,"1,844",663,79,304,18,78,64,45,268,268,18,39
2020,9,30,"1,976",692,62,519,8,75,46,23,248,257,16,30
2020,9,40,"2,852","1,166",108,402,17,116,72,73,362,421,62,53
2020,9,50,"3,972","1,123",208,444,50,217,209,115,606,716,130,154
2020,9,60,"4,107",851,305,391,66,263,289,187,573,821,143,218
2020,9,70,"3,259",631,316,245,78,242,259,193,409,543,128,215
2020,9,80,"2,628",421,254,211,72,221,276,184,319,304,116,250
2020,9,90,531,99,57,39,13,50,68,34,45,63,10,53
2020,9,100,15,2,2,4,0,1,1,0,2,1,1,1
2020,10,총,"24,357","6,974","1,480","3,168",341,"1,382","1,358",906,"3,168","3,843",655,"1,082"
2020,10,0,"1,446",516,28,400,2,59,28,26,167,183,11,26
2020,10,10,"1,732",791,68,208,16,59,53,27,180,264,20,46
2020,10,20,"1,851",675,77,304,18,79,64,45,269,264,18,38
2020,10,30,"1,962",680,62,523,8,72,45,24,243,259,16,30
2020,10,40,"2,855","1,172",102,404,18,116,70,73,360,426,60,54
2020,10,50,"3,960","1,128",210,438,50,216,203,114,601,714,133,153
2020,10,60,"4,112",857,301,393,67,265,290,183,580,815,142,219
2020,10,70,"3,236",628,315,241,78,242,260,193,402,545,126,206
2020,10,80,"2,652",426,259,212,70,223,275,186,319,307,119,256
2020,10,90,536,99,56,41,14,50,69,35,45,65,9,53
2020,10,100,15,2,2,4,0,1,1,0,2,1,1,1
2020,11,총,"24,317","6,969","1,475","3,172",341,"1,379","1,355",899,"3,162","3,843",647,"1,075"
2020,11,0,"1,444",522,27,398,2,56,27,26,166,183,11,26
2020,11,10,"1,719",785,67,210,16,57,54,26,177,262,20,45
2020,11,20,"1,833",668,76,299,18,83,63,44,267,264,13,38
2020,11,30,"1,961",684,66,521,8,70,45,24,240,256,17,30
2020,11,40,"2,844","1,166",100,409,17,115,70,69,356,429,60,53
2020,11,50,"3,957","1,133",209,444,51,214,200,116,596,712,131,151
2020,11,60,"4,127",855,300,395,66,268,290,184,594,816,143,216
