년도,월,나이,강원도 속초시,강원도 속초시 영랑동,강원도 속초시 동명동,강원도 속초시 금호동,강원도 속초시 교동,강원도 속초시 노학동,강원도 속초시 조양동,강원도 속초시 청호동,강원도 속초시 대포동
2020,1,총,"40,470","2,496","2,019","3,091","4,868","10,747","13,378","2,221","1,650"
2020,1,0,"3,006",100,142,127,309,728,"1,435",123,42
2020,1,10,"4,011",171,146,247,505,"1,245","1,481",135,81
2020,1,20,"5,021",277,186,395,620,"1,377","1,804",207,155
2020,1,30,"4,923",268,226,260,564,"1,227","1,951",281,146
2020,1,40,"6,280",334,300,431,727,"1,760","2,239",289,200
2020,1,50,"7,474",506,413,636,896,"1,986","2,186",479,372
2020,1,60,"5,712",500,323,559,764,"1,474","1,345",400,347
2020,1,70,"2,909",245,218,305,346,686,687,204,218
2020,1,80,989,86,57,115,116,228,221,87,79
2020,1,90,132,7,7,14,19,36,27,13,9
2020,1,100,13,2,1,2,2,0,2,3,1
2020,2,총,"40,412","2,482","1,998","3,088","4,850","10,697","13,398","2,242","1,657"
2020,2,0,"3,005",100,141,128,306,720,"1,443",126,41
2020,2,10,"3,989",166,145,244,505,"1,233","1,467",144,85
2020,2,20,"4,999",272,185,396,611,"1,367","1,798",215,155
2020,2,30,"4,921",267,213,263,561,"1,222","1,965",286,144
2020,2,40,"6,262",330,297,422,720,"1,753","2,249",285,206
2020,2,50,"7,447",504,416,639,895,"1,968","2,185",470,370
2020,2,60,"5,742",502,323,557,768,"1,483","1,352",409,348
2020,2,70,"2,901",245,211,304,347,686,685,205,218
2020,2,80,"1,003",87,58,120,117,231,226,84,80
2020,2,90,129,7,8,13,18,34,25,15,9
2020,2,100,14,2,1,2,2,0,3,3,1
2020,3,총,"40,398","2,440","1,965","3,091","4,848","10,762","13,372","2,271","1,649"
2020,3,0,"3,010",95,142,132,309,728,"1,425",137,42
2020,3,10,"3,957",163,139,238,496,"1,229","1,462",148,82
2020,3,20,"4,979",261,182,390,612,"1,379","1,783",219,153
2020,3,30,"4,921",261,208,270,566,"1,230","1,953",288,145
2020,3,40,"6,249",322,293,423,713,"1,758","2,252",289,199
2020,3,50,"7,427",490,407,630,898,"1,991","2,172",472,367
2020,3,60,"5,791",506,324,564,770,"1,485","1,380",411,351
2020,3,70,"2,911",247,204,310,347,695,685,205,218
2020,3,80,"1,011",86,57,120,116,235,231,84,82
2020,3,90,128,7,8,12,19,32,26,15,9
2020,3,100,14,2,1,2,2,0,3,3,1
2020,4,총,"40,393","2,440","1,964","3,096","4,838","10,758","13,358","2,287","1,652"
2020,4,0,"2,993",97,142,129,305,732,"1,405",139,44
2020,4,10,"3,943",162,140,244,492,"1,210","1,468",143,84
2020,4,20,"4,980",267,180,380,612,"1,379","1,781",229,152
2020,4,30,"4,903",262,212,276,562,"1,217","1,944",281,149
2020,4,40,"6,241",317,291,425,716,"1,749","2,254",294,195
2020,4,50,"7,442",493,403,630,897,"2,013","2,172",470,364
2020,4,60,"5,819",502,324,562,769,"1,498","1,384",425,355
2020,4,70,"2,910",244,206,311,348,692,686,205,218
2020,4,80,"1,024",88,58,125,116,237,234,85,81
2020,4,90,124,6,7,12,19,31,27,13,9
2020,4,100,14,2,1,2,2,0,3,3,1
2020,5,총,"40,436","2,428","1,947","3,086","4,829","10,705","13,506","2,291","1,644"
2020,5,0,"2,979",96,143,128,301,714,"1,419",138,40
2020,5,10,"3,927",161,138,237,491,"1,201","1,476",142,81
2020,5,20,"4,975",269,175,378,599,"1,372","1,799",230,153
2020,5,30,"4,923",255,216,276,557,"1,199","1,984",286,150
2020,5,40,"6,223",316,287,415,720,"1,735","2,261",298,191
2020,5,50,"7,456",487,398,632,890,"2,016","2,207",466,360
2020,5,60,"5,850",503,318,566,777,"1,502","1,403",423,358
2020,5,70,"2,926",246,205,313,357,694,685,206,220
2020,5,80,"1,041",87,59,127,117,241,241,87,82
2020,5,90,122,6,7,12,18,31,28,12,8
2020,5,100,14,2,1,2,2,0,3,3,1
