년도,월,나이,인천광역시 옹진군,인천광역시 옹진군 북도면,인천광역시 옹진군 북도면장봉출장소,인천광역시 옹진군 백령면,인천광역시 옹진군 대청면,인천광역시 옹진군 대청면소청출장소,인천광역시 옹진군 덕적면,인천광역시 옹진군 영흥면,인천광역시 옹진군 자월면,인천광역시 옹진군 자월면이작출장소,인천광역시 옹진군 연평면
2020,3,총,"20,371","1,167","1,003","5,228","1,240",238,"1,915","6,220",920,380,"2,060"
2020,3,0,987,38,35,366,58,2,45,312,22,15,94
2020,3,10,"1,144",52,30,302,65,9,93,402,40,16,135
2020,3,20,"2,691",87,59,"1,047",198,44,133,566,79,25,453
2020,3,30,"1,968",85,64,641,118,19,95,633,47,23,243
2020,3,40,"2,451",113,127,662,119,15,198,808,99,36,274
2020,3,50,"3,675",225,205,739,238,35,364,"1,264",182,81,342
2020,3,60,"3,811",309,261,728,207,49,455,"1,224",211,82,285
2020,3,70,"2,289",158,147,426,162,48,321,697,142,59,129
2020,3,80,"1,115",85,56,248,67,15,170,265,86,36,87
2020,3,90,230,14,17,66,8,2,40,46,12,7,18
2020,3,100,10,1,2,3,0,0,1,3,0,0,0
2020,4,총,"20,355","1,162","1,000","5,203","1,234",237,"1,909","6,256",917,379,"2,058"
2020,4,0,976,38,33,364,57,2,41,311,21,15,94
2020,4,10,"1,140",52,29,302,65,9,93,402,38,16,134
2020,4,20,"2,678",84,58,"1,043",192,43,136,566,78,25,453
2020,4,30,"1,953",85,59,625,123,19,87,644,45,23,243
2020,4,40,"2,435",112,130,655,113,15,199,808,98,36,269
2020,4,50,"3,662",216,204,737,238,31,365,"1,269",181,78,343
2020,4,60,"3,844",312,265,737,207,51,459,"1,231",211,84,287
2020,4,70,"2,311",161,147,426,164,50,319,708,147,59,130
2020,4,80,"1,115",87,55,247,67,15,169,266,86,36,87
2020,4,90,231,14,18,64,8,2,40,48,12,7,18
2020,4,100,10,1,2,3,0,0,1,3,0,0,0
2020,5,총,"20,390","1,162",994,"5,200","1,242",237,"1,921","6,258",935,378,"2,063"
2020,5,0,979,38,31,367,58,2,44,306,22,15,96
2020,5,10,"1,139",52,30,302,64,9,94,400,40,16,132
2020,5,20,"2,685",85,55,"1,041",192,43,135,562,83,24,465
2020,5,30,"1,948",84,59,627,126,19,88,633,47,23,242
2020,5,40,"2,425",112,128,653,115,15,197,804,96,37,268
2020,5,50,"3,649",213,203,730,238,31,363,"1,280",182,77,332
2020,5,60,"3,874",316,266,740,209,51,466,"1,233",218,83,292
2020,5,70,"2,329",157,146,428,164,50,324,717,149,61,133
