년도,월,나이,부여군,부여읍,규암면,은산면,외산면,내산면,구룡면,홍산면,옥산면,남면,충화면,양화면,임천면,장암면,세도면,석성면,초촌면
2020,1,총,"66,676","20,942","11,985","3,852","2,404","1,571","2,457","2,933","1,450","1,910","1,163","1,768","2,964","2,811","3,243","3,042","2,181"
2020,1,0,"3,152","1,156",991,116,52,57,67,90,28,51,26,34,107,85,111,116,65
2020,1,10,"5,020","2,075","1,226",210,127,53,157,186,57,84,34,50,148,132,136,250,95
2020,1,20,"5,756","2,334","1,342",265,121,77,152,213,74,106,58,84,165,170,214,252,129
2020,1,30,"4,731","1,732","1,238",200,103,88,138,142,57,88,59,88,152,151,187,173,135
2020,1,40,"7,562","2,866","1,712",387,220,114,238,253,117,137,72,113,262,242,287,352,190
2020,1,50,"11,377","3,780","1,937",666,411,273,415,473,222,279,192,269,436,455,600,588,381
2020,1,60,"12,506","3,453","1,621",894,559,355,458,636,352,416,283,412,658,581,722,593,513
2020,1,70,"9,378","2,198","1,069",593,478,303,457,555,283,394,235,386,582,516,573,395,361
2020,1,80,"6,217","1,146",741,451,283,221,333,326,218,307,184,282,383,417,366,289,270
2020,1,90,922,185,103,60,46,30,40,53,41,46,20,49,70,61,46,32,40
2020,1,100,55,17,5,10,4,0,2,6,1,2,0,1,1,1,1,2,2
2020,2,총,"66,548","20,898","11,994","3,838","2,404","1,568","2,456","2,925","1,446","1,906","1,160","1,760","2,961","2,791","3,231","3,032","2,178"
2020,2,0,"3,120","1,148",985,109,55,56,65,90,26,49,27,33,106,85,107,115,64
2020,2,10,"4,990","2,060","1,221",212,129,52,157,184,54,84,35,50,148,124,137,248,95
2020,2,20,"5,702","2,323","1,331",261,121,74,151,211,75,102,55,80,166,165,207,252,128
2020,2,30,"4,693","1,721","1,239",197,101,89,133,139,55,91,59,86,151,150,183,167,132
2020,2,40,"7,558","2,870","1,714",388,218,114,238,252,117,139,70,115,264,236,287,350,186
2020,2,50,"11,302","3,754","1,942",659,412,270,415,472,218,272,189,260,440,451,587,586,375
2020,2,60,"12,574","3,457","1,639",891,561,357,465,636,352,421,286,422,651,579,733,595,529
2020,2,70,"9,375","2,203","1,069",600,476,304,454,556,287,395,232,383,581,518,570,391,356
2020,2,80,"6,245","1,159",745,450,283,222,334,327,220,303,187,280,381,421,372,290,271
2020,2,90,934,186,104,61,44,30,42,52,41,48,20,50,72,61,47,36,40
2020,2,100,55,17,5,10,4,0,2,6,1,2,0,1,1,1,1,2,2
2020,3,총,"66,353","20,792","12,010","3,835","2,393","1,566","2,445","2,910","1,440","1,904","1,162","1,751","2,946","2,791","3,214","3,019","2,175"
2020,3,0,"3,115","1,143",991,108,53,55,64,89,26,50,27,32,106,86,106,113,66
2020,3,10,"4,923","2,022","1,207",213,126,54,158,178,54,83,34,51,147,127,134,243,92
2020,3,20,"5,649","2,300","1,329",254,118,73,147,206,74,104,57,79,167,159,201,251,130
2020,3,30,"4,646","1,713","1,231",197,99,85,129,135,54,90,57,84,148,152,178,164,130
2020,3,40,"7,512","2,854","1,718",375,215,111,236,251,115,141,70,113,261,233,288,347,184
2020,3,50,"11,201","3,717","1,946",662,407,273,409,467,213,261,187,255,429,449,576,583,367
2020,3,60,"12,636","3,468","1,648",900,560,359,463,634,356,422,288,422,656,585,740,602,533
2020,3,70,"9,400","2,207","1,084",606,481,305,455,563,285,400,233,374,576,517,567,388,359
2020,3,80,"6,266","1,162",748,449,287,220,337,327,219,302,189,288,380,420,376,290,272
2020,3,90,948,189,103,60,43,31,44,54,43,49,20,52,75,62,47,36,40
2020,3,100,57,17,5,11,4,0,3,6,1,2,0,1,1,1,1,2,2
2020,4,총,"66,214","20,703","12,020","3,823","2,385","1,566","2,447","2,899","1,436","1,896","1,160","1,753","2,952","2,787","3,213","3,003","2,171"
2020,4,0,"3,090","1,128",991,108,50,54,64,88,26,47,24,30,108,85,109,112,66
2020,4,10,"4,876","1,988","1,204",210,126,55,157,179,54,82,34,50,146,125,136,241,89
2020,4,20,"5,616","2,286","1,320",252,119,68,149,201,73,105,56,82,167,159,197,248,134
2020,4,30,"4,620","1,695","1,226",197,100,88,127,137,54,90,56,82,145,150,182,162,129
2020,4,40,"7,496","2,821","1,740",368,212,110,242,252,109,141,70,114,265,235,289,343,185
2020,4,50,"11,157","3,732","1,941",658,405,267,404,461,213,258,187,255,425,442,568,583,358
2020,4,60,"12,658","3,465","1,657",901,562,363,466,634,354,422,288,424,657,589,739,598,539
2020,4,70,"9,406","2,210","1,094",604,482,307,453,563,288,401,235,371,574,513,562,392,357
2020,4,80,"6,278","1,169",738,453,284,222,337,322,221,301,189,290,387,424,384,286,271
2020,4,90,960,192,104,60,41,32,45,56,43,48,21,54,77,64,46,36,41
2020,4,100,57,17,5,12,4,0,3,6,1,1,0,1,1,1,1,2,2
2020,5,총,"66,086","20,657","12,042","3,816","2,377","1,568","2,437","2,889","1,434","1,886","1,155","1,739","2,944","2,780","3,210","2,982","2,170"
2020,5,0,"3,075","1,122",991,104,50,54,63,88,26,49,22,29,106,85,109,114,63
2020,5,10,"4,845","1,983","1,201",211,122,54,156,175,56,80,34,49,146,122,133,239,84
2020,5,20,"5,549","2,263","1,323",245,116,67,147,191,73,105,54,78,167,158,194,234,134
2020,5,30,"4,584","1,665","1,233",196,98,87,126,136,54,87,56,78,144,148,184,163,129
2020,5,40,"7,438","2,803","1,743",364,207,110,237,252,111,139,67,111,260,233,284,335,182
2020,5,50,"11,160","3,753","1,937",658,405,269,402,458,210,261,185,252,425,441,568,573,363
2020,5,60,"12,681","3,469","1,667",911,560,362,461,634,354,416,291,424,651,591,739,607,544
2020,5,70,"9,439","2,219","1,099",598,483,311,460,569,289,401,234,370,581,512,566,393,354
2020,5,80,"6,296","1,169",736,459,287,222,338,325,218,300,191,292,386,425,387,285,276
2020,5,90,962,194,106,59,45,32,44,55,42,46,21,55,77,64,45,37,40
2020,5,100,57,17,6,11,4,0,3,6,1,2,0,1,1,1,1,2,1
2020,6,총,"65,919","20,577","12,045","3,810","2,369","1,563","2,411","2,886","1,427","1,885","1,161","1,739","2,941","2,763","3,200","2,979","2,163"
