년도,월,나이,성남시,수정구,신흥1동,신흥2동,신흥3동,태평1동,태평2동,태평3동,태평4동,수진1동,수진2동,단대동,산성동,양지동,복정동,위례동,신촌동,고등동,시흥동,중원구,성남동,중앙동,금광1동,금광2동,은행1동,은행2동,상대원1동,상대원2동,상대원3동,하대원동,도촌동,분당구,분당동,수내1동,수내2동,수내3동,정자동,정자1동,정자2동,정자3동,서현1동,서현2동,이매1동,이매2동,야탑1동,야탑2동,야탑3동,판교동,삼평동,백현동,금곡동,구미1동,구미동,운중동
2020,1,90,"2,972",663,38,27,27,51,55,34,43,54,50,64,32,29,24,91,13,17,14,663,100,42,26,80,34,58,67,57,56,69,74,"1,646",77,66,32,33,54,60,97,63,106,51,81,62,71,75,103,55,59,58,142,63,174,64
2020,1,100,322,132,15,10,8,10,10,11,14,11,10,9,15,3,3,0,0,0,3,129,22,21,24,12,4,13,8,8,8,5,4,61,3,2,1,1,2,4,2,1,4,2,2,4,3,4,7,3,1,2,3,2,8,0
2020,2,총,"475,877","115,948","6,535","5,000","5,340","7,811","7,986","6,787","6,887","6,171","8,200","8,246","6,377","5,149","5,257","23,285","2,249","3,077","1,591","108,405","16,187","6,754","3,485","12,932","5,663","12,650","12,715","6,904","6,241","10,580","14,294","251,524","13,641","9,517","5,536","7,267","10,079","16,511","8,592","8,225","16,829","9,638","13,439","7,186","9,043","8,981","15,092","12,266","12,790","14,602","15,409","9,289","16,585","11,007"
2020,2,0,"34,949","7,825",281,368,208,301,407,359,387,226,458,592,302,341,410,"2,569",282,227,107,"6,804",822,439,211,685,339,678,835,300,301,743,"1,451","20,320","1,027",643,625,557,769,"1,088",446,658,"1,259",698,"1,156",510,676,678,"1,170","1,543","1,378","1,537",989,643,"1,168","1,102"
2020,2,10,"44,143","8,567",362,471,321,411,569,481,642,325,541,641,537,470,248,"2,053",191,226,78,"8,533","1,005",422,239,"1,077",611,"1,054",945,517,461,858,"1,344","27,043","1,463","1,104",964,"1,208",999,"1,699",677,907,"2,213","1,155","1,587",879,666,895,"1,122","1,635","1,550","1,585","1,260",935,"1,379","1,161"
2020,2,20,"64,136","16,028",913,595,817,"1,385","1,183",877,917,798,"1,142","1,075",793,713,"1,037","2,840",266,512,165,"15,053","2,751",743,486,"1,992",905,"1,637","1,615",854,874,"1,505","1,691","33,055","1,837","1,230",451,904,"1,504","2,604","1,024","1,048","2,308","1,355","1,669",892,"1,400","1,133","2,024","1,201","1,497","1,936","2,128","1,392","2,276","1,242"
2020,2,30,"68,710","16,368",774,668,654,"1,025","1,006",842,782,648,"1,015","1,109",760,560,"1,219","4,096",410,559,241,"14,829","2,442",959,510,"1,740",687,"1,440","1,864",747,718,"1,392","2,330","37,513","1,861","1,377",566,845,"1,750","2,846","1,533","1,263","2,254","1,201","1,914",800,"1,460","1,208","2,574","1,836","1,959","2,250","2,508","1,444","2,385","1,679"
2020,2,40,"81,130","17,517",918,794,767,983,"1,140",995,"1,141",821,"1,164","1,268","1,038",838,825,"3,836",363,411,215,"16,212","2,168",980,496,"1,926",891,"1,996","1,880",986,868,"1,532","2,489","47,401","2,613","2,106","1,449","1,786","1,755","3,335","1,509","1,556","3,572","1,888","2,584","1,393","1,436","1,535","2,258","2,726","2,461","2,503","2,429","1,616","2,829","2,062"
2020,2,50,"78,421","19,938","1,223",888,997,"1,356","1,447","1,289","1,187","1,187","1,519","1,452","1,090",894,637,"3,769",295,447,261,"19,741","2,839","1,192",658,"2,243",967,"2,315","2,384","1,410","1,302","2,153","2,278","38,742","2,216","1,341",645,989,"1,489","2,316","1,300","1,267","2,373","1,698","2,067","1,177","1,434","1,385","2,565","1,587","1,937","2,472","2,438","1,520","2,739","1,787"
2020,2,60,"54,860","16,039","1,094",712,839,"1,224","1,178","1,000",896,"1,119","1,311","1,098",949,671,541,"2,481",271,369,286,"14,762","2,176","1,107",464,"1,799",652,"1,784","1,791","1,138",929,"1,380","1,542","24,059","1,396",718,378,546,"1,025","1,240",891,684,"1,364",892,"1,258",783,"1,053","1,096","1,820",979,"1,145","1,334","1,729",851,"1,682","1,195"
2020,2,70,"31,031","8,999",632,322,512,766,674,614,612,693,727,659,642,454,219,"1,000",108,210,155,"8,111","1,285",611,260,967,398,"1,194",917,622,494,624,739,"13,921",734,557,273,254,523,874,656,480,870,419,740,434,589,645,930,477,537,598,"1,129",537,"1,211",454
2020,2,80,"15,181","3,850",282,146,185,300,314,283,264,291,264,278,219,175,94,545,49,97,64,"3,563",573,237,111,407,176,480,409,268,232,321,349,"7,768",407,375,152,143,208,446,456,299,506,279,380,254,257,324,520,227,267,331,658,287,733,259
2020,2,90,"2,986",681,41,25,32,49,58,36,45,52,48,65,32,30,24,95,14,19,16,663,101,42,25,84,33,59,67,54,54,67,77,"1,642",83,63,32,34,55,60,98,63,106,51,82,60,70,78,102,52,58,54,138,62,175,66
2020,2,100,330,136,15,11,8,11,10,11,14,11,11,9,15,3,3,1,0,0,3,134,25,22,25,12,4,13,8,8,8,5,4,60,4,3,1,1,2,3,2,0,4,2,2,4,2,4,7,3,1,2,3,2,8,0
2020,3,총,"475,573","115,942","6,496","5,026","5,345","7,806","7,949","6,782","6,893","6,171","8,186","8,223","6,349","5,132","5,290","23,313","2,256","3,139","1,586","108,267","16,232","6,728","3,480","12,920","5,616","12,627","12,690","6,874","6,216","10,567","14,317","251,364","13,633","9,530","5,508","7,260","10,075","16,523","8,574","8,168","16,796","9,608","13,438","7,185","9,072","8,978","15,073","12,260","12,810","14,586","15,424","9,255","16,564","11,044"
2020,3,0,"34,790","7,774",276,371,207,296,400,360,388,225,459,588,292,335,407,"2,552",278,233,107,"6,762",814,434,208,689,332,680,829,293,301,738,"1,444","20,254","1,017",643,622,556,771,"1,083",440,657,"1,251",696,"1,153",508,683,672,"1,156","1,551","1,381","1,526",990,641,"1,155","1,102"
2020,3,10,"43,913","8,560",360,471,315,420,564,480,638,322,535,635,529,463,259,"2,071",190,230,78,"8,478","1,017",423,235,"1,062",598,"1,047",937,507,449,857,"1,346","26,875","1,462","1,100",959,"1,191","1,000","1,698",673,883,"2,195","1,149","1,574",877,654,901,"1,113","1,631","1,540","1,571","1,249",920,"1,367","1,168"
