년도,월,나이,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2020,1,총,"20,473","4,229",797,409,771,"2,657","2,737","1,548","4,461","2,864"
2020,1,0,988,221,22,8,27,122,152,67,217,152
2020,1,10,"1,468",372,43,18,44,180,205,105,340,161
2020,1,20,"1,465",333,43,20,33,166,191,102,338,239
2020,1,30,"1,545",348,28,25,43,163,237,102,328,271
2020,1,40,"2,468",542,70,33,63,286,366,172,539,397
2020,1,50,"3,908",765,172,87,172,473,551,321,840,527
2020,1,60,"4,000",739,179,94,185,565,535,316,838,549
2020,1,70,"2,721",489,148,77,121,393,295,201,618,379
2020,1,80,"1,621",360,71,39,68,263,183,144,328,165
2020,1,90,261,56,21,8,14,43,22,18,60,19
2020,1,100,28,4,0,0,1,3,0,0,15,5
2020,2,총,"20,431","4,230",790,414,768,"2,651","2,720","1,539","4,467","2,852"
2020,2,0,983,220,21,10,27,122,150,64,218,151
2020,2,10,"1,445",369,42,18,43,179,199,102,336,157
2020,2,20,"1,460",329,40,18,32,171,186,102,339,243
2020,2,30,"1,522",350,27,26,42,160,232,94,327,264
2020,2,40,"2,474",535,71,34,64,286,367,175,543,399
2020,2,50,"3,868",759,170,88,168,466,545,318,837,517
2020,2,60,"4,042",755,179,95,189,569,539,319,845,552
2020,2,70,"2,708",488,144,78,119,389,297,200,618,375
2020,2,80,"1,636",363,75,38,69,263,183,147,329,169
2020,2,90,265,58,21,9,14,42,22,18,61,20
2020,2,100,28,4,0,0,1,4,0,0,14,5
2020,3,총,"20,393","4,237",783,414,768,"2,656","2,710","1,533","4,444","2,848"
2020,3,0,984,220,22,10,27,120,150,61,216,158
2020,3,10,"1,431",364,39,19,43,180,197,104,334,151
2020,3,20,"1,453",331,40,17,32,173,185,97,334,244
2020,3,30,"1,506",352,28,26,42,164,224,88,318,264
2020,3,40,"2,455",530,69,35,64,284,362,176,539,396
2020,3,50,"3,835",751,165,88,164,471,540,310,836,510
2020,3,60,"4,082",777,176,96,193,571,547,324,844,554
2020,3,70,"2,703",484,146,77,117,386,299,204,617,373
2020,3,80,"1,649",367,76,38,71,259,185,151,329,173
2020,3,90,265,55,22,8,14,44,21,18,63,20
