년도,월,나이,김천시,아포읍,농소면,남면,개령면,감문면,어모면,봉산면,대항면,감천면,조마면,구성면,지례면,부항면,대덕면,증산면,자산동,평화남산동,양금동,대신동,대곡동,지좌동,율곡동
2020,1,총,"140,991","7,293","3,023","3,226","2,566","3,399","4,202","3,295","3,574","1,999","2,292","2,903","1,621","1,303","2,187","1,073","6,962","7,940","4,107","24,736","20,529","10,871","21,890"
2020,1,0,"10,935",407,97,93,77,88,154,110,99,66,66,55,37,27,58,14,254,255,161,"2,277","1,482",915,"4,143"
2020,1,10,"12,180",450,139,156,115,110,219,163,193,90,104,109,54,48,139,41,407,463,261,"3,024","2,280","1,152","2,463"
2020,1,20,"15,025",610,262,279,220,210,342,293,340,153,152,188,109,78,130,43,677,884,368,"3,552","2,443","1,364","2,328"
2020,1,30,"15,910",652,228,222,164,205,256,228,232,134,136,138,74,51,125,33,609,771,297,"2,893","2,178","1,329","4,955"
2020,1,40,"19,657",884,310,316,222,273,449,309,347,196,224,225,126,127,175,105,883,908,438,"4,090","3,060","1,869","4,121"
2020,1,50,"23,999","1,477",553,627,498,607,764,681,766,396,453,552,288,233,397,240,"1,192","1,429",714,"4,138","3,766","1,872","2,356"
2020,1,60,"20,954","1,363",640,670,589,777,875,697,759,406,507,665,350,301,468,260,"1,487","1,586",836,"2,550","2,840","1,350",978
2020,1,70,"13,360",834,440,474,407,597,663,508,477,291,349,516,320,237,391,162,980,"1,047",672,"1,365","1,588",690,352
2020,1,80,"7,859",536,317,332,241,467,408,267,308,233,264,385,228,178,278,157,422,522,323,748,787,288,170
2020,1,90,"1,060",79,37,52,32,64,68,36,48,33,36,69,31,22,25,17,49,71,34,93,102,40,22
2020,1,100,52,1,0,5,1,1,4,3,5,1,1,1,4,1,1,1,2,4,3,6,3,2,2
2020,2,총,"140,863","7,252","3,014","3,217","2,548","3,403","4,207","3,278","3,560","1,991","2,300","2,898","1,619","1,302","2,175","1,074","6,927","7,926","4,087","24,715","20,556","10,906","21,908"
2020,2,0,"10,851",401,97,91,72,84,154,112,97,62,66,56,38,26,57,14,249,253,160,"2,254","1,482",910,"4,116"
2020,2,10,"12,115",448,138,154,114,116,217,154,194,90,106,107,57,48,134,41,404,468,258,"3,014","2,233","1,148","2,472"
2020,2,20,"14,962",607,255,276,225,209,339,290,334,147,153,188,105,76,131,44,665,869,363,"3,549","2,454","1,376","2,307"
2020,2,30,"15,843",639,226,211,160,201,249,225,230,138,138,138,76,53,121,32,606,755,292,"2,890","2,187","1,320","4,956"
2020,2,40,"19,636",881,308,322,223,274,458,304,347,192,220,221,125,121,171,105,874,909,438,"4,073","3,053","1,873","4,144"
2020,2,50,"24,072","1,475",555,623,494,605,768,681,756,400,453,552,288,233,398,243,"1,192","1,435",706,"4,160","3,787","1,892","2,376"
2020,2,60,"21,006","1,355",642,671,586,776,876,695,763,403,515,664,348,305,468,263,"1,483","1,585",838,"2,562","2,868","1,358",982
2020,2,70,"13,366",829,438,484,401,601,661,510,476,295,343,523,320,238,384,159,982,"1,049",665,"1,364","1,592",694,358
2020,2,80,"7,879",539,316,324,240,468,411,267,309,230,268,383,227,179,281,154,419,527,329,751,796,291,170
2020,2,90,"1,080",77,39,56,32,68,70,37,49,33,37,65,31,22,28,18,52,72,35,91,101,42,25
2020,2,100,53,1,0,5,1,1,4,3,5,1,1,1,4,1,2,1,1,4,3,7,3,2,2
2020,3,총,"140,609","7,232","3,009","3,197","2,525","3,380","4,190","3,247","3,546","1,987","2,284","2,873","1,611","1,304","2,161","1,070","6,928","7,887","4,069","24,701","20,529","10,920","21,959"
2020,3,0,"10,788",400,96,88,64,85,155,106,100,62,63,52,36,30,57,14,248,249,157,"2,219","1,483",914,"4,110"
2020,3,10,"12,043",449,139,156,113,112,214,151,194,87,105,107,59,50,128,42,399,459,253,"3,028","2,193","1,135","2,470"
2020,3,20,"14,906",594,252,267,220,209,334,281,330,148,153,182,103,73,129,47,668,858,356,"3,547","2,456","1,374","2,325"
2020,3,30,"15,730",627,222,206,152,192,240,217,224,134,131,134,74,52,124,31,600,758,281,"2,862","2,197","1,329","4,943"
2020,3,40,"19,541",877,311,317,225,271,451,295,339,191,218,217,123,120,165,98,872,901,440,"4,057","3,050","1,864","4,139"
