년도,월,나이,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2020,1,총,"16,510","5,193",734,955,"1,439","4,533","1,072",841,"1,743"
2020,1,0,801,328,19,25,31,291,24,17,66
2020,1,10,"1,187",533,29,31,46,441,25,25,57
2020,1,20,"1,560",569,56,76,135,451,95,54,124
2020,1,30,"1,389",457,49,67,123,456,78,51,108
2020,1,40,"2,290",833,63,104,174,715,115,93,193
2020,1,50,"3,405","1,050",142,189,330,903,257,172,362
2020,1,60,"3,171",788,206,228,327,757,256,186,423
2020,1,70,"1,771",432,90,152,177,363,154,151,252
2020,1,80,859,192,73,74,88,147,60,85,140
2020,1,90,73,11,6,8,8,9,8,6,17
2020,1,100,4,0,1,1,0,0,0,1,1
2020,2,총,"16,474","5,188",729,954,"1,439","4,508","1,075",843,"1,738"
2020,2,0,798,332,19,26,32,283,25,17,64
2020,2,10,"1,165",524,28,30,44,433,27,24,55
2020,2,20,"1,565",574,56,73,136,449,98,55,124
2020,2,30,"1,367",452,48,68,120,452,73,50,104
2020,2,40,"2,281",830,60,101,173,714,113,95,195
2020,2,50,"3,393","1,046",142,192,331,899,254,172,357
2020,2,60,"3,186",792,202,228,330,757,261,186,430
2020,2,70,"1,776",430,92,153,177,366,155,152,251
2020,2,80,866,197,75,74,89,145,61,85,140
2020,2,90,73,11,6,8,7,10,8,6,17
2020,2,100,4,0,1,1,0,0,0,1,1
2020,3,총,"16,355","5,146",722,947,"1,428","4,476","1,067",836,"1,733"
2020,3,0,762,318,20,22,32,271,25,14,60
2020,3,10,"1,161",519,25,30,43,438,27,24,55
2020,3,20,"1,530",571,54,70,132,440,91,51,121
2020,3,30,"1,365",448,51,71,117,447,75,51,105
2020,3,40,"2,266",827,56,100,169,715,111,94,194
2020,3,50,"3,372","1,039",144,194,331,882,254,173,355
2020,3,60,"3,165",784,197,225,330,760,258,183,428
