년도,월,나이,진천군,진천읍,덕산읍,덕산읍혁신도시출장소,초평면,문백면,백곡면,이월면,광혜원면
2020,1,총,"38,749","14,686","11,814",0,"1,611","1,709","1,034","2,991","4,904"
2020,1,0,"3,759","1,187","1,924",0,46,71,34,124,373
2020,1,10,"3,765","1,589","1,253",0,98,78,27,204,516
2020,1,20,"3,803","1,618","1,171",0,94,126,50,216,528
2020,1,30,"5,158","1,632","2,511",0,77,113,50,212,563
2020,1,40,"5,906","2,430","1,940",0,135,137,77,318,869
2020,1,50,"6,129","2,471","1,371",0,265,353,176,582,911
2020,1,60,"4,664","1,790",840,0,345,341,242,561,545
2020,1,70,"2,971","1,103",447,0,260,245,192,384,340
2020,1,80,"2,233",747,311,0,261,216,154,327,217
2020,1,90,348,116,42,0,30,29,30,59,42
2020,1,100,13,3,4,0,0,0,2,4,0
2020,2,총,"38,766","14,684","11,895",0,"1,596","1,704","1,037","2,964","4,886"
2020,2,0,"3,740","1,173","1,927",0,44,70,34,120,372
2020,2,10,"3,743","1,576","1,260",0,95,75,27,199,511
2020,2,20,"3,785","1,631","1,169",0,92,125,47,208,513
2020,2,30,"5,153","1,630","2,519",0,76,110,51,209,558
2020,2,40,"5,934","2,423","1,977",0,133,137,78,315,871
2020,2,50,"6,130","2,471","1,376",0,263,350,176,578,916
2020,2,60,"4,697","1,806",850,0,346,343,247,561,544
2020,2,70,"2,974","1,107",454,0,257,244,190,381,341
2020,2,80,"2,245",747,316,0,260,219,156,329,218
2020,2,90,352,117,43,0,30,31,29,60,42
2020,2,100,13,3,4,0,0,0,2,4,0
2020,3,총,"38,805","14,675","11,979",0,"1,593","1,693","1,035","2,959","4,871"
2020,3,0,"3,731","1,170","1,929",0,43,66,32,118,373
2020,3,10,"3,749","1,566","1,276",0,95,74,29,198,511
2020,3,20,"3,784","1,627","1,184",0,90,124,45,204,510
2020,3,30,"5,139","1,610","2,525",0,74,110,51,210,559
2020,3,40,"5,947","2,430","1,999",0,132,133,79,317,857
2020,3,50,"6,110","2,460","1,392",0,263,345,171,567,912
2020,3,60,"4,742","1,820",857,0,345,347,253,568,552
2020,3,70,"2,988","1,120",456,0,258,242,190,385,337
2020,3,80,"2,247",748,313,0,263,219,156,328,220
2020,3,90,355,121,44,0,30,33,27,60,40
2020,3,100,13,3,4,0,0,0,2,4,0
2020,4,총,"38,831","14,660","12,063",0,"1,582","1,694","1,035","2,951","4,846"
2020,4,0,"3,719","1,165","1,933",0,40,65,31,114,371
2020,4,10,"3,759","1,571","1,292",0,90,74,30,200,502
2020,4,20,"3,762","1,619","1,184",0,88,122,42,205,502
2020,4,30,"5,130","1,601","2,532",0,70,113,51,204,559
2020,4,40,"5,957","2,415","2,035",0,128,135,77,321,846
2020,4,50,"6,120","2,459","1,403",0,266,342,169,566,915
2020,4,60,"4,771","1,832",862,0,347,349,260,568,553
2020,4,70,"2,981","1,125",454,0,260,239,188,380,335
2020,4,80,"2,263",749,319,0,263,223,157,328,224
2020,4,90,356,121,45,0,30,32,28,61,39
2020,4,100,13,3,4,0,0,0,2,4,0
2020,5,총,"38,875","14,666","12,111",0,"1,580","1,697","1,030","2,955","4,836"
2020,5,0,"3,723","1,158","1,941",0,41,65,31,113,374
2020,5,10,"3,757","1,577","1,297",0,90,69,30,203,491
2020,5,20,"3,787","1,637","1,194",0,88,125,40,202,501
2020,5,30,"5,116","1,587","2,523",0,69,113,52,208,564
2020,5,40,"5,939","2,401","2,044",0,128,134,75,319,838
2020,5,50,"6,136","2,464","1,420",0,267,340,167,562,916
2020,5,60,"4,797","1,839",874,0,345,353,263,567,556
2020,5,70,"2,985","1,126",449,0,259,239,188,389,335
2020,5,80,"2,260",756,319,0,262,224,152,325,222
2020,5,90,362,118,46,0,31,35,30,63,39
2020,5,100,13,3,4,0,0,0,2,4,0
2020,6,총,"38,929","14,629","12,170",0,"1,578","1,697","1,025","2,949","4,881"
2020,6,0,"3,692","1,142","1,938",0,40,64,27,111,370
2020,6,10,"3,809","1,572","1,307",0,92,68,32,202,536
2020,6,20,"3,791","1,640","1,200",0,87,121,39,201,503
2020,6,30,"5,096","1,568","2,536",0,66,113,49,205,559
2020,6,40,"5,945","2,396","2,055",0,128,135,74,314,843
