년도,월,나이,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3.4동,대구광역시 동구 공산동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동
2020,3,총,"174,250","4,000","5,965","4,555","6,703","3,485","6,994","6,433","3,840","7,277","7,849","1,992","13,704","5,230","8,080","9,681","7,728","22,684","5,100","35,175","7,775",,,
2020,3,0,"12,846",142,578,357,244,124,433,475,81,250,407,108,"1,387",217,430,493,391,"1,987",289,"4,113",340,,,
2020,3,10,"13,019",215,398,273,357,190,436,467,165,432,544,125,"1,343",308,467,679,453,"1,795",288,"3,540",544,,,
2020,3,20,"19,490",388,506,509,912,354,680,758,687,854,913,224,"1,343",642,972,"1,118",910,"2,556",578,"3,919",667,,,
2020,3,30,"21,422",309,824,587,696,274,780,837,451,627,806,188,"1,880",432,896,879,746,"3,011",526,"6,041",632,,,
2020,3,40,"25,150",451,936,606,816,435,997,"1,024",461,861,"1,077",225,"2,298",586,981,"1,215",920,"3,427",607,"6,165","1,062",,,
2020,3,50,"29,751",701,886,742,"1,317",691,"1,192","1,139",663,"1,378","1,363",364,"2,213","1,109","1,612","1,977","1,447","3,769","1,054","4,701","1,433",,,
2020,3,60,"26,620",775,860,730,"1,233",693,"1,152",835,703,"1,429","1,409",350,"1,787","1,007","1,387","1,697","1,421","3,194",928,"3,624","1,406",,,
2020,3,70,"16,728",644,644,468,772,463,855,572,400,956,850,262,935,615,869,"1,029",945,"1,804",577,"2,051","1,017",,,
2020,3,80,"8,009",321,284,235,305,236,415,283,201,426,412,132,447,275,404,524,431,990,213,893,582,,,
2020,3,90,"1,122",48,42,45,45,23,49,38,25,56,61,14,66,35,60,64,63,146,36,119,87,,,
2020,3,100,93,6,7,3,6,2,5,5,3,8,7,0,5,4,2,6,1,5,4,9,5,,,
2020,4,총,"174,140","3,985","5,874","4,568","6,661","3,477","6,997","6,421","3,849","7,270","7,845","1,986","13,684","5,209","8,077","9,649","7,697","22,612","5,087","35,325","7,867",,,
2020,4,0,"12,798",141,564,350,243,119,436,474,82,246,412,108,"1,376",216,434,490,383,"1,972",285,"4,130",337,,,
2020,4,10,"12,977",209,399,281,353,188,433,461,165,433,543,126,"1,341",308,463,674,448,"1,788",288,"3,533",543,,,
2020,4,20,"19,480",390,491,509,912,350,679,766,695,849,905,218,"1,346",631,971,"1,110",903,"2,551",573,"3,949",682,,,
2020,4,30,"21,356",298,818,589,684,275,773,837,455,631,801,188,"1,873",428,889,870,737,"2,989",525,"6,069",627,,,
2020,4,40,"25,097",462,925,603,799,437,988,"1,012",463,856,"1,076",227,"2,293",579,975,"1,208",912,"3,424",600,"6,186","1,072",,,
2020,4,50,"29,686",689,872,743,"1,322",691,"1,190","1,127",652,"1,366","1,358",358,"2,204","1,101","1,619","1,975","1,439","3,749","1,044","4,728","1,459",,,
2020,4,60,"26,713",782,842,739,"1,223",694,"1,160",836,709,"1,436","1,408",351,"1,788","1,013","1,390","1,701","1,428","3,197",932,"3,646","1,438",,,
2020,4,70,"16,759",635,631,472,771,463,866,571,401,955,859,261,942,619,869,"1,026",946,"1,807",583,"2,054","1,028",,,
2020,4,80,"8,056",325,282,234,306,234,416,293,198,435,417,135,447,274,406,525,438,985,217,899,590,,,
2020,4,90,"1,128",49,43,45,42,24,51,39,26,55,59,14,70,36,59,65,62,145,36,122,86,,,
2020,4,100,90,5,7,3,6,2,5,5,3,8,7,0,4,4,2,5,1,5,4,9,5,,,
2020,5,총,"173,784","3,963","5,788","4,550","6,604","3,475","7,017","6,370","3,844","7,250","7,827","1,973","13,610","5,194","8,054","9,616","7,672","22,579","5,101","35,361","7,936",,,
2020,5,0,"12,732",142,552,350,237,120,435,464,79,244,413,106,"1,362",213,434,481,383,"1,958",288,"4,136",335,,,
2020,5,10,"12,905",206,396,287,340,184,429,449,165,430,542,122,"1,338",307,464,667,440,"1,797",288,"3,510",544,,,
