년도,월,나이,광주광역시,동구,서구,남구,북구,광산구
2020,1,총,"735,757","49,867","153,462","113,017","218,049","201,362"
2020,1,0,"61,223","3,197","11,262","8,921","17,086","20,757"
2020,1,10,"78,556","3,557","15,965","11,695","21,143","26,196"
2020,1,20,"99,387","6,725","22,043","13,931","29,721","26,967"
2020,1,30,"94,622","5,969","19,298","13,651","27,672","28,032"
2020,1,40,"123,141","6,515","26,129","17,533","34,243","38,721"
2020,1,50,"118,059","7,831","25,429","17,909","37,333","29,557"
2020,1,60,"80,703","7,389","17,136","14,613","26,210","15,355"
2020,1,70,"50,785","5,620","10,309","9,399","15,820","9,637"
2020,1,80,"24,665","2,572","4,929","4,462","7,472","5,230"
2020,1,90,"4,266",445,902,817,"1,249",853
2020,1,100,350,47,60,86,100,57
2020,2,총,"735,435","49,866","153,265","113,021","217,887","201,396"
2020,2,0,"60,955","3,197","11,170","8,942","17,001","20,645"
2020,2,10,"78,144","3,532","15,839","11,625","20,992","26,156"
2020,2,20,"99,212","6,732","22,023","13,876","29,639","26,942"
2020,2,30,"94,141","5,973","19,142","13,592","27,529","27,905"
2020,2,40,"123,328","6,501","26,125","17,599","34,314","38,789"
2020,2,50,"118,137","7,814","25,434","17,878","37,308","29,703"
2020,2,60,"81,214","7,419","17,281","14,676","26,402","15,436"
2020,2,70,"50,765","5,613","10,310","9,404","15,815","9,623"
2020,2,80,"24,862","2,589","4,977","4,508","7,514","5,274"
2020,2,90,"4,323",446,901,836,"1,272",868
2020,2,100,354,50,63,85,101,55
2020,3,총,"735,245","49,878","152,937","112,929","217,967","201,534"
2020,3,0,"60,796","3,204","11,088","8,906","17,042","20,556"
2020,3,10,"77,870","3,511","15,751","11,603","20,925","26,080"
2020,3,20,"99,300","6,759","21,974","13,893","29,644","27,030"
2020,3,30,"93,655","5,944","18,960","13,498","27,443","27,810"
2020,3,40,"123,207","6,505","26,030","17,585","34,298","38,789"
2020,3,50,"118,102","7,793","25,408","17,872","37,195","29,834"
2020,3,60,"81,738","7,448","17,400","14,687","26,621","15,582"
2020,3,70,"50,856","5,607","10,352","9,438","15,851","9,608"
2020,3,80,"24,978","2,606","5,009","4,515","7,554","5,294"
2020,3,90,"4,385",451,902,848,"1,291",893
2020,3,100,358,50,63,84,103,58
2020,4,총,"735,560","49,879","152,895","112,798","218,019","201,969"
2020,4,0,"60,539","3,194","11,049","8,839","16,987","20,470"
2020,4,10,"77,634","3,505","15,646","11,539","20,866","26,078"
2020,4,20,"99,692","6,786","22,041","13,902","29,761","27,202"
2020,4,30,"93,431","5,931","18,932","13,435","27,334","27,799"
2020,4,40,"123,073","6,499","25,949","17,560","34,255","38,810"
2020,4,50,"118,256","7,786","25,416","17,872","37,188","29,994"
2020,4,60,"82,137","7,464","17,479","14,722","26,756","15,716"
2020,4,70,"50,872","5,586","10,374","9,448","15,852","9,612"
2020,4,80,"25,148","2,627","5,033","4,551","7,604","5,333"
2020,4,90,"4,420",451,913,847,"1,312",897
2020,4,100,358,50,63,83,104,58
2020,5,총,"735,233","50,143","152,776","112,407","217,837","202,070"
2020,5,0,"60,233","3,202","10,982","8,766","16,905","20,378"
2020,5,10,"77,328","3,500","15,585","11,486","20,774","25,983"
2020,5,20,"99,814","6,859","22,072","13,826","29,764","27,293"
2020,5,30,"93,201","5,999","18,852","13,357","27,250","27,743"
2020,5,40,"122,820","6,502","25,885","17,495","34,151","38,787"
