년도,월,나이,영도구,남항동,영선제1동,영선제2동,신선동,봉래제1동,봉래제2동,청학제1동,청학제2동,동삼제1동,동삼제2동,동삼제3동
2020,1,총,"58,965","5,417","2,168","4,653","4,746","3,776","2,727","3,611","9,548","15,068","1,718","5,533"
2020,1,0,"2,834",202,97,217,119,200,84,193,577,840,91,214
2020,1,10,"3,812",268,128,284,249,215,148,242,692,"1,197",101,288
2020,1,20,"5,667",513,215,422,393,348,220,318,963,"1,597",233,445
2020,1,30,"5,311",483,188,397,300,376,178,355,927,"1,481",160,466
2020,1,40,"7,532",620,273,584,503,454,316,499,"1,372","2,130",194,587
2020,1,50,"10,164",912,384,821,809,601,463,556,"1,633","2,759",235,991
2020,1,60,"11,220","1,099",444,877,970,754,579,644,"1,754","2,587",339,"1,173"
2020,1,70,"8,182",857,291,697,930,491,530,524,"1,065","1,640",252,905
2020,1,80,"3,565",384,123,286,389,275,184,229,479,720,98,398
2020,1,90,584,73,19,58,77,38,22,42,77,103,14,61
2020,1,100,94,6,6,10,7,24,3,9,9,14,1,5
2020,2,총,"58,851","5,425","2,174","4,655","4,725","3,762","2,741","3,589","9,501","15,046","1,714","5,519"
2020,2,0,"2,815",201,97,218,117,199,86,192,561,841,91,212
2020,2,10,"3,777",267,126,280,249,216,147,237,690,"1,186",100,279
2020,2,20,"5,648",510,222,423,392,348,223,314,951,"1,585",235,445
2020,2,30,"5,265",484,186,398,295,372,176,349,914,"1,471",155,465
2020,2,40,"7,539",627,273,582,504,447,323,497,"1,368","2,129",198,591
2020,2,50,"10,093",908,380,816,789,599,460,556,"1,631","2,745",230,979
2020,2,60,"11,260","1,104",446,880,970,755,583,646,"1,758","2,603",337,"1,178"
2020,2,70,"8,185",858,294,699,932,489,528,518,"1,063","1,644",253,907
2020,2,80,"3,584",385,125,290,396,275,189,227,477,723,98,399
2020,2,90,591,75,20,59,74,38,22,44,80,104,16,59
2020,2,100,94,6,5,10,7,24,4,9,8,15,1,5
2020,3,총,"58,736","5,441","2,163","4,637","4,725","3,742","2,724","3,577","9,459","15,031","1,722","5,515"
2020,3,0,"2,796",196,95,213,116,201,84,192,558,834,95,212
2020,3,10,"3,750",270,124,277,246,212,144,236,686,"1,176",103,276
2020,3,20,"5,619",510,216,418,395,337,224,313,937,"1,586",234,449
2020,3,30,"5,224",488,181,401,292,370,172,341,899,"1,471",150,459
2020,3,40,"7,493",624,277,577,505,441,318,495,"1,355","2,113",203,585
2020,3,50,"10,035",899,375,812,785,592,456,557,"1,624","2,726",231,978
2020,3,60,"11,313","1,122",447,875,973,755,581,642,"1,766","2,631",339,"1,182"
2020,3,70,"8,188",861,298,698,929,495,527,518,"1,060","1,645",251,906
2020,3,80,"3,624",390,123,296,402,276,191,229,487,730,99,401
2020,3,90,599,75,22,61,75,38,23,45,79,104,16,61
