년도,월,나이,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2020,1,총,"42,014","8,623","1,693",842,"1,628","5,387","5,757","3,129","8,958","5,997"
2020,1,0,"2,020",454,40,28,50,247,292,135,462,312
2020,1,10,"3,095",765,95,38,83,366,455,215,694,384
2020,1,20,"3,448",778,98,52,85,404,447,232,765,587
2020,1,30,"3,376",739,79,46,88,360,524,198,687,655
2020,1,40,"5,511","1,146",197,70,151,666,801,399,"1,175",906
2020,1,50,"8,342","1,640",378,181,372,"1,009","1,178",693,"1,755","1,136"
2020,1,60,"8,290","1,563",407,212,439,"1,155","1,132",646,"1,703","1,033"
2020,1,70,"5,052",918,266,135,236,718,610,362,"1,138",669
2020,1,80,"2,495",545,109,71,107,396,287,221,483,276
2020,1,90,346,69,24,9,16,62,31,27,76,32
2020,1,100,39,6,0,0,1,4,0,1,20,7
2020,2,총,"41,903","8,618","1,680",850,"1,629","5,381","5,716","3,112","8,953","5,964"
2020,2,0,"2,000",453,38,31,49,246,290,126,462,305
2020,2,10,"3,053",758,95,38,82,361,443,211,691,374
2020,2,20,"3,435",773,97,49,84,411,440,232,761,588
2020,2,30,"3,339",741,77,44,89,356,517,184,684,647
2020,2,40,"5,503","1,137",195,74,151,668,796,399,"1,177",906
2020,2,50,"8,269","1,624",373,182,370,998,"1,160",694,"1,743","1,125"
2020,2,60,"8,364","1,587",408,216,445,"1,162","1,142",654,"1,716","1,034"
2020,2,70,"5,035",918,262,136,234,714,612,359,"1,137",663
2020,2,80,"2,518",549,111,70,108,400,286,226,485,283
2020,2,90,348,72,24,10,16,60,30,26,78,32
2020,2,100,39,6,0,0,1,5,0,1,19,7
2020,3,총,"41,817","8,633","1,664",850,"1,627","5,377","5,697","3,103","8,914","5,952"
2020,3,0,"1,987",451,40,31,49,241,283,121,458,313
2020,3,10,"3,023",749,89,40,80,358,442,216,686,363
2020,3,20,"3,417",775,97,47,83,415,438,220,756,586
2020,3,30,"3,298",739,77,43,90,356,503,180,667,643
2020,3,40,"5,479","1,136",193,75,149,666,790,397,"1,175",898
2020,3,50,"8,213","1,616",364,182,364,999,"1,158",673,"1,733","1,124"
2020,3,60,"8,441","1,620",404,217,451,"1,170","1,146",674,"1,720","1,039"
2020,3,70,"5,029",914,264,136,232,711,620,364,"1,129",659
2020,3,80,"2,543",556,111,70,112,394,289,231,491,289
2020,3,90,346,69,25,9,16,62,28,26,80,31
2020,3,100,41,8,0,0,1,5,0,1,19,7
2020,4,총,"41,758","8,617","1,670",845,"1,627","5,365","5,676","3,101","8,906","5,951"
2020,4,0,"1,986",450,41,29,49,242,283,122,457,313
2020,4,10,"2,993",737,87,41,76,352,441,214,685,360
2020,4,20,"3,394",775,100,44,89,409,428,217,753,579
2020,4,30,"3,293",734,76,43,88,361,505,181,663,642
2020,4,40,"5,443","1,131",193,73,147,656,780,396,"1,166",901
2020,4,50,"8,186","1,607",361,179,364,"1,003","1,149",671,"1,727","1,125"
2020,4,60,"8,485","1,635",409,219,452,"1,169","1,155",674,"1,729","1,043"
2020,4,70,"5,032",911,264,137,234,713,614,367,"1,133",659
2020,4,80,"2,557",556,113,71,112,393,294,232,495,291
2020,4,90,349,73,26,9,15,62,27,26,80,31
2020,4,100,40,8,0,0,1,5,0,1,18,7
2020,5,총,"41,779","8,594","1,665",856,"1,631","5,349","5,692","3,115","8,890","5,987"
2020,5,0,"1,968",442,41,29,49,240,282,127,450,308
2020,5,10,"2,992",735,82,45,74,351,443,216,683,363
2020,5,20,"3,408",779,104,44,92,406,425,219,753,586
2020,5,30,"3,269",724,74,43,87,354,506,183,657,641
2020,5,40,"5,427","1,115",189,73,148,657,780,392,"1,160",913
2020,5,50,"8,192","1,611",363,180,364,"1,000","1,158",673,"1,712","1,131"
2020,5,60,"8,520","1,637",410,225,452,"1,170","1,157",677,"1,745","1,047"
2020,5,70,"5,036",917,262,136,235,705,615,366,"1,132",668
2020,5,80,"2,582",554,114,72,113,403,299,235,500,292
2020,5,90,344,72,26,9,16,58,27,26,79,31
2020,5,100,41,8,0,0,1,5,0,1,19,7
2020,6,총,"41,739","8,588","1,664",870,"1,629","5,338","5,696","3,132","8,839","5,983"
2020,6,0,"1,950",435,42,27,49,234,285,134,439,305
2020,6,10,"2,988",733,79,46,72,346,441,220,684,367
2020,6,20,"3,396",782,105,48,93,409,424,212,747,576
2020,6,30,"3,243",715,73,40,87,349,502,186,651,640
2020,6,40,"5,409","1,109",190,75,147,659,775,397,"1,154",903
2020,6,50,"8,151","1,608",361,180,369,986,"1,163",672,"1,682","1,130"
