년도,월,나이,강원도 인제군,강원도 인제군 인제읍,강원도 인제군 인제읍귀둔출장소,강원도 인제군 남면,강원도 인제군 북면,강원도 인제군 기린면,강원도 인제군 서화면,강원도 인제군 상남면
2020,12,30,"3,902","1,334",28,538,896,657,370,79
2020,12,40,"3,998","1,418",61,408,"1,071",624,255,161
2020,12,50,"5,255","1,521",119,605,"1,468",881,339,322
2020,12,60,"5,205","1,384",112,708,"1,363",872,385,381
2020,12,70,"2,677",713,77,328,692,425,233,209
2020,12,80,"1,507",382,33,222,400,250,118,102
2020,12,90,256,67,3,38,63,48,17,20
2020,12,100,14,7,0,0,4,2,0,1
2021,1,총,"31,720","9,897",518,"3,943","8,170","5,045","2,616","1,531"
2021,1,0,"2,487",931,16,323,587,392,196,42
2021,1,10,"2,304",846,32,260,620,324,139,83
2021,1,20,"4,121","1,268",35,513,"1,017",579,575,134
2021,1,30,"3,870","1,327",29,535,884,643,372,80
2021,1,40,"3,999","1,426",60,407,"1,067",629,249,161
2021,1,50,"5,237","1,521",120,608,"1,463",874,335,316
2021,1,60,"5,240","1,404",113,711,"1,372",876,382,382
2021,1,70,"2,671",715,77,327,688,422,232,210
2021,1,80,"1,517",384,33,218,404,256,120,102
2021,1,90,259,68,3,40,64,48,16,20
2021,1,100,15,7,0,1,4,2,0,1
2021,2,총,"31,665","9,920",516,"3,921","8,165","5,023","2,588","1,532"
2021,2,0,"2,471",932,16,318,597,381,183,44
2021,2,10,"2,292",847,33,259,616,318,136,83
2021,2,20,"4,079","1,248",30,510,"1,012",584,564,131
2021,2,30,"3,843","1,331",30,531,871,633,369,78
2021,2,40,"3,991","1,443",59,397,"1,059",628,243,162
2021,2,50,"5,200","1,523",120,600,"1,454",855,333,315
2021,2,60,"5,308","1,412",115,719,"1,395",892,390,385
2021,2,70,"2,684",726,77,329,687,425,231,209
2021,2,80,"1,522",383,32,217,407,256,123,104
2021,2,90,260,68,4,40,63,49,16,20
2021,2,100,15,7,0,1,4,2,0,1
2021,3,총,"31,521","9,878",522,"3,890","8,153","4,972","2,578","1,528"
2021,3,0,"2,455",925,19,315,593,373,186,44
2021,3,10,"2,278",836,33,252,618,320,138,81
2021,3,20,"4,063","1,251",29,508,"1,017",583,545,130
2021,3,30,"3,819","1,333",32,523,865,614,375,77
2021,3,40,"3,961","1,428",56,397,"1,050",628,242,160
2021,3,50,"5,144","1,511",122,582,"1,455",824,336,314
2021,3,60,"5,373","1,430",118,728,"1,410",907,387,393
2021,3,70,"2,639",710,76,324,675,420,229,205
2021,3,80,"1,532",384,33,220,409,258,125,103
2021,3,90,250,67,4,40,59,45,15,20
2021,3,100,7,3,0,1,2,0,0,1
2021,4,총,"31,508","9,938",521,"3,856","8,139","4,940","2,572","1,542"
2021,4,0,"2,429",930,19,299,583,362,190,46
2021,4,10,"2,268",846,33,240,614,314,139,82
2021,4,20,"4,063","1,265",29,513,"1,015",571,536,134
2021,4,30,"3,831","1,342",33,512,865,622,373,84
2021,4,40,"3,933","1,427",56,391,"1,042",614,242,161
2021,4,50,"5,107","1,509",120,580,"1,449",812,326,311
2021,4,60,"5,445","1,455",118,733,"1,425",922,396,396
2021,4,70,"2,635",708,75,323,672,420,232,205
2021,4,80,"1,541",385,34,223,413,257,124,105
2021,4,90,249,68,4,41,59,46,14,17
2021,4,100,7,3,0,1,2,0,0,1
2021,5,총,"31,633","9,958",518,"3,737","8,129","4,902","2,573","1,816"
2021,5,0,"2,448",933,16,271,580,354,189,105
2021,5,10,"2,244",840,33,230,604,311,137,89
2021,5,20,"4,124","1,256",30,484,"1,027",555,541,231
2021,5,30,"3,863","1,348",30,475,864,612,376,158
2021,5,40,"3,907","1,426",54,376,"1,028",604,235,184
2021,5,50,"5,126","1,523",122,579,"1,446",814,327,315
2021,5,60,"5,484","1,467",121,732,"1,435",923,402,404
2021,5,70,"2,629",701,74,325,670,425,229,205
2021,5,80,"1,550",393,34,221,415,257,123,107
2021,5,90,251,68,4,43,58,47,14,17
2021,5,100,7,3,0,1,2,0,0,1
2021,6,총,"31,835","10,133",517,"3,730","8,093","4,892","2,576","1,894"
2021,6,0,"2,464",977,16,269,565,347,182,108
2021,6,10,"2,260",866,33,228,604,306,132,91
2021,6,20,"4,182","1,249",27,481,"1,035",556,556,278
2021,6,30,"3,906","1,398",31,477,848,605,373,174
2021,6,40,"3,918","1,447",53,371,"1,023",603,235,186
2021,6,50,"5,127","1,543",123,577,"1,431",808,326,319
2021,6,60,"5,544","1,488",121,737,"1,441",943,406,408
2021,6,70,"2,622",705,73,324,668,419,227,206
2021,6,80,"1,554",391,36,222,417,257,125,106
2021,6,90,251,66,4,43,59,48,14,17
2021,6,100,7,3,0,1,2,0,0,1
2021,7,총,"31,947","10,171",519,"3,743","8,115","4,870","2,592","1,937"
2021,7,0,"2,474",979,17,274,558,350,187,109
2021,7,10,"2,270",875,34,228,606,304,132,91
2021,7,20,"4,213","1,262",27,479,"1,037",536,571,301
2021,7,30,"3,916","1,401",32,483,841,606,376,177
2021,7,40,"3,936","1,452",52,372,"1,028",605,233,194
2021,7,50,"5,098","1,538",122,571,"1,432",797,322,316
2021,7,60,"5,590","1,498",123,745,"1,459",948,404,413
2021,7,70,"2,624",707,72,324,670,419,223,209
2021,7,80,"1,565",389,36,223,421,257,130,109
2021,7,90,254,67,4,43,61,48,14,17
2021,7,100,7,3,0,1,2,0,0,1
2021,8,총,"32,034","10,211",523,"3,759","8,120","4,882","2,574","1,965"
2021,8,0,"2,498",992,16,271,559,365,181,114
2021,8,10,"2,259",877,32,228,600,303,129,90
2021,8,20,"4,218","1,265",29,486,"1,032",535,559,312
2021,8,30,"3,924","1,401",31,489,841,606,376,180
2021,8,40,"3,947","1,461",55,374,"1,026",603,233,195
2021,8,50,"5,112","1,543",123,569,"1,444",790,324,319
2021,8,60,"5,620","1,500",122,753,"1,466",959,401,419
2021,8,70,"2,613",707,75,323,661,414,224,209
2021,8,80,"1,572",392,36,222,423,260,130,109
2021,8,90,264,70,4,43,66,47,17,17
2021,8,100,7,3,0,1,2,0,0,1
2021,9,총,"32,033","10,222",520,"3,777","8,098","4,859","2,571","1,986"
2021,9,0,"2,490",990,16,278,552,359,182,113
2021,9,10,"2,281",887,32,228,608,306,129,91
2021,9,20,"4,189","1,253",27,485,"1,016",531,558,319
2021,9,30,"3,916","1,399",30,491,832,594,377,193
2021,9,40,"3,949","1,470",54,376,"1,021",598,236,194
2021,9,50,"5,093","1,542",125,569,"1,440",784,318,315
2021,9,60,"5,659","1,508",120,764,"1,472",967,402,426
2021,9,70,"2,603",704,76,323,661,412,218,209
2021,9,80,"1,579",396,36,220,428,258,134,107
2021,9,90,266,70,4,42,65,50,17,18
2021,9,100,8,3,0,1,3,0,0,1
2021,10,총,"32,090","10,277",523,"3,758","8,062","4,902","2,565","2,003"
2021,10,0,"2,502","1,005",16,269,537,374,187,114
2021,10,10,"2,265",892,31,224,591,310,128,89
2021,10,20,"4,177","1,247",28,480,"1,028",525,544,325
2021,10,30,"3,942","1,412",30,491,818,617,381,193
2021,10,40,"3,963","1,485",53,375,"1,020",601,233,196
2021,10,50,"5,100","1,547",126,568,"1,438",784,319,318
2021,10,60,"5,673","1,514",122,764,"1,473",971,404,425
2021,10,70,"2,595",700,77,320,654,411,218,215
2021,10,80,"1,600",402,36,224,436,259,134,109
2021,10,90,265,71,4,42,64,50,17,17
2021,10,100,8,2,0,1,3,0,0,2
2021,11,총,"32,138","10,290",522,"3,763","8,043","4,936","2,574","2,010"
2021,11,0,"2,504","1,011",16,259,535,377,191,115
2021,11,10,"2,243",886,31,219,588,305,126,88
2021,11,20,"4,194","1,250",27,498,"1,011",534,547,327
2021,11,30,"3,975","1,430",31,491,816,630,381,196
2021,11,40,"3,954","1,469",53,370,"1,020",606,236,200
2021,11,50,"5,107","1,556",127,567,"1,434",788,317,318
2021,11,60,"5,693","1,518",121,768,"1,484",976,406,420
2021,11,70,"2,595",701,75,321,653,410,219,216
2021,11,80,"1,603",399,37,227,435,261,133,111
2021,11,90,262,68,4,42,64,49,18,17
2021,11,100,8,2,0,1,3,0,0,2
2021,12,총,"32,165","10,303",525,"3,761","8,035","4,977","2,567","1,997"
2021,12,0,"2,499","1,016",17,253,529,376,193,115
2021,12,10,"2,236",878,29,215,594,306,126,88
2021,12,20,"4,209","1,249",29,508,"1,019",544,539,321
2021,12,30,"3,981","1,423",34,491,809,643,382,199
2021,12,40,"3,938","1,468",52,369,"1,017",601,235,196
2021,12,50,"5,107","1,565",126,561,"1,435",787,318,315
2021,12,60,"5,730","1,531",121,772,"1,485",998,405,418
2021,12,70,"2,589",697,76,321,649,412,219,215
2021,12,80,"1,610",406,37,228,433,262,132,112
2021,12,90,259,68,4,42,62,48,18,17
2021,12,100,7,2,0,1,3,0,0,1
