년도,월,나이,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2020,1,총,"1,599,391","840,047","179,626","202,513","262,504","195,404","210,806","134,359","32,899","50,987","48,523","37,424","81,225","38,451","95,006","29,664"
2020,1,0,"128,793","76,825","15,006","15,649","24,665","21,505","15,260","9,297","1,554","2,758","2,555","3,589","7,738","1,383","6,555","1,279"
2020,1,10,"153,715","88,122","19,444","21,878","27,101","19,699","19,582","12,249","2,225","4,071","3,667","3,462","7,922","2,243","8,065","2,107"
2020,1,20,"199,901","119,064","23,137","29,395","40,532","26,000","24,514","15,241","2,518","4,596","4,726","4,586","8,957","3,330","9,931","2,438"
2020,1,30,"199,322","119,996","21,011","24,766","40,888","33,331","24,070","13,623","2,370","4,122","3,593","4,981","11,329","2,660","10,404","2,174"
2020,1,40,"243,851","137,031","29,047","32,754","43,219","32,011","31,615","18,955","3,500","6,451","5,658","5,767","13,072","4,010","14,284","3,508"
2020,1,50,"274,025","136,643","31,449","35,270","42,372","27,552","37,995","24,422","6,059","9,188","8,722","6,087","13,458","7,591","17,996","5,864"
2020,1,60,"208,445","90,151","21,666","23,861","25,492","19,132","29,611","21,459","6,506","9,346","8,725","4,678","9,506","8,143","14,293","6,027"
2020,1,70,"119,138","46,255","11,921","12,232","11,817","10,285","17,472","12,320","4,613","6,189","6,469","2,681","5,454","5,486","8,256","3,943"
2020,1,80,"63,105","22,629","6,007","5,836","5,643","5,143","9,450","5,959","3,061","3,701","3,824","1,424","3,338","3,163","4,505","2,051"
2020,1,90,"8,557","3,144",883,824,735,702,"1,170",764,470,538,553,158,434,415,662,249
2020,1,100,539,187,55,48,40,44,67,70,23,27,31,11,17,27,55,24
2020,2,총,"1,598,599","840,272","180,277","201,704","263,132","195,159","210,643","134,171","32,840","50,903","48,364","37,419","81,301","38,185","94,909","29,592"
2020,2,0,"128,290","76,590","15,095","15,467","24,678","21,350","15,194","9,261","1,561","2,748","2,530","3,548","7,712","1,364","6,502","1,280"
2020,2,10,"153,119","87,960","19,465","21,700","27,105","19,690","19,466","12,197","2,198","4,045","3,619","3,465","7,877","2,196","8,010","2,086"
2020,2,20,"198,910","118,650","23,099","29,197","40,481","25,873","24,405","15,097","2,492","4,547","4,697","4,574","8,937","3,210","9,895","2,406"
2020,2,30,"198,768","119,812","21,145","24,492","41,067","33,108","23,995","13,556","2,362","4,095","3,560","4,943","11,327","2,618","10,344","2,156"
2020,2,40,"243,982","137,264","29,207","32,615","43,349","32,093","31,614","18,926","3,481","6,434","5,635","5,768","13,122","3,978","14,264","3,496"
2020,2,50,"273,857","136,734","31,508","35,230","42,471","27,525","37,969","24,395","6,040","9,153","8,654","6,113","13,464","7,542","17,972","5,821"
2020,2,60,"209,926","90,864","21,839","23,994","25,717","19,314","29,826","21,571","6,527","9,394","8,790","4,724","9,590","8,170","14,409","6,061"
2020,2,70,"119,037","46,274","11,942","12,249","11,811","10,272","17,432","12,320","4,607","6,191","6,445","2,680","5,455","5,460","8,245","3,928"
2020,2,80,"63,513","22,770","6,024","5,889","5,672","5,185","9,488","5,991","3,075","3,725","3,851","1,434","3,363","3,195","4,540","2,081"
2020,2,90,"8,656","3,166",898,819,743,706,"1,187",787,473,544,551,159,436,425,674,254
2020,2,100,541,188,55,52,38,43,67,70,24,27,32,11,18,27,54,23
2020,3,총,"1,597,639","840,756","181,403","200,775","263,844","194,734","210,423","133,839","32,760","50,791","48,174","37,341","81,404","37,896","94,709","29,546"
2020,3,0,"127,815","76,407","15,345","15,211","24,707","21,144","15,134","9,210","1,536","2,737","2,514","3,513","7,701","1,329","6,461","1,273"
2020,3,10,"152,506","87,663","19,471","21,526","27,039","19,627","19,403","12,100","2,190","4,017","3,589","3,469","7,884","2,145","7,973","2,073"
2020,3,20,"198,733","118,932","23,164","29,107","40,788","25,873","24,389","14,993","2,472","4,489","4,606","4,577","8,945","3,111","9,831","2,388"
2020,3,30,"198,047","119,590","21,412","24,239","41,105","32,834","23,867","13,500","2,340","4,053","3,546","4,902","11,292","2,557","10,259","2,141"
2020,3,40,"243,255","136,975","29,337","32,277","43,337","32,024","31,491","18,830","3,436","6,397","5,597","5,730","13,156","3,960","14,208","3,475"
2020,3,50,"273,598","136,865","31,638","35,140","42,576","27,511","37,881","24,278","6,063","9,123","8,642","6,134","13,438","7,458","17,924","5,792"
2020,3,60,"211,370","91,603","22,014","24,183","25,964","19,442","30,027","21,730","6,557","9,445","8,795","4,728","9,680","8,204","14,506","6,095"
2020,3,70,"119,143","46,412","11,995","12,296","11,828","10,293","17,418","12,314","4,587","6,211","6,446","2,667","5,464","5,445","8,258","3,921"
2020,3,80,"63,866","22,907","6,057","5,918","5,701","5,231","9,545","6,019","3,075","3,743","3,854","1,447","3,387","3,230","4,558","2,101"
2020,3,90,"8,762","3,213",915,826,761,711,"1,200",793,479,549,552,163,439,431,679,264
2020,3,100,544,189,55,52,38,44,68,72,25,27,33,11,18,26,52,23
2020,4,총,"1,596,613","840,938","182,086","200,275","264,170","194,407","210,188","133,638","32,699","50,778","47,963","37,320","81,483","37,694","94,461","29,451"
2020,4,0,"127,232","76,165","15,432","15,104","24,646","20,983","15,035","9,151","1,529","2,727","2,480","3,486","7,670","1,311","6,410","1,268"
2020,4,10,"151,945","87,385","19,434","21,395","26,954","19,602","19,344","12,027","2,184","3,987","3,549","3,466","7,897","2,117","7,937","2,052"
2020,4,20,"198,362","119,022","23,266","29,026","40,873","25,857","24,305","14,909","2,449","4,464","4,554","4,560","8,935","3,028","9,768","2,368"
2020,4,30,"197,615","119,492","21,559","24,104","41,190","32,639","23,795","13,451","2,325","4,033","3,493","4,888","11,282","2,519","10,219","2,118"
2020,4,40,"242,620","136,692","29,352","32,090","43,299","31,951","31,388","18,791","3,418","6,401","5,544","5,729","13,163","3,935","14,119","3,440"
2020,4,50,"273,650","137,097","31,763","35,097","42,685","27,552","37,858","24,253","6,051","9,084","8,620","6,130","13,484","7,420","17,873","5,780"
2020,4,60,"212,481","92,175","22,218","24,275","26,149","19,533","30,167","21,837","6,571","9,521","8,798","4,761","9,735","8,236","14,571","6,109"
2020,4,70,"119,208","46,447","12,002","12,342","11,828","10,275","17,433","12,318","4,584","6,220","6,480","2,667","5,456","5,429","8,256","3,918"
2020,4,80,"64,143","23,030","6,068","5,962","5,743","5,257","9,598","6,034","3,080","3,761","3,864","1,457","3,401","3,239","4,570","2,109"
2020,4,90,"8,804","3,245",937,828,765,715,"1,197",793,482,551,546,164,442,434,684,266
2020,4,100,553,188,55,52,38,43,68,74,26,29,35,12,18,26,54,23
2020,5,총,"1,596,710","841,540","182,516","199,866","264,709","194,449","210,190","133,513","32,653","50,802","47,832","37,302","81,584","37,566","94,336","29,392"
2020,5,0,"126,863","75,999","15,462","14,990","24,614","20,933","14,989","9,110","1,532","2,718","2,468","3,471","7,665","1,296","6,368","1,247"
2020,5,10,"151,372","87,099","19,383","21,267","26,891","19,558","19,252","11,977","2,167","3,961","3,519","3,461","7,895","2,086","7,906","2,049"
2020,5,20,"198,370","119,323","23,367","28,964","41,083","25,909","24,266","14,860","2,443","4,458","4,512","4,560","8,964","2,963","9,682","2,339"
2020,5,30,"197,266","119,369","21,619","23,989","41,226","32,535","23,823","13,388","2,307","4,032","3,464","4,850","11,250","2,490","10,197","2,096"
2020,5,40,"242,139","136,581","29,365","31,945","43,314","31,957","31,278","18,720","3,393","6,355","5,530","5,728","13,147","3,914","14,068","3,425"
2020,5,50,"274,160","137,507","31,895","35,149","42,846","27,617","37,935","24,265","6,046","9,111","8,578","6,134","13,530","7,403","17,883","5,768"
2020,5,60,"213,335","92,570","22,317","24,348","26,306","19,599","30,274","21,917","6,579","9,564","8,829","4,785","9,781","8,263","14,626","6,147"
2020,5,70,"119,441","46,565","12,031","12,356","11,874","10,304","17,461","12,342","4,572","6,248","6,486","2,676","5,480","5,437","8,258","3,916"
2020,5,80,"64,343","23,071","6,075","5,983","5,741","5,272","9,640","6,067","3,099","3,769","3,865","1,459","3,404","3,250","4,603","2,116"
2020,5,90,"8,864","3,266",946,824,775,721,"1,203",793,488,557,546,167,450,436,691,267
2020,5,100,557,190,56,51,39,44,69,74,27,29,35,11,18,28,54,22
