년도,월,나이,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2020,1,총,"457,887","31,948","31,241","22,928","26,642","42,888","21,382","21,916","16,413","18,915","15,391","6,541","21,424","21,394","20,518","47,723","34,721","25,242","30,660"
2020,1,0,"33,101","3,065","1,930","1,470","1,537","3,556","1,132","1,621","1,012","1,695","1,081",392,"1,260","1,920","1,382","3,833","1,980","2,148","2,087"
2020,1,10,"52,430","5,207","2,750","1,629","3,624","7,786","1,424","1,863","1,254","1,734","1,396",705,"1,526","3,163","3,014","5,501","2,501","3,755","3,598"
2020,1,20,"60,828","3,535","5,103","3,696","4,194","4,720","2,748","2,717","2,147","2,212","2,172",812,"2,784","2,564","2,755","6,080","5,366","3,300","3,923"
2020,1,30,"59,517","3,495","5,555","4,138","3,000","4,197","2,877","3,250","2,168","2,679","2,268",757,"2,880","2,232","1,947","6,149","5,613","2,879","3,433"
2020,1,40,"80,716","7,071","4,768","3,354","4,868","9,485","3,311","3,436","2,428","3,126","2,406","1,053","3,147","4,244","3,910","8,458","5,461","4,789","5,401"
2020,1,50,"77,333","4,986","5,054","3,815","4,854","6,760","4,042","3,480","3,119","3,010","2,637","1,142","3,773","3,564","3,722","7,956","5,586","4,420","5,413"
2020,1,60,"54,699","2,771","3,673","2,865","2,562","3,894","3,458","3,301","2,466","2,599","1,986",987,"3,381","2,083","2,162","5,513","4,706","2,474","3,818"
2020,1,70,"27,266","1,286","1,645","1,320","1,409","1,608","1,755","1,634","1,311","1,340","1,048",496,"1,823","1,078","1,069","2,966","2,600",940,"1,938"
2020,1,80,"10,229",447,652,553,524,716,543,528,441,458,346,161,751,443,473,"1,081",781,444,887
2020,1,90,"1,598",80,100,72,63,160,80,79,55,53,44,25,96,98,70,174,113,91,145
2020,1,100,170,5,11,16,7,6,12,7,12,9,7,11,3,5,14,12,14,2,17
2020,2,총,"457,332","32,030","31,189","22,896","26,652","42,887","21,270","21,839","16,343","18,843","15,355","6,546","21,389","21,401","20,539","47,694","34,622","25,298","30,539"
2020,2,0,"33,210","3,127","1,916","1,439","1,558","3,658","1,121","1,594",988,"1,675","1,070",390,"1,246","1,938","1,426","3,822","1,962","2,188","2,092"
