년도,월,나이,경상남도 남해군,경상남도 남해군 남해읍,경상남도 남해군 이동면,경상남도 남해군 상주면,경상남도 남해군 삼동면,경상남도 남해군 미조면,경상남도 남해군 남면,경상남도 남해군 서면,경상남도 남해군 고현면,경상남도 남해군 설천면,경상남도 남해군 창선면
2020,1,총,"43,539","13,374","3,809","1,670","3,935","2,402","3,608","2,666","3,526","2,925","5,624"
2020,1,0,"1,666",925,80,38,127,96,76,54,83,53,134
2020,1,10,"3,144","1,569",193,120,197,185,206,88,172,123,291
2020,1,20,"3,354","1,496",260,103,217,193,210,149,224,175,327
2020,1,30,"2,647","1,198",179,75,219,148,159,113,173,126,257
2020,1,40,"4,796","1,995",354,151,398,268,339,222,329,224,516
2020,1,50,"7,587","2,241",685,316,676,502,608,430,598,499,"1,032"
2020,1,60,"7,933","1,841",744,309,815,488,710,534,657,639,"1,196"
2020,1,70,"6,858","1,272",716,281,696,313,708,539,675,563,"1,095"
2020,1,80,"4,747",708,516,247,496,177,506,473,516,434,674
2020,1,90,789,128,81,30,91,31,82,63,97,86,100
2020,1,100,18,1,1,0,3,1,4,1,2,3,2
2020,2,총,"43,479","13,293","3,816","1,652","3,925","2,404","3,670","2,659","3,516","2,912","5,632"
2020,2,0,"1,655",912,82,37,126,96,80,51,81,54,136
2020,2,10,"3,161","1,537",195,112,195,186,250,90,174,124,298
2020,2,20,"3,302","1,473",259,98,208,194,211,145,223,167,324
2020,2,30,"2,631","1,190",177,77,223,142,163,111,166,121,261
2020,2,40,"4,799","1,982",359,147,401,267,354,224,328,226,511
2020,2,50,"7,526","2,235",679,316,660,504,593,431,588,494,"1,026"
2020,2,60,"7,964","1,852",747,308,821,488,713,530,661,639,"1,205"
2020,2,70,"6,842","1,263",714,280,702,317,706,538,672,558,"1,092"
2020,2,80,"4,768",715,518,246,490,178,513,474,520,435,679
2020,2,90,813,133,85,31,96,31,83,64,101,91,98
2020,2,100,18,1,1,0,3,1,4,1,2,3,2
2020,3,총,"43,351","13,251","3,802","1,638","3,941","2,400","3,641","2,651","3,496","2,906","5,625"
2020,3,0,"1,656",911,79,37,127,96,81,53,80,55,137
2020,3,10,"3,107","1,505",194,108,194,184,238,91,171,121,301
2020,3,20,"3,281","1,482",252,94,209,190,205,136,224,166,323
2020,3,30,"2,620","1,190",174,75,217,145,165,111,160,121,262
2020,3,40,"4,752","1,968",357,143,405,265,342,221,323,225,503
2020,3,50,"7,485","2,227",670,316,668,505,589,430,581,492,"1,007"
2020,3,60,"7,994","1,859",745,308,823,488,708,536,663,643,"1,221"
2020,3,70,"6,816","1,250",717,280,703,317,705,529,667,554,"1,094"
2020,3,80,"4,800",725,527,247,495,177,520,475,524,434,676
